,class,tweetid,unprocessed_text
11983,m,1202189293432823810,"_U _U i even see a lot of readmits on those. risperdal consta, abilify maintena, haldol lai, all of them."
5981,m,1200504615760023552,_U valium o clock
10302,m,1201776570492489728,Stop Xanax 😂😂😂😂
6082,c,1200528076159029248,_U tbh it’s the valium i’m on rn prob
9322,a,1201420901633400832,_U i got mine pulled out about 6 years ago and the doctor prescribed me oxycodone but i never had pain. i just got high lol
8997,a,1201343126507544576,"Today is my 1 year vegan anniversary, also over a year since I've used a microwave and 1 year being clean of Vyvanse after struggling being on it for 8 years🤘"
4962,m,1200169379389988864,Hurricane #Irma upgraded back to a Category-5 storm; maximum sustained winds 160 mph.   Can someone get this chick a xanax or soemthin????
1802,c,1199153421074489344,"_U I'm on 100mg of Pristiq as well as I'm on Tramadol which boosts serotonin levels, I'm a fucking monster mate"
9380,c,1201438831507099650,last timethis haopened i spent two months taking morphine and spending50% of mydays bedbound so uh. hoping its just a onw off and not thatagain tbh!
7682,m,1200927138314145792,"_U _U ""innovation isn't as likely"" is a massive understatement btw. The only popular consumer products that the USSR invented were the Rubik's cube, Tetris and Fanta Orange drink. And methadone if you want to include that."
7511,m,1200895840019271680,“_U: 99.3% of the world's hydrocodone is used in the united states. 😳 #ascp15 #dea” wow!
9378,m,1201438536026804224,right now i feel like i've taken a moderate dose of morphine and am just holding it together.
8390,a,1201100272619134976,I found a very small amount of lorazepam I’d forgotten about and am functioning wonderfully today 🌞
10707,m,1201870639470202881,_U dude. worst thing on athletic ability is drugs like prozac or xanax. especially if you drink. turns minds into mush and unathletic.
7870,c,1200981093253615617,_U klonopin for the win glad i have those too for when i get anxiety.
8619,m,1201158716596391936,_U I feel like I need a Xanax or equivalent first!!
9099,c,1201367210721239041,i'm so happy adderall exists 😌
8713,m,1201176769128255488,percocet and codeine please take my life 😩
12181,a,1202232311355445248,I was addicted to hydrocodone and fentenyl. A bad accident 30 years ago alot of pain every day.  I looked at my life and realized I couldn’t be whole with my pain meds So I stopped them! Where is the mental fortitude USA? Yes it was hellacious! It’s also worth it. Even with pain
12927,a,1202455238105616384,"i've never done coke, but adderall with coffee is fucking awesome!!!"
4389,m,1199955053366403072,_U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U I’ve heard it’s agony. But 6 of morphine is like a paediatric dose 😳 (this is not medical advice!)
8790,a,1201189321832837120,_U adderall had me bringing a vacuum cleaner to the desert _U
4208,a,1199923630349701121,_U That’s not really fair since You two didn’t go to sleep with all the adderall and coke flying around in Minnesota!
8192,a,1201049999045472256,Seen Evans sleeping off Xanax.
5721,m,1200437198937608198,dick that keep your girl awake all night she call it adderall
11801,c,1202157450733993987,i take xanax when i think about certain past memories
1244,m,1199044535046885382,feel the rush morphine lover make me numb paper thin 'til you sink in could you be my heroine?
13122,m,1202497803123077120,"_U If I was him and get convicted, I’d get some drugs before going to Jail and kill myself.  OD on Xanax."
10095,u,1201720610805764096,these song lyrica of skxjs
10417,m,1201804763412779008,_U _U Is that why when patients count their scripts under the camera before they leave due to being shorted a few films nothing is done?  And this is after the tech announces in front of all the patients with no privacy at all that they are on Suboxone?
8270,a,1201067569647669248,_U My husband had a work injury in 2006. He has 3 herniated discs in his back and a TBI. He’s been on oxycodone since 2006 bc his back is too bad to do surgery. He also goes for injections in his back every 3 months. Between the Oxycodone and the TBI he has become very abusive.
2176,m,1199225118377103360,_U but not before refilling his Oxycontin & Percocet at Walgreens.
6043,m,1200523754436210688,_U he must have left his adderall at home again
11047,c,1201952142392745986,adderall had me picking crumbs up off the floor one by one
4450,c,1199969348665978880,pop an adderall i'm  sweatin woooo😎
11358,a,1202047371632349185,i think i quite a bit of a stronger dose of adderall for when i'm in my zone #gameday
11876,m,1202165688162508801,I was talking to my mom how bipolar this weather is and she goes “This weather needs Xanax to calm down” 😂😂😂
11859,m,1202163738255773696,"_U _U and mumble all their bars cuz everyone's fucked up on lean, xanax and mollys"
2934,a,1199564441479725057,adderall protip: drink an alkali beverage (baking soda in water) before you take it to amplify the effect. acidic beverages do the opposite. i’m fuckin zoomin rn
11276,c,1201997902173880320,Me when I don't take adderall: I don't need it! I can be independent from medications!   Me when I do: HOW DID I EVER FUNCTION WITHOUT
9302,u,1201418640836505600,Lyrica Anderson really cold
7007,a,1200766336583909382,_U _U 100%! give me valium over booze any day of the week haha
167,m,1198300394276962305,"Also, ""4eva is a Mighty Long Time"" - Big KRIT was easily the best hip hop album of the past year, but the south gets no respect unless you mumble about Xanax.... terrible"
6777,c,1200701032055103488,I had an inoperable neck condition 6 years ago. I took vicodin and oxycontin for 3 years as prescribed. I weaned off over a period of 6 weeks after having therapy for my neck. I am not now nor was I ever addicted. Pain medication is for responsible adults. What about alcoholism?
5066,m,1200262121721909251,_U Nooo she looks like she smells like Xanax
126,c,1198296800278597632,_U off adderall had me looking up videos like that
869,m,1198842840253685760,My grandmother was making a list for my 21st of alcoholic beverages categorized as “these make me tipsy” and “you’ll feel these in the morning” in front of my mother.   I’ve come to the conclusion that  we will need to stock up on her Ativan for Armageddon this summer.
320,c,1198453438574743557,god bless gabapentin for curing my restless legs 👏🏻
1027,m,1199005082941100033,"_U LOL bruh take a Xanax, it’s Twitter"
7265,m,1200819097728143361,"I been up, & I ain't have to take no adderall."
6941,c,1200746273407676417,eyes are rolling think i'll get coffee before get my lorazepam blues !!!!
1431,u,1199080616014307328,updraft dolophine airlines mark out for planned in contemplation of support alter: ebmawixi
3185,a,1199617270043103234,"Speaking from exp., I was prescribed 120 oxycontin and 240 oxyocodone each month. I was no doubt hooked. When fed gov. got involved, Dr took me off cold turkey. Withdraws were horrible, thought I was going to die but never once crossed my mind to buy off street. I had a choice!"
9338,c,1201429902169391104,Anyone take #seroquel? I take 25mg lowest dose...I think. Idk how people take more than 200mg!!! I'm knocked out with one.
1611,m,1199115724863737856,_U Hydro morphine
6013,m,1200516445639192576,_U Out of Adderall (amphetamine/smart drug) or - more plainly blood sugar? Likely he is on something (few varieties) quite regularly.
1256,m,1199045630368403457,_U _U Valium is a really lousy choice for an anti anxiety med. There’s a lot better ones now.
7090,m,1200776048830533633,"_U _U It was only a few weeks ago that the Tories refused pairing which gave us the spectacle of labour mp's attending in a state of very poor health, in wheelchairs, on morphine.  There is a pattern here, Tories governing for themselves not country"
7139,c,1200793642530738178,"In that time, i quit clonazepam (rivotril) on January i quit smoking. When drawing a pic a day got easier, it never felt difficult again."
10496,c,1201818217892732929,_U i bet! upset tums are just diabolical. thnk gawd loperamide is available whn required! i still remember kaolin & morphine!
5149,m,1200280637246246912,"#SOTU One Xanax, Two Xanax Red Xanax, Blue Xanax"
4034,c,1199838206168055808,_U weed literally does the opposite of prozac & adderall for me like.. it makes my depression worse
7185,m,1200798351014420483,_U My dear lady try a Valium. It might help.
467,c,1198466698032095232,_U _U _U I watched CSPAN 2 until I felt sick. In bed now after taking a Xanax. Fight again tomorrow.
4161,a,1199910094827331585,"i've had a headache all day so i think i've got to alter the klonopin to adderall ratio the next time i make another ""final countdown""."
2186,a,1199226135676108800,lol i just found an adderall in my pocket what even
1441,c,1199081587373158405,_U I ❤️ klonopin. Used to take it as needed for anxiety attacks.
872,m,1198844241054711808,Xanax #HalloweenCandySubstitutes
4559,m,1199989512774017025,"_U still no sign of them on long range scanners, sir but somehow they devilsmoke hydrocodone canabis inp-inu-prf-1605172330"
7137,m,1200793472783044611,"_U _U As USA battles with failed & futile PUD (Prohibition Use Disorder) OST with methadone or buprenorphine keeps a lot of people alive, reduces crime & HIV, helps many families. Never get adequate OST coverage unless lots GPs also provide. Great article"
6165,m,1218823693163532288,"@kpunk99 @lowquay ah, yes. heroin as 'cure' for opium, then cocaine cure for heroin, now methadone as cure for h &amp; prozac the cure for life."
8782,m,1201188557995618304,Every fucking mnemonic these days is adderall. Everyone is chanting it. It's got me fasting without hunger all day - Steve #mnemonics #slots
13098,u,1202487036919394304,"lyrica anderson, love her music #lhhh"
1898,m,1199163761728331776,_U do you take adderall now
9958,m,1201693753825738752,"hey, sister morphine"
8947,c,1201337778832850944,“_U: adderall had me interviewing my cat” _U 😂😂😂
8468,c,1201121503582048258,Poping a Xanax really does help with anxiety when you're not out there trying to abusing them.
10252,c,1201758638546796544,"Yesterday I got off work and ALL I WANTED WAS SOME XANAX but waking up this morning at 8 am not groggy and not pissed about nothing, I’m glad I didn’t."
12775,m,1202377505551867904,_U i'm currently tripping over my dog cos she is petrified of thunder but won't eat the diazepam laced treat.
