date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 04:24:56,jrmhlsl,iamcardib,0,0,0,"abilify and klonopin sis, that’s the secret",,,,1239044889020698624,https://twitter.com/jrmhlsl/status/1239044889020698624
2020-03-15 03:26:18,Zionist_1,RobbySingh94,1,0,0,"Mr. Singh, here are some medications to take until you get a handle on your psychosis and schizophrenia Aripiprazole (Abilify) Aripiprazole lauroxil (Aristada) Asenapine (Saphris) Brexpiprazole (Rexulti) Cariprazine (Vraylar) Clozapine (Clozaril)",,,,1239030134092386304,https://twitter.com/Zionist_1/status/1239030134092386304
2020-03-15 03:18:26,Samantha_Ruko,,0,0,0,"FUCK Abilify. If my eyelid doesn't stop twitching I'm taking a pair of scissors to it",,,,1239028154020147200,https://twitter.com/Samantha_Ruko/status/1239028154020147200
2020-03-15 01:21:02,maxosirisart,,0,0,1,"DO NOT GET OXYTOCIN FROM ANY OTHER HUMANS EVER FROM NOW ON ONLY DOPAMINE HITS FROM ITEMS IN GOVERNMENT APPROVED STORES AS YOUR HUMANITY WITHERS TO NOTHING, WATCH THIS AD FOR ABILIFY®",,,,1238998610433527809,https://twitter.com/maxosirisart/status/1238998610433527809
2020-03-14 20:53:55,Cat_Cupcakezzz,Lola_Debs,0,0,0,"And it took years for me to find out which meds work for me and which ones don’t. It’s a tough process, but it’s worth it. So far I’m on Lexapro, Wellbutrin and Abilify, all of which I would recommend. However I had a terrible experience with Effexor.",,,,1238931386091941888,https://twitter.com/Cat_Cupcakezzz/status/1238931386091941888
2020-03-14 18:09:06,everyscare,,1,0,1,"60mg of prozac, 7.5mg of abilify, still don’t know how to chill the fuck out",,,,1238889910418972673,https://twitter.com/everyscare/status/1238889910418972673
2020-03-14 13:49:37,JackieRuh,,0,0,1,"Traumatized, NOT CRAZY! There is a difference so, why in the hell am I taking 2mg of #Abilify a day? Does Abilify do something good for #CPTSD? #Psychology #Psychiatry",,,#Abilify #CPTSD #Psychology #Psychiatry,1238824610059169792,https://twitter.com/JackieRuh/status/1238824610059169792
2020-03-14 13:29:20,JackieRuh,,0,0,0,"I think that my low dose 2mg of #Abilify is making me lose my feels, gain weight, numbing me and causing me to feel sad when before use, I was having happy #moods.",,,#Abilify #moods,1238819502705565698,https://twitter.com/JackieRuh/status/1238819502705565698
2020-03-14 12:16:42,rossettetugade,,1,0,0,"Does anyone know if LBC still delivers despite the lockdown? I should be receiving my Abilify injection from Manila sent over by my psychiatrist.",,,,1238801226709360640,https://twitter.com/rossettetugade/status/1238801226709360640
2020-03-14 12:12:26,neptunebabie,,0,0,0,"abilify makes me so hungry..not a vibe",,,,1238800152825126912,https://twitter.com/neptunebabie/status/1238800152825126912
2020-03-14 12:04:42,tommabinch,,0,0,0,"Whoever makes Abilify needs to change the coating to something less sticky and something more...... Lubricated.",,,,1238798204944232448,https://twitter.com/tommabinch/status/1238798204944232448
2020-03-14 10:56:27,RadioKSCR,,0,0,0,"Now Playing Abilify by Karby on http://www.radiokscr.com Listen Now! http://listen.samcloud.com/w/86676/Radio-KSCR #music onlineradio indiemusic listennow TuneIn RadioKSCR @RadioKSCR",,@RadioKSCR,#music,1238781028740870149,https://twitter.com/RadioKSCR/status/1238781028740870149
2020-03-14 07:07:15,faacrossing,,0,0,0,"takes my Abilify at 3am meaning i’ll stay up probably until 6am",,,,1238723347560751106,https://twitter.com/faacrossing/status/1238723347560751106
2020-03-14 06:31:42,hxneytruce,,0,0,0,"that abilify withdrawal hittin different rn",,,,1238714401848348678,https://twitter.com/hxneytruce/status/1238714401848348678
2020-03-14 02:29:09,yungwitchy,,3,0,7,"got prescribed abilify maybe i’ll be ABLE TO FLY haHahaaha who want me",,,,1238653361144107009,https://twitter.com/yungwitchy/status/1238653361144107009
2020-03-14 00:27:59,windupyotsuyu,,0,0,1,"stan abilify",,,,1238622870231814144,https://twitter.com/windupyotsuyu/status/1238622870231814144
2020-03-14 00:25:40,windupyotsuyu,,0,0,1,"i love posting pics of abilify its so funny just posting cube idk why i just love posting cube",,,,1238622287651319810,https://twitter.com/windupyotsuyu/status/1238622287651319810
