date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:06:18,redpillx2,Tejasmade499,0,0,0,"Yes, it's basically just a cold with a little more fatigue and/or fever accompanying it. It is drastically over-hyped and nothing that rest and a bottle of acetaminophen can't handle.",,,,1239010000208646146,https://twitter.com/redpillx2/status/1239010000208646146
2020-03-15 02:05:21,Bustopher315,InstafluffTV,1,0,1,"This is 'Merica, we call that Tylenol(Acetaminophen).",,,,1239009763456946177,https://twitter.com/Bustopher315/status/1239009763456946177
2020-03-15 02:04:24,Cecile_Lecoq,olivierveran,0,1,1,"Against fever or pain, take paracetamol / acetaminophen, not ibuprofen, since anti-inflammatories could aggravate #COVIDー19 (actually, avoid them at all times — they damage your kidneys).",,,#COVID,1239009521319673857,https://twitter.com/Cecile_Lecoq/status/1239009521319673857
2020-03-15 02:04:23,Autist4Library,Synaesthezia,0,0,0,"This. Former EMT, and that's what I'd do. Ibuprofen is better than acetaminophen for those who can take it for this purpose, but I know a lot of people can't for a lot of reasons. I really miss it myself, but not worth the gastritis flare.",,,,1239009519860092929,https://twitter.com/Autist4Library/status/1239009519860092929
2020-03-15 02:01:48,mig30m6,,0,0,0,"@AmazonHelp why are you selling one of your own brands at this exorbitant price? Basic Care Acetaminophen 650mg Caplets, 500 Count by Basic Care CDN$35.00 (CDN$0.07 / https://www.amazon.ca/dp/B07H18H65K/ref=sspa_dk_hqp_detail_aax_0?psc=1&amp;spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyUzlXOEc1Vk9QWVFIJmVuY3J5cHRlZElkPUEwMjYzMjQ1UEhGRDJUQThPMUomZW5jcnlwdGVkQWRJZD1BMDA5MzA1OVpDTlNPWk1SR0RLTiZ3aWRnZXROYW1lPXNwX2hxcF9zaGFyZWQmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl",,@AmazonHelp,,1239008869441064961,https://twitter.com/mig30m6/status/1239008869441064961
2020-03-15 02:01:21,Fam4Fun,bborrman,0,0,0,"Rest - Rehydrate - Reduce fever/pain/inflammation with ibuprofen or acetaminophen - Reduce/thin chest mucus congestion w/400 mg guaifenesin, Mucinex or Robitussin cough syrup - Replenish w/food as you can eat - more Rest! Call Your Dr or 911 if you get worse. Be Well Brandon ",,,,1239008753313169409,https://twitter.com/Fam4Fun/status/1239008753313169409
2020-03-15 02:00:11,emohilaryduff,,0,0,3,"how much acetaminophen is too much acetaminophen during a pandemic",,,,1239008461418950656,https://twitter.com/emohilaryduff/status/1239008461418950656
2020-03-15 01:56:37,fidelioscabinet,cnkeiper,0,0,1,"Cough medicine. One with an expectorant. A combo of dextromethorphan and guaifenesin is good. Guafenesin is the stuff in Mucinex. It thins out mucus so you can cough it up more easily. Take with water. It will taste terrible. Ibuprofen and/or acetaminophen for fever.",,,,1239007563880042497,https://twitter.com/fidelioscabinet/status/1239007563880042497
2020-03-15 01:56:04,MarionRSeattle,Gunner18Harry,0,0,1,"That’s a relief. I have autoimmune ITP and Tylenol is the only pain reliever my doctor will let me take. I buy the generic at Costco and it’s just acetaminophen.",,,,1239007423416774656,https://twitter.com/MarionRSeattle/status/1239007423416774656
2020-03-15 01:55:28,Azuregris,irenedelse,0,0,0,"For those who don’t know Paracetamol is euro-speak for Acetaminophen (Tylenol). Don’t take Advil/ ibuprofen for cv-19",,,,1239007275961942016,https://twitter.com/Azuregris/status/1239007275961942016
2020-03-15 01:53:39,drjewilliams,,0,0,0,"Keep your immune system healthy. Drink plenty of water. Take vitamin C, zinc, and selenium. Don't take anti-inflammatories like ibuprofen or cortisone. Use acetaminophen or paracetamol to manage fever. I'll write about useful herbs in a separate post.",,,,1239006818506022915,https://twitter.com/drjewilliams/status/1239006818506022915
2020-03-15 01:53:02,KimMaida,MoTypes,0,0,1,"Thanks for the info. I’m allergic to ibuprofen, so I have to take acetaminophen regardless!",,,,1239006661563633664,https://twitter.com/KimMaida/status/1239006661563633664
2020-03-15 01:51:16,SneakySteal5,,0,0,0,"**500-Pack of Acetaminophen for $7** https://amzn.to/2IZEnwV",,,,1239006218104029185,https://twitter.com/SneakySteal5/status/1239006218104029185
2020-03-15 01:51:15,AndreaJRPG,Arisat0s,0,0,1,"Nah, it never worked for me either, but red cross tooth pain kit worked for me. Also, taking both ibuprofen and acetaminophen together helped. Take care.",,,,1239006213196652544,https://twitter.com/AndreaJRPG/status/1239006213196652544
2020-03-15 01:42:44,ifoundmetonight,CrochetRemy,0,0,0,"#coronavirus acetaminophen no ibuprofen TYLENOL, Ofirmev, Mapap, FeverAll, Tylophen, Pharbetol, Tactinal, Mapap Extra Strength, Infant's Pain Relief, Tactinal Extra Strength ",,,#coronavirus,1239004070016212993,https://twitter.com/ifoundmetonight/status/1239004070016212993
2020-03-15 01:42:25,olga_kagan,,1,0,1,"1) Good advice from a nurse on Twitter if you should get the virus (as many of us will): Things you should *actually* buy ahead of time: Kleenex, Acetaminophen (Tylenol) in 325 mg tablets, Ibuprofen (Advil) in 200 mg tablets, Mucinex, Robitussin or DayQuil/NyQuil.",,,,1239003991037673472,https://twitter.com/olga_kagan/status/1239003991037673472
2020-03-15 01:39:20,TheFakestAlfred,caitiko,0,0,0,"yo okay buddy",,,,1239003212838875138,https://twitter.com/TheFakestAlfred/status/1239003212838875138
2020-03-15 01:38:42,Braigwen,TruthEphemeral,0,0,1,"Paracetamol is also Acetaminophen for those of us in the states.",,,,1239003056219607040,https://twitter.com/Braigwen/status/1239003056219607040
2020-03-15 01:37:42,Wholaughin,samira_jeimy,0,0,1,"Don't take NSAIDS, which are an anti-inflammatory medication, for your #coronavirus fever (Ibuprofen/Advil/Motrin/Aleve). Take acetaminophen (Tylenol) instead. #coronavirusupdate #CoronavirusUSA #COVID19 #COVIDー19 #SARSCoV2",,,#coronavirus #coronavirusupdate #CoronavirusUSA #COVID19 #COVID #SARSCoV2,1239002801818275840,https://twitter.com/Wholaughin/status/1239002801818275840
2020-03-15 01:36:39,PragEd,Sarah4Justice,0,0,0,"Ibuprofen is Advil, an NSAID, ..acetaminophen is Tylenol",,,,1239002540605407232,https://twitter.com/PragEd/status/1239002540605407232
2020-03-15 01:34:58,saarahcarter_,,0,0,0,"Was sent this article and thought it was important to share. Paracetamol is another name for acetaminophen. Most people I’m sure have this in their home so take that instead of ibuprofen if you are feeling symptoms! ( https://www.reuters.com/article/us-health-coronavirus-france-drug/france-warns-against-use-of-anti-inflammatory-drugs-to-tackle-coronavirus-idUSKBN2110Q8 )",,,,1239002116477206529,https://twitter.com/saarahcarter_/status/1239002116477206529
2020-03-15 01:34:16,Sarah63601898,,1,0,0,"This led them to a solution: combining dead mice with acetaminophen, or Tylenol, which is very toxic to the snakes but not very toxic to other species. #ees028",,,#ees028,1239001938005504010,https://twitter.com/Sarah63601898/status/1239001938005504010
