date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 05:40:37,YoungAdderall,,0,0,0,"risk it for the biscuit baby ",,,,1239063935027802112,https://twitter.com/YoungAdderall/status/1239063935027802112
2020-03-15 05:39:37,billv408,DonaldJTrumpJr,0,0,0,"The Adderall diluted the result",,,,1239063682434207746,https://twitter.com/billv408/status/1239063682434207746
2020-03-15 05:36:16,NancyStern4,lenalynx,0,0,0,"His breathing sounded like Darth Vader. Hard to tell since he snorts his #Adderall before his speeches and it make him #sniffly. Also he is #obese, #mouthbreather.",,,#Adderall #sniffly #obese #mouthbreather,1239062839316205569,https://twitter.com/NancyStern4/status/1239062839316205569
2020-03-15 05:31:50,nazjeritluna,,0,0,1,"y’all think if i tell my doctor i can’t focus for shit they’ll give me adderall or is it harder than that",,,,1239061723308408833,https://twitter.com/nazjeritluna/status/1239061723308408833
2020-03-15 05:30:55,YoungAdderall,,0,0,0,"Straight up I have manic depression BUT I am able to think rationally. I’m going to enjoy proving it",,,,1239061495784198144,https://twitter.com/YoungAdderall/status/1239061495784198144
2020-03-15 05:30:43,kdc327,ggreenwald,0,0,0,"Yes, I watched. I seriously cannot wait for tmw. They will again pump up Biden on Adderall.. it’s a 2 hour debate... haha...",,,,1239061442902536192,https://twitter.com/kdc327/status/1239061442902536192
2020-03-15 05:29:48,MattyBladeZzZ,mfort_13,1,0,0,"Don’t forget..... to take your adderall prescription and pay your country club fees or remind your mother to do so. Back to your regular scheduled tik tok programming. Lol",,,,1239061214170361856,https://twitter.com/MattyBladeZzZ/status/1239061214170361856
2020-03-15 05:29:32,junsmangos,ChristaFox13,0,0,0,"OMG WHATS YOUR FRIEND CODE",,,,1239061144742047744,https://twitter.com/junsmangos/status/1239061144742047744
2020-03-15 05:28:32,MoeDoneIt,,0,0,0,"When that Clase Azul dick fucked her night up. Now she take adderall just to keep up! #MoeSun",,,#MoeSun,1239060895252217856,https://twitter.com/MoeDoneIt/status/1239060895252217856
2020-03-15 05:27:34,mblvkice,arrviaI,0,0,1,"this is how i took notes in high school when i dipped into my mothers adderall. ",,,,1239060651781378048,https://twitter.com/mblvkice/status/1239060651781378048
