date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-07 18:51:44,sheelgetshyphy,brainMD44,0,0,0,"Adhansia is another one I haven’t used",,,,1236363922309107714,https://twitter.com/sheelgetshyphy/status/1236363922309107714
2020-02-12 01:56:56,MendolaStephen,DinDinLicker,0,0,2,"I’m switching lexipro to trintellix but have to take lexipro and ween off. Also Wellbutrin and adhansia for adhd and another antidepressant. I literally can’t get an erection ir even feel arousal. Which is good for productivity but it’s been like a week &gt;.&gt;. Fuckin ssris",,,,1227411233583902720,https://twitter.com/MendolaStephen/status/1227411233583902720
2020-01-16 17:52:12,PharmacDaily,,0,0,0,"Adlon Therapeutics L.P. and Purdue Pharma L.P. Will Present Data from Adhansia XR™ (methylphenidate HCl) Studies Examining Sleep Quality Outcomes, Functional Outcomes and Executive Functioning at the 2020 APSARD Annual Meeting ",,,,1217867161680609287,https://twitter.com/PharmacDaily/status/1217867161680609287
2020-01-16 13:47:05,Pediatrics_Bio,,0,1,0,"Adlon Therapeutics L.P. and Purdue Pharma L.P. Will Present Data from Adhansia XR methylphenidate HCl Studies Examining Sleep Quality Outcomes Functional Outcomes and Executive Functioning at the 2020 APSARD Annual Meeting: Adlon Therapeutics L.P. and… http://bioportfol.io/RN8mk0",,,,1217805474726215680,https://twitter.com/Pediatrics_Bio/status/1217805474726215680
2020-01-16 13:39:35,FeedHcp,,0,0,0,"Adlon Therapeutics L.P. and Purdue Pharma L.P. Will Present Data from Adhansia XR™ (methylphenidate HCl) Studies Examining Sleep Quality Outcomes, Functional Outcomes and Executive Functioning at the 2020 APSARD Annual Meeting,,https://www.hcpfeed.com/2020/01/16/adlon-therapeutics-l-p-and-purdue-pharma-l-p-will-present-data-from-adhansia-xr-methylphenidate-hcl-studies-examining-sleep-quality-outcomes-functional-outcomes-and-executive-functioning/,",,,,1217803586664529921,https://twitter.com/FeedHcp/status/1217803586664529921
2020-01-02 05:04:37,JasmineAlxndra,antmardibs,0,0,0,"Ha! Ritalin isn't in, anymore. It's all about Adhansia XR now.... Ritalin is so 2010's.",,,,1212600561574404098,https://twitter.com/JasmineAlxndra/status/1212600561574404098
2019-10-03 14:06:43,urbanfatbiker,Talkeetna101,3,1,8,"The Sacklers MedMotive bottles only available for stimulant line of addict prep-school. Advanced polypharmacy coursework only. Like Mama Sackler always says.. 'If our Oxy gots ya on da floor, Adhansia gets ya out da door!' ",,,,1179759690793836545,https://twitter.com/urbanfatbiker/status/1179759690793836545
2019-08-08 15:12:43,mr_kuma1105,,0,0,1,"ADHD Treatment Adhansia XR Now Available ",,,,1159482577318637568,https://twitter.com/mr_kuma1105/status/1159482577318637568
2019-08-06 11:15:06,CHADD_ADHD,,0,0,2,"Adlon Therapeutics announced the launch of Adhansia XR (methylphenidate HCl extended-release capsules) for the treatment of attention deficit hyperactivity disorder (ADHD) in patients aged 6 years and older. http://ow.ly/baS350voGso",,,,1158698003315732481,https://twitter.com/CHADD_ADHD/status/1158698003315732481
2019-08-02 18:10:05,PsychiatryAdv,,0,0,1,"Adlon Therapeutics announced the launch of Adhansia XR for the treatment of #ADHD in patients aged 6 years and older.",,,#ADHD,1157352887808401410,https://twitter.com/PsychiatryAdv/status/1157352887808401410
2019-08-02 01:22:43,drrickbarnett,,0,0,0,"Top Psych Hospitals; Adhansia XR Hits Shelves; Red Wine for Depression? | Medpage Today ",,,,1157099372934549505,https://twitter.com/drrickbarnett/status/1157099372934549505
2019-08-01 10:32:47,MazenSalama,,0,0,0,"Top Psych Hospitals; Adhansia XR Hits Shelves; Red Wine for Depression? - http://tinyurl.com/y2ntt89l",,,,1156875415102771200,https://twitter.com/MazenSalama/status/1156875415102771200
2019-08-01 01:17:47,somsirsa,,0,0,0,"Top Psych Hospitals; Adhansia XR Hits Shelves; Red Wine for Depression? – MedPage Today ",,,,1156735747006828545,https://twitter.com/somsirsa/status/1156735747006828545
2019-07-31 21:02:04,EhteshamCheek,,0,0,0,"Top Psych Hospitals; Adhansia XR Hits Shelves; Red Wine for Depression? #WalesOnline https://sky-news.co.uk/top-psych-hospitals-adhansia-xr-hits-shelves-red-wine-for-depression",,,#WalesOnline,1156671393657950217,https://twitter.com/EhteshamCheek/status/1156671393657950217
2019-07-30 19:22:30,eMPR,,0,0,0,"Adhansia XR is now available in 6 strengths for ADHD treatment https://www.empr.com/home/news/adhd-treatment-adhansia-xr-now-available/",,,,1156283948403703808,https://twitter.com/eMPR/status/1156283948403703808
2019-07-30 12:34:09,NewsFromBW,,0,0,0,"Adhansia XR™ (methylphenidate HCl) Extended Release Capsules CII, New ADHD Treatment from Adlon Therapeutics L.P., Now Available Throughout the U.S. http://dlvr.it/R9LPjp",,,,1156181183123750913,https://twitter.com/NewsFromBW/status/1156181183123750913
2019-07-27 14:55:09,camouflagepug,,1,0,0,"FDA approves Adhansia XR for ADHD (a kickass-ly high dosage, long, longggggg-acting form of a drug that's an awesome and much more bioavailable substance than d,l-phenetylamine sulfate that's been taken and acidified with acetic acid and HCl. Hmmm. ",,,,1155129505327046656,https://twitter.com/camouflagepug/status/1155129505327046656
2019-07-02 23:32:13,Jeholmes,ADDitudeMag,0,0,0,"“Adhansia”; great drug, terrible name.",,,,1146199929171279872,https://twitter.com/Jeholmes/status/1146199929171279872
2019-06-29 18:35:05,NeuroAdvisor,,0,0,0,"Adhansia XR is expected to be available by the end of July 2019 for the treatment of #ADHD in patients 6 years of age and older.",,,#ADHD,1145037992043712512,https://twitter.com/NeuroAdvisor/status/1145037992043712512
2019-06-29 00:30:01,StelioCryptos,,1,0,0,"Not only do they make one of the most deadly/addictive narcotics (#OxyContin) they are ALSO pushing the highest dose ADHD stimulant ever approved by the FDA (Adhansia XR, which is Ritalin on steroids), through a subsidiary #Adlon. #Sacklers #PurduePharma",,,#OxyContin #Adlon #Sacklers #PurduePharma,1144764924515770368,https://twitter.com/StelioCryptos/status/1144764924515770368
2019-06-27 23:10:31,ProfAmyE,,0,0,0,"Adhansia XR Soon to Be Available for ADHD ",,,,1144382530994495489,https://twitter.com/ProfAmyE/status/1144382530994495489
