date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 22:26:49,neizaxelvira,,0,0,0,"need alprazolam ",,,,1238954764857114624,https://twitter.com/neizaxelvira/status/1238954764857114624
2020-03-14 21:44:32,infusionlenta,ilovestxries,1,0,1,"AAAA BESTIES",,,,1238944126986530816,https://twitter.com/infusionlenta/status/1238944126986530816
2020-03-14 21:22:01,ElPolloDiabloX,,0,0,0,"Ok, so .5mg of alprazolam with 10mg of zolpidem was a bit much. We'll scale that back to .25 tonight and see if that works better. I was still waking up every 2 hours or so from the pain in my joints, but I'm so drowsy still. Gotta be a balance in there.",,,,1238938458694897664,https://twitter.com/ElPolloDiabloX/status/1238938458694897664
2020-03-14 18:33:00,Transferunavail,,0,0,0,"Basically to sum up the finale of 2k19 season 1, Winston gets lost in the internet. Begins to self medicate with alprazolam and high quality cocaine. When the high wears off so does Winston's happiness that he used to bear",,,,1238895922622410752,https://twitter.com/Transferunavail/status/1238895922622410752
2020-03-14 16:34:00,neurology_live,,0,0,0,".@EngageEpilepsy has announced that its investigational abortive #seizure treatment Staccato #alprazolam has met its primary end point in the phase 2 StATES study. ",,@EngageEpilepsy,#seizure #alprazolam,1238865975534964737,https://twitter.com/neurology_live/status/1238865975534964737
2020-03-14 16:01:04,infusionlenta,,0,0,0,"Always stan Kelly Marie Tran",,,,1238857690467708928,https://twitter.com/infusionlenta/status/1238857690467708928
2020-03-14 15:38:22,Carapuce__,tigui224_,1,0,2,"I like valium, xanax, alprazolam, redomex......... ",,,,1238851974189273091,https://twitter.com/Carapuce__/status/1238851974189273091
2020-03-14 15:28:31,Eric_Clarkson,thistlewind,1,0,1,"Same. It’s odd that I haven’t spiked (yet) either. I haven’t used any Alprazolam yet. I think it’s a combination of working and prepping. I’ve also connected more with my wife talking through this and keeping level for my kids. Twitter has been a release as well. Stay safe ",,,,1238849498958487554,https://twitter.com/Eric_Clarkson/status/1238849498958487554
2020-03-14 14:49:28,bintangjuliana,,0,0,0,"Dear alprazolam, it's nice to see you again, be nice please! Teler mulu minum ini..",,,,1238839670881968130,https://twitter.com/bintangjuliana/status/1238839670881968130
2020-03-14 14:04:53,infusionlenta,,1,1,3,"#thankyourianjohnson for gifting us with a masterpiece like The Last Jedi, understanding a female character like Rey and encouraging us to pursuit our dreams, no matter what our origins are, or bloodline. A nobody can achieve greatness.",,,#thankyourianjohnson,1238828449437036554,https://twitter.com/infusionlenta/status/1238828449437036554
2020-03-14 13:54:44,infusionlenta,xoxoreyloxoxo,0,0,1,"Lmaooooo pay me Rian",,,,1238825895718158342,https://twitter.com/infusionlenta/status/1238825895718158342
2020-03-14 13:30:24,Bogsquared,sizzumnicole,0,0,0,"GHORRLLL!! HAHAHAHAHAHAA FUCKIN TRUEE!",,,,1238819770151010304,https://twitter.com/Bogsquared/status/1238819770151010304
2020-03-14 12:56:31,Papapsych1,mooncult,1,0,5,"I got some SRI's I could flush down the toilet, but I'm not parting with my adderall, and alprazolam. I'm an adult and these are the kinds of things a nurse practitioner will let you have.",,,,1238811246134267904,https://twitter.com/Papapsych1/status/1238811246134267904
2020-03-14 12:37:43,alprazolam1616,,0,0,0,"Yeah",,,,1238806515965767681,https://twitter.com/alprazolam1616/status/1238806515965767681
2020-03-14 11:41:43,AlprazolamR6,ZinHimseIf,0,0,2,"australia too?",,,,1238792420084477952,https://twitter.com/AlprazolamR6/status/1238792420084477952
2020-03-14 11:07:11,so0rajDukhi,Itsyourkhaleesi,0,0,1,"I'm at home for 14 days and seriously my family totally done with me,I have high pitch voice(nobody realise before) so whnever I talk everyone gonna made at me that why you're shouting all the time and thats why I just wanna go back to uni ",,,,1238783729016942593,https://twitter.com/so0rajDukhi/status/1238783729016942593
2020-03-14 10:32:32,AlprazolamR6,,0,0,0,"new siege update getting me hype af. cant wait to play it when i get my pc",,,,1238775011927678976,https://twitter.com/AlprazolamR6/status/1238775011927678976
2020-03-14 10:13:23,daboldestsinner,,0,0,0,"I am running on 2mg of alprazolam and 32 Oz of chamomile tea. I am still wide awake. ",,,,1238770191779102720,https://twitter.com/daboldestsinner/status/1238770191779102720
2020-03-14 09:27:21,footawba,,0,0,0,"Today’s on It’s Alive Brad learns how to press an Alprazolam bar",,,,1238758606381535232,https://twitter.com/footawba/status/1238758606381535232
2020-03-14 03:58:46,jonathangraf,kristenhowerton,0,0,0,"That partner did me harm. He took away my short-term memory and made me cray cray. Now his cousin, Alprazolam, she has gotten me through the tough times.",,,,1238675917292982272,https://twitter.com/jonathangraf/status/1238675917292982272
2020-03-14 02:31:27,infusionlenta,nerdalicos,0,0,0,"Sith Empress Rey >>>>>>>>>>>>>>> that tros rey/luke 2.0 that looks like Rey but it ain't her",,,,1238653941883248640,https://twitter.com/infusionlenta/status/1238653941883248640
2020-03-14 02:10:54,fvcknbill,corsolino,2,0,0,"only fuck with 1s ans 11s",,,,1238648768871854080,https://twitter.com/fvcknbill/status/1238648768871854080
2020-03-14 02:07:18,fvcknbill,corsolino,1,0,0," no go",,,,1238647862570831874,https://twitter.com/fvcknbill/status/1238647862570831874
2020-03-14 00:16:50,ademska1,,0,0,2,"felt really cold, freaked out a lil bit about how cold i felt, took my temp, it's 97.1 you dipshit of course you're cold in case anyone was wondering about the alprazolam bottle",,,,1238620066133966853,https://twitter.com/ademska1/status/1238620066133966853
2020-03-13 23:52:43,shannonachungg,,0,0,1,"found some old alprazolam .... might fuck around and mix it with a little rum. I’ll be sleeping like a baby tonight!!!!",,,,1238613994908405763,https://twitter.com/shannonachungg/status/1238613994908405763
2020-03-13 23:24:34,chicha33_,,0,0,0,"alprazolam my forgotten friend",,,,1238606911559348224,https://twitter.com/chicha33_/status/1238606911559348224
2020-03-13 23:06:20,shitbagsin,YouGotSoldKaro,0,0,1,"niggas be saying “100% real pressed alprazolam ” ",,,,1238602323040956417,https://twitter.com/shitbagsin/status/1238602323040956417
2020-03-13 22:24:43,infusionlenta,dontexpose22,0,0,0,"always for u hun",,,,1238591849700438016,https://twitter.com/infusionlenta/status/1238591849700438016
2020-03-13 21:35:28,creepain,creepain,0,0,0,"Probably when I get Coronavirus and I NEED people to know my pussy tastes like Pepsi cola.",,,,1238579455792201729,https://twitter.com/creepain/status/1238579455792201729
2020-03-13 21:34:54,creepain,creepain,0,0,1,"Why am I saving it for?",,,,1238579313055858688,https://twitter.com/creepain/status/1238579313055858688
2020-03-13 21:34:20,creepain,,0,0,1,"I seriously haven't opened my vinyl copy of Paradise by Lana Del Rey? What kind of gay am I?",,,,1238579172093689857,https://twitter.com/creepain/status/1238579172093689857
