date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-04 01:06:32,maryisfabulous_,,1,0,0,"They also suggested Quillichew XR, Aptensio XR, and even Vyvanse. Like, what do you have against Ritalin LA, to deny a PA and suggest short acting Ritalin??? ",,,,1235008693214810112,https://twitter.com/maryisfabulous_/status/1235008693214810112
2020-02-06 22:59:04,nerdy4brainz,nerdy4brainz,1,0,0,"There's other stimulants you might try. I feel like I experience fewer side effects/generally feel better on the methylphenidate drugs (concerta, focalin, aptensio) than I did on the amphetamine drugs (adderall, vyvanse).",,,,1225554528935841797,https://twitter.com/nerdy4brainz/status/1225554528935841797
2020-02-05 23:42:39,kah8i,tzuyist,0,0,1,"aptensio!! it's the same thing as concerto but different brands or whatever",,,,1225203109284188160,https://twitter.com/kah8i/status/1225203109284188160
2020-01-12 05:38:43,lura12ab,dawso007,1,0,0,"I hear frequently that some patients have great results 120-140mg (strattera). I believe there is a patented medication in the US which seems very similar to Biphentin. Aptensio XR. I Have not heard much about it myself ",,,,1216233022065971200,https://twitter.com/lura12ab/status/1216233022065971200
2019-10-30 14:17:45,NM831,bkiefer68,1,0,2,"Had the same shit happen with Aptensio - MD kept changing doses for the patient. What a waste!",,,,1189546940402262018,https://twitter.com/NM831/status/1189546940402262018
2019-10-20 18:48:19,C_M_Hoffman,C_M_Hoffman,0,0,0,"Most get either Amphetamine-based (Adzenys, Dexedrine, Dyanavel, Evekeo, ProCentra, VYVANSE, Zenzedi) OR Methylphenidate-based (Aptensio, CONCERTA, Cotempla, Daytrana, Metadate, Methylin, QuilliChew, Quillivant, Ritalin) The ones in all caps I know friends have used effectively.",,,,1185991151746203658,https://twitter.com/C_M_Hoffman/status/1185991151746203658
2019-08-28 15:40:29,ivyhurdles,laurenneum,0,0,0,"I use aptensio! Its the only one I’ve found that works for 12 hours like advertised",,,,1166737321594671110,https://twitter.com/ivyhurdles/status/1166737321594671110
2019-08-03 20:04:49,JerseyGirlsOne,pickerbubba,0,0,2,"You don’t know how right you are...one of the biggest threats 2 this country is the prevalence of Ritalin type drugs Daytrana, Quillivant XR, Aptensio XR, Metadate ER, QuilliChew ER, Cotempla XR-ODT, Concerta, Methylin and SSRI’s like Prozac, etc.",,,,1157744150055284736,https://twitter.com/JerseyGirlsOne/status/1157744150055284736
2019-06-25 00:30:18,LS_Medical,,0,0,0,"Missed Them? US Food and Drug Administration drug updates, changes and approvals as of Monday, June 18, 2019: #Aptensio XR [NDA #205831], #Keytruda [BLA #125514], #Lotrisone [NDA #018827] and others: http://ht.ly/qWfe308tGbw",,,#Aptensio #Keytruda #Lotrisone,1143315445023498251,https://twitter.com/LS_Medical/status/1143315445023498251
2019-06-17 23:00:14,LS_Medical,,0,0,0,"Regulatory News: US Food & Drug Administration drug approvals, updates and changes as of Monday, June 17: #Aptensio XR [NDA #205831], #Keytruda [BLA #125514], #Lotrisone [NDA #018827] and others. #FDA: http://ht.ly/PyIl308vvR2",,,#Aptensio #Keytruda #Lotrisone #FDA,1140756064847224834,https://twitter.com/LS_Medical/status/1140756064847224834
2019-06-13 00:21:38,VainandAble,NotoriousGRC,0,0,0,"also Mydayis, though insurance might not cover it bc it’s new. see also Focalin and Aptensio. also all amphetamines",,,,1138964610525073408,https://twitter.com/VainandAble/status/1138964610525073408
2019-05-23 05:20:43,MAhealthforkids,mollymydear1111,0,0,0,"Hey thanks, you found it. I’d seen it once. Never got that food and drink after all. Don’t take $... it’s bad karma from pharma. But I’m too busy to figure out how to fight the mistaken reporting. Oh, and I’ve never prescribed aptensio anyway. Not on MA Medicaid formulary.",,,,1131429732518715392,https://twitter.com/MAhealthforkids/status/1131429732518715392
2019-05-23 02:08:51,mollymydear1111,MAhealthforkids,1,0,0,"It was for $45 dollars / food and beverages drug was APTENSIO XR (Ritalin)",,,,1131381445677789185,https://twitter.com/mollymydear1111/status/1131381445677789185
2019-05-20 23:54:42,LaChategris,Mar_E_,3,0,2,"I'm on aptensio and it's working pretty well for now. I found that you can't use the generics, which sucks....",,,,1130622909955825665,https://twitter.com/LaChategris/status/1130622909955825665
2019-04-02 03:28:25,adhdmomma,,0,0,0,"Question from a Mom about medication: ""My son has been on Aptensio 20mg for 1 1/2 years... when we were first trying to find the right dosage, we started at 30 mg. Oddly, this dosage made him... https://www.facebook.com/permalink.php?story_fbid=10156843256716368&amp;id=332564961367",,,,1112919687476776960,https://twitter.com/adhdmomma/status/1112919687476776960
2019-03-30 00:43:00,DrugPatentWatch,,0,0,0,"New patent for Rhodes Pharms drug APTENSIO XR &gt;&gt; Drug price trends: ",,,,1111790897052741632,https://twitter.com/DrugPatentWatch/status/1111790897052741632
2019-03-29 01:27:30,DrugPatentWatch,,0,0,0,"New #patent for #Rhodes Pharms drug APTENSIO XR https://rxjam.com/s/gc &gt;&gt; Drug price trends: https://rxjam.com/s/ge &gt;&gt; Drug patent litigation: https://rxjam.com/s/gf via @DrugPatentWatch #pharma",,@DrugPatentWatch,#patent #Rhodes #pharma,1111439705571102723,https://twitter.com/DrugPatentWatch/status/1111439705571102723
2019-03-28 02:36:32,PharmacyBio,,0,1,0,"New patent for Rhodes Pharms drug APTENSIO XR: Annual Drug Patent Expirations for APTENSIOXR Aptensio Xr is a drug marketed by Rhodes Pharms and is included in one NDA. It is available from one supplier. There are eightThe post New patent for… http://bioportfol.io/R1hPst #pharmacy",,,#pharmacy,1111094692932784130,https://twitter.com/PharmacyBio/status/1111094692932784130
2019-03-28 00:31:05,BioCalifornia,,0,0,0,"New patent for Rhodes Pharms drug APTENSIO XR http://dlvr.it/R1h9LJ",,,,1111063120816922624,https://twitter.com/BioCalifornia/status/1111063120816922624
2019-03-28 00:10:25,DrugPatentWatch,,0,0,0,"New patent for Rhodes Pharms drug APTENSIO XR https://www.drugpatentwatch.com/blog/new-patent-for-rhodes-pharms-drug-aptensio-xr/",,,,1111057920966488065,https://twitter.com/DrugPatentWatch/status/1111057920966488065
2018-09-18 21:17:57,_beccanm,,0,0,2,"Had half of a java chip frappucino and 10 mg of aptensio today. Meal prepping has never been easier ",,,,1042160823995707392,https://twitter.com/_beccanm/status/1042160823995707392
