date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:06:49,InstafluffTV,Bustopher315,0,0,0,"And Advil, Motrin, Aleve, Aspirin... ",,,,1239010132471627777,https://twitter.com/InstafluffTV/status/1239010132471627777
2020-03-15 02:05:34,Cryptallica_,,0,0,0,"No milk, allergy medicine or aspirin experiment continues. It’s been over 2 months and I’m doing fine. * caveat: I have had ice cream and cheese",,,,1239009815696990210,https://twitter.com/Cryptallica_/status/1239009815696990210
2020-03-15 02:04:55,00r8r,Breaking911,0,0,0,"So what... take NyQuil 2 aspirin n drink 7 up n get rest. Wow",,,,1239009653087809536,https://twitter.com/00r8r/status/1239009653087809536
2020-03-15 02:01:38,RadicalSister15,philf89,0,0,0,"Aspirin can treat fever, but you'd need to check with your doctor",,,,1239008827229569024,https://twitter.com/RadicalSister15/status/1239008827229569024
2020-03-15 02:00:21,OCPhA_CA,,0,0,0,"Heart association puts halt to Bayer's giant displays of baby aspirin https://buff.ly/2IRo58V #pharmacists #pharmacy #health #healthcare",,,#pharmacists #pharmacy #health #healthcare,1239008504968609793,https://twitter.com/OCPhA_CA/status/1239008504968609793
2020-03-15 01:58:06,ttowngourmet,gtbynum,0,0,0,"Thank you, great observation, we don’t want virus propagation, we need virus control and containment . Take 2 aspirin and call me in the morning. ",,,,1239007937407987712,https://twitter.com/ttowngourmet/status/1239007937407987712
2020-03-15 01:54:33,Scrambu11,samira_jeimy,0,0,0,"In the Spanish Flu many deaths were from Reyes Syndrome due to the aspirin given for fever",,,,1239007044620955648,https://twitter.com/Scrambu11/status/1239007044620955648
2020-03-15 01:53:01,ttowngourmet,MeemieScreaming,0,0,0,"Take 2 aspirin 2 tacos maybe a burrito and call me in the morning for the next dose. ",,,,1239006656735952896,https://twitter.com/ttowngourmet/status/1239006656735952896
2020-03-15 01:47:19,ProfPeteSmith,lee_jasonk,0,0,0,"Avoid cough medicines with NSAIDS as well as aspirin. Bigger than NSAIDs. Some frontline doctors reporting oral steroids do dot help ... possible hyperglycaemia increasing ACE2R (coronavirus binding site). ",,,,1239005223646973952,https://twitter.com/ProfPeteSmith/status/1239005223646973952
2020-03-15 01:46:08,bongotrousers,janeclarejones,0,0,0,"The human race has no idea what it's doing and has no idea what aspirin, paracetamol and anti-inflammatory drugs treat any more. I guess luckily the statutory limit on the number of packs shoppers can buy (UK) is a good thing. ",,,,1239004925268561922,https://twitter.com/bongotrousers/status/1239004925268561922
2020-03-15 01:45:37,prpnews,,0,0,0,"http://tinyurl.com/whtkanr News digest microbial signatures, aspirin and liver cancer, vaping and coronavirus",,,,1239004795572293633,https://twitter.com/prpnews/status/1239004795572293633
2020-03-15 01:44:18,Malifashion,ozcrimenews,0,0,0,"The problem is xenophobic not dirty farang. Clean up your own back yard 1st. This public health system official that categorizes baby aspirin as controled sustance when it could save 1000’s of rural elderly from stroke. Thai are respected in my country.",,,,1239004463009939458,https://twitter.com/Malifashion/status/1239004463009939458
2020-03-15 01:42:56,Omars_Words,ThinSkinFatDude,1,0,0,"Well, by that reckoning, why leave it to him to do the price gouging? Walgreens should make a single bottle of Nyquil cost $80. Need an aspirin? $5 for a pill. Need Pedialyte? I see the watch you're wearing. You can't afford Pedialyte. Some fucking world that is.",,,,1239004120876486656,https://twitter.com/Omars_Words/status/1239004120876486656
2020-03-15 01:40:47,UScopus,samira_jeimy,1,0,0,"Please teanslate for us noobs. What are these medications - I do know what aspirin is - but NSAIDS? Are you saying take no treatment?",,,,1239003579484114951,https://twitter.com/UScopus/status/1239003579484114951
2020-03-15 01:40:10,lotusthe2nd,CDRosa,0,0,0,"Damnit. I just bought ibuprofen today bc I read an article interviewing doctors saying to take that instead of aspirin. Some of us can't afford 3 different types of medication. Not mad at you or the french health minister, just frustrated a little.",,,,1239003424412307459,https://twitter.com/lotusthe2nd/status/1239003424412307459
2020-03-15 01:39:43,olivebrosPcast,generalslug,0,0,0,"That’s what most people don’t think through, free or affordable doesn’t mean quality. I’m part of the VA healthcare system (government ran under Dems and Reps), I’ve had more complications with my health do to mistreatment of injuries than if I just took aspirin, rest and ice",,,,1239003312755740672,https://twitter.com/olivebrosPcast/status/1239003312755740672
2020-03-15 01:35:42,cmqsf,,1,0,0,"Tip from my aunt who is a doctor: preliminary research in France suggests that aspirin and ibuprofen worsen the symptoms of coronavirus. Maybe avoid it for now",,,,1239002297918726145,https://twitter.com/cmqsf/status/1239002297918726145
2020-03-15 01:34:10,elzieim29,2_breana,0,0,0,"You're much too beautiful to get a headache (I forbid it), take two aspirin and call me in the morning. ",,,,1239001912004968450,https://twitter.com/elzieim29/status/1239001912004968450
2020-03-15 01:33:55,UVI93662958,ChristineEasda1,0,0,0,"DON'T TAKE ASPIRIN PARACETAMOL etc. SWEAT it out. Drink honey with lemon warm / lemon in water cold. If high temp 4 2long, sponge or flannel with tepid water. Feed a cold, starve a fever. Garlicy chicken curry or soup, use the bones 4 stock. Yarrow/ elder flower or berry Tea",,,,1239001852412379142,https://twitter.com/UVI93662958/status/1239001852412379142
2020-03-15 01:33:29,joshualeeronin,aspirin_author,0,0,0,"Lol! A dramatic turn for a dramatic turn. I love it. And I love when writing surprises the writer!",,,,1239001740999098368,https://twitter.com/joshualeeronin/status/1239001740999098368
2020-03-15 01:33:21,no1_toy,GJuliagoode,1,0,0,"For the last three weeks my regular weekly order of a certain essential medication has failed to be delivered by my usual delivery supermarket (Ocado). I have searched online and I cannot find ANY STORE with a stock of Dispersible Aspirin. If you know of one, please TELL ME!",,,,1239001707994058753,https://twitter.com/no1_toy/status/1239001707994058753
2020-03-15 01:32:34,aspirin_author,joshualeeronin,1,0,1,"Yes!! Almost exactly like that. But more like that’s me, reacting to the dramatic turn lol",,,,1239001513374158851,https://twitter.com/aspirin_author/status/1239001513374158851
2020-03-15 01:30:24,PaulQuanstrom,carne_sean,0,0,0,"Not a doc but brufen is an anti inflammatory not an antipyretic. I think aspirin is the weapon of choice?",,,,1239000966843768832,https://twitter.com/PaulQuanstrom/status/1239000966843768832
2020-03-15 01:30:05,beanieville,BioBreakout,0,0,0,"Do you think Italian docs may be giving out too much aspirin to patients? Could why death rate so high, right? ",,,,1239000884647874560,https://twitter.com/beanieville/status/1239000884647874560
2020-03-15 01:29:57,amazinisbrooke1,courttnichole__,1,0,1,"I had my first @36 weeks too! And yeah I was on a baby aspirin the second time around and I got put on bp meds when I was about 15 weeks. My bp always ran 140s/90s even on meds. I made it to 37 weeks",,,,1239000851328442370,https://twitter.com/amazinisbrooke1/status/1239000851328442370
2020-03-15 01:29:50,Malifashion,,0,0,0,"The problem is not dirty Farang but xenophobia. A health system that categorizes baby aspirin as controled substance when it could save lives of many rural elderly from stroke.",,,,1239000823671054336,https://twitter.com/Malifashion/status/1239000823671054336
2020-03-15 01:29:31,joshualeeronin,aspirin_author,1,0,2,"Like... THIS?!",,,,1239000744134692865,https://twitter.com/joshualeeronin/status/1239000744134692865
2020-03-15 01:28:47,courttnichole__,amazinisbrooke1,2,0,1,"Mine also did I had her at 36 weeks 2 days because of preeclampsia did they put you on 80MG baby aspirin to prevent preeclampsia for the 2nd? I’m on that also this time",,,,1239000561283936256,https://twitter.com/courttnichole__/status/1239000561283936256
2020-03-15 01:28:46,neonne,,5,0,15,"hey guys, as you're ̶h̶o̶a̶r̶d̶i̶n̶g̶ stocking up, don't forget pet food, cat litter, etc AND motrin/tylenol/aspirin and basic first aid supplies you don't want to go to an ER/urgent care unless absolutely necessary",,,,1239000555403595777,https://twitter.com/neonne/status/1239000555403595777
2020-03-15 01:27:52,LaconicIcon,,0,0,0,"I’ve gone to multiple stores and saw no paper goods but the aspirin and soap aisles stocked to the brim.",,,,1239000327132717056,https://twitter.com/LaconicIcon/status/1239000327132717056
2020-03-15 01:27:38,HamanClara,waltshaub,0,0,0,"And they should be at the end of the line, given what they’ve done and what they’ve let trump do to this country! @GOPChairwoman I’m sure it’s just the flu, take an aspirin and call the doctor in the morning. Wasn’t it you calling it a hoax and the Dems were just using it!",,@GOPChairwoman,,1239000270106812417,https://twitter.com/HamanClara/status/1239000270106812417
2020-03-15 01:26:37,macphisto96,flyhalf18,0,0,1,"Acetaminophen is not an anti-inflammatory. It is a pain reliever and fever reducer. Aspirin, Ibuprofen, and Naproxen are all NSAIDs, but Tylenol is not. Your comment is wrong and needs to be corrected.",,,,1239000012895457282,https://twitter.com/macphisto96/status/1239000012895457282
2020-03-15 01:26:09,beanieville,TruBluMarin,0,0,0,"Maybe don't give people aspirin. https://www.nytimes.com/2009/10/13/health/13aspirin.html",,,,1238999895798771712,https://twitter.com/beanieville/status/1238999895798771712
2020-03-15 01:24:47,FinzZombie,,1,0,0,"@Eric_Edholm is it ok to take a baby aspirin everyday?",,@Eric_Edholm,,1238999553015189511,https://twitter.com/FinzZombie/status/1238999553015189511
2020-03-15 01:23:49,RedHeadedKane,,1,0,1,"Kate gave @SpiderBeat a cup of water and some aspirin. ""This should help your head.""",,@SpiderBeat,,1238999311050051586,https://twitter.com/RedHeadedKane/status/1238999311050051586
2020-03-15 01:20:29,aspirin_author,,1,0,2,"My WIP just took a dramatic turn and I am HERE FOR IT",,,,1238998470301749248,https://twitter.com/aspirin_author/status/1238998470301749248
2020-03-15 01:19:33,cjmarley,cjmarley,0,0,0,"Maybe consider getting some doggie aspirin. They have it at some pet stores.",,,,1238998235995308033,https://twitter.com/cjmarley/status/1238998235995308033
2020-03-15 01:19:15,LARRYBIGGS19,Dvscott81Scott,1,0,0,"ONLY AN IDIOT WOULD SAY THIS... AS IF YOU CAN STOP ANY DISEASES FROM SPREADING THE FIRST FEW MONTHS... LATER - YES... WHEN STUDIES ARE DONE AND VACCINES ARE MADE... TYPICAL LIBTARD- GIVE ME THE ASPIRIN NOW!!!! ",,,,1238998161177202688,https://twitter.com/LARRYBIGGS19/status/1238998161177202688
2020-03-15 01:17:54,nlclarke1112,maej43,0,0,0,"Whatever you do, don't take aspirin, stick to tylenol",,,,1238997821375856642,https://twitter.com/nlclarke1112/status/1238997821375856642
2020-03-15 01:17:29,flyingpeapod,Western2A,1,1,14,"I’ve never been shy to drink hot tea/lemon/honey with bourbon, take an aspirin, go to bed early when I feel viral or flu-like. Nothing like restorative sleep. Potus boasts not much sleep needed. Prayers for our President. Stay safe and healthy, but get some shut eye.",,,,1238997717310943239,https://twitter.com/flyingpeapod/status/1238997717310943239
2020-03-15 01:16:21,shannonjoy26,,0,0,0,"just sitting here thinking about going back to work tomorrow and that if i do get it, i don’t have anything but aspirin at home because all medicine was completely gone on Friday.",,,,1238997428759642112,https://twitter.com/shannonjoy26/status/1238997428759642112
2020-03-15 01:14:32,DrNRedmond,CchristmColleen,1,0,2,"I know fixed dose combos help with adherence...maybe they meant to add aspirin as a CVD prevention regimen? Because quick lit search confirms COX2 inhibitors increases risk. Is there some literature I’m missing?",,,,1238996971995750400,https://twitter.com/DrNRedmond/status/1238996971995750400
2020-03-15 01:13:08,LenNicholson,bealelab,1,0,0,"Just looked at the aspirin I've got in the cupboard. 300mg a pop. You'd advise against?",,,,1238996620617887744,https://twitter.com/LenNicholson/status/1238996620617887744
2020-03-15 01:11:38,farfnme,farrarpjoy,0,0,0,"Take 2 aspirin,if you can find any, and call the Dr in the morning",,,,1238996243323523072,https://twitter.com/farfnme/status/1238996243323523072
2020-03-15 01:10:13,Big_Black_Coq,samira_jeimy,0,0,0,"2) This is not new or ""novel"" with COVID: ""This is hardly a surprise for doctors: widely used in self-medication, NSAIDs * (aspirin, ibuprofen, ketoprofen, diclofenac, etc.) have already been the subject of alerts from health authorities. "" ",,,,1238995888443478018,https://twitter.com/Big_Black_Coq/status/1238995888443478018
2020-03-15 01:08:23,nicisadinosaur,a_rxsnbrg,0,0,0,"My dad can only take paracetamol because he's allergic to aspirin &amp; ibuprofen. He suffers with CRPS and needs paracetamol as well as his other meds to manage the pain and people panic buying it puts him at risk. I'm sick of all this selfish crazy behaviour.",,,,1238995425018941445,https://twitter.com/nicisadinosaur/status/1238995425018941445
2020-03-15 01:05:45,Charliehawco,DaveyBlahBlah,1,0,0,"Yeah Why do Americans' insist on taking aspirin?",,,,1238994764223086596,https://twitter.com/Charliehawco/status/1238994764223086596
2020-03-15 01:05:10,neoqueene,,1,0,1,"Took two aspirin, headache still here but now I feel like someone stabbed me in the stomach!!!!!",,,,1238994614239080449,https://twitter.com/neoqueene/status/1238994614239080449
2020-03-15 01:04:56,elle_radon,centerf1re,0,0,1,"Had so much Baby aspirin as a kid ... just lucky to get away unscathed, I guess!",,,,1238994558110720000,https://twitter.com/elle_radon/status/1238994558110720000
2020-03-15 01:03:56,caitlinocean,,1,0,0,"I saw a man yesterday buying nothing but 2 packets of aspirin, a box of multivitamins and 10 garlic bulbs.",,,,1238994307316580353,https://twitter.com/caitlinocean/status/1238994307316580353
2020-03-15 01:03:49,1blondetigress,J_Ladarc,0,0,1,"I once made aspirin in organic chem.. many years ago",,,,1238994277453135872,https://twitter.com/1blondetigress/status/1238994277453135872
2020-03-15 01:03:15,RichRrefner,SenBobCasey,0,0,0,"AR-15 way more important than a test for which there’s no medication to take anyway. Just take some aspirin",,,,1238994135102652417,https://twitter.com/RichRrefner/status/1238994135102652417
2020-03-15 01:03:12,amaryllisalpha,irenedelse,1,0,2,"Ibuprofen, like aspirin, has active anti inflammatory properties. If you get an infection you do not want to suppress your inflammatory response as it is your body’s first line if defence. Paracetamol dies not share these anti inflammatory properties.",,,,1238994120405901312,https://twitter.com/amaryllisalpha/status/1238994120405901312
2020-03-15 01:01:53,DaveyBlahBlah,carne_sean,1,0,0,"You shouldn't take it if you have asthma or take certain medications, usually the same rules for aspirin. But check with your pharmacist.",,,,1238993790330961921,https://twitter.com/DaveyBlahBlah/status/1238993790330961921
2020-03-15 01:01:51,J_Ladarc,,2,0,7,"Not sure how many of you know this, but you can make your own pretty effective spot treatment paste by grinding aspirin and adding a few drops of water. ",,,,1238993779643887617,https://twitter.com/J_Ladarc/status/1238993779643887617
2020-03-15 00:58:43,Sarah4Justice,,3,11,16,"IMPORTANT: DON’T TAKE ASPIRIN, ETC IF YOU HAVE #CORONAVIRUS. In Germany &amp; France, ICU docs noticed that the common thread amongst young patients needing #COVIDー19 related ICU admission is that they had been using NSAIDS (Advil, Motrin, Aleve, Aspirin). ",,,#CORONAVIRUS #COVID,1238992992222019585,https://twitter.com/Sarah4Justice/status/1238992992222019585
2020-03-15 00:55:14,BottomTweeter,adamhousley,0,0,0,"""costs more"" than $10 an aspirin at the hospital",,,,1238992116065452033,https://twitter.com/BottomTweeter/status/1238992116065452033
