date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 01:59:42,RobinDeBates1,,0,0,0,"Crowd sourcing any resources for standing order #buprenorphine starts-not home induction but actual rx sans medical provider-so we have a viable alternative to saying “no new #MAT starts during #corona virus”. I only need ONE example from somewhere else to push the envelope here.",,,#buprenorphine #MAT #corona,1239008341126533121,https://twitter.com/RobinDeBates1/status/1239008341126533121
2020-03-15 01:42:07,tdbrothers,BridgeToTx,0,2,6,"California Bridge program webinar on opioid agonist therapy & COVID-19 March 16 @noon Pacific time -Key steps to keep patients safe -Why PWUD face increased risk from COVID-19 -Caring for people on buprenorphine or methadone who are in quarantine/isolation or high risk ",,,,1239003913841491968,https://twitter.com/tdbrothers/status/1239003913841491968
2020-03-15 00:36:39,djdaizee,,0,0,0,"@TNDeptofHealth @GovBillLee - we need something like this. State Methadone and Buprenorphine patients are concerned! Good job @OHdeptofhealth! https://www.samhsa.gov/sites/default/files/sample-otp-covid-19-faqs.pdf",,@TNDeptofHealth @GovBillLee @OHdeptofhealth,,1238987438158159874,https://twitter.com/djdaizee/status/1238987438158159874
2020-03-14 23:32:46,uzernameuzer,,0,0,0,"@drJoshS Public health policy officer here - any thoughts on how governments can help patients on opioid treatment (methadone/buprenorphine) through COVID-19?",,@drJoshS,,1238971361940262912,https://twitter.com/uzernameuzer/status/1238971361940262912
2020-03-14 22:21:33,kaake_rn,BishopBob747,0,0,3,"PROP is now pushing opioids for pain and addiction-Buprenorphine is an opioid. I hear it’s harder to come off of than any other ",,,,1238953440757366784,https://twitter.com/kaake_rn/status/1238953440757366784
2020-03-14 21:16:56,cindyPharMPH,,0,0,1,"Transitioning from Methadone to Buprenorphine requires microdosing in extended intervals due to methadone’s fat solubility and storage in numerous areas of body tissue. So even though it’s half life is 8 to 49 hours, it’s actually days to weeks for patients with chronic use!",,,,1238937179293794304,https://twitter.com/cindyPharMPH/status/1238937179293794304
2020-03-14 19:34:40,drfatmacan,naloxoneguru,0,0,0,"By learned something if you mean i stopped giving 30 day supplies of buprenorphine to other patients then know. Its commonplace to do so ....",,,,1238911441861820423,https://twitter.com/drfatmacan/status/1238911441861820423
2020-03-14 17:30:59,drdrtsai,JessicaTaylorMD,0,0,5,"Low barrier buprenorphine at @The_BMC ",,@The_BMC,,1238880316913221633,https://twitter.com/drdrtsai/status/1238880316913221633
2020-03-14 17:30:08,djdaizee,QuitaQuita41,1,1,2,"Also concerned about our brothers and sisters with Substance Use Disorders who depend on 12 step programs but more importantly MAT like daily Methadone and Buprenorphine.",,,,1238880102777323524,https://twitter.com/djdaizee/status/1238880102777323524
2020-03-14 17:07:32,Ingentium_Inc,,0,0,0,"Buprenorphine Treatment for #opioids Use Disorder in Community-Based Settings: Outcome Related to Intensity of Services and Urine Drug Test Results.",,,#opioids,1238874414764052480,https://twitter.com/Ingentium_Inc/status/1238874414764052480
