date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-13 15:55:19,okasion2012,okasion2012,0,0,1,"Tried killing myself once getting drunk with Carisoprodol and benzos sitting in the roof of the 10 stories building I live but I am a pussy and couldn't do it. Also alcohol doesn't do shit to me, it sucks. I was depressed on bed for 2 years doing nothing.",,,,1238493851972747265,https://twitter.com/okasion2012/status/1238493851972747265
2020-03-12 17:00:05,TXDentalBoard,,0,0,0,"IMPORTANT PMP NEWS: Beginning March 1, 2020 - PRESCRIBERS WILL BE REQUIRED TO CHECK A PATIENT’S TEXAS PRESCRIPTION MONITORING PROGRAM HISTORY BEFORE DISPENSING OR PRESCRIBING OPIOIDS, BENZODIAZEPINES, BARBITURATES, OR CARISOPRODOL. (1 of 2)",,,,1238147764481077249,https://twitter.com/TXDentalBoard/status/1238147764481077249
2020-03-12 10:47:11,okasion2012,atropine_k,0,0,1,"Carisoprodol, Alprazolam, Midazolam, and Clonidine. On the other hand, these are fun times from our perpective I think, and remember: the ride never ends.",,,,1238053923212136451,https://twitter.com/okasion2012/status/1238053923212136451
2020-03-11 02:54:04,SafetyGirl100,,0,0,1,"How can I possibly be this wide awake after Tylenol 3 and a carisoprodol? Just how?? My back is feeling better but I fully expected to face down, drooling by now.",,,,1237572469780692993,https://twitter.com/SafetyGirl100/status/1237572469780692993
2020-03-10 10:57:29,SickAnimalBot,,0,0,0,"This fish needs Carisoprodol!",,,,1237331737216200706,https://twitter.com/SickAnimalBot/status/1237331737216200706
2020-03-07 00:33:23,GLeeeeeeeGoggg,,0,0,5,"#DystopianRealitiesCycle:Entry2: In #AldousHuxley's 1932 novel #BraveNewWorld the population uses the drug Soma for all their emotional needs. Fear, despair &amp; discontent are all washed away. Very similar to Xanax, Lithium, Propanolol...and, of course, even Soma (carisoprodol). ",,,#DystopianRealitiesCycle #AldousHuxley #BraveNewWorld,1236087513988513792,https://twitter.com/GLeeeeeeeGoggg/status/1236087513988513792
2020-03-04 13:41:54,WednyDrinks,,0,0,0,"When DamienFranco said there was too much Carisoprodol in this Chenin Blanc from #Istria I didn't pick up on it.",,,#Istria,1235198786206650368,https://twitter.com/WednyDrinks/status/1235198786206650368
2020-03-03 06:27:51,KingBlignaut,,0,0,0,"Feeling Myself was a true bop, yes. But Carisoprodol works like magic! https://twitter.com/skaijackson/status/1234529862456492032",,,,1234727168808308737,https://twitter.com/KingBlignaut/status/1234727168808308737
2020-03-02 15:03:01,txpharmacyboard,,0,6,1,"REMINDER: Beginning March 1, 2020, pharmacists and prescribers are now required to check a patient’s Texas Prescription Monitoring Program (PMP) history before dispensing or prescribing opioids, benzodiazepines, barbiturates, or carisoprodol. Learn more: http://ow.ly/RrZ050xYqb9",,,,1234494423913967619,https://twitter.com/txpharmacyboard/status/1234494423913967619
2020-03-02 15:03:01,TexasPMP,,0,1,1,"REMINDER: Beginning March 1, 2020, pharmacists and prescribers are now required to check a patient’s Texas Prescription Monitoring Program (PMP) history before dispensing or prescribing opioids, benzodiazepines, barbiturates, or carisoprodol. Learn more: http://ow.ly/RrZ050xYqb9",,,,1234494423838461952,https://twitter.com/TexasPMP/status/1234494423838461952
2020-03-01 23:46:51,TXpharmAssn,txpharmacyboard,0,2,1,"REMINDER: Beginning today, March 1, 2020, #pharmacists and prescribers are required to check a patient’s Texas Prescription Monitoring Program (PMP) history before dispensing or prescribing opioids, benzodiazepines, barbiturates, or carisoprodol. #TexasPharmacy #PMP",,,#pharmacists #TexasPharmacy #PMP,1234263864323321856,https://twitter.com/TXpharmAssn/status/1234263864323321856
2020-02-29 04:20:24,jgibbons1974,RealJohnGrace,1,0,2,"“.. oxycodone and hydrocodone, diazepam (often marketed as Valium) and the muscle relaxant carisoprodol. Chronic obstructive pulmonary disease and hypertension also contributed to his death..” Quite a cocktail. May have taken matters in his own hands. ",,,,1233607929812725762,https://twitter.com/jgibbons1974/status/1233607929812725762
