date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 20:36:13,VictorIsrael_,MaziIbe_,1,2,14,"This one na Cinderella and her Prince.",,,,1238926932923813891,https://twitter.com/VictorIsrael_/status/1238926932923813891
2020-03-14 20:28:09,VictorIsrael_,,8,20,87,"You all are busy posting beautiful dresses from #AMVCA7 but nobody is thinking about that tailor that stays at ikorodu who has saved these pictures &amp; plans to sew one of those styles for one unfortunate customer. We are waiting for the next episode of what I ordered VS what I got",,,#AMVCA7,1238924903396585473,https://twitter.com/VictorIsrael_/status/1238924903396585473
2020-03-14 20:09:15,alifjais_,JUICYP1NK,1,0,0,"sorry redha. _.",,,,1238920147500298245,https://twitter.com/alifjais_/status/1238920147500298245
2020-03-14 12:48:51,SickAnimalBot,,0,0,0,"This parrot needs Chlorpheniramine Maleate!",,,,1238809316355969025,https://twitter.com/SickAnimalBot/status/1238809316355969025
2020-03-14 04:49:22,maizatul_hamra,maizatul_hamra,0,0,0,"Answer : Loratadine. If you have chlorpheniramine or cetrizine (most commonly used anti-histamine drugs) can also use. PCM for fever or headache, xanax untuk anxiety and amoxycillin is an antibiotic (ha kantoi tak habiskan ada jumpa dekat rumah). ",,,,1238688651527086080,https://twitter.com/maizatul_hamra/status/1238688651527086080
2020-03-13 16:46:08,markfreeman_us,hopeseekr,0,0,1,"24pks were$4 then $5 then $15 now totally sold out. Coffee creamer sold out. Tuna sold out. Vienna Sausage sold out. Cough syrup sold out. Bars of antibacterial soap still for sale. Tea and Gatorade mix still for sale. Chlorpheniramine antihistamine $8 for 1000 little known item",,,,1238506640967716865,https://twitter.com/markfreeman_us/status/1238506640967716865
2020-03-13 12:34:15,pharmisrael,oniisaac,0,0,3,"Those components are anti viral agents , the chlorpheniramine is an antihistamine. This claim however hasn't been confirmed by the W.H.O .",,,,1238443252082245632,https://twitter.com/pharmisrael/status/1238443252082245632
2020-03-13 07:47:32,SickAnimalBot,,0,0,0,"This wombat needs Chlorpheniramine Maleate!",,,,1238371097759887360,https://twitter.com/SickAnimalBot/status/1238371097759887360
2020-03-12 19:52:18,VictorIsrael_,,16,31,74," Why do women find it difficult to Break up with a guy and actually mean it? They keep running back immediately after the 2 hours break up. ",,,,1238191105650425859,https://twitter.com/VictorIsrael_/status/1238191105650425859
2020-03-12 16:46:42,VictorIsrael_,pillay_dee,0,0,1,"Lol yes",,,,1238144395561574403,https://twitter.com/VictorIsrael_/status/1238144395561574403
2020-03-12 16:46:12,VictorIsrael_,Auntynaira,1,0,1," Hopefully ma. I'm coming this weekend to dine with the family o",,,,1238144271804436481,https://twitter.com/VictorIsrael_/status/1238144271804436481
2020-03-12 16:45:29,VictorIsrael_,,1,5,31,"Don't take your clothes to laundry shops if you intend to forget it there. Instead donate them to orphanage homes if you don't have any need for them again. These people go through the stress of washing, drying and ironing hoping you will pick up and pay them. Dont be unfortunate",,,,1238144089541038082,https://twitter.com/VictorIsrael_/status/1238144089541038082
2020-03-12 16:43:13,VictorIsrael_,StMayox,0,0,0,"Irritating something ",,,,1238143522009763846,https://twitter.com/VictorIsrael_/status/1238143522009763846
2020-03-12 16:43:04,VictorIsrael_,Iam_ChisomLucky,0,0,0," He's a Mad man",,,,1238143481006211075,https://twitter.com/VictorIsrael_/status/1238143481006211075
2020-03-12 16:42:57,VictorIsrael_,Auntynaira,1,0,1," Aunty Naira I miss you o",,,,1238143451155267585,https://twitter.com/VictorIsrael_/status/1238143451155267585
2020-03-12 16:37:35,VictorIsrael_,,17,42,146,"I went to wash my clothes at this laundry shop. I told the guy he must be swimming in money since there were so many clothes there. He opened up&said ""Bros some of these clothes Don dey here like 5 years. 1 customer na my neighbor sef, I vex wear the cloth, the Man no even talk""",,,,1238142103730913286,https://twitter.com/VictorIsrael_/status/1238142103730913286
2020-03-12 09:21:22,VictorIsrael_,Olajiireyousluv,0,0,2," Burst my brain",,,,1238032326233374720,https://twitter.com/VictorIsrael_/status/1238032326233374720
2020-03-12 09:21:14,VictorIsrael_,ezewilliams5,1,0,7," Women can wail all they want",,,,1238032292087500800,https://twitter.com/VictorIsrael_/status/1238032292087500800
2020-03-12 09:21:00,VictorIsrael_,yahx_ali,1,0,5," I swear. That one concern them",,,,1238032231035273216,https://twitter.com/VictorIsrael_/status/1238032231035273216
