date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 12:50:26,444blackcat,,0,0,0,"Under financial protection on card meters on daily scripts depots attending clozapine clinics can't self isolate no family and friends support scary times n management asked us to prioritise the most vulnerable what happens when that's all #COVIDー19",,,#COVID,1239172102487445504,https://twitter.com/444blackcat/status/1239172102487445504
2020-03-15 12:32:01,edburns23,,1,0,0,"Do we have any policies regarding psychosis? Are people taking Clozapine considered to be high risk? What will be the impact on them if they have to self isolate?",,,,1239167468108689408,https://twitter.com/edburns23/status/1239167468108689408
2020-03-15 10:27:33,Luke_629,Luke_629,0,1,0,"long-term #antipsychotic use does not increase severe physical morbidity leading to hospitalization, and is associated with substantially decreased mortality, especially among patients treated with #clozapine. ",,,#antipsychotic #clozapine,1239136143553073152,https://twitter.com/Luke_629/status/1239136143553073152
2020-03-15 10:08:11,captaincold08,NajmusS92426108,0,0,0,"Dude, did you forgot to take medicine!? You are getting visual hallucinations... of the things I didn't texted..and the things I won't believe..... No relegion is superior to Science... Take some clozapine and don't forget to consult....",,,,1239131270547828736,https://twitter.com/captaincold08/status/1239131270547828736
2020-03-15 09:45:12,Chronic26299717,AutismMH,1,0,0,"Yes agreed the manager SH gets everyone labled BPD off meds ""they were never an option"" I'd like to know why I was on clozapine when I refused forced to have a depot ... why was I locked up for 6yrs?",,,,1239125486661447682,https://twitter.com/Chronic26299717/status/1239125486661447682
2020-03-15 03:26:18,Zionist_1,RobbySingh94,1,0,0,"Mr. Singh, here are some medications to take until you get a handle on your psychosis and schizophrenia Aripiprazole (Abilify) Aripiprazole lauroxil (Aristada) Asenapine (Saphris) Brexpiprazole (Rexulti) Cariprazine (Vraylar) Clozapine (Clozaril)",,,,1239030134092386304,https://twitter.com/Zionist_1/status/1239030134092386304
2020-03-15 01:37:48,mitch_radel,schizoaffectpod,0,0,1,"Well once my clozapine dosage is upped I should be ready to go on your podcast station, got my phyciatrist appointment this Tuesday, I'll have a talk with my doctor and see what we can work out,been through some crazy stuff, last year 2019 I almost lost my life and my sanity",,,,1239002826912620545,https://twitter.com/mitch_radel/status/1239002826912620545
2020-03-15 01:30:34,MrBeagleman,jon_rauch,0,1,7,"Ahh yes, we’ll look back on the Trump era and our fondest memory will be the stench emanating from the dumpster fire kept alight by the daily incineration of every last shred of the media’s credibility. Has anyone suggested clozapine? ",,,,1239001007595626501,https://twitter.com/MrBeagleman/status/1239001007595626501
2020-03-15 00:13:49,HottunezR,,0,0,0,"#NowPlaying Clozapine - Gutterflower",,,#NowPlaying,1238981692720844801,https://twitter.com/HottunezR/status/1238981692720844801
2020-03-14 23:52:44,mjac1985,AllenFrancesMD,0,0,0,"Totally agree. So many unknowns and challenges. How do we safely administer depots? How do we ensure reliable therapeutic drug monitoring? People with SMI are very vulnerable, tend to be isolated, higher comorbidities, impact of meds (clozapine) and smoking.",,,,1238976385789636614,https://twitter.com/mjac1985/status/1238976385789636614
