date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 03:26:18,Zionist_1,RobbySingh94,1,0,0,"Mr. Singh, here are some medications to take until you get a handle on your psychosis and schizophrenia Aripiprazole (Abilify) Aripiprazole lauroxil (Aristada) Asenapine (Saphris) Brexpiprazole (Rexulti) Cariprazine (Vraylar) Clozapine (Clozaril)",,,,1239030134092386304,https://twitter.com/Zionist_1/status/1239030134092386304
2020-03-13 18:13:33,PsychiatricOut,,0,3,1,"2-15 PM . Friday . 13 Th March 2020 . Unfair Tribunal Hearing ( DECIDE ! ) the drug ( clozapine . ELSE . clozaril ) CLICK . ",,,,1238528639748235264,https://twitter.com/PsychiatricOut/status/1238528639748235264
2020-03-08 10:45:13,rocketgirlup,SheriAWilkinson,1,0,1,"She should be on “risperidone (Risperdal®), clozapine (Clozaril®), quetiapine (Seroquel®), ziprasidone (Geodon®) and olanzapine (Zyprexa®). Other medications that might be used to treat delusional disorder include tranquilizers and antidepressants.”",,,,1236603873583751168,https://twitter.com/rocketgirlup/status/1236603873583751168
2020-03-06 19:14:26,Elliott_MacG,,2,0,0,"Can anyone with a knowledge on pharmaceuticals & psychiatry tell me if a doctor would benefit in some way from prescribing Clozapine/Clozaril? They push it on me at every opportunity despite consistently standing my ground &amp; saying no for the past year. Is there an agenda here?",,,,1236007247764914178,https://twitter.com/Elliott_MacG/status/1236007247764914178
2020-03-02 12:45:06,SNCCLA,,0,0,2,"Clozaril, Fazaclo ODT, Versacloz (clozapine): Drug Safety Communication - FDA Strengthens Warning ",,,,1234459718623645696,https://twitter.com/SNCCLA/status/1234459718623645696
2020-02-23 14:21:36,th3strikes,GavinNewsom,0,0,2,"Doctors should be able to write prescriptions for Democrat politicians the same way they do for Antipsychotics Including but not limited to, Risperdal, Seroquel, Zyprexa, Zeldox, Invega, Abilify, and Clozaril. #DrainTheSwamp #LosersClub",,,#DrainTheSwamp #LosersClub,1231584898026221568,https://twitter.com/th3strikes/status/1231584898026221568
2020-02-23 05:59:42,DrSagger,KennethHennig,0,0,0,"Tried clozaril?",,,,1231458591997153282,https://twitter.com/DrSagger/status/1231458591997153282
2020-02-21 23:38:51,haleysamanthaxo,pawg_gf,1,0,0,"So my experience had been clozaril I had a seizure, I was sent to schizophrenia specialist. I found a med combo, I've been on it for a while. The problem is that with psychosis, either you get lucky and it stops with meds, or it doesn't. Mines the latter. I've been",,,,1231000358828335104,https://twitter.com/haleysamanthaxo/status/1231000358828335104
2020-02-21 22:41:41,AccountistLisa,jmrbux2,0,0,0,"Does Clozaril help with addiction? Asking for my daughter.",,,,1230985976035434497,https://twitter.com/AccountistLisa/status/1230985976035434497
2020-02-21 22:35:42,jmrbux2,nicolergalloway,1,0,1,"A nationwide Rx Drug monitoring program PDMP is already in place for the psych Rx, clozaril. My son has to do monthly labs that must be read by the dr, approved, then entered into the national database. The certified pharmacy (not all do Clozaril) checks online b4 dispensing.",,,,1230984469043122178,https://twitter.com/jmrbux2/status/1230984469043122178
2020-02-21 17:23:11,Awakeandsee1,ct_turnip,0,3,3,"Liberalism is a disease that needs a cure. Maybe a law can be passes to put Clozaril in their water. ",,,,1230905819438424066,https://twitter.com/Awakeandsee1/status/1230905819438424066
2020-02-19 21:29:41,SueKMarshall,SueKMarshall,0,0,2,"Thank you. Steve gained 5stone within months of starting it. He complained of being breathless and was just given an inhaler. The pm revealed his heart had doubled in size. Clozaril is poison.",,,,1230243078927155213,https://twitter.com/SueKMarshall/status/1230243078927155213
2020-02-19 21:26:30,daisylouise_S,SueKMarshall,0,0,2,"Clozapine (clozaril) is evil. I would be dead if I stayed on it. It caused problems with my heart, every part of me. The psychiatrist said I was clinically better on it. I had 0 functioning. I was wetting the bed. I couldn’t walk. I was shuffling. Sorry about your brother.",,,,1230242279710916611,https://twitter.com/daisylouise_S/status/1230242279710916611
2020-02-19 21:20:00,SueKMarshall,twains_remedy,3,3,15,"It’s about informed choice and far too often MH patients are not given the information to make that choice. My brother died at the age of 42 from the side effects of clozaril. He repeatedly said he did not want to take it, but was threatened with section. That’s not choice.",,,,1230240641097043977,https://twitter.com/SueKMarshall/status/1230240641097043977
2020-02-19 15:12:54,de_alion,GinettePT,0,0,0,"I'm 22 and already experiencing organ damage (I have a weak bladder now as an effect of clozaril, doctor doesn't care). Effects as since I don't consent to any of this,it all side effects as all there drugs are neurotoxic, cause organ damage &amp; have no real value beyond the fugazi",,,,1230148256400674816,https://twitter.com/de_alion/status/1230148256400674816
2020-02-16 20:47:49,Kynsik,RetellPharmacy,0,0,10,"Vioxx, paper clozaril forms and calling for ipledge authorization",,,,1229145377221140480,https://twitter.com/Kynsik/status/1229145377221140480
2020-02-14 06:13:08,dave_moose,TexasNanaTam,0,0,2,"Saddened by your story, our son was diagnosed with schizophrenia at 15 years old. He's now almost 37 and with the Lord's help and seroquel and clozaril, has been stable for the past 15 years or so. Praying for you and your son, God is able, Jesus is the answer!",,,,1228200483279425537,https://twitter.com/dave_moose/status/1228200483279425537
2020-02-14 00:39:23,xai0doAn5guteon,,0,0,4,"Perhaps, S.Korean several still may schedule togather American.Parents likely cry for my Clozaril 150mg medicine and my preschool child photo was a that and they might worried my first rich life because my parents property were mine that parents said to younger sister,me meantime ",,,,1228116489753939968,https://twitter.com/xai0doAn5guteon/status/1228116489753939968
2020-02-14 00:39:16,ToddP10,usagirl222,1,0,0,"I would recommend going with Atypical Anti-Psychotic such as Clozaril or Abilify.",,,,1228116463891861505,https://twitter.com/ToddP10/status/1228116463891861505
