date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 12:18:53,racc1964,lisadrewnutrish,0,0,1,"As a former heavy user I can say with certainty is not Cocaine . I have been in concerta ( adderal) and yes that fits the profile .",,,,1239164162682609664,https://twitter.com/racc1964/status/1239164162682609664
2020-03-15 06:48:41,Lunizzle,,0,0,0,"I don’t want to drink that other pill of mine ‘cause then I’d have to wait 2 - 3hrs to take Concerta ",,,,1239081064649416704,https://twitter.com/Lunizzle/status/1239081064649416704
2020-03-15 04:00:54,techno_baby,,0,0,2,"never let anyone put you on concerta. i love you all too much to let this happen to u",,,,1239038839341101057,https://twitter.com/techno_baby/status/1239038839341101057
2020-03-14 23:55:20,hbpalvin,,0,0,0,"netflix, concerta isso ",,,,1238977041111961606,https://twitter.com/hbpalvin/status/1238977041111961606
2020-03-14 23:28:35,mysticwonderss,Designsage,0,0,1,"I just had an appointment with my doctor a few days ago. She's also a new doctor. And I'm new to concerta also! About 2 months on it now!!",,,,1238970311288279040,https://twitter.com/mysticwonderss/status/1238970311288279040
2020-03-14 22:58:35,itsmelinaxiao,,0,0,0,"I might need concerta for this test ",,,,1238962759313874945,https://twitter.com/itsmelinaxiao/status/1238962759313874945
2020-03-14 19:30:34,gabbi111969,MadelineFresco,0,0,0,"I had BCBS-TX due to corp location (I'm in MI), but our company went to Aetna in 2019. I did have some meds at 90day, but so far not the case for Aetna. Unfortunately, my boys take Concerta (They would lose their jobs without it) that can't be 90day. I'll call my doc on Mon. THX",,,,1238910410218180608,https://twitter.com/gabbi111969/status/1238910410218180608
2020-03-14 18:48:30,ConcertaChick,,0,2,2,"Switchin over #PS4live #StardewValley live at",,,#PS4live #StardewValley,1238899826705629185,https://twitter.com/ConcertaChick/status/1238899826705629185
2020-03-14 18:47:01,keebIerelf,,0,0,7,"got my concerta prescription lets go",,,,1238899450082295809,https://twitter.com/keebIerelf/status/1238899450082295809
2020-03-14 17:54:36,ConcertaChick,,0,2,3,"Just haning out. Would you like to join us? #PS4live #Overwatch live at https://www.twitch.tv/concertachick",,,#PS4live #Overwatch,1238886259440758785,https://twitter.com/ConcertaChick/status/1238886259440758785
2020-03-14 17:36:48,CQLFC,PastorFredMU,2,0,0,"Yeah I’m strattera , Ritalin and concerta",,,,1238881782247952384,https://twitter.com/CQLFC/status/1238881782247952384
2020-03-14 17:17:56,spine_of_iron,MarieKondi,1,0,1,"Oh same, I turn into a nightmare who just lies around daydreaming about getting into arguments with people, also don't worry keep what u have!! Thank u tho. I still have 3 week's worth, and I have a bit of concerta if I get REALLY stuck.",,,,1238877034534879238,https://twitter.com/spine_of_iron/status/1238877034534879238
2020-03-14 16:51:45,forestofrobots,RealPaulRoss,0,0,0,"ah okay then bc concerta is the one im currently taking(?) but i always have shitty emotions, guess its just me talking-",,,,1238870442120601601,https://twitter.com/forestofrobots/status/1238870442120601601
2020-03-14 16:50:45,RealPaulRoss,forestofrobots,1,0,0,"Didn’t feel that on vyvanse, didn’t feel that on concerta",,,,1238870191813115906,https://twitter.com/RealPaulRoss/status/1238870191813115906
