date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-13 18:49:07,medschat,,0,0,0,"Daytrana Patch ",,,,1238537591374385152,https://twitter.com/medschat/status/1238537591374385152
2020-03-11 15:49:07,medschat,,0,0,0,"Daytrana Patch https://www.medschat.com/Discuss/Daytrana-patch-223238.htm?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=social_media",,,,1237767518120488961,https://twitter.com/medschat/status/1237767518120488961
2020-03-06 18:56:36,Core_the_bore,ForRealReal2,0,0,1,"Personally I think this is related to his hideous hairpiece, but just FYI there is a stimulant patch for ADHD (Daytrana) available for children.",,,,1236002761805828096,https://twitter.com/Core_the_bore/status/1236002761805828096
2020-03-06 04:31:08,JimBDR529,Karens_Red_Pony,1,1,3,"Daytrana patch (like a nicotine patch) for ADHD since he can’t pay attention for very long. ",,,,1235784959593496577,https://twitter.com/JimBDR529/status/1235784959593496577
2020-03-06 01:51:00,JosieS666,GrayGeek401,0,0,0,"Daytrana, the first methylphenidate transdermal delivery system for the treatment of attention deficit hyperactivity disorder (ADHD)",,,,1235744659093282818,https://twitter.com/JosieS666/status/1235744659093282818
2020-03-06 00:18:22,DavidTurkell,samjakelarry,1,0,0,"You are only Sammy Lawrence in this situation if you keep your daytrana patch on",,,,1235721347474403330,https://twitter.com/DavidTurkell/status/1235721347474403330
2020-03-05 02:59:19,phathead,,0,0,3,"Pharmacy friends it's time for the quarterly Daytrana recall!",,,,1235399462811578369,https://twitter.com/phathead/status/1235399462811578369
2020-02-18 12:17:00,dokidokiporo,,0,0,0,"Don't forget your daytrana. You're grinding without it. But powerlessness never goes away; comunion is ever out of reach.",,,,1229741605697007616,https://twitter.com/dokidokiporo/status/1229741605697007616
2020-02-14 19:26:00,StephanieSarkis,dawso007,0,0,2,"Adderall needs another L at the end. Vyvanse is also spelled incorrectly. Also include Adderall XR, Ritalin LA, Metadate CD, Quillivant XR, and Daytrana. In addition, under non-stimulants FDA-indicated for ADHD, put Strattera, Intuniv, and Kapvay. #ADHD specialist here.",,,#ADHD,1228400014721998862,https://twitter.com/StephanieSarkis/status/1228400014721998862
2020-02-12 23:33:40,bitchsause,,0,0,4,"I think at this point now I tried vyvanse which worked great but I couldnt handle the crash/appetite and sleep loss, then adderall, ritalin, wellbutrin, daytrana, intuniv alone, intuniv+adderall combo and modafinil which were all duds... what do I even do now?",,,,1227737566549442562,https://twitter.com/bitchsause/status/1227737566549442562
2020-02-11 22:36:02,ezcareclinic,,0,0,0,"Are methylphenidates safe for ADHD treatment? Methylphenidates are a type of medication that is sold under various names such as Ritalin, Daytrana,or Concerta. #ADD #adhd #adhddiagnosis #adhdtreatment #anxiety #Methylphenidates https://ezcareclinic.com/methylphenidates/",,,#ADD #adhd #adhddiagnosis #adhdtreatment #anxiety #Methylphenidates,1227360674956894208,https://twitter.com/ezcareclinic/status/1227360674956894208
2020-02-11 06:18:35,ADHDsurprise,plunkhere,0,0,1,"No mentions of Daytrana, but 49 is a pretty small sample size",,,,1227114689017962496,https://twitter.com/ADHDsurprise/status/1227114689017962496
2020-02-11 06:16:37,plunkhere,ADHDsurprise,1,0,1,"Any others using Daytrana? Patch is a lifesaver!",,,,1227114196296294401,https://twitter.com/plunkhere/status/1227114196296294401
2020-02-06 22:19:10,dokidokiporo,,0,0,0,"Don't forget your daytrana. You're miserable without it. But aversion never goes away; concupiscence is ever out of reach.",,,,1225544489172901890,https://twitter.com/dokidokiporo/status/1225544489172901890
2020-02-06 18:17:38,dokidokiporo,,0,0,0,"Don't forget your daytrana. You're blunt without it. But isolation never goes away; liberation is ever out of reach.",,,,1225483706229542912,https://twitter.com/dokidokiporo/status/1225483706229542912
2020-02-04 00:37:25,TaterSaladJD,ADHDsurprise,0,0,2,"Daytrana patch worked the best of the stimulants. But ultimately it also aggravated my GAD and cause my skin to itch. Straterra for non-stimulants helped some, not quite as much as I'd like. Had to stop due to insurance no longer covering it. I'd gladly go back on it",,,,1224492119664087041,https://twitter.com/TaterSaladJD/status/1224492119664087041
2020-01-30 22:12:35,MommeySapote,,1,0,1,"But my mom did find my daytrana stash. She had a talk with me about how if i thought i needed it, then i needed to go to the doctor and get a script. But she reassured me that she didn’t think it was something i needed, and that i went all my life without it thus far.",,,,1223006117267148801,https://twitter.com/MommeySapote/status/1223006117267148801
2020-01-25 00:33:09,TheDiakou,Simenkny,1,0,0,"There's so many mixed studies on usage being effective or not though. I've been researching to an extreme amount, I've read possibly over 30+ medical peer reviewed studies, from Elvanse(vyvanse) Adderal, Ritalin, focalin, concerta, daytrana, dexedrine and more. 1/2",,,,1220867163935903747,https://twitter.com/TheDiakou/status/1220867163935903747
2020-01-23 19:12:27,RockNRollRaptor,HellRazorDlx,1,0,1,"Daytrana and Wellbutrin",,,,1220424068710772739,https://twitter.com/RockNRollRaptor/status/1220424068710772739
2020-01-23 18:18:50,dokidokiporo,,0,0,0,"Don't forget your daytrana. You're shameful without it. But apathy never goes away; commitment is ever out of reach.",,,,1220410579065679872,https://twitter.com/dokidokiporo/status/1220410579065679872
2020-01-12 16:55:08,clvrkwoods,,0,0,0,"just slapped 70 mg Daytrana on my inner thigh (less flaking than hips) ",,,,1216403246065115137,https://twitter.com/clvrkwoods/status/1216403246065115137
2020-01-11 18:33:12,heatherpeno,heatherpeno,0,0,0,"For a patient or a vender? #DayQuil #Daytrana ",,,#DayQuil #Daytrana,1216065540202160129,https://twitter.com/heatherpeno/status/1216065540202160129
2020-01-08 13:07:25,roosenterprises,,0,0,0,"Hey @daytrana, how do you expect people that need your medications pay for them when they are over $300 per month per person (x3 people) for over $900 a month?? The so called ""$20 Coupon"" is a joke...#daytrana #noventherapeuticsllc are price gouging! #FDA help!!!",,@daytrana,#daytrana #noventherapeuticsllc #FDA,1214896387017580544,https://twitter.com/roosenterprises/status/1214896387017580544
2020-01-07 15:51:39,claudeiam,,0,0,0,"Daytrana meat crate",,,,1214575333560729601,https://twitter.com/claudeiam/status/1214575333560729601
2020-01-07 13:02:58,XianJaneway,duty2warn,0,0,4,"And snorting Adderall is an entirely different thing than using it as prescribed, just FYI. It's why drugs like Vyvanse & Quillivant & Concerta & Daytrana were invented---they can't be snorted. This doesn't surprise me at all. ",,,,1214532879918731266,https://twitter.com/XianJaneway/status/1214532879918731266
2020-01-03 15:12:08,XianJaneway,lovelokest,1,0,3,"Amphetamine/Adderall family: -Vyvanse -Evekeo -Dexedrine -Adderall XL Methylphenidate/Ritalin family: -Concerta -Daytrana -Quillivant /Quillichew -Ritalin LA -Jornay (a VERY new one you can take at night!)",,,,1213115834991874049,https://twitter.com/XianJaneway/status/1213115834991874049
2020-01-03 11:27:08,kenwayregrets,shrkunicorn,1,0,1,"yeah i bet you could do well with the daytrana patches bc you can use them any time of day but insurance can be tricky about covering it and also there can be weird side effects, i forget if you've ever had asthma but that's why i had to stop taking it",,,,1213059213863391234,https://twitter.com/kenwayregrets/status/1213059213863391234
2020-01-03 09:22:16,EbThen,,1,0,0,"I think what this means is that, at least in 2007 while on Daytrana, I was much less able to concentrate on AND control my impulsive responses to auditory stimuli than to visual stimuli.",,,,1213027787700887553,https://twitter.com/EbThen/status/1213027787700887553
