date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 22:14:43,TalkandsupportJ,,0,4,0,"LAST SEEN GREENBANK AREA ROTATE HILL WAY BRISTOL BS5 6HS EARLIER Bassbin Jim JAMES DENT JINX PLEASE IF ANYONE’S IN THAT AREA LOOK OUT FOR HIM HE MAY NEED URGENT MEDICAL ATTENTION DIAZEPAM OVERDOSE. PLEASE SHARE. #suicide #help #Bristol #share",,,#suicide #help #Bristol #share,1238951719574343682,https://twitter.com/TalkandsupportJ/status/1238951719574343682
2020-03-14 22:08:19,SusanKaosho,,0,0,0,"okay but i just wonder why do i have boxes of fluoxetine, tranxilium, xanax and diazepam damn i could be a fucking drug dealer, but this bitch is depressed so she gets it all to herself",,,,1238950109938880514,https://twitter.com/SusanKaosho/status/1238950109938880514
2020-03-14 22:04:51,5Diazepam,depressedpanxi1,0,0,1,"Real",,,,1238949236093390848,https://twitter.com/5Diazepam/status/1238949236093390848
2020-03-14 21:58:24,crunchypeachboi,,0,0,5,"just popped some diazepam get ready for some galaxy brain thoughts twitter",,,,1238947614801965064,https://twitter.com/crunchypeachboi/status/1238947614801965064
2020-03-14 21:20:48,SrtaDiazepan,SitaRabbit,0,0,3,"Fiestonnnnnn",,,,1238938150849970182,https://twitter.com/SrtaDiazepan/status/1238938150849970182
2020-03-14 21:13:40,5Diazepam,rodrigogmarina,1,0,1,"I mean",,,,1238936354987429888,https://twitter.com/5Diazepam/status/1238936354987429888
2020-03-14 21:00:00,RushkovBot,,0,0,0,"I call procs just fine, but PDO or diazepam, or hell, I'll take heroin, that'll be appreciated.",,,,1238932917008678913,https://twitter.com/RushkovBot/status/1238932917008678913
2020-03-14 20:28:33,ItsKimanthi,,0,0,1,"Good night guys... Don't take diazepam they're addictive",,,,1238925005083328514,https://twitter.com/ItsKimanthi/status/1238925005083328514
2020-03-14 20:05:53,GaynorBoughey1,ElContador2000,1,0,1,"OMG!!! ""DIAZEPAM!!"" My doc gave me that for my Sciatica!! NO WAY!!!! ",,,,1238919300053901312,https://twitter.com/GaynorBoughey1/status/1238919300053901312
2020-03-14 20:04:49,Grtgrt788,PaulTatum4,0,0,0,"Such excessive use of “bastards”! Should the store assistant just have taken your word that the Dr said to take them, broken the law and given you a trolley load? Might I suggest diazepam sir...",,,,1238919028732841988,https://twitter.com/Grtgrt788/status/1238919028732841988
2020-03-14 19:52:32,ElContador2000,arthurlawrence5,0,0,1,"If I track its path, it began in around 2007. My shoulders are worst hit and around every 3-5 years I have to have a cortisone jab in one or other of them. I am supposed to take anti inflammatory drugs and pain killers plus diazepam. Did it for a week and ceased to function/",,,,1238915940265398272,https://twitter.com/ElContador2000/status/1238915940265398272
2020-03-14 19:29:04,jimhayes78,sound_scaper,1,0,0,"Just get some diazepam u be fine",,,,1238910033834004480,https://twitter.com/jimhayes78/status/1238910033834004480
2020-03-14 19:12:53,Britni_Julia,,1,0,0,"My friend was drunk af ln and in the lyft back to the hotel she says shes gonna throw up. Our driver hands me a bag and 2 diazepam and says give this to her and save yourself $150.",,,,1238905962720878593,https://twitter.com/Britni_Julia/status/1238905962720878593
2020-03-14 18:47:54,snaggsagain,SgtMajorZer0,2,0,2,"I'm well stocked up on diazepam as the wife has hundreds. ",,,,1238899674922303490,https://twitter.com/snaggsagain/status/1238899674922303490
2020-03-14 18:47:30,Diagnosis___,wajeeharr,0,0,0,"http://OMG.So they same ",,,,1238899571830525954,https://twitter.com/Diagnosis___/status/1238899571830525954
2020-03-14 18:34:07,Startup_Dreams,Startup_Dreams,1,0,0,"So guests are taken care of..but not hosts",,,,1238896203338862592,https://twitter.com/Startup_Dreams/status/1238896203338862592
2020-03-14 18:29:54,Startup_Dreams,experiencenash,1,0,1,"Oh! Wow.",,,,1238895145417924608,https://twitter.com/Startup_Dreams/status/1238895145417924608
2020-03-14 18:23:24,Startup_Dreams,jackdcoulson,0,0,0,"Yeah man send it over",,,,1238893508796321796,https://twitter.com/Startup_Dreams/status/1238893508796321796
2020-03-14 18:19:58,Startup_Dreams,,0,0,0,"Takes bong hit. https://twitter.com/giacomozucco/status/1238240779895783425",,,,1238892645470085120,https://twitter.com/Startup_Dreams/status/1238892645470085120
2020-03-14 18:15:35,Startup_Dreams,PrestonPysh,0,0,0,"But its all relative....for instance everyone else is relatively f'd. In a world of blind..one eyed or some who convinces others they are one eyed..wins, eh?",,,,1238891540879151107,https://twitter.com/Startup_Dreams/status/1238891540879151107
2020-03-14 18:13:35,Startup_Dreams,BullyEsq,0,0,0,"Salt on wounds for those who...oh..nvrm",,,,1238891038909087750,https://twitter.com/Startup_Dreams/status/1238891038909087750
2020-03-14 18:05:54,Startup_Dreams,,0,0,0,"Wait. Do people who identify as they/them get counted as several covod-19 cases?",,,,1238889105800470528,https://twitter.com/Startup_Dreams/status/1238889105800470528
2020-03-14 18:03:36,Startup_Dreams,roberee,0,0,0,"Dude purchased...corona.",,,,1238888523836596224,https://twitter.com/Startup_Dreams/status/1238888523836596224
2020-03-14 17:52:47,Startup_Dreams,experiencenash,1,0,0,"Uhh. They're giving you a credit for when its time travel again.",,,,1238885802626646016,https://twitter.com/Startup_Dreams/status/1238885802626646016
2020-03-14 17:38:48,Startup_Dreams,JamiePastore9,1,0,0,"True for doordash too!",,,,1238882285895798785,https://twitter.com/Startup_Dreams/status/1238882285895798785
2020-03-14 17:33:42,antoniaking,,1,0,1,"Other choices included 'calm the fuck down antonia' 'corona free island' and 'diazepam.'",,,,1238880998953189377,https://twitter.com/antoniaking/status/1238880998953189377
2020-03-14 17:32:12,Startup_Dreams,EconomPic,0,0,0,"Whole heartedly agree",,,,1238880623781195777,https://twitter.com/Startup_Dreams/status/1238880623781195777
2020-03-14 17:23:48,Startup_Dreams,TurnerNovak,0,0,1,"Not smart",,,,1238878509096939522,https://twitter.com/Startup_Dreams/status/1238878509096939522
2020-03-14 17:22:42,Startup_Dreams,JackPosobiec,1,0,2,"Loll this dude is like alright @garyvee I'm gonna CRUSH IT!",,@garyvee,,1238878230343548929,https://twitter.com/Startup_Dreams/status/1238878230343548929
2020-03-14 17:20:35,Startup_Dreams,DeItaOne,0,0,0,"Refinancing our debt is simple right? Reissue UST @different Rate?",,,,1238877697637584896,https://twitter.com/Startup_Dreams/status/1238877697637584896
2020-03-14 17:18:16,Startup_Dreams,b_t_walsh,0,0,0,"Clean your house to minimize..virus spread?",,,,1238877115283537922,https://twitter.com/Startup_Dreams/status/1238877115283537922
2020-03-14 17:09:35,Startup_Dreams,BushidoEvans,0,0,1,"Post Malone itis",,,,1238874930780962816,https://twitter.com/Startup_Dreams/status/1238874930780962816
2020-03-14 17:05:30,Startup_Dreams,TuddleOnRadio,0,0,0,"What's with this generation & their whole look at me lifestyle.",,,,1238873903084326913,https://twitter.com/Startup_Dreams/status/1238873903084326913
2020-03-14 16:49:43,Startup_Dreams,zackvoell,0,0,0,"Loll",,,,1238869932428967936,https://twitter.com/Startup_Dreams/status/1238869932428967936
2020-03-14 16:48:42,Startup_Dreams,ReformedBroker,0,0,0,"Stable genius",,,,1238869676869943297,https://twitter.com/Startup_Dreams/status/1238869676869943297
2020-03-14 16:44:45,Startup_Dreams,johnmaeda,0,0,0,"True G. You can't Steve jobs strategize remotely. The juices don't flow.",,,,1238868680001363969,https://twitter.com/Startup_Dreams/status/1238868680001363969
2020-03-14 16:41:18,Stoner_John_02,madflavor,0,0,0,"Take 60mg of diazepam then 30mg every 4 hours for the next 2 weeks &amp; u should be sorted hahaha haha",,,,1238867815396003841,https://twitter.com/Stoner_John_02/status/1238867815396003841
2020-03-14 16:38:55,Lazermonk,,1,0,1,"DISCLAIMER: I understand how stupidly dramatic I sound. I am just speaking from a VERY anxious brain which has run on nothing but adrenaline and diazepam since yesterday morning.",,,,1238867213404307463,https://twitter.com/Lazermonk/status/1238867213404307463
2020-03-14 16:30:35,JohnnyMcD1988,,1,0,0,"In all seriousness, Trump looks like he's on diazepam... slow, cheerful, monotonous rambling. Hat covering his drooping eyes. He's far slower to anger. I mean, impossible to prove, but see how he dealt with that. ""Nice and easy"". This is fettered Trump. Chemically?",,,,1238865114926907394,https://twitter.com/JohnnyMcD1988/status/1238865114926907394
2020-03-14 16:21:33,vs_sicart,,2,0,1,"am i anxious af? yes. do i want diazepam? yes. do i have any diazepam? no.",,,,1238862843908444161,https://twitter.com/vs_sicart/status/1238862843908444161
2020-03-14 16:08:03,Startup_Dreams,AlwaysaGoodday1,1,0,0,"They did?",,,,1238859447717498880,https://twitter.com/Startup_Dreams/status/1238859447717498880
2020-03-14 16:06:12,thebnmking,VetEd3,0,1,1,"Consider anxiolysis/tranquilizer first with ace, sedate with alpha2 + opioid, ketamine (induction) and benzodiazepine (myorelaxation) (midazolam, diazepam).",,,,1238858982523047936,https://twitter.com/thebnmking/status/1238858982523047936
2020-03-14 16:06:03,realChefBouche,SuperWeenieHtJr,1,0,0,"When my dad was dying of cancer, the doctors prescribed him diazepam and painkillers. He could no longer form sentences and overnight showed signs of dementia. MMJ gave me my dad back in the final months of his life. I can't say a bad thing about it.",,,,1238858942807068672,https://twitter.com/realChefBouche/status/1238858942807068672
2020-03-14 15:21:36,aishwarya_durga,,0,0,0,"try taking diazepam tgth with alcohol. can go paralogam already.",,,,1238847758045294593,https://twitter.com/aishwarya_durga/status/1238847758045294593
2020-03-14 15:01:17,katietinylittle,,0,0,0,"condition. By this point I’m in excruciatimg pain because believe me I don’t want to be reduced to begging. Yet I see other people being handed out diazepam &amp; morphine like it’s smarties &amp; pop #hEDS #eds #hypermobilitysyndrome",,,#hEDS #eds #hypermobilitysyndrome,1238842641724342272,https://twitter.com/katietinylittle/status/1238842641724342272
2020-03-14 14:48:33,Startup_Dreams,dwallacewells,0,0,0,"Thank you @SoftBank_Group",,@SoftBank_Group,,1238839438224035845,https://twitter.com/Startup_Dreams/status/1238839438224035845
2020-03-14 14:42:04,TheMagills_,Charlstews,0,0,0,"They are restocking, but the crazy ass people who are stockpiling, keep going back and stockpiling more. They seriously need to calm the fuck down. I say mass distribution of diazepam to chill them out.",,,,1238837808837677056,https://twitter.com/TheMagills_/status/1238837808837677056
2020-03-14 14:38:58,PillerRed,mpetrus19,0,0,0,"Could be. Or could have been diazepam aka valium.",,,,1238837028856438784,https://twitter.com/PillerRed/status/1238837028856438784
2020-03-14 14:17:12,Startup_Dreams,andrewchen,0,0,0,"Its almost like these are timed with recessions",,,,1238831549866561546,https://twitter.com/Startup_Dreams/status/1238831549866561546
2020-03-14 14:13:06,Startup_Dreams,,1,0,2,"Social distancing as a lifestyle",,,,1238830519271514113,https://twitter.com/Startup_Dreams/status/1238830519271514113
2020-03-14 14:10:10,Startup_Dreams,mdudas,0,0,0,"None. They're like NYC cockroaches",,,,1238829780436422657,https://twitter.com/Startup_Dreams/status/1238829780436422657
2020-03-14 14:07:53,Startup_Dreams,ZafarAmin,1,0,1,"Clean your house to minimize bacteria",,,,1238829203581292545,https://twitter.com/Startup_Dreams/status/1238829203581292545
2020-03-14 14:06:40,Startup_Dreams,BJHQ,0,0,0,"Loll. No.",,,,1238828899875860485,https://twitter.com/Startup_Dreams/status/1238828899875860485
2020-03-14 14:04:23,Startup_Dreams,Jason,0,0,0,"Fear & uncertainty is fine.....that's life. Pandemic & life altering issues? F no.",,,,1238828324048207872,https://twitter.com/Startup_Dreams/status/1238828324048207872
2020-03-14 12:48:39,UglowBornToLove,,0,0,0," ... I can’t cope with abuse #benzo #benzos #benzodiazepine #benzodiazepines #diazepam #valium #tranquilliser #tranquillisers",,,#benzo #benzos #benzodiazepine #benzodiazepines #diazepam #valium #tranquilliser #tranquillisers,1238809265655164930,https://twitter.com/UglowBornToLove/status/1238809265655164930
2020-03-14 11:57:59,Diagnosis___,M76945129,1,0,0,"Waah!.Hmey b kuch tips do",,,,1238796516279693312,https://twitter.com/Diagnosis___/status/1238796516279693312
2020-03-14 11:23:59,SrtaDiazepan,tardigradosol,0,0,1,"A topeeee",,,,1238787958951555073,https://twitter.com/SrtaDiazepan/status/1238787958951555073
2020-03-14 10:57:07,PharmaFactz,,0,12,46,"Correct Answer ----------- Diazepam LOT drugs are safest in those with liver disease: - Lorazepam - Oxazepam - Temazepam",,,,1238781197058224128,https://twitter.com/PharmaFactz/status/1238781197058224128
2020-03-14 10:45:06,SrtaDiazepan,ManelGolf,0,0,0,"Great ",,,,1238778173183139841,https://twitter.com/SrtaDiazepan/status/1238778173183139841
2020-03-14 10:24:48,Unfairfight,,0,0,0,"And....Diazepam ain't strong enough. Step your game up. @TheInvisibleMan",,@TheInvisibleMan,,1238773065040846849,https://twitter.com/Unfairfight/status/1238773065040846849
2020-03-14 09:52:51,Daredevil191,,0,0,1,"Tame Impala is like Wolfmother on diazepam",,,,1238765025692540933,https://twitter.com/Daredevil191/status/1238765025692540933
2020-03-14 08:50:19,trinadancer,,0,0,0,"Ice cream wine ipad tissue masks vitamin b12 and diazepam #isolationessentials",,,#isolationessentials,1238749287967793154,https://twitter.com/trinadancer/status/1238749287967793154
2020-03-14 07:38:32,kenpachibitch,,0,0,0,"could only down 6mg of diazepam but it's enough to put me to sleep plus some sleep aid capsules ",,,,1238731221594558464,https://twitter.com/kenpachibitch/status/1238731221594558464
2020-03-14 07:26:38,diazepam1g,vatrus_ka,1,0,0,"I dm intendi?",,,,1238728226593177600,https://twitter.com/diazepam1g/status/1238728226593177600
