date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-13 22:58:35,theautismcafe,teewhy_ward,2,0,3,"Well, not hard with Charlie. It’s constant running, screaming, stimming, jumping. Medication not working. But she did say, it could be due to severe autism. Hard to tell. Got ADHD diagnosis. We’re gonna start him on Dyanavel. He’s 7 next month.",,,,1228091122938978304,https://twitter.com/theautismcafe/status/1228091122938978304
2020-02-13 02:47:06,threejuniormnts,doc2rob,0,0,0,"He takes the chewable vyvanse now with no problem. The Dyanavel liquid is also not bad tasting. Both are super expensive- we are fortunate to have good insurance.",,,,1227786246350626819,https://twitter.com/threejuniormnts/status/1227786246350626819
2020-02-05 23:52:40,FalconBlanco74,DreRob2K,0,0,0,"Come on dude, Dyanavel, Dexedrine, Kapvay or maybe Tofranil? I’m close I know and good you’re getting help but there’s other options too - talk therapy? Maybe not ready for that yet or saving up for November?",,,,1225205631923163138,https://twitter.com/FalconBlanco74/status/1225205631923163138
2020-01-24 02:27:08,TheOnionQueene,diegosawr,0,0,1,"Vyvanse (made me have bad mood swings), Methylphenidate (made me depressed), Dyanavel (tastes bad).",,,,1220533463692075008,https://twitter.com/TheOnionQueene/status/1220533463692075008
2020-01-08 22:27:19,threejuniormnts,miaowlex,1,0,3,"Thank goodness, because my son has difficulty swallowing pills. He was able to take liquid Dyanavel, but after the discount card ran out it was $450/month because my insurance wouldn’t cover it.",,,,1215037291871244300,https://twitter.com/threejuniormnts/status/1215037291871244300
2020-01-04 19:57:08,threejuniormnts,OTirmizi,2,0,7,"Yep. Dyanavel for my kid was going to cost $450/month. I submitted letters from his pediatrician and his psychiatrist and his psychologist. They wouldn’t cover it.",,,,1213549947821395971,https://twitter.com/threejuniormnts/status/1213549947821395971
2019-11-17 03:18:18,BetterEd69,cryborg,0,2,1,"Adderall, Evekeo, Adzenys XR-ODT, Adzenys ER, Dyanavel XR, cocaine, meth, or any of the following list. ",,,,1195903964149174272,https://twitter.com/BetterEd69/status/1195903964149174272
2019-10-20 18:48:19,C_M_Hoffman,C_M_Hoffman,0,0,0,"Most get either Amphetamine-based (Adzenys, Dexedrine, Dyanavel, Evekeo, ProCentra, VYVANSE, Zenzedi) OR Methylphenidate-based (Aptensio, CONCERTA, Cotempla, Daytrana, Metadate, Methylin, QuilliChew, Quillivant, Ritalin) The ones in all caps I know friends have used effectively.",,,,1185991151746203658,https://twitter.com/C_M_Hoffman/status/1185991151746203658
2019-08-17 00:23:16,tiarannosaur,tiarannosaur,1,0,0,"There's Tranxene, Rivotril, Adderall and Dyanavel and Suboxone, MsContin, Dilaudid and Propulsid and Diamthazole, Palladone, Rohypnol and Butoform Amobarbital, Survector, Streptomycin and Pavulon And there may be many others but Pinkie haven't tried them yet!",,,,1162520233673986048,https://twitter.com/tiarannosaur/status/1162520233673986048
2019-06-21 12:07:02,florallavender,florallavender,1,0,0,"on her “I can do this” bs. The second one is Dyanavel. It’s an adhd med that helps stimulate certain things. These things have helped BKSKEKRJ TREMENDOUSLY HOLY SHIT I’m not kidding the adhd therapist, after 6 years of generic therapy, everything started improving w the work",,,,1142041232501350400,https://twitter.com/florallavender/status/1142041232501350400
2019-02-09 22:44:46,prpnews,,0,0,0,"http://tinyurl.com/y26y4lm9 Tris Pharma to Present Three Posters Covering Data on Dyanavel XR and Tris LiquiXR Technology at the 2019 APSARD Annual Meeting",,,,1094366526466068481,https://twitter.com/prpnews/status/1094366526466068481
2019-01-17 13:12:11,HedgeBz,,0,0,0,"Tris Pharma to Present Three Posters Covering Data on Dyanavel® XR and Tris’ LiquiXR® Technology at the 2019 APSARD Annual Meeting https://hedgeaccordingly.com/tris-pharma-to-present-three-posters-covering-data-on-dyanavel-xr-and-tris-liquixr-technology-at-the-2019-apsard-annual-meeting/",,,,1085887509609869312,https://twitter.com/HedgeBz/status/1085887509609869312
2019-01-17 12:50:27,RazzleTazzleMag,,0,0,0,"Tris Pharma to Present Three Posters Covering Data on Dyanavel® XR and Tris’ LiquiXR® Technology at the 2019 APSARD Annual Meeting http://razzletazzle.com/showbiz-rightnow/tris-pharma-to-present-three-posters-covering-data-on-dyanavel-xr-and-tris-liquixr-technology-at-the-2019-apsard-annual-meeting/2019/01/17/",,,,1085882040837378048,https://twitter.com/RazzleTazzleMag/status/1085882040837378048
2019-01-16 00:51:11,prpnews,,0,0,0,"http://tinyurl.com/ybu2m5o3 Tris Pharma Presents Results from Two Clinical Studies on Dyanavel XR at the Largest Annual Meeting of Child and Adolescent Psychiatrists",,,,1085338640815935488,https://twitter.com/prpnews/status/1085338640815935488
2019-01-02 15:30:52,anthro_sarah,Nicole_Cliffe,0,0,0,"75 mg Zoloft daily for anxiety/depression. 5 ml Dyanavel for ADHD with a 2 pm booster of 5-10 mg of Adderall if needed. Took experimenting with several meds to find the right combo for that one.",,,,1080486591993307137,https://twitter.com/anthro_sarah/status/1080486591993307137
