date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 14:56:56,TheRealAlphrita,,0,0,0,"@usa @GOP @potus @fbi @katyperry @FINALLEVEL @icecube @tariqnasheed @WarrenBuffett @CIA @S_C_ @foxnews @CondoleezzaRice @arod @apple @CliveDavis @spike. @SecretaryCarson Filipinos use drugs to be mediums. I used Invega then Abilify. Fanapt takes away the delusions. You hear Right",,@usa @GOP @POTUS @FBI @katyperry @FINALLEVEL @icecube @tariqnasheed @WarrenBuffett @CIA @S_C_ @FoxNews @CondoleezzaRice @AROD @Apple @CliveDavis @spike @SecretaryCarson,,1234130508575059968,https://twitter.com/TheRealAlphrita/status/1234130508575059968
2020-02-26 06:24:01,SiteFocusHQ,,0,0,0,"$VNDA Earnings Intelligence Analysis of recent earnings identified Vanda Pharmaceuticals Incorporated (NASDAQ: VNDA ) business focus on (fanapt,tradipitant), (fanapt,hetlioz), (cash,hetlioz,product) https://www.sitefocus.com/cif/ei/cd_vnda327720200225",,,,1232551877033619456,https://twitter.com/SiteFocusHQ/status/1232551877033619456
2020-02-25 17:22:33,GobesN75,deafcon_meg,1,0,1,"Yeah I’m on day 5 of not taking my fanapt...talk about feeling wonky and thank you VA. ",,,,1232355214117818369,https://twitter.com/GobesN75/status/1232355214117818369
2020-01-23 15:16:58,dokidokiporo,,0,0,0,"Don't forget your fanapt. You're anemic without it. But helplessness never goes away; comfort is ever out of reach.",,,,1220364810568769537,https://twitter.com/dokidokiporo/status/1220364810568769537
2020-01-14 14:43:32,patesalo_e,,0,0,0,"Vanda Pharmaceuticals Wins Key U.S. Supreme Court Patent Ruling on Fanapt® - P&amp;T Community ",,,,1217094906084130818,https://twitter.com/patesalo_e/status/1217094906084130818
2020-01-14 11:59:33,patesalo_e,,0,0,0,"Vanda Pharma prevails in Fanapt patent challenge - Seeking Alpha ",,,,1217053635638489089,https://twitter.com/patesalo_e/status/1217053635638489089
2020-01-14 07:58:04,newsfilterio,,0,0,0,"Vanda Pharmaceuticals Wins Key U.S. Supreme Court Patent Ruling on Fanapt® $VNDA",,,,1216992867425583104,https://twitter.com/newsfilterio/status/1216992867425583104
2020-01-14 06:19:08,FilingSearch,,0,0,0,"#Vanda #pharmaceuticals Wins Key U.S. Supreme Court #Patent Ruling on Fanapt. Vanda Pharmaceuticals Inc announced that the US #SupremeCourt has denied the #Petition for a writ of certiorari filed by #WestWard Pharmaceuticals for #Fanapt. #PressRelease at https://www.filingsearch.com/omp/202001155930/ex",,,#Vanda #pharmaceuticals #Patent #SupremeCourt #Petition #WestWard #Fanapt #PressRelease,1216967968011112451,https://twitter.com/FilingSearch/status/1216967968011112451
2020-01-14 03:56:47,cmencke,,0,1,0,"AwesomeCapital: Vanda Pharma prevails in Fanapt patent challenge https://awesomecapital.blogspot.com/2020/01/vanda-pharma-prevails-in-fanapt-patent.html?spref=tw",,,,1216932146079846401,https://twitter.com/cmencke/status/1216932146079846401
2020-01-13 21:14:14,Briefingcom,,0,1,1,"$VNDA: Vanda Pharma reports win in key US Supreme Court patent ruling on Fanapt http://bit.ly/2te0pHN",,,,1216830841877229568,https://twitter.com/Briefingcom/status/1216830841877229568
2020-01-13 21:05:06,patesalo_e,,0,0,0,"Vanda Pharmaceuticals Wins Key U.S. Supreme Court Patent Ruling on Fanapt® - Yahoo Finance https://yhoo.it/2ReI31q",,,,1216828541704134656,https://twitter.com/patesalo_e/status/1216828541704134656
2020-01-13 19:32:19,pharminews,,0,0,0,"Vanda Pharmaceuticals Wins Key U.S. Supreme Court Patent Ruling on Fanapt® http://zpr.io/tm8r6 #news #pharma #pharmiweb",,,#news #pharma #pharmiweb,1216805192303288322,https://twitter.com/pharminews/status/1216805192303288322
2020-01-13 19:25:21,CrweWorld,,0,0,0,"Vanda Pharmaceuticals Wins Key U.S. Supreme Court Patent Ruling on Fanapt® http://crweworld.com/article/news-provided-by-pr-newswire/1377640/vanda-pharmaceuticals-wins-key-us-supreme-court-patent-ruling-on-fanapt",,,,1216803438681395200,https://twitter.com/CrweWorld/status/1216803438681395200
2020-01-13 19:16:33,patesalo_e,,0,0,0,"Vanda Pharmaceuticals Wins Key US Supreme Court Patent Ruling on Fanapt® - PRNewswire https://prn.to/2TlWzHa",,,,1216801222276943872,https://twitter.com/patesalo_e/status/1216801222276943872
2020-01-13 19:15:59,otcdynamics,,0,0,0,"$VNDA Vanda Pharmaceuticals Wins Key U.S. Supreme Court Patent Ruling on Fanapt® https://www.otcdynamics.com/vnda-vanda-pharmaceuticals-wins-key-u-s-supreme-court-patent-ruling-on-fanapt/?utm_campaign=twitter&amp;utm_medium=twitter&amp;utm_source=twitter",,,,1216801082086690817,https://twitter.com/otcdynamics/status/1216801082086690817
2020-01-13 19:13:33,iluvstocks1,,0,0,1,"$VNDA Vanda Pharmaceuticals Wins Key U.S. Supreme Court Patent Ruling on Fanapt®",,,,1216800470087479298,https://twitter.com/iluvstocks1/status/1216800470087479298
