date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:29:25,CatboyMaid,,0,0,1,"rum raisin o clock",,,,1239015816135421952,https://twitter.com/CatboyMaid/status/1239015816135421952
2020-03-15 02:27:04,bettersoma,,0,0,2,"No social distancing at 7th and market. Bustling. Just bustling. Yelling. Fentanyl and straws. People folded over. Bindles in mouths. Business as usual. No concern. Bustling corner. Thriving. Dealers and users usher in Saturday night like corona never existed.",,,,1239015226638385152,https://twitter.com/bettersoma/status/1239015226638385152
2020-03-15 02:25:32,yaboyweeds,PatMcAfeeShow,0,0,0,"I’ve seen cocaine is a cure. Maybe it’s actually fentanyl",,,,1239014841156882435,https://twitter.com/yaboyweeds/status/1239014841156882435
2020-03-15 02:23:04,juliecarveth2,tim_timiii,0,0,0,"Food stamps Poverty Joblessness Socialism Demolished military Illegals Fentanyl Liberalism The list goes on and on",,,,1239014219707584512,https://twitter.com/juliecarveth2/status/1239014219707584512
2020-03-15 02:22:05,bzztook,alberkamyyy,1,0,1,"eww zombie",,,,1239013973506260992,https://twitter.com/bzztook/status/1239013973506260992
2020-03-15 02:15:47,dissociatin,,0,0,0,"fentanyl patches",,,,1239012388516425728,https://twitter.com/dissociatin/status/1239012388516425728
2020-03-15 02:15:15,NHale1776,kristinemontel1,0,0,1,"Agreed. My fear is still all the Fentanyl they have smuggled in. This would make mass casualty event their hail marry just before the election.",,,,1239012254336667648,https://twitter.com/NHale1776/status/1239012254336667648
2020-03-15 02:08:30,yousuckmybaal,FEEZYDoesIT,0,0,0,"They don't even speak English or say excuse me.. they have no shame. Tehy the ones that started this entire mess and send us their Fentanyl.",,,,1239010552338243585,https://twitter.com/yousuckmybaal/status/1239010552338243585
2020-03-15 02:06:13,IngaBingaBoon,,1,1,1,"Americans will love them as they are cut with fentanyl. ",,,,1239009978150612992,https://twitter.com/IngaBingaBoon/status/1239009978150612992
2020-03-15 02:01:55,urhomegirl,,0,0,2,"ain’t no fentanyl up in my xans",,,,1239008898109050881,https://twitter.com/urhomegirl/status/1239008898109050881
2020-03-15 02:01:23,tschubauer,Goodtweet_man,0,0,1,"BREAKING: Researchers discover methamphetamine and fentanyl highly effective against coronavirus",,,,1239008765153873921,https://twitter.com/tschubauer/status/1239008765153873921
2020-03-15 02:00:15,truthseekerd,truthseekerd,1,0,0,"Put North Korea in check-cut taxes-stopping China from sending illegal drugs here like fentanyl-exposed the huge pedo networks who prey on defenseless children-increased money for small business loans to further the economic gains-stopped accruing interest for student loans...",,,,1239008477147783168,https://twitter.com/truthseekerd/status/1239008477147783168
2020-03-15 01:56:09,FentanylFedora,Coronavirus_Guy,0,0,1,"yikes",,,,1239007446397595648,https://twitter.com/FentanylFedora/status/1239007446397595648
2020-03-15 01:53:20,Ockavelli1,ItsMe_Duhhhh,0,0,0,"Fentanyl tweet ",,,,1239006736981340160,https://twitter.com/Ockavelli1/status/1239006736981340160
2020-03-15 01:53:08,dlmacc,paulsperry_,0,0,0,"China has been trying to kill us for years. Lead paint on toys, poison dog food, fentanyl, etc",,,,1239006687459258368,https://twitter.com/dlmacc/status/1239006687459258368
2020-03-15 01:52:48,MrRenjowww,TheTweetOfGod,0,0,0,"Have you tried putting it in his daily dose of fentanyl? ",,,,1239006603535417344,https://twitter.com/MrRenjowww/status/1239006603535417344
2020-03-15 01:44:44,bzztook,fjollaxhakolii,1,0,1,"pain",,,,1239004574154924032,https://twitter.com/bzztook/status/1239004574154924032
2020-03-15 01:44:10,pickmepIease,,0,0,4,"u are who u surround yourself w u dont get to be better when u allow your friends to act a damn fool.",,,,1239004432056168449,https://twitter.com/pickmepIease/status/1239004432056168449
2020-03-15 01:43:28,pickmepIease,,1,0,8,"yall love surrounding yourself with disgusting ass people and still be self righteous ass fuck.",,,,1239004255937343488,https://twitter.com/pickmepIease/status/1239004255937343488
2020-03-15 01:40:18,sayno2fentanyl,danachuu,0,0,0,"Must be in SB",,,,1239003456037216256,https://twitter.com/sayno2fentanyl/status/1239003456037216256
2020-03-15 01:39:54,bzztook,fjollaxhakolii,1,0,1,"hi beauty",,,,1239003354946297856,https://twitter.com/bzztook/status/1239003354946297856
2020-03-15 01:29:59,pizzatoolsx0,,1,1,1,"A Bartlesville Police officer collapsed after he was exposed to fentanyl while logging evidence after a traffic stop #LivePDNation #LivePD #BlueLivesMatter #BackTheBlue #ThinBlueLine #SupportThePolice #LawEnforcement #Police https://defensemaven.io/bluelivesmatter/news/video-officer-collapses-from-fentanyl-exposure-in-police-station-KM1yZLAAfUiGT-yx65Pwlg via @bluelivesmtr",,@bluelivesmtr,#LivePDNation #LivePD #BlueLivesMatter #BackTheBlue #ThinBlueLine #SupportThePolice #LawEnforcement #Police,1239000862871207936,https://twitter.com/pizzatoolsx0/status/1239000862871207936
2020-03-15 01:20:53,_kitxkat,,0,0,0,"if you're a drug, you're prolly fentanyl and I'm insanely addicted to you",,,,1238998569350131712,https://twitter.com/_kitxkat/status/1238998569350131712
2020-03-15 01:19:43,zajki904,,0,0,0,"All White Girlz Are Not Snow Bunnies You Got Cocaine Cats, Fentanyl Ferrets, Meth Monkeys, heroin hyenas, And Percocet Possums!!! ",,,,1238998277892329479,https://twitter.com/zajki904/status/1238998277892329479
2020-03-15 01:18:31,2Fentanyl,,0,0,4,"happy birthday binch",,,,1238997975088664577,https://twitter.com/2Fentanyl/status/1238997975088664577
2020-03-15 01:17:39,MedleyMike,MrDre_,0,0,0,"People didn’t stop doing coke when the fentanyl deaths started rolling in, don’t give people to much credit.",,,,1238997759018954752,https://twitter.com/MedleyMike/status/1238997759018954752
2020-03-15 01:17:27,Stop_Fentanyl,RealSLokhova,0,0,1,"Trump hands it right back to them.",,,,1238997706942615552,https://twitter.com/Stop_Fentanyl/status/1238997706942615552
2020-03-15 01:10:49,pickmepIease,IFTVofficial,0,3,7,"son this shit makes me so happy Ksmdkdks",,,,1238996036133294080,https://twitter.com/pickmepIease/status/1238996036133294080
