date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:41:55,sihyougn,melaniewithanie,1,0,61,"No, that’s Focalin. Quarantine is a small replica of something, usually a character or animal.",,,,1239018963952177153,https://twitter.com/sihyougn/status/1239018963952177153
2020-03-13 04:02:32,Mamabug1981,KarylAnneGeary,1,0,0,"We have the same issue with my son's Focalin.",,,,1238314473921765376,https://twitter.com/Mamabug1981/status/1238314473921765376
2020-03-12 23:44:53,JoephMoeph,BustedToucan,0,0,0,"Nahhh, you're fine! I got used to silly interactions like that 'cause short term memory loss. Even today, I took melatonin, forgot a few seconds later, and then took focalin. being sleepy-focused was a trip ngl",,,,1238249638056153090,https://twitter.com/JoephMoeph/status/1238249638056153090
2020-03-12 12:12:38,JoephMoeph,,1,0,0,"I KNOW I should be working on making a popper sleep schedule, but I feel good and wanna draw right now! Think I'm about to pop my focalin and start drawing ",,,,1238075423914745856,https://twitter.com/JoephMoeph/status/1238075423914745856
2020-03-12 03:20:15,lusis,andrewwatson,0,0,0,"there has been a consistent shortage of focalin in various dosage sizes: - 5mg XR so we bumped to 10 - 10mg XR so we bumped to 15 it's fucking nuts.",,,,1237941445597765632,https://twitter.com/lusis/status/1237941445597765632
2020-03-11 15:01:24,_OH_Wells,Pr0ject161,0,0,1,"I brought back coronas for everyone like my hero Vin Diesel.",,,,1237755508632756224,https://twitter.com/_OH_Wells/status/1237755508632756224
2020-03-11 15:00:47,Pr0ject161,Focalin,1,0,1,"Kick him out. He lied and can’t be trusted! He must be planning something very evil.",,,,1237755354622156802,https://twitter.com/Pr0ject161/status/1237755354622156802
2020-03-11 02:21:13,Pr0ject161,Focalin,1,0,0,"Did he come back with a kangaroo and a koala?",,,,1237564203377909760,https://twitter.com/Pr0ject161/status/1237564203377909760
2020-03-11 01:57:24,queersorceress,pawcelot,0,0,1,"i switched to vyvance from focalin xr and it has been great. i’m on the same dose as the focalin (40mg) with no side effects like i get from adderall (i couldn’t handle above 20-30mg, as it would have me passing out as i crashed)",,,,1237558210812211200,https://twitter.com/queersorceress/status/1237558210812211200
2020-03-10 22:00:53,callenlynx,actualgayrobot,1,0,0,"thats how i felt when i started takin my meds maybe u need a higher dosage??? i take focalin tho so idk how different that is from adderall",,,,1237498689800687616,https://twitter.com/callenlynx/status/1237498689800687616
2020-03-10 21:50:16,benhem612,UrsulaV,0,0,3,"For the first three weeks on focalin I kept waiting to turn back into a pumpkin. I was like oh wow I can think something and then do it, this is weird.",,,,1237496017068711936,https://twitter.com/benhem612/status/1237496017068711936
2020-03-10 20:33:39,clowndykebar,,0,0,1,"Took too much focalin, head feels like hell and can't work, god I'm so fucked in school",,,,1237476734221660161,https://twitter.com/clowndykebar/status/1237476734221660161
2020-03-10 16:53:43,EvanDMee1,PixScienceCo,0,0,1,"I take focalin. It’s chemically most similar to Adderall I believe but tends to have fewer side effects.",,,,1237421385770602497,https://twitter.com/EvanDMee1/status/1237421385770602497
2020-03-10 14:05:36,kateDHD,ADHDsurprise,0,0,2,"my PCP didn’t take me seriously & had me on 10mg of adderall XR and refused to even consider changing it no matter how much i insisted it wasn’t working. my psychiatrist now has me on 40mg focalin XR and 20mg focalin IR as needed. don’t stop until someone listens to what you need",,,,1237379077138526209,https://twitter.com/kateDHD/status/1237379077138526209
2020-03-10 03:52:58,branewurms,BBolander,0,0,0,"that was my reaction! i was on adderall or focalin at various points like ~15yrs ago and i was never asked to pee in a cup! &amp; i’ve never even gotten an official adhd diagnosis, just a “you may have adhd &amp; this will help your depression too so let’s try it”",,,,1237224903687970816,https://twitter.com/branewurms/status/1237224903687970816
2020-03-10 01:38:55,becc_art,remembrancermx,0,0,1,"FUCK YEAH focalin o/",,,,1237191169991467009,https://twitter.com/becc_art/status/1237191169991467009
2020-03-09 22:21:57,cearafaithh,,0,0,0," I’m facing almost every single side effect from focalin and I just truly DO NOT love that for me ",,,,1237141603191578626,https://twitter.com/cearafaithh/status/1237141603191578626
2020-03-09 13:58:55,Vappy12,,1,0,1,"Fuck fuck fuck fuck fuck fuck i drank really strong coffee today without thinking and also accidentally took my leftover focalin (Im on vyvance now) I hope to God I don't have a heart attack",,,,1237015009085075456,https://twitter.com/Vappy12/status/1237015009085075456
2020-03-09 00:33:15,remembrancermx,vox_corvi,4,0,1,"So part of it was, I was only in Wellbutrin XL 300 mg. My ADHD was so unmanaged that I couldn’t breathe long enough to create. Adderall helped the ADHD but aggression killed the creativity, too. Focalin helped manage w/o killing the creativity.",,,,1236812257767522304,https://twitter.com/remembrancermx/status/1236812257767522304
2020-03-08 08:22:16,Normal_Drew,,1,0,0,"Adderall (didn't work) Ritalin (made me short tempered) Concerta (most recent not really working med) Focalin (didnt work) Vyvanse (made me sleepy as fuck) Guanfacine (kinda worked) I cant remember them all, I have about 3 large folders from age 4 thru now (17) with my [6",,,,1236567900636336129,https://twitter.com/Normal_Drew/status/1236567900636336129
2020-03-08 07:03:56,wormcollegebot,,0,0,0,"i don't know how to take focalin today cause i ran out of my new meds and i forgot just how much and i can't tell if it's bc it's...",,,,1236548186539524097,https://twitter.com/wormcollegebot/status/1236548186539524097
2020-03-08 02:12:25,transgirltrish,TiredDunsparce,1,0,1,"I was runtish too, or close to that for a little bit, plus i had asthma symptoms. A good one that worked well for me was Focalin XR, and i think it was covered pretty well by our insurance too.",,,,1236474823469137921,https://twitter.com/transgirltrish/status/1236474823469137921
2020-03-08 01:47:02,cybershoujo,cybershoujo,1,0,21,"i was on twice my prescribed dose of focalin when i drew this but thank you everyone for the likes and rts ",,,,1236468437255421957,https://twitter.com/cybershoujo/status/1236468437255421957
2020-03-07 22:09:45,cybershoujo,taeskull27,1,0,0,"Half an hour maybe 45 minutes tops Again, please do not take double a prescribed focalin dose, ever",,,,1236413756902703104,https://twitter.com/cybershoujo/status/1236413756902703104
2020-03-07 21:39:22,cybershoujo,,3,0,12,"I think i accidentally took double my usual focalin dose today. Protip: Don't do that",,,,1236406108274724871,https://twitter.com/cybershoujo/status/1236406108274724871
2020-03-07 20:51:59,cybershoujo,,0,0,5,"Drink water when youre on focalin. Please. for the love of god",,,,1236394183633645568,https://twitter.com/cybershoujo/status/1236394183633645568
2020-03-07 06:27:04,bepenised,,0,1,4,"they said her name was molly but she skis like focalin ",,,,1236176522320285696,https://twitter.com/bepenised/status/1236176522320285696
2020-03-07 04:22:57,ladygreen83,Staco873,0,0,1,"Focalin, which he's been on for about a year or two we know affects his appetite, so we make sure he has breakfast and lunch before taking the med. If I remember correctly, that's one of the side effects for pretty much any stimulant med of sorts.",,,,1236145288588509186,https://twitter.com/ladygreen83/status/1236145288588509186
2020-03-06 22:32:25,cheekymonkeyz10,gayfrose,0,0,2,"never used meth but have similar history and my life was stuck for years before my doc put me back on a stimulant (Focalin), had a hard time holding job and behavior issues, now I’m back in school again. Vyvanse might be worth looking in to as it’s a prodrug",,,,1236057073517039618,https://twitter.com/cheekymonkeyz10/status/1236057073517039618
