date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 13:23:26,VonGMasters,,0,0,0," — Can't do that as I don't have a top three, due to liking so many songs! Hard to pick.",,,,1239180407058432000,https://twitter.com/VonGMasters/status/1239180407058432000
2020-03-15 13:19:53,VonGMasters,Draikulth,0,0,0,"Yep! So true!",,,,1239179514959273986,https://twitter.com/VonGMasters/status/1239179514959273986
2020-03-15 03:30:50,VonGMasters,MoonWuff,0,0,0,"Don't be sorry. Being sorry for venting just makes you hold it all in till you implode. It's not good to do.",,,,1239031273424850946,https://twitter.com/VonGMasters/status/1239031273424850946
2020-03-15 03:29:34,GeordonPorter,,2,0,13,"I just wanted to know who the NBA champs were gonna be ",,,,1239030955278340096,https://twitter.com/GeordonPorter/status/1239030955278340096
2020-03-15 01:14:50,VonGMasters,FWgrandall,0,0,0,"That'd be fine.",,,,1238997049368023040,https://twitter.com/VonGMasters/status/1238997049368023040
2020-03-15 00:13:03,VonGMasters,geemo88,0,0,0,"Got the email myself. Can be good for some people. For me I'd except it from the delivery driver all the time. Unless I was sick.",,,,1238981500059688960,https://twitter.com/VonGMasters/status/1238981500059688960
2020-03-14 23:42:00,VonGMasters,Char_Draesia,0,0,1,"We're all weirdos in our own way! Normality is boring!",,,,1238973687723892736,https://twitter.com/VonGMasters/status/1238973687723892736
2020-03-14 23:41:00,VonGMasters,BarepawedBeast,0,0,1,"Need to fucking storm his place and steal it all and distribute it to those in need. Same with all the other fuckers that do this!",,,,1238973435449167873,https://twitter.com/VonGMasters/status/1238973435449167873
2020-03-14 22:23:49,VonGMasters,PulsarCardinal,0,0,0,"I won't. He's punishment is death! Which I hope happens and he spreads it to as many of his cabinet and they die. Lots of old men that care for profits over people need to die!",,,,1238954011719540737,https://twitter.com/VonGMasters/status/1238954011719540737
2020-03-14 21:07:43,TheOnlyDoubleGx,,0,0,0,"If it's meant to be I'll see her again ",,,,1238934861613641729,https://twitter.com/TheOnlyDoubleGx/status/1238934861613641729
2020-03-14 20:31:48,TheOnlyDoubleGx,,0,0,2,"Seriously met the most badass girl last night, she might be the onee",,,,1238925821089210368,https://twitter.com/TheOnlyDoubleGx/status/1238925821089210368
2020-03-14 20:00:30,geowollner,,0,0,5,"I hope the sweet lady with the calm voice on the phone for United that called me “ma’am” more times than necessary that took care of me in less than 5 minutes has a great fucking day",,,,1238917943746007040,https://twitter.com/geowollner/status/1238917943746007040
2020-03-14 19:05:17,TheOnlyDoubleGx,bbculp,0,0,1,"The goodest boi",,,,1238904049874767873,https://twitter.com/TheOnlyDoubleGx/status/1238904049874767873
2020-03-14 18:25:00,Geo__Don,,0,0,2,"OMG. A fellow prof just sent an email with a http://prodigy.net address.",,,,1238893908647690249,https://twitter.com/Geo__Don/status/1238893908647690249
2020-03-14 18:23:53,whinybabydog,xSnottie,0,0,2,"Absolutely. I’ve vomited from bad attacks when I was on Geodon",,,,1238893628111626240,https://twitter.com/whinybabydog/status/1238893628111626240
2020-03-14 16:29:37,TheOnlyDoubleGx,monxxbeats,0,0,0,"Because there are only rare moments of clarity, so you do drugs to enhance them",,,,1238864873750056960,https://twitter.com/TheOnlyDoubleGx/status/1238864873750056960
2020-03-14 16:27:07,TheOnlyDoubleGx,thedriedsoap,0,0,0,"I am G",,,,1238864243371339776,https://twitter.com/TheOnlyDoubleGx/status/1238864243371339776
2020-03-14 16:21:26,AirGeordon,,0,0,0,"No, I’m not going to the party with you... goofy.",,,,1238862813013123073,https://twitter.com/AirGeordon/status/1238862813013123073
2020-03-14 16:14:18,TheOnlyDoubleGx,,0,0,0,"Did anyone go to frequency last night??",,,,1238861017049751553,https://twitter.com/TheOnlyDoubleGx/status/1238861017049751553
2020-03-14 15:58:12,tyler_geordon,nicole_koehn,0,0,2,"VANILLA BEANE IS HERE",,,,1238856965339484160,https://twitter.com/tyler_geordon/status/1238856965339484160
2020-03-14 14:57:30,TheOnlyDoubleGx,,0,0,0,"Spaced outtt",,,,1238841690082799616,https://twitter.com/TheOnlyDoubleGx/status/1238841690082799616
2020-03-14 11:19:10,VonGMasters,,0,0,0," — Renaissance is my favorite for art history.",,,,1238786744817979393,https://twitter.com/VonGMasters/status/1238786744817979393
2020-03-14 10:53:25,VonGMasters,Acheroth,0,0,0,"Glad you're able to get at least one.",,,,1238780265998233600,https://twitter.com/VonGMasters/status/1238780265998233600
2020-03-14 03:49:01,AirGeordon,DiAndreaaaa,0,0,0,"I appreciate this tweet. ",,,,1238673460462792704,https://twitter.com/AirGeordon/status/1238673460462792704
2020-03-14 03:37:02,AirGeordon,,0,0,0,"Taking shots when you should’ve been taking notes ",,,,1238670446087811072,https://twitter.com/AirGeordon/status/1238670446087811072
2020-03-14 01:27:33,VonGMasters,Purrcules,0,0,0,"Be interesting to see!",,,,1238637862628798464,https://twitter.com/VonGMasters/status/1238637862628798464
2020-03-14 00:32:02,AirGeordon,,0,0,0,"“No more shopping spreeeeees, no more late night creeeps, no more VIP, no more dough... you can’t even lick it no more” ",,,,1238623890517241856,https://twitter.com/AirGeordon/status/1238623890517241856
2020-03-14 00:26:25,AirGeordon,,0,0,0,"Typing while I’m typing is rude... it’s almost like you talking over me ",,,,1238622476281749509,https://twitter.com/AirGeordon/status/1238622476281749509
2020-03-14 00:22:43,AirGeordon,radricadavis_,0,0,1,"Same",,,,1238621547088281602,https://twitter.com/AirGeordon/status/1238621547088281602
2020-03-14 00:20:38,VonGMasters,GritzOz,0,0,2,"He's so awesome! Plus I bet a lot of people would be his loyal subjects and he'd become even bigger. Heh",,,,1238621022741581824,https://twitter.com/VonGMasters/status/1238621022741581824
2020-03-13 22:57:46,VonGMasters,artdecaderoo,0,0,1,"I'll just be happy if the old rich white men in charge and don't give a shit about anything else but making more money die.",,,,1238600165377875969,https://twitter.com/VonGMasters/status/1238600165377875969
2020-03-13 19:15:17,AirGeordon,,0,1,0,"Bitches be thinkin they a vibe... when they be a whole loser. next.",,,,1238544177761222657,https://twitter.com/AirGeordon/status/1238544177761222657
2020-03-13 18:49:22,VonGMasters,,0,0,0,"As you can see the toilet paper and paper towels aisle is of course desimated. They also have limit signs as you can see.",,,,1238537656621023239,https://twitter.com/VonGMasters/status/1238537656621023239
2020-03-13 18:45:27,VonGMasters,,1,0,0,"Just went to my local Walmart and a lot of aisles are desaimated. The aisles in question in the pics below are bottled water, eggs, bleach, sanitizer wipes and disinfectants. I'll post more pics in the bottom of this thread. 1/2",,,,1238536667977433089,https://twitter.com/VonGMasters/status/1238536667977433089
2020-03-13 18:30:16,VonGMasters,AtmanRyu,0,0,0,"So true and same!",,,,1238532849982111752,https://twitter.com/VonGMasters/status/1238532849982111752
2020-03-13 18:24:44,VonGMasters,GrisserBernard,0,0,0,"That it is!",,,,1238531453958459394,https://twitter.com/VonGMasters/status/1238531453958459394
2020-03-13 18:13:23,VonGMasters,bgnnightmode,0,0,0,"Just went to Walmart myself and shits the same.",,,,1238528598002282497,https://twitter.com/VonGMasters/status/1238528598002282497
2020-03-13 17:54:16,GeordonH,,0,0,3,"Why don’t they just make a statement that anything that is fun or half decent is being cancelled because of the flu",,,,1238523789346050049,https://twitter.com/GeordonH/status/1238523789346050049
2020-03-13 17:37:59,VonGMasters,Draikulth,0,0,0,"Exactly",,,,1238519690697285634,https://twitter.com/VonGMasters/status/1238519690697285634
2020-03-13 17:37:48,VonGMasters,PulsarCardinal,0,0,0,"I thought it was going to be lube and dildos.",,,,1238519644341907457,https://twitter.com/VonGMasters/status/1238519644341907457
2020-03-13 17:31:33,VonGMasters,TyrRemora,0,0,0,"When the virus is over",,,,1238518070764863488,https://twitter.com/VonGMasters/status/1238518070764863488
2020-03-13 15:43:03,AirGeordon,,0,1,1,"Niggas will hurt you and still won’t leave you alone... fuck else you want, my life ?!",,,,1238490765610946567,https://twitter.com/AirGeordon/status/1238490765610946567
2020-03-13 14:55:42,AirGeordon,,0,0,0,"I coughed last night and IMMEDIATELY prayed. ",,,,1238478849681301504,https://twitter.com/AirGeordon/status/1238478849681301504
2020-03-13 14:47:41,SickAnimalBot,,0,0,0,"This tiger needs Geodon!",,,,1238476835194908674,https://twitter.com/SickAnimalBot/status/1238476835194908674
2020-03-13 12:36:16,VonGMasters,,0,0,0," — Love video games and hate life in general.",,,,1238443759551090688,https://twitter.com/VonGMasters/status/1238443759551090688
2020-03-13 11:51:28,VonGMasters,Draikulth,0,0,0,"Welcome back",,,,1238432486071336961,https://twitter.com/VonGMasters/status/1238432486071336961
2020-03-13 08:37:35,SickAnimalBot,,0,0,0,"This camel needs Geodon!",,,,1238383694991237121,https://twitter.com/SickAnimalBot/status/1238383694991237121
2020-03-13 05:42:28,VonGMasters,TyrRemora,0,0,0,"I'm with you there!",,,,1238339625585979393,https://twitter.com/VonGMasters/status/1238339625585979393
2020-03-13 05:39:39,TheOnlyDoubleGx,,0,0,0,"Yes I'm a hoe but I'm a sweet hoe",,,,1238338917205590016,https://twitter.com/TheOnlyDoubleGx/status/1238338917205590016
2020-03-13 04:55:44,geowollner,mrcyxng,0,0,0,"I would do anything for you.",,,,1238327865004961793,https://twitter.com/geowollner/status/1238327865004961793
2020-03-13 04:55:22,geowollner,CRASHprez,0,0,1,"So you think about it a lot then.",,,,1238327769886593024,https://twitter.com/geowollner/status/1238327769886593024
2020-03-13 04:50:20,geowollner,TommyValtin,0,0,1,"I only trust you with any sort of data. You are the most reliable source.",,,,1238326506415423489,https://twitter.com/geowollner/status/1238326506415423489
2020-03-13 04:31:50,PaCardiology,FutrsurgPA,0,0,0,"Geodon? More like Geodon’t!..... ",,,,1238321850385563649,https://twitter.com/PaCardiology/status/1238321850385563649
2020-03-13 03:13:34,TheOnlyDoubleGx,Prince_Enigma_,1,0,1,"That's a fact, more time to prep",,,,1238302152981790723,https://twitter.com/TheOnlyDoubleGx/status/1238302152981790723
2020-03-13 02:29:42,VonGMasters,CardinalSinful,0,0,0,"Even if that was true. They'd still want you to come in. XD",,,,1238291114827882496,https://twitter.com/VonGMasters/status/1238291114827882496
2020-03-13 01:47:10,VonGMasters,ChaztheRedPanda,0,0,1,"Damn! Was waiting for the panic to set in, but not this quick.",,,,1238280410171346944,https://twitter.com/VonGMasters/status/1238280410171346944
2020-03-13 01:09:05,VonGMasters,SnootfulTonto,0,0,1,"They're hot!",,,,1238270826786553859,https://twitter.com/VonGMasters/status/1238270826786553859
2020-03-13 01:06:40,TonyRandazzo8,Comey,0,0,0,"Director I now take 80 mill ziprexadone ,generic for geodon &amp;500 milligram ;one pill depokote ! this works for me! I think this is required dosage! I do take two eleve pm to help sleep !they want to ruin my life further prob from police commissione or police?",,,,1238270217287086083,https://twitter.com/TonyRandazzo8/status/1238270217287086083
2020-03-13 01:06:24,TheOnlyDoubleGx,,1,2,4,"All my skinny ass wanted to do was shuffle to some filthy ass bass lines but no :( errthang canceled",,,,1238270149599170560,https://twitter.com/TheOnlyDoubleGx/status/1238270149599170560
2020-03-13 01:05:03,TheOnlyDoubleGx,,0,0,0,"Imagine a life without eyebrows , I already cant take people seriously",,,,1238269812406538240,https://twitter.com/TheOnlyDoubleGx/status/1238269812406538240
2020-03-13 01:00:55,TonyRandazzo8,Comey,0,0,0,"Director at hospital they gave me halidol a 60 year old medicine with many side effects! If they did not give me double dosage of geodon and depekode for 20 years! I would not have requested; a change? these clinics ;have ruined my intire life!",,,,1238268771653091330,https://twitter.com/TonyRandazzo8/status/1238268771653091330
2020-03-13 00:39:45,TheOnlyDoubleGx,HBKJet,0,0,1,"I'm widdit",,,,1238263443104432131,https://twitter.com/TheOnlyDoubleGx/status/1238263443104432131
2020-03-12 23:47:56,VonGMasters,BloodAD,0,0,0,"Same for myself",,,,1238250402795184128,https://twitter.com/VonGMasters/status/1238250402795184128
2020-03-12 23:46:48,geordonbb,,1,0,1,"The plane hasn’t even taken off yet and I hear a crying baby",,,,1238250117133631496,https://twitter.com/geordonbb/status/1238250117133631496
