date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:39:49,KEBrightbill,fidelioscabinet,0,0,0,"It's harder to find, but I prefer straight dextromethorphan cough syrup to a combo b/c there are different safe tolerances for different drugs. You can take more of the straight dxm stuff safely than you can combo syrups. Also, Amazon still has big guaifenesin bottles for cheap.",,,,1239018434303852544,https://twitter.com/KEBrightbill/status/1239018434303852544
2020-03-15 02:38:03,akamarvros,Abbeypantss,0,0,0,"if you haven't been actively coughing, I don't recommend taking it. Guaifenesin (the expectorant) is meant to thin out excess mucus and if you're not coughing things out, it's really not doing you any good.",,,,1239017992245084160,https://twitter.com/akamarvros/status/1239017992245084160
2020-03-15 02:24:40,IntractableLion,spookintheshell,1,0,1,"Guaifenesin is good to have on hand too",,,,1239014621371150336,https://twitter.com/IntractableLion/status/1239014621371150336
2020-03-15 02:01:21,Fam4Fun,bborrman,0,0,0,"Rest - Rehydrate - Reduce fever/pain/inflammation with ibuprofen or acetaminophen - Reduce/thin chest mucus congestion w/400 mg guaifenesin, Mucinex or Robitussin cough syrup - Replenish w/food as you can eat - more Rest! Call Your Dr or 911 if you get worse. Be Well Brandon ",,,,1239008753313169409,https://twitter.com/Fam4Fun/status/1239008753313169409
2020-03-15 01:56:37,fidelioscabinet,cnkeiper,2,1,5,"Cough medicine. One with an expectorant. A combo of dextromethorphan and guaifenesin is good. Guafenesin is the stuff in Mucinex. It thins out mucus so you can cough it up more easily. Take with water. It will taste terrible. Ibuprofen and/or acetaminophen for fever.",,,,1239007563880042497,https://twitter.com/fidelioscabinet/status/1239007563880042497
2020-03-14 23:33:25,atemyguts,YouGotSoldKaro,0,0,1,"everytime i see “Guaifenesin” i just think a guy finessing me",,,,1238971526067748865,https://twitter.com/atemyguts/status/1238971526067748865
2020-03-14 23:29:01,belisgo,YouGotSoldKaro,0,1,13,"I just got sick from reading Guaifenesin",,,,1238970417127264257,https://twitter.com/belisgo/status/1238970417127264257
2020-03-14 22:18:11,YouGotSoldKaro,,10,56,344,"You faked your symptoms in the middle of a pandemic just to score a 4 of Guaifenesin with Codeine. Congratulations.",,,,1238952594774667270,https://twitter.com/YouGotSoldKaro/status/1238952594774667270
2020-03-14 21:14:12,TuCroisSavoir,,1,0,0,"Things I have on hand, using/need now. Ibuprofen (or Acetaminophen). I need anti-inflammatories; Claritin (or Zyrtec); Mucinex (or guaifenesin). I take 800mg 3x daily. Extended release up to 1200mg 2x daily; Flonase, alternating with Afrin Decongestant spray, when needed instead.",,,,1238936489427234816,https://twitter.com/TuCroisSavoir/status/1238936489427234816
2020-03-14 21:10:42,Mothersdream,JoeSilverman7,0,0,1,"Good to know. So nothing with guaifenesin in it?",,,,1238935609760043008,https://twitter.com/Mothersdream/status/1238935609760043008
2020-03-14 20:26:54,BenJoBubble,,0,0,0,"Pulled up to @cvspharmacy drive thru to get some guaifenesin for this ""very persistent COUGH"" I have. TheCap'n tells guy we don't think we should come in the store. Dude: ""We're very busy. We can't shop for you. You have to come inside."" Me: ""Okie dokie. Y'all go wif gawd."" ",,@cvspharmacy,,1238924588169519104,https://twitter.com/BenJoBubble/status/1238924588169519104
2020-03-14 20:08:19,danielmalmer,,5,0,1,"Looked into which OTC medications might help in the case of COVID-19. This might be wrong, but what I've planned for is: - Fever reducer, like acetaminophen. - NyQuil - dextromethorphan. - Robitussin - dextromethorphan. I don't think guaifenesin or pseudoephedrine will help.",,,,1238919911201591297,https://twitter.com/danielmalmer/status/1238919911201591297
2020-03-14 17:25:50,renice,AynRandPaulRyan,0,0,0,"I doubt it. I suspect that instead they should be looking at the mechanism that causes your body fluids to thicken. The infected must work super hard to expectorate very viscous phlegm. Not even guaifenesin helped. Treatment protocols must be reconsidered. Move! Don't lie still. ",,,,1238879019149471747,https://twitter.com/renice/status/1238879019149471747
2020-03-14 14:07:16,hobolaptop,frightenedtrav,0,0,1,"Same here. All calm on the home front. I have seen sick people sweating buckets while working in smaller plastic shops though. Check my recent thread about vitamin D, tonic water, zinc, Guaifenesin. I assume supplies are still good now.",,,,1238829049398489089,https://twitter.com/hobolaptop/status/1238829049398489089
2020-03-14 11:37:04,Anaya65056551,DrTedros,0,0,0,"have a cure of coronavirus - By adding GCFs drugs,interferon drugs, guaifenesin,carbohydrates blockers pills and influenza drugs if they will be added to Rna vaccines , a new vaccine for coronavirus . kindly check",,,,1238791251635236864,https://twitter.com/Anaya65056551/status/1238791251635236864
