date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:39:51,gabbalien,,0,0,0,"i am on hydrocodone &amp; xanax rn (prescribed of course) &amp; really don’t give AF rn. Should i go on a little rant about issues in the world that SHOULD be talked about ",,,,1239018441836843008,https://twitter.com/gabbalien/status/1239018441836843008
2020-03-15 02:34:21,Chazy_TheLeader,,0,0,0,"Roaches in the bowl, hydrocodone lemonade",,,,1239017059574591488,https://twitter.com/Chazy_TheLeader/status/1239017059574591488
2020-03-15 02:05:00,AlamoOnTheRise,axios,2,8,10,"So, there's no test kits in West Virginia, but, an estimated 433 hydrocodone and oxycodone pills per person. Got it! ",,,,1239009675019988994,https://twitter.com/AlamoOnTheRise/status/1239009675019988994
2020-03-15 01:55:40,LexiTheGinger,,0,0,2,"In MO at 16 I went to urgent care for a sprained ankle and they gave me 20 hydrocodone for pain. Today in CO I was crying in so much pain with hip problems, went to urgent care, and the prescribed me 2 Tramadol until I can call an ortho. And that’s on MO having an opiate problem",,,,1239007326142713861,https://twitter.com/LexiTheGinger/status/1239007326142713861
2020-03-15 01:46:44,blondeshine,JudgeJeanine,0,0,0,"Ask if seniors can get their refills for hydrocodone early so we can stay home sooner",,,,1239005076519337985,https://twitter.com/blondeshine/status/1239005076519337985
2020-03-15 01:42:56,blondeshine,,0,0,0,"@JudgeJeanine ask Doc..will the government allow early refils for hydrocodone for senior citizens. Trying to stay home before gets worse",,@JudgeJeanine,,1239004120553607168,https://twitter.com/blondeshine/status/1239004120553607168
2020-03-15 01:00:00,_Anonym0us_FL_,_Anonym0us_FL_,0,0,0,"they wanted tramadol to be the dxm version of hydrocodone,they wanted to have the pain killer effect without the opioid ""high""",,,,1238993315590176774,https://twitter.com/_Anonym0us_FL_/status/1238993315590176774
2020-03-15 00:54:28,_Anonym0us_FL_,SpicyPurritos,0,0,1,"if they would've originally said it was just another opioid painkiller they wouldn't sell any..doctors would just prescribe you hydrocodone,hydrocodone is safer and won't give you a seizure",,,,1238991924796829696,https://twitter.com/_Anonym0us_FL_/status/1238991924796829696
2020-03-15 00:53:28,_Anonym0us_FL_,SpicyPurritos,0,0,0,"they clarified it being an opioid so it could be added to the controlled substance list,before that they were lying to people..or ""creative marketing"" to tell people it was an alternative to opioids and ""safer"" so hospitals would prescribe it instead of hydrocodone",,,,1238991673218211840,https://twitter.com/_Anonym0us_FL_/status/1238991673218211840
2020-03-15 00:32:48,moongunk,,1,0,1,"Hydrocodone in my brain I shouldnt be driving So I sit here vibing",,,,1238986472394559488,https://twitter.com/moongunk/status/1238986472394559488
2020-03-15 00:30:04,moongunk,,1,0,1,"Combination of hydrocodone and no adhd meds is making me wanna do a billion different things but mostly it's making me want to wander around a grocery store for hours",,,,1238985781143887872,https://twitter.com/moongunk/status/1238985781143887872
2020-03-14 23:48:51,edosh__,,0,0,0,"ignored",,,,1238975408466321408,https://twitter.com/edosh__/status/1238975408466321408
2020-03-14 23:48:45,edosh__,,1,0,0,"tortured",,,,1238975383095001088,https://twitter.com/edosh__/status/1238975383095001088
2020-03-14 23:48:36,edosh__,,1,0,0,"hated",,,,1238975346873004034,https://twitter.com/edosh__/status/1238975346873004034
2020-03-14 22:33:27,CanSee4Miles,,1,0,0,"the chip that she doesn't have in her head. It's the Hydrocodone that has passed her lying ass lips. They may the left eye want to take a nap. Go watch the archives before she takes them down. ",,,,1238956434257317889,https://twitter.com/CanSee4Miles/status/1238956434257317889
2020-03-14 22:01:41,IAmMikaelP,,0,0,1,"Note to self don’t ride VR rollercoasters after you just get your wisdom teeth out and your on Hydrocodone lmaooo",,,,1238948441125838848,https://twitter.com/IAmMikaelP/status/1238948441125838848
2020-03-14 21:40:26,DestroyDamien,,2,0,7,"Let’s hope this hydrocodone keeps me lit ",,,,1238943095007219712,https://twitter.com/DestroyDamien/status/1238943095007219712
2020-03-14 20:51:42,SacredHerald,,0,0,2,"Dont talk to me until I've had my hydrocodone micro dose",,,,1238930830128447489,https://twitter.com/SacredHerald/status/1238930830128447489
2020-03-14 20:24:32,MarioKee,,1,0,0,"Just took 4 hydrocodone if that tells you how my day is going.",,,,1238923992469327872,https://twitter.com/MarioKee/status/1238923992469327872
2020-03-14 20:10:35,dwancherry,TanyaBrownLeiva,1,0,1,"So much better. The hydrocodone is definitely helping",,,,1238920480423370752,https://twitter.com/dwancherry/status/1238920480423370752
2020-03-14 18:39:06,GrendelGirl,blindbat84,0,0,0,"Sad part is, I was in so much pain the first day, the hydrocodone didn’t even make me sleepy for the first 2 or 3 hours, it just dialed the pain down to a dull roar. Two of mine were impacted so the sockets were super deep and painful.",,,,1238897457821618177,https://twitter.com/GrendelGirl/status/1238897457821618177
2020-03-14 18:30:51,tryptamine_420,,0,0,2,"My car just swallowed a hydrocodone.",,,,1238895384707162116,https://twitter.com/tryptamine_420/status/1238895384707162116
2020-03-14 17:54:04,GrendelGirl,,1,0,0,"On the bright side, they gave me hydrocodone, so I can at least eat and it isn’t complete torture. Just partial torture, some of the time. Oof.",,,,1238886125118337024,https://twitter.com/GrendelGirl/status/1238886125118337024
2020-03-14 17:03:47,chuge11,ryanhanrahan,2,0,0,"I gotcha bud. Honestly, none are great. Good old tea w honey can be helpful. Med wise for otc anything w dextromethorphan is best. Otherwise would be codeine or hydrocodone cough syrups or benzonatate or inhaled steroid but all need rx.",,,,1238873473696530440,https://twitter.com/chuge11/status/1238873473696530440
2020-03-14 17:00:07,AppalachianNews,,0,0,0,"A Pike man pleaded guilty in U.S. District Court this week to a charge of distribution of hydrocodone. ",,,,1238872548454076418,https://twitter.com/AppalachianNews/status/1238872548454076418
2020-03-14 16:57:19,moongunk,,0,0,1,"Important errands have been done it is time to take hydrocodone and go to bed",,,,1238871843039252480,https://twitter.com/moongunk/status/1238871843039252480
2020-03-14 15:02:49,KnateKnick,,0,0,0,"Couldn’t fall asleep last night because of the pain, my back is aching from being in the same position, hydrocodone isn’t helping, and I’ve got another week of this. Send help please",,,,1238843030079074306,https://twitter.com/KnateKnick/status/1238843030079074306
2020-03-14 14:46:43,fisherco,,0,0,0,"10 shifts left. Got called worthless for refusing to give Oxycodone and Hydrocodone at the same time ",,,,1238838979601895424,https://twitter.com/fisherco/status/1238838979601895424
2020-03-14 14:34:09,andBRYwaslike,,0,0,0,"Baby. That hydrocodone cough syrup had me zooted!",,,,1238835814412492802,https://twitter.com/andBRYwaslike/status/1238835814412492802
2020-03-14 14:07:24,MGastorf,justjen_iffer,0,0,0,"Thanks. I am thinking that symptoms I forgot happened and I blamed on hydrocodone lasted about a week last time. So if I can get through until monday",,,,1238829083846488067,https://twitter.com/MGastorf/status/1238829083846488067
2020-03-14 14:06:14,RobConsigliere,coldforger,1,0,2,"I thought Elbo was the first but it’s just Pneumonia. And now he’s high as a kite on Hydrocodone syrup.",,,,1238828791629254659,https://twitter.com/RobConsigliere/status/1238828791629254659
2020-03-14 14:02:35,Hydrocodone56,,0,0,0,"I swear if I have to hear this kid complain one more time.. I ain't doing nothing.. I ain't tryna work a full shift.. but like bro you only worked 2 other days this week...",,,,1238827869729632256,https://twitter.com/Hydrocodone56/status/1238827869729632256
2020-03-14 12:47:17,Abnjm,ElboNeverDies,1,0,2,"My Doc hooked me up with a bottle of Hydrocodone-Homatropine. Snooze juice...",,,,1238808919994236928,https://twitter.com/Abnjm/status/1238808919994236928
2020-03-14 08:16:55,WickeDemon15,,0,0,1,"Guys, I'm pretty sure I know why boomers can't control themselves when it comes to Facebook rants. My doctor gave me hydrocodone after surgery and I have been bedridden all day. Now my loopy ass can't stay away from the comments section or our local news station.",,,,1238740879487258624,https://twitter.com/WickeDemon15/status/1238740879487258624
2020-03-14 08:02:27,SinCalChewy,,0,0,0,"[ Drug Haters - watch the video, it’s all ‘Rigged’ in US ] . Rare US version at start, foreign after 90/mo Hydrocodone script Had more than my share cocaine (‘Cocaine fans’ spoiler alert) . I AM NO ANGEL... I like… https://www.instagram.com/p/B9tOVneA7Qt/?igshid=1fhtv3hug8a2s",,,,1238737240974594048,https://twitter.com/SinCalChewy/status/1238737240974594048
2020-03-14 07:18:15,CureHuntr,,0,0,0,"#clinicaltrial Study to Collect Information on How Well the Study Drug Naproxen Sodium Tablets Works Compared to Hydrocodone/Acetaminophen Tablets in Order to Relieve Pain in Participants Experiencing Moderate to Severe Pain After Having Their Wisdom Tee… ",,,#clinicaltrial,1238726118921904129,https://twitter.com/CureHuntr/status/1238726118921904129
2020-03-14 07:06:17,TrialBulletin,,0,0,0,"Study to Collect Information on How Well the Study Drug Naproxen Sodium Tablets Works Compared to Hydrocodone/Acetaminophen Tablets in Order to Relieve Pain in Participants Experiencing Moderate to Severe Pain After Having Their Wisdom Teeth Removed: Sta… http://bit.ly/2Wc66C1",,,,1238723106157535238,https://twitter.com/TrialBulletin/status/1238723106157535238
2020-03-14 06:03:15,edosh__,L_jagad,0,0,0,"bacot",,,,1238707244499271680,https://twitter.com/edosh__/status/1238707244499271680
2020-03-14 05:29:35,SC395097,SC395097,1,0,0,"And yeah, the heavily regulated medications like Oxycodone and Hydrocodone can't legally be dispensed by pharmacies earlier than 2 days. (At least at my pharmacy.)",,,,1238698771732709376,https://twitter.com/SC395097/status/1238698771732709376
2020-03-14 04:44:58,LorrieLife,JoeLoe3,1,0,1,"I'm practically used to it. I can take 6 hydrocodone's a day, but I only take 3. It is still painful, but more frustrating. Wheelchair and crawling. My upper body's getting a good workout. It's not stable enough for crutches yet.",,,,1238687542641295361,https://twitter.com/LorrieLife/status/1238687542641295361
2020-03-14 03:39:59,PharminAintEasy,,1,0,7,"Got an RX with Norco 5/325 crossed out & Hydrocodone 5mg above it. Told the guy that’s not a thing &amp; even in an alternate reality where I’d be willing to call &amp; clarify I legally can’t change that. His response “Oh! It’s supposed to say Oxycodone.” Friday the 13th y’all I swear ",,,,1238671190283161603,https://twitter.com/PharminAintEasy/status/1238671190283161603
