date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:41:55,adocmartin,,0,0,0,"I’ve been reading a lot of threads saying not to take ibuprofen or NSAIDs as many of the severe cases of #COVID19 have been linked to it’s use, particularly ibuprofen. Is it true?",,,#COVID19,1239018963113332736,https://twitter.com/adocmartin/status/1239018963113332736
2020-03-15 02:41:44,JennMGreenberg,DQualls01,0,0,0,"Thank you! Yes, I was a bit freaked out. Ibuprofen and a cool cloth on her forehead dropped it 3 degrees in 30 minutes or we'd have gone to urgent care",,,,1239018919064674304,https://twitter.com/JennMGreenberg/status/1239018919064674304
2020-03-15 02:41:19,because_trains,runwiththedogs,0,0,0,"Huh. Out here everyone snapped up eggs, bread, milk (but only dairy milk, they had a ton of non-dairy stuff) as well as Gatorade and ramen. Alcohol-based sanitizer and liquid hand soap was gone, but they didn’t touch the ibuprofen or the antiseptic bar soap.",,,,1239018811090767872,https://twitter.com/because_trains/status/1239018811090767872
2020-03-15 02:40:57,Trottalong1,albinokid,0,0,1,"That sounds prudent I did take biology and human physiology a lifetime ago In a pbysed program. I think I have to let it go up to 100.5 then step outside a bit no ibuprofen.",,,,1239018720045019138,https://twitter.com/Trottalong1/status/1239018720045019138
2020-03-15 02:40:27,JohnKin17583856,lookner,0,0,0,"Is there more proof about ICU age of pt - btw the ibuprofen rumor is appears to be false",,,,1239018594488537089,https://twitter.com/JohnKin17583856/status/1239018594488537089
2020-03-15 02:40:22,ohgodno12,chrislhayes,0,0,0,"IBUPROFEN WORSENS YOUR CONDITION IN THE CASE OF COVID. DO NOT TAKE IBUPROFEN.",,,,1239018574259392512,https://twitter.com/ohgodno12/status/1239018574259392512
2020-03-15 02:40:20,BerlandaScorza,,0,0,0,"In the meanwhile, local CVS has run out of OTC pediatric acetaminophen ibuprofen. Situation a.k.a. lot of kids with fever in the neighborhood. ",,,,1239018563337220097,https://twitter.com/BerlandaScorza/status/1239018563337220097
2020-03-15 02:39:58,elpearse,InfectiousDz,0,0,0,"Fark. Ibuprofen is my wonderdrug.",,,,1239018471658147840,https://twitter.com/elpearse/status/1239018471658147840
2020-03-15 02:39:49,KS_Antoniak,,0,0,1,"#covid19 Take acetaminophen like #tylenol for fevers and pain, not ibuprofen! Anti-inflammatories may aggravate Covid-19, France advises ",,,#covid19 #tylenol,1239018434391764992,https://twitter.com/KS_Antoniak/status/1239018434391764992
2020-03-15 02:39:30,ohiosveryown,grapegrl00,0,0,0,"Hmmm it might, I’m not a doctor but they both treat pain and can be used together even if youre at your threshold for ibuprofen because they’re different drugs. Long story short, using them both has worked for me",,,,1239018355329302529,https://twitter.com/ohiosveryown/status/1239018355329302529
2020-03-15 02:38:37,mystica43229,AbiWilks,0,0,0,"Well that sucks cuz Tylenol doesn't work great for fevers ibuprofen does",,,,1239018134142464001,https://twitter.com/mystica43229/status/1239018134142464001
2020-03-15 02:38:34,DanielSamanez,adviceforbernie,0,0,0,"May be that ibuprofen reduces inflammation and that helps the virus to spread. Usually inflammation naturally stops viral infections.",,,,1239018122235052033,https://twitter.com/DanielSamanez/status/1239018122235052033
2020-03-15 02:38:02,butch_worm,c3rtifiedginger,0,0,0," I'll be ok! It's pretty low and I just took some ibuprofen",,,,1239017986184355840,https://twitter.com/butch_worm/status/1239017986184355840
2020-03-15 02:37:36,InfectiousDz,,3,7,1,"Lancet: question of role of meds like Lisinopril, Losartan + Ibuprofen on COVID-19 given ACE-2 is viral receptor in lungs "" expression of ACE2 is substantially increased in patients..treated w/ACE inhibitors +ARBs..ACE2 can also be increased by..ibuprofen"" ",,,,1239017876280967168,https://twitter.com/InfectiousDz/status/1239017876280967168
2020-03-15 02:37:28,comewakeme,,0,0,0,"Y’all. I’m almost in tears this hurts so bad. I haven’t fallen like this in a very long time and hoooooly hell I took a handful of ibuprofen so let’s hope it kicks in quickly",,,,1239017843552858112,https://twitter.com/comewakeme/status/1239017843552858112
2020-03-15 02:36:47,Br0ckL0bster22,silencedogrt,1,0,1,"My stomach is basically bleeding from all the naproxen and ibuprofen I’ve been taking. Probably not a good idea",,,,1239017671494115331,https://twitter.com/Br0ckL0bster22/status/1239017671494115331
