date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 10:46:33,Crazy_Med_,,0,0,0,"Quarantine Sunday mood",,,,1239140926028689408,https://twitter.com/Crazy_Med_/status/1239140926028689408
2020-03-15 09:35:31,nikj84147329,nikj84147329,0,0,1," My Webinar topic will be Invega-Sustenna injections(LAI) to Schizophrenic patients treatment outcomes! ",,,,1239123050676670466,https://twitter.com/nikj84147329/status/1239123050676670466
2020-03-14 21:06:10,BenWhamaker,,0,0,0,"Glad I got my Invega Sustenna injection administered last week before everything started shutting down. I'd hate to think where I'd be with my schizoaffective if I weren't able to due to shut downs.",,,,1238934469094105089,https://twitter.com/BenWhamaker/status/1238934469094105089
2020-03-14 02:09:13,Chancen,RightWingWatch,0,0,0,"Medicare for Mentally Ill must be pass. This guy needs large doses of Invega.",,,,1238648347004669952,https://twitter.com/Chancen/status/1238648347004669952
2020-03-13 14:04:43,JeffShoe2,JeffShoe2,0,0,0,"@FLOTUS @POTUS @SecPompeo @SecondLady @ChuckGrassley @SenJoniErnst @Pontifex @Card_R_Sarah Can you tell Invega about R&amp;D into Jesus Resurrected genome as a bargaining chip? Maybe tons of miracles? Are they interested? From Living Eucharistic Flesh Miracles. Any others? ",,@FLOTUS @POTUS @SecPompeo @SecondLady @ChuckGrassley @SenJoniErnst @Pontifex @Card_R_Sarah,,1238466021838725121,https://twitter.com/JeffShoe2/status/1238466021838725121
2020-03-13 13:29:06,JeffShoe2,,0,0,0,"@FLOTUS @POTUS @SecPompeo @VP @SecondLady @ChuckGrassley @SenJoniErnst @Pontifex I don’t know yet!! Please try to control crazy sexual impulses with Invega and let all young children know before they go crazy. Studies and R&amp;D? A cure for sexual offender impulses? I wonder?",,@FLOTUS @POTUS @SecPompeo @VP @SecondLady @ChuckGrassley @SenJoniErnst @Pontifex,,1238457056341962752,https://twitter.com/JeffShoe2/status/1238457056341962752
2020-03-13 10:34:57,nikj84147329,,0,0,2,"Risk makes idea in #CoVid 19 attacks!So,today,tiny solution was Drive-thru-Invega Sustenna-injection(DTI) in patient’s car that shows big satisfaction to patient &amp; pt’s families &amp; me.l’ll introduce DTI to hundreds of Korean psychiatrists in April.29th Webinar symposium ",,,#CoVid,1238413231976153088,https://twitter.com/nikj84147329/status/1238413231976153088
2020-03-13 05:20:40,nikj84147329,,0,0,4," No.16 #Covid19 Report, #SouthKorea Today,l’ve performed Drive-thru-Invega Sustenna injection,in patient’s car, first time, in history? Because of CoVid 19 containment, psychiatric outpatients couldn’t enter hospital lobby. CoVid 19 innovates Doctors! Try it, Doctors! ",,,#Covid19 #SouthKorea,1238334140224659456,https://twitter.com/nikj84147329/status/1238334140224659456
2020-03-12 23:22:30,SinBinEagles,SinBinMonsters,1,0,1,"Good! My mother struggled with it for YEARS...of course, the cycle with her particular illness (schizophrenia) is that once you think you're well, you stop taking your medication because you think you're cured. She takes Invega shots now and has been lucid for nine years. ",,,,1238244004141117440,https://twitter.com/SinBinEagles/status/1238244004141117440
2020-03-12 17:22:19,ellenoreclemen1,TargetedMadison,0,0,0,"Invega keeps ur cool no tears no tantrums its a god send",,,,1238153361591074817,https://twitter.com/ellenoreclemen1/status/1238153361591074817
