date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 14:17:29,vicky_lauda,BBCNews,0,0,0,"That is a good idea ... to be considerate ---",,,,1239194010054316032,https://twitter.com/vicky_lauda/status/1239194010054316032
2020-03-15 14:07:31,AnilKum68283513,toisports,0,0,0,"Lauda Throw out. Sycophant BCCI, World Cup na ho paayega",,,,1239191498698022915,https://twitter.com/AnilKum68283513/status/1239191498698022915
2020-03-15 14:04:52,vicky_lauda,,0,0,0,"1 musicians.",,,,1239190833087352835,https://twitter.com/vicky_lauda/status/1239190833087352835
2020-03-15 14:04:35,vicky_lauda,,1,0,0,"0 King David also ordered the Levite leaders to organize the singers into an orchestra, and they played loudly and joyously upon psaltries, harps, and cymbals. Heman (son of Joel), Asaph (son of Berechiah), and Ethan (son of Kushaiah) from the clan of Merari were the heads of the",,,,1239190763096899585,https://twitter.com/vicky_lauda/status/1239190763096899585
2020-03-15 13:58:55,vicky_lauda,,0,0,0,"A dictatorship is seizing power by curtailing human rights Quoting britannica com --- Dictators usually resort to force or fraud to gain despotic political power, which they maintain through the use of intimidation, terror, and the suppression of civil liberties.",,,,1239189336509292545,https://twitter.com/vicky_lauda/status/1239189336509292545
2020-03-15 13:54:03,SHOWtibzLOVE,,1,4,13,"“Winning is one thing, but out of losing I’ve always learned more” - Niki Lauda",,,,1239188112087158786,https://twitter.com/SHOWtibzLOVE/status/1239188112087158786
2020-03-15 13:37:04,Baloo_bear,,0,0,0,"@Netflixhelps Why was there NO mention at all on the death of Charlie Whiting in Drive to survive season 2? You did almost a whole episode on Nikki Lauda (well deserved), but Charlie was just as important for #F1",,@Netflixhelps,#F1,1239183838548500482,https://twitter.com/Baloo_bear/status/1239183838548500482
2020-03-15 13:31:59,OShobhit,Advaidism,0,0,0,"We need some serious health advisor/minister/authority we can't deal #coronavirus with such lauda, lasun, gud,gobar chatne vaale mantri and if you still think nothing's gonna happen to jao jagrata karo ikkahatta hoke or mr jao gawaaro ",,,#coronavirus,1239182558589583360,https://twitter.com/OShobhit/status/1239182558589583360
2020-03-15 13:22:37,vicky_lauda,,0,0,0,"B musicians.",,,,1239180199968858112,https://twitter.com/vicky_lauda/status/1239180199968858112
2020-03-15 13:22:15,vicky_lauda,,1,0,0,"A King David also ordered the Levite leaders to organize the singers into an orchestra, and they played loudly and joyously upon psaltries, harps, and cymbals. Heman (son of Joel), Asaph (son of Berechiah), and Ethan (son of Kushaiah) from the clan of Merari were the heads of the",,,,1239180110521151489,https://twitter.com/vicky_lauda/status/1239180110521151489
2020-03-15 13:20:09,vicky_lauda,josephcurl,0,0,0,"So Hitler knew he was going to lose WW2 Combat by infiltrating the US has been more valuable in his eyes",,,,1239179582013661186,https://twitter.com/vicky_lauda/status/1239179582013661186
2020-03-15 13:09:19,vicky_lauda,josephcurl,0,0,0,"Quoting @josephcurl --- Some 80K were infected in China before the virus leveled off.",,@josephcurl,,1239176853887291393,https://twitter.com/vicky_lauda/status/1239176853887291393
2020-03-15 12:49:23,vicky_lauda,,0,0,0,"YYthe musicians.",,,,1239171836392415232,https://twitter.com/vicky_lauda/status/1239171836392415232
2020-03-15 12:48:58,vicky_lauda,,1,0,0,"ZZKing David also ordered the Levite leaders to organize the singers into an orchestra, and they played loudly and joyously upon psaltries, harps, and cymbals. Heman (son of Joel), Asaph (son of Berechiah), and Ethan (son of Kushaiah) from the clan of Merari were the heads of",,,,1239171734974214144,https://twitter.com/vicky_lauda/status/1239171734974214144
2020-03-15 12:37:56,Eternal_Living_,DontAskMeBitch2,0,0,0,"I take Latuda and Lamictal for bipolar depression. Lamictal is a mood stabilizer..been on for 2yrs now and have changed my life.",,,,1239168958378455040,https://twitter.com/Eternal_Living_/status/1239168958378455040
2020-03-15 12:33:40,playingwithdust,kathysheridanIT,1,0,0,"Moneyball. Rush, though of course there's the gruesomeness of Lauda's crash.",,,,1239167880819806208,https://twitter.com/playingwithdust/status/1239167880819806208
2020-03-15 12:26:16,BBCDouglasF,,0,0,0,"“In response to decision of the Spanish Government to “lock down” the entire country, Ryanair Group Airlines (including Buzz and Lauda) has been forced to severely reduce flights to/from Spain, the Balearic Islands and Canary Islands from 24:00 Sun 15 Mar to 24:00 Thurs 19 Mar”",,,,1239166020151136263,https://twitter.com/BBCDouglasF/status/1239166020151136263
2020-03-15 11:45:05,EXYUaviation,,0,0,1,"#Lauda pushes back #Zadar base launch until 2021 #croatia",,,#Lauda #Zadar #croatia,1239155654478254080,https://twitter.com/EXYUaviation/status/1239155654478254080
2020-03-15 10:55:21,motoringman,,0,0,0,"Check out NIKI LAUDA FERRARI 312T2 US GRAND PRIX WEST SET 5 PHOTOGRAPHS LONG BEACH 1977 F1 https://ebay.us/ENU7q4 via @eBay",,@eBay,,1239143139090317312,https://twitter.com/motoringman/status/1239143139090317312
2020-03-15 10:50:25,did_kie,,5,10,44,"Gentlemen, a short view back to the past. Thirty years ago, Niki Lauda told us: ""Take a trained monkey, place him into the cockpit and he is able to drive the car."" ",,,,1239141897526022145,https://twitter.com/did_kie/status/1239141897526022145
2020-03-15 10:32:20,Ferrari_5555,Theiceman331,0,0,0,"Hakkinen also had a child after 1998 and his best years where 98 and 99. Lauda had a son in 1981 well after his prime",,,,1239137346693537792,https://twitter.com/Ferrari_5555/status/1239137346693537792
2020-03-15 10:25:08,Theiceman331,Theiceman331,3,0,1,"lauda always respected his private life as much as his race career he kept it very private he can have a family and still race but its not the same for everyone some have more priority than others nothing wrong with what seb said i agree with whay you said about fangio",,,,1239135534607290369,https://twitter.com/Theiceman331/status/1239135534607290369
2020-03-15 10:16:42,Ferrari_5555,Theiceman331,2,0,0,"Senna never had a child, Schumacher has more talent in his little finger the Sebastian. Häkkinen’s kids were born after his best years and titles as well as Lauda. Fangio races in a different era to all of them.",,,,1239133411828252672,https://twitter.com/Ferrari_5555/status/1239133411828252672
2020-03-15 10:13:40,GDTraveltips,,0,2,2,"GD travel NEWS | EUROPE - Ryanair group suspends flights to Poland from today (Sunday 15 March) until Tuesday 31 March. This includes #Ryanair #Lauda #Buzz #malta_air airlines - Customers affected will receive an email from the company. #CoronaVirusUpdates #coronavirus #Travel",,,#Ryanair #Lauda #Buzz #malta_air #CoronaVirusUpdates #coronavirus #Travel,1239132652243951616,https://twitter.com/GDTraveltips/status/1239132652243951616
2020-03-15 10:04:45,BeingRathore_,TheRadFactor,0,0,2,"Real example of best couple not virushka saifeena randee nikyanka lauda lahsun type shit ",,,,1239130408328937475,https://twitter.com/BeingRathore_/status/1239130408328937475
2020-03-15 09:55:09,Theiceman331,Ferrari_5555,2,0,1,"tell that to senna schumacher fangio clark lauda hakinnen you dont have to be isolated to be a great driver each have their own priority and perspective what ever that is we have to respect their opinion.",,,,1239127988563664897,https://twitter.com/Theiceman331/status/1239127988563664897
2020-03-15 09:44:43,rajshree_kapse,,0,0,1,"*Govt. Declares holiday till 31st march due to corona virus* Coaching centers -""Lauda ka corona virus hai"" ",,,,1239125364393181185,https://twitter.com/rajshree_kapse/status/1239125364393181185
2020-03-15 08:43:33,SartoriX,JennieGow,0,0,0,"Lauda/Bianchi/Hubert, they probably took advantage of the empty track and had a race between themselves",,,,1239109972660752384,https://twitter.com/SartoriX/status/1239109972660752384
2020-03-15 08:22:56,LaudaNiki4,traterraecielo_,0,0,0,"Be well....",,,,1239104784994426881,https://twitter.com/LaudaNiki4/status/1239104784994426881
2020-03-15 08:21:20,LaudaNiki4,chunkymark,0,0,0,"ironic",,,,1239104379757584384,https://twitter.com/LaudaNiki4/status/1239104379757584384
2020-03-15 08:18:45,LaudaNiki4,SeanrickyrozayJ,0,0,0,"Than give me the evidence",,,,1239103729200025600,https://twitter.com/LaudaNiki4/status/1239103729200025600
2020-03-15 08:17:22,LaudaNiki4,Peta_Mahasha,1,0,1,"It's funny to hear that.Can you give me the evidence about that?",,,,1239103381823602689,https://twitter.com/LaudaNiki4/status/1239103381823602689
2020-03-15 08:10:47,LaudaNiki4,KevinMyers2012,0,0,0,"yes，we should trust the WHO!",,,,1239101727585865728,https://twitter.com/LaudaNiki4/status/1239101727585865728
2020-03-15 07:54:27,potifalakaio,,0,0,0,"Don toliver no Lollapalooza ",,,,1239097615079428096,https://twitter.com/potifalakaio/status/1239097615079428096
2020-03-15 07:52:10,FelixxFlx,DRIVETRIBE,0,0,0,"I want to say Lauda. He might not been the quickest, but his package is the best for me",,,,1239097042749861888,https://twitter.com/FelixxFlx/status/1239097042749861888
2020-03-15 07:40:42,shelbystarcher,,0,0,0,"I have to take my Latuda with at least 350 calories for it to work and I’m sick as hell and the thought of having a meal sounds terrible because I’m not hungry. How many bomb pops would it take to equal 350 calories?",,,,1239094154245922816,https://twitter.com/shelbystarcher/status/1239094154245922816
2020-03-15 06:49:26,Nickzula,,0,0,1,"“The Things I Do For Love...”",,,,1239081251534860288,https://twitter.com/Nickzula/status/1239081251534860288
2020-03-15 06:41:48,njuliana_azura,syahira_lauda,0,0,0,"Take care too babe! ",,,,1239079333722861570,https://twitter.com/njuliana_azura/status/1239079333722861570
2020-03-15 06:22:00,LaudaNiki4,KoreaFighter9,0,0,0,"NO,He is just the dog of america,same as you,한국어",,,,1239074351028137985,https://twitter.com/LaudaNiki4/status/1239074351028137985
2020-03-15 06:16:12,LaudaNiki4,Yaminokami9010,0,0,0,"no ,never!he is just the dog of usa.we hate,him you know.",,,,1239072889510354947,https://twitter.com/LaudaNiki4/status/1239072889510354947
2020-03-15 06:14:05,LaudaNiki4,rook17363244,0,0,0,"So tell me what's the truth?you made it?",,,,1239072358113009665,https://twitter.com/LaudaNiki4/status/1239072358113009665
2020-03-15 03:59:40,BrittanyLaudaVO,,4,11,46,"Thanks for tweeting tonight, fam! Hope to see you next week for more livetweets. Also yes, I DO love that @MattShipmanVO and I are in the next episode preview together! #myheroacademia #toonami",,@MattShipmanVO,#myheroacademia #toonami,1239038529759559683,https://twitter.com/BrittanyLaudaVO/status/1239038529759559683
2020-03-15 03:57:35,BrittanyLaudaVO,,3,8,36,"You know he is a smug boy because of three things: the suit jacket, the hair part and the use of the word “Neanderthal” #toonami #myheroacademia",,,#toonami #myheroacademia,1239038005526048778,https://twitter.com/BrittanyLaudaVO/status/1239038005526048778
2020-03-15 03:56:09,BrittanyLaudaVO,,3,19,84,"Inasa consoling his BF while bakugo is jelly #toonami #myheroacademia #inatodo",,,#toonami #myheroacademia #inatodo,1239037643628982272,https://twitter.com/BrittanyLaudaVO/status/1239037643628982272
2020-03-15 03:53:14,BrittanyLaudaVO,,2,1,28,"Todoroki out here like “yeah I know what these kids want: wieners” #toonami #myheroacademia",,,#toonami #myheroacademia,1239036913379573760,https://twitter.com/BrittanyLaudaVO/status/1239036913379573760
2020-03-15 03:50:35,BrittanyLaudaVO,,4,24,78,"Look at this good babysitter over here, I bet he gives them the good snacks and plays cool games with the kids #toonami #myheroacademia",,,#toonami #myheroacademia,1239036246023864321,https://twitter.com/BrittanyLaudaVO/status/1239036246023864321
2020-03-15 03:50:24,BrittanyLaudaVO,,2,19,77,"Challenging @CliffordChapin to a fight, just another day in real life #toonami #myheroacademia",,@CliffordChapin,#toonami #myheroacademia,1239036199257485316,https://twitter.com/BrittanyLaudaVO/status/1239036199257485316
2020-03-15 03:49:36,BrittanyLaudaVO,,7,15,81,"This shit makes me so uncomfortable #myheroacademia #toonami",,,#myheroacademia #toonami,1239035998237011970,https://twitter.com/BrittanyLaudaVO/status/1239035998237011970
2020-03-15 03:47:40,tibrewal_somnat,yadavtejashwi,0,0,0,"Abe lund ,madarchod ye to HRD minister hain. Iss se lauda pta hoga petrol aur diesel ka",,,,1239035509533364226,https://twitter.com/tibrewal_somnat/status/1239035509533364226
2020-03-15 03:46:20,BrittanyLaudaVO,,3,17,79,"Me in Gym class, avoiding playing volleyball or some shit: #toonami #myheroacademia",,,#toonami #myheroacademia,1239035175373361153,https://twitter.com/BrittanyLaudaVO/status/1239035175373361153
2020-03-15 03:41:15,BrittanyLaudaVO,,15,14,134,"Woah that’s one lucky kid #toonami #myheroacademia",,,#toonami #myheroacademia,1239033893619146752,https://twitter.com/BrittanyLaudaVO/status/1239033893619146752
2020-03-15 03:40:55,BrittanyLaudaVO,,2,5,29,"My favorite part of this episode is @TeeDotally screaming wiener at Todoroki #toonami #myheroacademia",,@TeeDotally,#toonami #myheroacademia,1239033813298274304,https://twitter.com/BrittanyLaudaVO/status/1239033813298274304
