date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2013-11-25 10:23:46,medicalalert_jp,,0,0,0,"Order Liquadd joel Online , Cafergot Cruelty, Asthma Medica http://bit.ly/19VDPN0 See All http://bit.ly/13bB0Uz",,,,404918325001474048,https://twitter.com/medicalalert_jp/status/404918325001474048
2013-04-18 20:03:43,Medi4all,,0,0,0,"http://www.m4al.com Cheap Buy Liquadd Online , Side Effects Cafergot Suppositories, Prices Of Los A -... http://fb.me/1lw9VslwN",,,,324976555094847488,https://twitter.com/Medi4all/status/324976555094847488
2013-04-18 19:42:09,Medi4all,,0,0,0,"http://www.m4al.com Cheap Buy Liquadd Online , Side Effects Cafergot Suppositories, Prices Of Los A -... http://fb.me/2lJsKOVz2",,,,324971130505003008,https://twitter.com/Medi4all/status/324971130505003008
2013-02-08 19:10:42,innovuspharma,,1,1,0,"The acquired products are: 1.Zytopic 2.Coraz 3. Xylarid 4.Zinx 5. Extendryl 6. Liquadd 7. Akurza 8. Breeze 9. Levall",,,,299958451558305794,https://twitter.com/innovuspharma/status/299958451558305794
2011-08-27 21:53:01,_ChelseasWorld_,,0,0,0,"Liquadd Golddddd !",,,,107571345373663232,https://twitter.com/_ChelseasWorld_/status/107571345373663232
2011-02-16 03:50:10,psvfijfe,,0,0,0,"Liquadd http://zlgjkpaf.uni.cc/8fcc",,,,37720363110498304,https://twitter.com/psvfijfe/status/37720363110498304
2011-02-13 22:53:15,gmmdywwd,,0,0,0,"Liquadd solution http://oucacbtw.uni.cc/8fcd",,,,36920868722442240,https://twitter.com/gmmdywwd/status/36920868722442240
2011-02-10 14:22:54,emkzdlbmk,,0,0,0,"Liquadd http://auqqhktt.uni.cc/8fcc",,,,35705272043307008,https://twitter.com/emkzdlbmk/status/35705272043307008
2011-02-09 22:44:05,ioelwvtb,,0,0,0,"Liquadd solution http://qwabgg.uni.cc/8fcd",,,,35469009948254208,https://twitter.com/ioelwvtb/status/35469009948254208
2011-02-08 16:07:08,yyttjwkqw,,0,0,0,"Liquadd http://ykprmbx.uni.cc/8fcc",,,,35006726478495744,https://twitter.com/yyttjwkqw/status/35006726478495744
2011-02-08 01:59:43,wyuhgmtu,,0,0,0,"Liquadd solution http://qiqtfqpc.uni.cc/8fcd",,,,34793465497784320,https://twitter.com/wyuhgmtu/status/34793465497784320
2011-01-29 23:45:15,xeikvyjx,,0,0,0,"Liquadd Solution http://zcaqclteztqnuu.co.tv/4481",,,,31498137256333312,https://twitter.com/xeikvyjx/status/31498137256333312
2010-04-29 15:54:39,LesleyTrentadue,,0,0,0,"LiquADD – A New Liquid Medicine for ADD and ADHD http://x4mps.th8.us only available in the U.S.",,,,13075838852,https://twitter.com/LesleyTrentadue/status/13075838852
2010-04-01 16:39:14,coupon_bargains,,0,0,0,"Liquadd (dextroamphetamine) medical facts from Drugs.com: Liquadd Solution MedFacts Consumer Leaflet (Wolters Kluwer); Liquadd Advanced C..",,,,11433436069,https://twitter.com/coupon_bargains/status/11433436069
