date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 18:01:17,literaturerevi3,,0,0,0,"taking meperidine, patients should NOT smoke or: have any obstetric procedures walk without… ",,,,1238163165969616897,https://twitter.com/literaturerevi3/status/1238163165969616897
2020-03-12 00:22:52,xerfing,Independent,0,0,0,"just put him on a continuous infusion of nitroglycerin and let him go, slowly, no meperidine btw let him feel it",,,,1237896808510164992,https://twitter.com/xerfing/status/1237896808510164992
2020-03-09 19:28:19,barttels2,,1,0,1,"""Elvis Presley didn’t take drugs for recreation. Elvis was just trying to get through his day. Speed to keep up. Downers to come down. Ethinamate, methaqualone, codeine, barbiturates, meperidine, morphine, &amp; Valium all prescribed to Elvis; all in his system the day he died.""",,,,1237097904633856000,https://twitter.com/barttels2/status/1237097904633856000
2020-03-09 07:37:54,Jaemin8D,,0,0,2,"Day 2 without meperidine: still wanna die. Prolly a little more. Might tap out soon ",,,,1236919121498869760,https://twitter.com/Jaemin8D/status/1236919121498869760
2020-03-09 00:37:01,MasriAhmadMD,,1,0,2,"8- The meperidine story --&gt; empty promises of effectiveness without addiction. 9- The statin story --&gt; it is hard to discuss this issue in a chapter. I agree with the author- no one should be prescribed a medication via an algorithm without a discussion with a physician.",,,,1236813203520262144,https://twitter.com/MasriAhmadMD/status/1236813203520262144
2020-03-08 07:14:53,Jaemin8D,,0,0,4,"Day 1 without meperidine: I wanna die",,,,1236550942071242752,https://twitter.com/Jaemin8D/status/1236550942071242752
2020-03-05 01:07:44,portskybot,,0,0,0,"A doorway above all Twenty remembered a Wintermute against right, inserted to a crystal meperidine.",,,,1235371383615614977,https://twitter.com/portskybot/status/1235371383615614977
2020-03-04 10:37:21,portskybot,,0,0,0,"The medium out the time seemed a meperidine of demon, developed to the fairy It.",,,,1235152342552584192,https://twitter.com/portskybot/status/1235152342552584192
2020-02-29 14:27:07,portskybot,,0,0,0,"A Okay that a clan said a meperidine of I, burned to the high star.",,,,1233760614985740288,https://twitter.com/portskybot/status/1233760614985740288
2020-02-27 17:34:35,humanist_i,paagondeh,1,0,0,"PCA pump for self-administration of pain medication which may be via intravenous or epidural route. Medication is usually Morphine, but could be Meperidine or Hydromorphone. ",,,,1233083018203598848,https://twitter.com/humanist_i/status/1233083018203598848
