date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:43:50,MorphineDreamzz,sarahloves69,0,0,0,"me too ",,,,1239019448167583744,https://twitter.com/MorphineDreamzz/status/1239019448167583744
2020-03-15 02:42:00,WoPSufir,WoPSufir,0,0,1,"I'd much rather have 60 mg morphine ER 2x a day and 4-8 mg dilaudid 2x-4x prn for breakthrough so I can maintain an orally dosed regimen, but because I use heroin when my only other alternative is once daily observed methadone/suboxone that isn't round the clock pain management",,,,1239018986441826304,https://twitter.com/WoPSufir/status/1239018986441826304
2020-03-15 02:41:50,MorphineDreamzz,,1,0,1,"i want a flying puppy..",,,,1239018944721125376,https://twitter.com/MorphineDreamzz/status/1239018944721125376
2020-03-15 02:34:53,Trevolution710,,0,0,0,"Imagine your mom snortin lines of white. Bum bitch.",,,,1239017195130191873,https://twitter.com/Trevolution710/status/1239017195130191873
2020-03-15 02:34:18,kayskintee,,0,0,0,"I’m not feeling none of y’all niggas. I’m on morphine.",,,,1239017046626586624,https://twitter.com/kayskintee/status/1239017046626586624
2020-03-15 02:26:42,MyraFos14998905,,1,0,0,"@BarryGibb 2. here to Myrtle Beach to be with my grandson. He was killed Christmas in a motorcycle accident. I was with him but lived. I'm alone now; my husband also passed. I'm disabled & hooked up to a morphine pump. Things can change so fast I know. When I was brought home",,,,1239015134762319873,https://twitter.com/MyraFos14998905/status/1239015134762319873
2020-03-15 02:25:27,MorphineDreamzz,,0,1,5,"i got the plug on albuterol inhalers.. hmu.",,,,1239014820164190208,https://twitter.com/MorphineDreamzz/status/1239014820164190208
2020-03-15 02:24:34,urcityradio,,0,0,0,"Gone for Good By Morphine ",,,,1239014598818377729,https://twitter.com/urcityradio/status/1239014598818377729
2020-03-15 02:19:00,MorphineDreamzz,OGAUSTINR,0,0,0,"i have 3 albuterol inhalers up on ebay rn, but i'm in cali.",,,,1239013197983571970,https://twitter.com/MorphineDreamzz/status/1239013197983571970
2020-03-15 02:18:51,SincerelyToussy,,1,0,0,"Anybody ever been to the hospital and they gave you the morphine clicker thing?",,,,1239013158859051008,https://twitter.com/SincerelyToussy/status/1239013158859051008
2020-03-15 02:17:20,rechelon,lenazun,1,0,1,"Not entirely, but when I was 17 the day before christmas eve I woke up with my right lung in tatters -- it had ripped itself into pieces in my sleep. Five surgeries, a month of all the morphine possible. Permanent ~30% capacity reduction.",,,,1239012777299189760,https://twitter.com/rechelon/status/1239012777299189760
2020-03-15 02:16:24,JWilltolive,JWilltolive,0,0,0,"I was given 2 bags of blood, I.V. fluids, morphine, and I.V. antibiotics. Then I woke up just before going to CT scan. No brain issues that I recall but the Dr. giving me blood was genius imo.",,,,1239012541293973505,https://twitter.com/JWilltolive/status/1239012541293973505
2020-03-15 02:13:19,HTRPlaylist,,0,0,0,"#nowplaying Morphine / Rope On Fire / The Night #morphine ♫ http://htr.name",,,#nowplaying #morphine,1239011768115978240,https://twitter.com/HTRPlaylist/status/1239011768115978240
2020-03-15 02:12:41,MorphineDreamzz,AndreyasAsylum,0,0,1,"exactly lol",,,,1239011607830622208,https://twitter.com/MorphineDreamzz/status/1239011607830622208
2020-03-15 02:11:24,MorphineDreamzz,AndreyasAsylum,1,0,1,"i posted that vid of my stocked freezer and shelves, people said it was stupid lol",,,,1239011284235870214,https://twitter.com/MorphineDreamzz/status/1239011284235870214
2020-03-15 02:04:21,notquitesaget,hoganhere,0,0,0,"Here's two Morphine's Bootleg Detroit and Michelle Shocked;s The Texas Campfire Tapes",,,,1239009509093376000,https://twitter.com/notquitesaget/status/1239009509093376000
2020-03-15 02:02:01,AthenaGraceV,,0,0,0,"On morphine and might get political what's the worst thing I can say? We deserve universal health care?",,,,1239008921068752897,https://twitter.com/AthenaGraceV/status/1239008921068752897
2020-03-15 02:01:56,suitwetter,,0,0,0,"the morphine high of discovering how to remove stickers from books. I'm riding the high of a LIFETIME GUYS !!! (secret is hair dryer and then goo gone)",,,,1239008901418438659,https://twitter.com/suitwetter/status/1239008901418438659
2020-03-15 01:48:16,jomclark,,0,1,0,"I ain’t feeling none of you niggas I’m on morphine",,,,1239005462055485440,https://twitter.com/jomclark/status/1239005462055485440
2020-03-15 01:42:27,krainboltgreene,fagthafuinseog,0,0,1,"His work is like a slow drip of game insight morphine.",,,,1239003997375041538,https://twitter.com/krainboltgreene/status/1239003997375041538
2020-03-15 01:39:06,zac1574,terrier2020,1,0,0,"Yes the hospital was called gosh like no shit Great Ormond Street Hospital and yes euthanized he was given a very generous shot of morphine (enough to knock a young elephant out) to ""help him pass on more comfortably""",,,,1239003154303377408,https://twitter.com/zac1574/status/1239003154303377408
2020-03-15 01:30:12,skwab,YouGotSoldKaro,0,0,0,"Back when cough syrup was morphine Nd alcohol",,,,1239000917720150016,https://twitter.com/skwab/status/1239000917720150016
2020-03-15 01:29:40,WarrenPeas64,TheaSabinMovie,1,0,5,"HAAAAAAAAAAAAAAAAAAAAA I've never done drugs. Morphine from the docs made me happy... My weirdest experiences all involve Absinthe or food poisoning #RiffOTronic",,,#RiffOTronic,1239000783519129600,https://twitter.com/WarrenPeas64/status/1239000783519129600
2020-03-15 01:20:40,KeiokeioKenai,Milagrin9,1,0,1,"Thanks u. I appreciate that sentiment. It was terrible. We didn't even know she was sick with it, till she saw the Doc. By then, she was end stage 5. She died a week after she was diagnosed. I cared for her at her house, with Hospice. She died as I was giving her some morphine.",,,,1238998516552237056,https://twitter.com/KeiokeioKenai/status/1238998516552237056
2020-03-15 00:58:22,PowerfulPlant,,0,1,0,"Similar to Morphine: The Best Natural Painkiller that Grows in Your Backyard - https://c59425ijnmxwfej80jzqdvtt9w.hop.clickbank.net/?tid=THE_BEST_NATURAL_PAINKILLER_THAT_GROWS_IN_YOUR_BACKYARD",,,,1238992903030083585,https://twitter.com/PowerfulPlant/status/1238992903030083585
2020-03-15 00:49:14,YaBoiErenJaeger,soulfufilling,0,0,0,"Yep. I personally saw 20 others walk out of the fire ball of an ied and we just had to pull the nails out of eachother take a hit of morphine and pour alcohol in the wound channels People underestimate it because of the rare cases were less than normal has killed",,,,1238990606963179522,https://twitter.com/YaBoiErenJaeger/status/1238990606963179522
2020-03-15 00:49:14,magnusmunchies,coffeeancoffins,1,0,1,"Thanks dude! I mean...really thanks, I guess, considering the rehearsal proposal happened when... (They gesture at Dahlia’s hand.) Gotta love morphine! Real liquid courage there, ey, Dahl?",,,,1238990604497039360,https://twitter.com/magnusmunchies/status/1238990604497039360
2020-03-15 00:49:04,FuckCrystalStar,ayebrando,3,0,2,"Hey you a pair of skates I got you",,,,1238990565259325440,https://twitter.com/FuckCrystalStar/status/1238990565259325440
2020-03-15 00:46:31,MorphineDreamzz,Foreezyo,1,0,1,"how wide do you think vaginas are?",,,,1238989920758185984,https://twitter.com/MorphineDreamzz/status/1238989920758185984
2020-03-15 00:45:03,spursbythebeach,hatttiegladwell,0,0,0,"I second this. I'm on immunosuppressants for ankylosing spondylitis. As well as this I rely on shopping with support workers in a limited time frame and my morphine patches also mess up stomach. Furious at selfish people stockpiling. Think of others! ",,,,1238989551928049667,https://twitter.com/spursbythebeach/status/1238989551928049667
2020-03-15 00:40:33,MorphineDreamzz,,0,2,4,"people that only bought toilet paper:",,,,1238988422364061697,https://twitter.com/MorphineDreamzz/status/1238988422364061697
2020-03-15 00:39:23,NameofFace,BitchAssBowie,0,0,0,"the jumboest of yum yums",,,,1238988125415903233,https://twitter.com/NameofFace/status/1238988125415903233
2020-03-15 00:39:10,embeeshea,embeeshea,0,0,0,"I hope that respiratory distress can go quickly. We will not have morphine. I nearly drowned once and recall the feeling. Is wild and primitive and necessary to try to breathe.",,,,1238988073691680772,https://twitter.com/embeeshea/status/1238988073691680772
2020-03-15 00:37:03,MorphineDreamzz,bgdadyspnkbtm,0,0,1,"me too.",,,,1238987540171853824,https://twitter.com/MorphineDreamzz/status/1238987540171853824
2020-03-15 00:36:07,MorphineDreamzz,SexytotheNorth,1,0,2,"imagine taking a shot everytime you got hit, beating each other with pillows shitfaced lol",,,,1238987306398183426,https://twitter.com/MorphineDreamzz/status/1238987306398183426
2020-03-15 00:34:09,91whiskeybot,,0,0,5,"“Now, sir, can I save my morphine for someone else, or are you going to be a little bitch?” Dean says, his voice low, humorous, and much closer to Castiel’s ear than he had expected.",,,,1238986811130560512,https://twitter.com/91whiskeybot/status/1238986811130560512
2020-03-15 00:31:41,MorphineDreamzz,AnthonyJoooon,0,0,1,"oooh.. parts of cali are pretty rough too lol but i mostly put that because my name ends in ""dreamzz"".. and also it sucks here.",,,,1238986190214201345,https://twitter.com/MorphineDreamzz/status/1238986190214201345
2020-03-15 00:31:36,MorphineDreamzz,,9,27,78,"day 2 of the quarantine..",,,,1238986169678843904,https://twitter.com/MorphineDreamzz/status/1238986169678843904
2020-03-15 00:28:37,omar64i,,0,0,0,"Morphine ",,,,1238985416566505475,https://twitter.com/omar64i/status/1238985416566505475
2020-03-15 00:28:31,MorphineDreamzz,AnthonyJoooon,1,0,0,"why'd you think i was in philly?",,,,1238985394223370240,https://twitter.com/MorphineDreamzz/status/1238985394223370240
2020-03-15 00:27:01,zac1574,terrier2020,0,0,0,"The doctors did not put forth the offer of treatment they put him on a ventilator which he was later taken off of moved to a hospice facility and given a morphine injection the idea for the experimental treatment was put forth by his mother who had heard about it online",,,,1238985014634823681,https://twitter.com/zac1574/status/1238985014634823681
2020-03-15 00:16:53,Idkmanmaybe1,,0,0,0,"Life is pain and I cannot find morphine",,,,1238982466267951113,https://twitter.com/Idkmanmaybe1/status/1238982466267951113
2020-03-15 00:12:42,Andreapinedalo,,0,0,0,"Nobody likes you when you’re 23 and you still act like you're in freshman year. ",,,,1238981414193938432,https://twitter.com/Andreapinedalo/status/1238981414193938432
2020-03-15 00:10:00,aqwackMD,,0,0,0,"Your ""toe"" issue is most likely an ingrown hair. I am prescribing these morphine pills to be safe",,,,1238980731415572480,https://twitter.com/aqwackMD/status/1238980731415572480
2020-03-15 00:08:56,angelar70,,1,0,0,"I didn't stop breathing cuz the stroke. It was the #morphine shot. I gave this info a long time ago. @MrHellion I'm not like this from a stroke but a stroke keeps me from getting better. Read that beginning report. https://thoughtfulveg.blogspot.com/2017/04/history.html",,@MrHellion,#morphine,1238980463126962176,https://twitter.com/angelar70/status/1238980463126962176
2020-03-15 00:05:48,MorphineDreamzz,_IHateEvery0ne,1,0,1,"is that jon hamm? he has a huge dick.",,,,1238979675398889473,https://twitter.com/MorphineDreamzz/status/1238979675398889473
2020-03-15 00:05:31,morphine_blaze,,0,1,20,"Bon allez go me follow @/morphine_blaze https://www.instagram.com/morphine_blaze",,,,1238979602858545153,https://twitter.com/morphine_blaze/status/1238979602858545153
2020-03-15 00:02:21,sarafat60802361,thisisamassoud,0,1,1,"Spong pop square pants",,,,1238978806108602369,https://twitter.com/sarafat60802361/status/1238978806108602369
2020-03-15 00:01:52,jeffnoon,,0,0,6,"Fallout from the Morphine Songs is spreading daily. Listeners are advised to avoid all vapour music and to be alert for lyrical narcosis.",,,,1238978687715999746,https://twitter.com/jeffnoon/status/1238978687715999746
2020-03-14 23:59:15,muhkunnuh,,0,0,0,"She’s morphine queen of my vaccine",,,,1238978027016470529,https://twitter.com/muhkunnuh/status/1238978027016470529
2020-03-14 23:56:20,jesuisavampire,tantotupiassu,0,0,0,"Moço no aeroporto: This one man had a mask and then went to the bathroom and did not wash his hands I went off",,,,1238977295307747329,https://twitter.com/jesuisavampire/status/1238977295307747329
2020-03-14 23:55:21,ineedyougurr,,0,0,2,"The post workout pain and stiffness is kinda like what I feel all day every day. Now I'm having post workout pain and stiffness from yesterday's classes I can't do shit. Like it's difficult to adjust how I'm sitting. But on the bright side I have morphine on standby always",,,,1238977044328992769,https://twitter.com/ineedyougurr/status/1238977044328992769
2020-03-14 23:51:38,therealJFKFAN,,0,1,6,"Ben Carson could put a morphine drip to sleep. ",,,,1238976111519895552,https://twitter.com/therealJFKFAN/status/1238976111519895552
2020-03-14 23:49:42,the_powerbroker,the_powerbroker,0,3,8,"I doubt they’ll enjoy living through the pneumonia very much. Also, based on Italy’s example, when the system gets overwhelmed, every single one of them who gets it and requires ICU respirators displaces an older person who might survive but now gets morphine and is left to die",,,,1238975625802776582,https://twitter.com/the_powerbroker/status/1238975625802776582
2020-03-14 23:47:22,jhoangeI,,2,0,7,"on a real my endorphins went up so i feel like i’m on morphine and i deadass first thought “oh my god i have to tell pablo i have a new name” then remembered the mf doesn’t talk it’s cause our bonds so strong i forget we don’t actually TALK",,,,1238975035378974721,https://twitter.com/jhoangeI/status/1238975035378974721
2020-03-14 23:47:15,War_Kittens,,1,0,1,"[squints at my playlist of Balkan and Middle Eastern music] [squints at Spotify suggesting Morphine as something to go with it]",,,,1238975007390302208,https://twitter.com/War_Kittens/status/1238975007390302208
2020-03-14 23:42:48,ralphs532001,JB_Freak1969,1,0,0,"I had one about the same size they gave me morphine and something to make me pee and it must of past into my bladder but stopped hurting went home was sore but was fine I felt lucky .Now I drink apple cider vinegar every day",,,,1238973887414546432,https://twitter.com/ralphs532001/status/1238973887414546432
2020-03-14 23:42:42,GemmaGhuntley,,0,0,1,"Morphine is ace however the itchiness is not ",,,,1238973862542544896,https://twitter.com/GemmaGhuntley/status/1238973862542544896
