date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-07 19:44:11,SumaiyaTauseeq,ECGQuizzes,0,0,0,"V.Tach . If stable then first go with adenosine 6mg , of it is not converted to sinus then amiodarone 150 mg stat and then infusion . If at any time the patient is unstable give midazolam and nalbuphine for sedation and shock with 100 joules synchronize shock",,,,1236377123058847744,https://twitter.com/SumaiyaTauseeq/status/1236377123058847744
2020-03-04 17:05:10,cindyPharMPH,,0,0,2,"Opioid Induced Pruritus - is NOT histamine mediated & not an allergy. Best evidence has shown to utilize Nalbuphine (Nubain) for acute pain and avoidance of pruritis.",,,,1235249942005866496,https://twitter.com/cindyPharMPH/status/1235249942005866496
2020-02-27 14:34:52,PervezSultanMD,KalagaraHari,0,0,2,"Nalbuphine or naloxone usually does the trick depending on availability!",,,,1233037789584736259,https://twitter.com/PervezSultanMD/status/1233037789584736259
2020-02-25 03:02:35,headdock,JSG_54,1,1,3,"Know of any heavily (not even primarily) Kappa agonist drugs? The only ones ever made are Nalbuphine &amp; Pentazocine. Good article written by my best buddy, the amazing @JeffreyFudin:",,@JeffreyFudin,,1232138797267087360,https://twitter.com/headdock/status/1232138797267087360
2020-02-25 02:44:29,headdock,urbanfatbiker,5,0,4,"Got any Kappa agonists on hand? The only opioids that demonstrate much Kappa antagonism are Pentazocine & Nalbuphine. See any around? Ever hear of them? Nah.... Good article by my best buddy, @JeffreyFudin: https://www.pharmacytimes.com/contributor/jeffrey-fudin/2018/01/opioid-agonists-partial-agonists-antagonists-oh-my Dr. Fudin probably doesn't know much, either. ",,@JeffreyFudin,,1232134241930141696,https://twitter.com/headdock/status/1232134241930141696
2020-02-21 05:51:14,mackie_don,Drbankruptcy,1,0,1,"There’s a long history of drugs with “all the advantages of morphine without the disadvantages” nalbuphine, buprenorphine, pentazocine, butorphanol. Work for some but generally the dysphoriant emetic class. Then there is nefopam....",,,,1230731686964412416,https://twitter.com/mackie_don/status/1230731686964412416
2020-02-19 18:05:43,VAAEditor,,0,3,5,"TIVA in chicken with or without opioids? Come read @VAAEditor ""Total intravenous anesthesia in domestic chicken (Gallus gallus domesticus) with propofol alone or in combination with methadone, nalbuphine or fentanyl for ulna osteotomy"" @ufrgsnoticias",,@VAAEditor @ufrgsnoticias,,1230191747248074752,https://twitter.com/VAAEditor/status/1230191747248074752
2020-02-12 05:53:29,Peertechz,,0,0,0,"Dexmedetomidine as an adjuvant to Nalbuphine in patient controlled analgesia for post-operative pain in Laparoscopic Cholecystectomy: A preliminary study ",,,,1227470762040287232,https://twitter.com/Peertechz/status/1227470762040287232
2020-02-01 18:25:18,semodough,,1,2,1,"of Upjohn deal&updated guidance mid-2020; 5) $SAGE (OP): update on SAGE-217 regulatory strategy after 1Q FDA meeting; $TRVI (OP): statistical re-assessment for Nalbuphine ER mid-2020; 7) $AMPH (Mkt): GDUFAs for two significant injectable products in 2Q/later 2020; 8) $ENDP (Mkt)",,,,1223673696931454978,https://twitter.com/semodough/status/1223673696931454978
2020-01-30 19:48:33,knowsanesthesia,knowsanesthesia,0,0,0,"A116 : Nalbuphine. Source : Miller's Basics of anesthesia, 7th edition, page 600 ",,,,1222969871165722624,https://twitter.com/knowsanesthesia/status/1222969871165722624
