date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 06:28:28,agamemnus_dev,agamemnus_dev,1,0,0,"6/5 Here is where they took down Acadia's Nuplazid (imo to have their friends profit on put options) with baseless allegations (anecdotal evidence, which CNN loves substituting for sound evidence): ",,,,1239075978216947713,https://twitter.com/agamemnus_dev/status/1239075978216947713
2020-03-14 23:25:07,legsanity,nuplazid,0,0,0,"we don't focus on that aspect, nor does the NBAPA, but it looks like most organizations are stepping up to the play, thankfully!",,,,1238969438592000000,https://twitter.com/legsanity/status/1238969438592000000
2020-03-14 23:05:02,nuplazid,Rotoworld_BK,1,0,0,"How about the thousands of other employees that work during games?",,,,1238964384010866688,https://twitter.com/nuplazid/status/1238964384010866688
2020-03-14 10:00:23,GlennUlman,,0,1,1,"You ever see the Parkinson’s nuplazid commercial? Epstein didn’t kill himself. He’s in the commercial ",,,,1238766919420960773,https://twitter.com/GlennUlman/status/1238766919420960773
2020-03-14 05:25:33,DaddyDrinksBC,,0,0,0,"Can someone put Trump on Nuplazid already?",,,,1238697755440283648,https://twitter.com/DaddyDrinksBC/status/1238697755440283648
2020-03-12 00:39:01,nuplazid,Rotoworld_BK,0,0,1,"I heard a fan coughing can we delay the season",,,,1237900870819254275,https://twitter.com/nuplazid/status/1237900870819254275
2020-03-07 12:54:01,PatBabbapat,RupertaMargate,0,0,4,"She and Biden running together are going to require a boat load of Aricept and Nuplazid, not to mention keeping a neurologist and infectious disease control physicians on staff. Have they installed an ICU unit at Chelsea's yet?",,,,1236273901119905795,https://twitter.com/PatBabbapat/status/1236273901119905795
2020-03-07 08:37:03,stigmabase,,0,1,0,"Fighting stigma — The Best Biotech Stocks To Buy Now: If approved, Nuplazid could provide welcome relief for many, including those with Alzheimer's disease. The company also expects to report data by ... http://dlvr.it/RRQFd8",,,,1236209234011807746,https://twitter.com/stigmabase/status/1236209234011807746
2020-03-05 18:53:46,FeasterFamine,,1,0,0,"Is it just me or does the guy in the Nuplazid commericial look a little too Jeffrey Epsteinish? ",,,,1235639660786765824,https://twitter.com/FeasterFamine/status/1235639660786765824
2020-03-05 14:08:09,ChrisLicodo,caregiving,1,0,1,"Specifically Nuplazid. I had known it was coming for years. Once it cleared trials , I was persistent on getting it. Even with co-pay assistances. My employer sponsored health insurance balked at paying for it. Out of pocket was $3500 for a month. No one can afford that.",,,,1235567783221645314,https://twitter.com/ChrisLicodo/status/1235567783221645314
2020-03-04 19:40:34,ForTheRecord01,,0,0,5,"It remains a mystery to me why one of the giants of the pharma world hasn't already acquired Acadia. What mid-cap biopharma has a lead drug as commercially promising as Nuplazid? $ACAD $IBB",,,,1235289050363420672,https://twitter.com/ForTheRecord01/status/1235289050363420672
2020-03-04 19:39:45,ForTheRecord01,,0,1,4,"$ACAD Sales of Nuplazid next year will likely grow by 100% or more (from c. $500 million to c. $1 billion). Such a milestone will put Nuplazid in the same league as INCY's Jakafi, likely higher than NBIX's Ingrezza &amp; SGEN's Adcetris, and much higher than SRPT's Exondys51.",,,,1235288842195873792,https://twitter.com/ForTheRecord01/status/1235288842195873792
2020-03-02 23:27:44,nuplazid,,0,0,0,"@AskRobinhood I was going to buy 2 shares of Disney today! I lost money!",,@AskRobinhood,,1234621440852254720,https://twitter.com/nuplazid/status/1234621440852254720
2020-03-02 12:46:58,metrixreloaded,,0,0,0,"@MSNBC is running those commercials for Nuplazid, a Parkinsons drug. Some of the symptoms of which are delusions, believing things that aren’t true and hallucinations. What about wearing red hats?",,@MSNBC,,1234460188415025153,https://twitter.com/metrixreloaded/status/1234460188415025153
