date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:44:05,bokglobulia,bokglobulia,0,0,0,"yup that’s our fucking captain he’s high on oxycodone and has a broken jaw and about 18 teeth",,,,1239019509064892416,https://twitter.com/bokglobulia/status/1239019509064892416
2020-03-15 02:34:46,hellohaanjii,gurrrjeet,1,0,1,"nothing less than oxycodone plz",,,,1239017163123499013,https://twitter.com/hellohaanjii/status/1239017163123499013
2020-03-15 02:19:35,Tyson_S,smugladies,0,0,1,"It bothers me a lot how much I think about this video",,,,1239013345447075840,https://twitter.com/Tyson_S/status/1239013345447075840
2020-03-15 02:13:03,Tyson_S,realkatiejow,1,0,6,"Your fucking forehead is insane",,,,1239011701099581440,https://twitter.com/Tyson_S/status/1239011701099581440
2020-03-15 02:05:00,AlamoOnTheRise,axios,2,8,10,"So, there's no test kits in West Virginia, but, an estimated 433 hydrocodone and oxycodone pills per person. Got it! ",,,,1239009675019988994,https://twitter.com/AlamoOnTheRise/status/1239009675019988994
2020-03-15 01:41:10,furesist,BlueRussian35,0,0,1,"Maybe oxycodone is the antidote.",,,,1239003677219786752,https://twitter.com/furesist/status/1239003677219786752
2020-03-15 01:27:44,suburbanbody,,0,0,1,"Oxycodone (prescribed for my wisdom teeth) has caused me to cold sweat and not be able to sleep. I got my first full hour of sleep today. I feel like death",,,,1239000296870813696,https://twitter.com/suburbanbody/status/1239000296870813696
2020-03-15 01:10:27,revengeszn,,0,1,6,"20 years old havin' oxycodone nasal drip say she taste it when we kiss she ain't like the others, she the one that taught me how to sniff 999",,,,1238995943879565312,https://twitter.com/revengeszn/status/1238995943879565312
2020-03-15 00:32:11,714Noize,StarsofSugar,2,0,1,"Hopefully,I don't often let my issues out. Because of my heart attack,my Dr has been handing me big prescription's of oxycodone,I can't take nsaids for my herniated discs,chronic prostatitis,ulcers. It's caught up with me, I'm dependent again. I managed with CBD and cannabis. 1/2",,,,1238986314026024961,https://twitter.com/714Noize/status/1238986314026024961
2020-03-15 00:17:20,Tyson_S,,0,0,0,"Can one of you bastards who lives in the U.S do the stupid Butterfinger Final Fantasy 7 DLC promo for me? They wont accept my receipt because I live in Canada",,,,1238982579912663040,https://twitter.com/Tyson_S/status/1238982579912663040
2020-03-14 23:51:56,NanaPatHead,3GandaJ,0,0,1,"(Cont 2) only concern is availability of my prescription meds this coming week. We occasionally have a shortage of oxycodone when there isn’t panic everywhere so we will see what happens then. Otherwise we are holding down the fort. Thanks so much for asking after us!",,,,1238976187990409217,https://twitter.com/NanaPatHead/status/1238976187990409217
2020-03-14 23:24:11,Tyson_S,,0,0,6,"I'm blasting your mom raw & making her listen to my dungeon-synth album at the same time adding insult to injury",,,,1238969201748049921,https://twitter.com/Tyson_S/status/1238969201748049921
2020-03-14 23:06:39,AuthorDelaneyW,,1,0,5,"I purposely fill my prescriptions at different pharmacies because I like whatever brand they use better than others. I swear- All genetics are not equal. I fill my oxycodone at @SamsClub because whatever they use works better. It’s a yellow pill vs (1)",,@SamsClub,,1238964790086610944,https://twitter.com/AuthorDelaneyW/status/1238964790086610944
2020-03-14 22:42:37,MattWRoberts,,0,0,2,"Just found out they won't prescribe oxycodone for the Corona virus. Guess I don't have it after all... #COVIDー19 #coronavirus",,,#COVID #coronavirus,1238958740885438467,https://twitter.com/MattWRoberts/status/1238958740885438467
2020-03-14 22:42:29,kutlwano77,,1,0,0,"Lucky Daye >>>> Frank ocean",,,,1238958707788206085,https://twitter.com/kutlwano77/status/1238958707788206085
2020-03-14 22:22:01,9v481022,,0,0,0,"20 years old having oxycodone nasal drip Say she taste it when we kiss She ain't like the others, she the one that taught me how to sniff",,,,1238953556230758404,https://twitter.com/9v481022/status/1238953556230758404
2020-03-14 22:10:36,DON_BOSCO_,merrybelz,1,0,1,"Nope. Watching BB won't help. Just continue watching.",,,,1238950686689308678,https://twitter.com/DON_BOSCO_/status/1238950686689308678
2020-03-14 22:00:36,DON_BOSCO_,TheUlomaa,0,0,0,"Go and collect the award from her.",,,,1238948166843674624,https://twitter.com/DON_BOSCO_/status/1238948166843674624
2020-03-14 20:47:32,DON_BOSCO_,omohtee12,1,0,0,"This girl don come back? ",,,,1238929778524090368,https://twitter.com/DON_BOSCO_/status/1238929778524090368
2020-03-14 20:45:49,DON_BOSCO_,Nifemi_99,1,0,1,"Lol. I said same thing and they want to kill me. ",,,,1238929348167708673,https://twitter.com/DON_BOSCO_/status/1238929348167708673
2020-03-14 20:37:44,ilydongwoo,,0,0,0,"My oxycodone doesn’t even work. The ibuprofen doesn’t work. My tolerance for edibles is too high so that don’t work and I can’t smoke until it’s healed more so weed ain’t an option this time uggghhhh",,,,1238927316069183488,https://twitter.com/ilydongwoo/status/1238927316069183488
2020-03-14 20:27:33,DON_BOSCO_,,0,0,1,"Mercy dropped a bomb for the Titans. ",,,,1238924749373419521,https://twitter.com/DON_BOSCO_/status/1238924749373419521
2020-03-14 19:58:54,grafik333,neenr4u,0,0,0,"And this is a bad thing? There have been many prescribed medical treatments over time that have turned out to be harmful. See oxycodone.",,,,1238917543189868544,https://twitter.com/grafik333/status/1238917543189868544
2020-03-14 19:45:27,TCToodyGuerrero,MsJayLee22,1,0,1,"Ok : I’ll take 2 of each. Oxycodone. Xanax. Percocets. Washed down with a shot of Henny -TC",,,,1238914158260871168,https://twitter.com/TCToodyGuerrero/status/1238914158260871168
2020-03-14 19:40:37,DON_BOSCO_,fab_tava,1,0,2,"It's actually very nice. Idc",,,,1238912942004932608,https://twitter.com/DON_BOSCO_/status/1238912942004932608
2020-03-14 19:26:21,HeartbreakerJr1,,0,0,0,"Replace the pain with a Oxycodone. Love my family. ",,,,1238909351206756354,https://twitter.com/HeartbreakerJr1/status/1238909351206756354
2020-03-14 19:07:45,JaimeBurnsFNP,,10,0,3,"""He used his offices to operate a prescription “pill mill,” whereby he sold medically unnecessary prescriptions for opioids such as oxycodone. Kassis sold prescriptions to so-called patients for approximately $200 cash each"" #medtwitter #Physician",,,#medtwitter #Physician,1238904667754594304,https://twitter.com/JaimeBurnsFNP/status/1238904667754594304
2020-03-14 19:07:37,treemunsh,JaimeBurnsFNP,0,0,0,"I would bet a million dollars he would have been fine if he was prescribing Amoxicillin or gynalotrimin and not oxycodone.",,,,1238904634745311232,https://twitter.com/treemunsh/status/1238904634745311232
2020-03-14 18:24:59,AimlessRyan,,0,0,0,"OxyContin isn’t another form of oxycodone. It’s oxycodone with chemicals added to allegedly make it last 12 hours instead of 4. If I take Percocet and OxyContin at the same time, I’m still consuming that shit. It makes Percocet do the same thing the oxycodone in OxyContin does.",,,,1238893905007050760,https://twitter.com/AimlessRyan/status/1238893905007050760
2020-03-14 18:02:19,1rudebwoybelly,,0,0,0,"baby wats yo drug of choice is it roxy? oxycodone?",,,,1238888202066374661,https://twitter.com/1rudebwoybelly/status/1238888202066374661
2020-03-14 17:47:28,Fluffernut10,AbdulElSayed,0,0,0,"Neither the insurance nor the pharmacy board will allow me to fill multiple months of scripts of things like my oxycodone or my methotrexate. So this is highly unhelpful.",,,,1238884463204913155,https://twitter.com/Fluffernut10/status/1238884463204913155
2020-03-14 17:30:17,Tyson_S,ultragreatsord,1,0,0,"""A Kojima Game"" is the best way to describe it You play as Norman Reedus and you have a baby in a fish bowl on your chest and you deliver packages across post-apocalyptic America, you also get attacked by goop ghosts and whatever other bizarre stuff",,,,1238880140958056448,https://twitter.com/Tyson_S/status/1238880140958056448
2020-03-14 17:10:40,SasTrendy,Dsntslp,2,0,4,"Oh, it's not that Bupe isn't an option for me, that I know of? (Prob isn't knowing me) I 'ing REFUSE to be their labrat any longer or their Oxycodone 15mg 4x a day helped me without ever filling early and I'm sure 30mg would have given me my entire life back! Force weaned!",,,,1238875203079471114,https://twitter.com/SasTrendy/status/1238875203079471114
2020-03-14 17:07:41,trrudev,,0,0,0,"Do ppl really be buying oxycodone? ",,,,1238874454807150593,https://twitter.com/trrudev/status/1238874454807150593
2020-03-14 17:00:01,AberdeenNews,,0,0,1,"According to the indictment, Salas is accused of knowingly distributing the prescription painkiller oxycodone to a man in Aberdeen in September 2018. The man suffered a fatal overdose the same day. ",,,,1238872522222960641,https://twitter.com/AberdeenNews/status/1238872522222960641
2020-03-14 16:59:35,DON_BOSCO_,Olaret951,1,0,0,"I am here na. ",,,,1238872416304144385,https://twitter.com/DON_BOSCO_/status/1238872416304144385
2020-03-14 16:57:37,DON_BOSCO_,Chyboz,0,0,0,"Ah! I have broken the bro code. ",,,,1238871921250447360,https://twitter.com/DON_BOSCO_/status/1238871921250447360
2020-03-14 16:53:31,Tyson_S,,2,0,6,"I was the first of my friend group to play Death Stranding & got it at launch I beat the 1st chapter, haven't touched it since Now all my friends have beaten it, I swear to god it's on my list & I will play it again eventually",,,,1238870887203471360,https://twitter.com/Tyson_S/status/1238870887203471360
2020-03-14 16:51:06,JL_34Celtz,BiancaWJHL,0,1,2,"They just cant feel the symptoms because the oxycodone",,,,1238870280103223296,https://twitter.com/JL_34Celtz/status/1238870280103223296
2020-03-14 16:27:15,ConcernedMom9,,0,0,0,"“Garcia was dealing counterfeit blue M30 oxycodone pills laced with fentanyl,"" said Brewer. ",,,,1238864278570127361,https://twitter.com/ConcernedMom9/status/1238864278570127361
2020-03-14 16:01:01,cutbeart,TarekCattan,0,0,0,"Right? How about Mylan selling the EpiPen for $600 (20 cents of epinephrine) or pharmacies selling 30 cent oxycodone pills for $13 to cancer patients. How about $300K for chemo. They are desperate, so they have to pay!",,,,1238857678031654914,https://twitter.com/cutbeart/status/1238857678031654914
2020-03-14 15:40:43,dokiww,MismagiusBD,0,0,8,"who’s this oxycodone guy at #85",,,,1238852566672224256,https://twitter.com/dokiww/status/1238852566672224256
2020-03-14 15:06:00,DON_BOSCO_,monirocs,0,0,0,"Exactly!",,,,1238843829333172224,https://twitter.com/DON_BOSCO_/status/1238843829333172224
2020-03-14 15:05:27,JosephTorba3,jasonbaum,1,0,0,"Mother 93 in home , on oxycodone for pain of bedsores, he never visits? See 81 average age. Damn Chinese socialist medicine",,,,1238843693005713410,https://twitter.com/JosephTorba3/status/1238843693005713410
2020-03-14 14:49:18,DON_BOSCO_,monirocs,1,0,0,"Jones are you cool? ",,,,1238839626929827840,https://twitter.com/DON_BOSCO_/status/1238839626929827840
2020-03-14 14:46:43,fisherco,,0,0,0,"10 shifts left. Got called worthless for refusing to give Oxycodone and Hydrocodone at the same time ",,,,1238838979601895424,https://twitter.com/fisherco/status/1238838979601895424
2020-03-14 14:45:51,DON_BOSCO_,terror_taichou,0,0,0,"Guy my PC been crash na. ",,,,1238838758474158085,https://twitter.com/DON_BOSCO_/status/1238838758474158085
2020-03-14 14:42:41,DON_BOSCO_,monirocs,1,0,0,"What was cool about the stoners that were leaving opposite my room that year?",,,,1238837964538621952,https://twitter.com/DON_BOSCO_/status/1238837964538621952
2020-03-14 14:32:11,DON_BOSCO_,Chyboz,2,0,0,"But you smoke weed bro. Wyd? ",,,,1238835319191060481,https://twitter.com/DON_BOSCO_/status/1238835319191060481
2020-03-14 14:28:34,DON_BOSCO_,KoloJesse,2,0,1,"The first most wanted. Baba I still never finish the game o. @terror_taichou",,@terror_taichou,,1238834411862401024,https://twitter.com/DON_BOSCO_/status/1238834411862401024
2020-03-14 14:04:40,DON_BOSCO_,,0,0,0,"Weed smokers think they are cool.",,,,1238828396878192641,https://twitter.com/DON_BOSCO_/status/1238828396878192641
2020-03-14 13:54:45,Tyson_S,,0,0,2,"celebrities don't have time to respond to all your little troll comments! They're busy doing more important things like... uh... *checks notes* getting caught being cartoonishly racist or flying to a private, guarded island owned by a known pedophile",,,,1238825901963567107,https://twitter.com/Tyson_S/status/1238825901963567107
2020-03-14 13:26:09,StopCTE,,1,2,2,"His death was ruled an accidental overdose of oxycodone, but it was later determined that Test had suffered from chronic traumatic encephalopathy. chronic traumatic encephalopathy. This Day in Wrestling History (3/13) – Remembering Test - The Overtimer ",,,,1238818701249519616,https://twitter.com/StopCTE/status/1238818701249519616
2020-03-14 13:14:27,DON_BOSCO_,yoliejr,0,0,0,"Oh shit! ",,,,1238815756562898944,https://twitter.com/DON_BOSCO_/status/1238815756562898944
2020-03-14 13:11:42,DON_BOSCO_,MKBHD,1,0,0,"Nigga what?",,,,1238815066390253568,https://twitter.com/DON_BOSCO_/status/1238815066390253568
2020-03-14 13:01:13,DrinkinThatXO,,0,0,0,"Your subconscious mind reaches far and wide once the Moon ente... More for Capricorn http://bit.ly/A5KmeJ",,,,1238812427870818307,https://twitter.com/DrinkinThatXO/status/1238812427870818307
2020-03-14 12:58:12,RandellPendley,Txsconstitution,1,0,0,"All this had started under Obama at the VA. I've already been off 200mg. A day of Morphine sulfate for two years. And down on my oxycodone fro 40mg. To 25mg. They just need to know. Everyone doesn't abuse, sell, are Od-ed. After 22 years of use.",,,,1238811668391563266,https://twitter.com/RandellPendley/status/1238811668391563266
2020-03-14 12:49:07,medschat,,0,0,0,"M30 Oxycodone 30mg Mallinckrodt Pharmaceuticals Not Working ",,,,1238809382244278273,https://twitter.com/medschat/status/1238809382244278273
2020-03-14 12:24:42,Zeta_Pookie_Doo,Foolkiller82,1,0,0,"Kurt, can I ask you a question? I'm on the donate list too but I am on high doses of Morphine and Oxycodone (including a few others) due to living with pain 24/7. I have a healthy heart, lungs &amp; nearly all my other organs are good so would I be able to still donate?",,,,1238803240113799169,https://twitter.com/Zeta_Pookie_Doo/status/1238803240113799169
2020-03-14 12:04:58,goonz820,AshaRangappa_,0,0,0,"Must be the same doctors giving 500 oxycodone for a mild head ache in Florida couple years ago",,,,1238798270337617922,https://twitter.com/goonz820/status/1238798270337617922
2020-03-14 11:46:05,RealRyanJKaz,AJEnglish,0,0,0,"Here’s an article from a trusted news organization of mine that explains in detail to everyone why toilet paper’s harder to get right now than my regular controlled substance prescriptions for oxycodone/ Klonopin for at least this month, March 2020! ",,,,1238793522091831297,https://twitter.com/RealRyanJKaz/status/1238793522091831297
2020-03-14 11:43:41,OMAHAGEMGIRL,,1,0,1,"Trump put the corporations that helped create the high cost of pharmaceuticals & health care in charge of the US Coronavirus epidemic. CVS and Walgreens made money hand over fist filling prescriptions of oxycontin and oxycodone profiting off of the the opioid epidemic. ",,,,1238792915897516033,https://twitter.com/OMAHAGEMGIRL/status/1238792915897516033
2020-03-14 11:39:02,goldenbear1975,JayJUthe,0,0,0,"Yes the same medical experts that handed out oxycodone like candy that have caused the heroin epidemic. Yes not much trust there.",,,,1238791745208553472,https://twitter.com/goldenbear1975/status/1238791745208553472
2020-03-14 11:00:47,SqueakyDash,,0,0,1,"I know I'm a tease.. I also have 5 mg of oxycodone in me right now.. Soo without the massive pains of a cyst this pegasus feels goooood~",,,,1238782120346243072,https://twitter.com/SqueakyDash/status/1238782120346243072
2020-03-14 06:44:20,t3isbool,,0,0,4,"I can’t rap so im getting rich off this oxycodone",,,,1238717583676694529,https://twitter.com/t3isbool/status/1238717583676694529
2020-03-14 06:22:05,VioletDeVille,,0,0,0,"I’m home and nursing at a water bottle and using oxycodone to keep surgical pain at bay. I’ve been sleeping a lot, to no one’s surprise. It was dinner (a protein shake) and a movie (Knives Out). I am so looking forward to taking a shower tomorrow. #366se… https://www.instagram.com/p/B9tBHDBHu5o/",,,#366se,1238711980942405632,https://twitter.com/VioletDeVille/status/1238711980942405632
2020-03-14 05:29:35,SC395097,SC395097,1,0,0,"And yeah, the heavily regulated medications like Oxycodone and Hydrocodone can't legally be dispensed by pharmacies earlier than 2 days. (At least at my pharmacy.)",,,,1238698771732709376,https://twitter.com/SC395097/status/1238698771732709376
2020-03-14 05:19:07,medschat,,0,0,0,"K9 Oxycodone 30mg Fillers Causing Hives? ",,,,1238696136296280064,https://twitter.com/medschat/status/1238696136296280064
2020-03-14 04:24:42,Ozerrato,allADUiswin,0,0,0,"Opioids like percocet, oxycodone, etc. are almost hand in hand with meth",,,,1238682443118493697,https://twitter.com/Ozerrato/status/1238682443118493697
2020-03-14 04:00:23,CrweWorld,,0,0,0,"Aberdeen Woman Indicted for Distributing Oxycodone ",,,,1238676323163238401,https://twitter.com/CrweWorld/status/1238676323163238401
2020-03-14 03:54:46,juggshawty1,,0,0,0,"I love Oxycodone",,,,1238674911008358400,https://twitter.com/juggshawty1/status/1238674911008358400
2020-03-14 03:49:54,godlikemind,atrupar,0,0,2,"This man is always flying off some oxycodone or something. Brain is just glistening smooth at this point ",,,,1238673685545914370,https://twitter.com/godlikemind/status/1238673685545914370
2020-03-14 03:46:00,allthingssting,justcheerduh,1,0,1,"instead of coffee try to canned ICE drinks !!! they’re so good and literally wake you UP! i recently had surgery so i’ve been taking oxycodone bad that’s the only thing that will keep me up after that",,,,1238672701490937856,https://twitter.com/allthingssting/status/1238672701490937856
2020-03-14 03:39:59,PharminAintEasy,,1,0,7,"Got an RX with Norco 5/325 crossed out & Hydrocodone 5mg above it. Told the guy that’s not a thing & even in an alternate reality where I’d be willing to call & clarify I legally can’t change that. His response “Oh! It’s supposed to say Oxycodone.” Friday the 13th y’all I swear ",,,,1238671190283161603,https://twitter.com/PharminAintEasy/status/1238671190283161603
2020-03-14 03:34:46,IsaiahMBautist1,,0,0,0,"Uh, my mom on BitLife just died from an oxycodone overdose! This game is wild. http://www.bitlifeapp.com",,,,1238669876396466179,https://twitter.com/IsaiahMBautist1/status/1238669876396466179
2020-03-14 02:29:08,silverwolfcc,MisterAntiBully,0,0,0,"Yes, they gave me oxycodone for it for my kidney damage in the hospital. It is painful as fuck.",,,,1238653360410112001,https://twitter.com/silverwolfcc/status/1238653360410112001
2020-03-14 02:13:05,MaryLemanski,KLGLASS2,0,0,0,"It's called Oxycodone. He's doing Oxycodones. Hence, the half-asleep ""heroin nod"" he always seems to be in.",,,,1238649319147941889,https://twitter.com/MaryLemanski/status/1238649319147941889
2020-03-14 01:58:38,TannerHines4,,0,0,0,"Uh, my boyfriend on BitLife just died from an oxycodone overdose! This game is wild. http://www.bitlifeapp.com",,,,1238645681969119232,https://twitter.com/TannerHines4/status/1238645681969119232
2020-03-14 01:56:59,Tyson_S,,1,0,4,"the virgin Punch-Card & Time-Clock v.s the chad Writing Your Hours on a Post-It Note",,,,1238645266963726336,https://twitter.com/Tyson_S/status/1238645266963726336
