date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:34:20,PROPkills,,0,0,0,"The myalgia and joint pain from the flu stacked on my untreated #ChronicPain is literally torture. What I wouldn't give to find an old box of Actiq or bottle of oxymorphone... anything really",,,#ChronicPain,1239017054461665280,https://twitter.com/PROPkills/status/1239017054461665280
2020-03-14 02:46:46,PortezF,ToomeyWright,0,0,1,"Say you're allergic to everything bar Oxymorphone and come entertain us via live stream. God speed, space cadet. ",,,,1238657795978694657,https://twitter.com/PortezF/status/1238657795978694657
2020-03-14 00:57:46,Markble2,,0,0,0,"#painkillers #Hydrocodone-combination (#Vicodin) #Oxycodone with #acetaminophen (generic #Percocet) #Oxycodone HCL (generic #OxyContin) #Acetaminophen with #codeine #Morphine sulfate #Fentanyl Brand-name #OxyContin #Methadone #Hydromorphone HCL (generic #Dilaudid #Oxymorphone HCL",,,#painkillers #Hydrocodone #Vicodin #Oxycodone #acetaminophen #Percocet #Oxycodone #OxyContin #Acetaminophen #codeine #Morphine #Fentanyl #OxyContin #Methadone #Hydromorphone #Dilaudid #Oxymorphone,1238630367684419584,https://twitter.com/Markble2/status/1238630367684419584
2020-03-13 20:30:27,Katamac1967,SasTrendy,2,0,13,"I have questions-if “bad” opioids (oxycodone, morphine, oxymorphone, hydrocodone, etc) cause hyperalgesia-do opioids Rx’d for addiction cause OIH? Buprenorphine, Suboxone, Methadone? Do ppl taking illegal #opioids (heroin, illegal fentanyl, etc) develop OIH? #opioidhysteria",,,#opioids #opioidhysteria,1238563092729974784,https://twitter.com/Katamac1967/status/1238563092729974784
2020-03-13 07:15:30,PROPkills,,3,2,13,"I miss my high dose Duragesic & oxymorphone because they gave me freedom that I no longer have. Without them, I am given a life sentence in the prison that is my body. If something else worked, I wouldn't be in this position and I never would have jumped through the hoops.",,,,1238363036014051328,https://twitter.com/PROPkills/status/1238363036014051328
2020-03-10 20:15:31,TweetStreetInt1,TheJusticeDept,0,0,0," Fuqua admitted... he conspired... to distribute medically unnecessary controlled substances, including oxycodone, oxymorphone, alprazolam, hydrocodone &amp; promethazine hydrochloride, through the selling of appts. w/ physicians at their clinics. ",,,,1237472170755813376,https://twitter.com/TweetStreetInt1/status/1237472170755813376
2020-03-10 18:55:38,ladydoc12,,1,0,0,"@ExpressRxHelp hi I have been trying to get a PA for my patient who is on 50 mg oxymorphone SR twice daily. He has been on this dose since 8/17/15. I am getting conflicting reports about why the med is being refused and the pt has been out of the med for 2 weeks",,@ExpressRxHelp,,1237452067930808322,https://twitter.com/ladydoc12/status/1237452067930808322
2020-03-10 08:10:23,Feather_Nail,fight4freedom72,0,0,0,"Complicit? Wow! I did not know they went to Scott County and injected oxymorphone into the 11 people who shared needles and became HIV positive. If this had only been known they were doing this. Those drug addicts could have been saved.",,,,1237289684503494656,https://twitter.com/Feather_Nail/status/1237289684503494656
2020-03-10 03:18:41,SickAnimalBot,,0,0,0,"This lamb needs Oxymorphone!",,,,1237216276864524288,https://twitter.com/SickAnimalBot/status/1237216276864524288
2020-03-08 02:34:47,USAlcohome,Cernovich,0,0,0,"Oxymorphone",,,,1236480453651161088,https://twitter.com/USAlcohome/status/1236480453651161088
2020-03-05 04:22:20,careb0t_,,0,0,0,"this has the subtle, warm euphoria of tramadol without any of the nausea. i was told it can be a little more extreme like oxymorphone but this is very comfy so far",,,,1235420356925485056,https://twitter.com/careb0t_/status/1235420356925485056
