date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 09:58:57,olansile007,Itswonderboy,0,0,0,"30 years no league. You’re so pained. How about some pentazocine for your pains ? And don’t forget to give your manager some too ",,,,1238041784485392387,https://twitter.com/olansile007/status/1238041784485392387
2020-03-11 05:56:26,priyakatkar4,,0,0,0,"Pentazocine Hcl Market – Global Industry Analysis &amp; Forecast to 2027 ",,,,1237618366157918213,https://twitter.com/priyakatkar4/status/1237618366157918213
2020-03-08 21:43:58,adejibo,Okizle,1,0,0,"No go bag...but I have one nylon at home with spirit, cotton wool, artemether, pentazocine, syringes, cannula, plaster ",,,,1236769654380605441,https://twitter.com/adejibo/status/1236769654380605441
2020-03-08 11:46:20,w_sicklecell,,0,1,0,"I have been a daily consumer of pentazocine for 6 years now and am 32 years, could it be the source of my problem",,,,1236619254893551616,https://twitter.com/w_sicklecell/status/1236619254893551616
2020-03-06 02:30:08,JamesKerwin9,,0,0,0,"Off-label use of pentazocine and the associated adverse events among pediatric surgical patients in a tertiary hospital in Northern Nigeria: a retrospective chart review #Pentazocine #offlabeluse #pediatric #adverseevent",,,#Pentazocine #offlabeluse #pediatric #adverseevent,1235754505846820865,https://twitter.com/JamesKerwin9/status/1235754505846820865
2020-03-03 20:38:16,mopefasakin,mopefasakin,1,0,0,"Clearly, a Nigerian health worker does not have to Google ""pentazocine"". Health is local. Public health is not necessarily global health. Public health issues in a country can not be extrapolated to another country except necessary.",,,,1234941179944304641,https://twitter.com/mopefasakin/status/1234941179944304641
2020-03-03 15:58:52,_Olufolabi,,0,0,0,"Apparently there are pentazocine addicts in naij.",,,,1234870869719158784,https://twitter.com/_Olufolabi/status/1234870869719158784
2020-03-03 08:48:47,Belemsz,,2,0,2,"How do you attempt to smuggle 50 ampules of pentazocine inj into a rehab and expect to not get caught? Someone is your friend and you don't want them to get better ",,,,1234762635515715586,https://twitter.com/Belemsz/status/1234762635515715586
2020-03-02 09:07:12,secretboyfrnd,SirrafynahPaul,1,0,0,"Oh my good morning...thought you were still in clomidateraah771.7 smoking your pentazocine in 3ball ☻☻☻",,,,1234404882490281996,https://twitter.com/secretboyfrnd/status/1234404882490281996
2020-03-01 20:54:45,aproko_doctor,Kemaaayyyy,71,132,790,"We have heard you o. Madam Pentazocine ",,,,1234220553734696962,https://twitter.com/aproko_doctor/status/1234220553734696962
2020-02-26 19:29:43,OddMCW,,0,0,0,"During housejob days, the boot of my car had all sorts of drugs. From diazepam to pentazocine. All of them except fluids. Out of my own salary o. Patients just couldn't afford even the cheapest meds. Imagine a very sick child and the mother only brought 1k. Ah",,,,1232749604883619841,https://twitter.com/OddMCW/status/1232749604883619841
2020-02-25 22:29:56,GoodnessAdeosun,KelvinObene,1,0,1,"Let me give you pentazocine ",,,,1232432568949100544,https://twitter.com/GoodnessAdeosun/status/1232432568949100544
2020-02-25 09:18:36,pharm_tycoon,razprowess,1,0,0,"To the guy who comes with pentazocine written on a paper telling you he is a nurse ",,,,1232233424351584256,https://twitter.com/pharm_tycoon/status/1232233424351584256
2020-02-25 07:53:57,BecksBeckss,,0,0,0,"Just one shot of pentazocine would fix this pain right now. I want it to go away, wtf!! I hate periods",,,,1232212120852475905,https://twitter.com/BecksBeckss/status/1232212120852475905
2020-02-25 06:51:25,Itimi1,cremechic11,0,4,2,"One day we shall talk about how medical doctors and nurses engage in very serious drug abuses. Pentazocine to mention just one. They will never make threads about this one. ",,,,1232196381865119745,https://twitter.com/Itimi1/status/1232196381865119745
2020-02-25 05:35:55,abdulbaqhi,n3rDRevolution,0,0,2,"Typical case of pentazocine dependence in SCD. And the efforts to get a made-up prescription!!! This person should be found and helped before she goes further down that road.",,,,1232177384947843073,https://twitter.com/abdulbaqhi/status/1232177384947843073
2020-02-25 03:02:35,headdock,JSG_54,1,1,3,"Know of any heavily (not even primarily) Kappa agonist drugs? The only ones ever made are Nalbuphine & Pentazocine. Good article written by my best buddy, the amazing @JeffreyFudin:",,@JeffreyFudin,,1232138797267087360,https://twitter.com/headdock/status/1232138797267087360
2020-02-25 02:44:29,headdock,urbanfatbiker,5,0,4,"Got any Kappa agonists on hand? The only opioids that demonstrate much Kappa antagonism are Pentazocine &amp; Nalbuphine. See any around? Ever hear of them? Nah.... Good article by my best buddy, @JeffreyFudin: https://www.pharmacytimes.com/contributor/jeffrey-fudin/2018/01/opioid-agonists-partial-agonists-antagonists-oh-my Dr. Fudin probably doesn't know much, either. ",,@JeffreyFudin,,1232134241930141696,https://twitter.com/headdock/status/1232134241930141696
