date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 02:40:39,209brandonn,,1,0,0,"CAUSE WE WAS HOPPIN OUT IN BROAD DAY SERVIN FIENDS IN THE HALLWAY PROMETHAZINE TIL THE MORNING HOPE I DONT WAKE UP TOMORROW WE WAS THE TYPA N***** THAT WOULD ROB THE ROBBERS MAKE THE CHOPPA SING LIKE LADADADADA HAD TO SLIDE ON THE SLIDERS THAT AINT NORMAL BABY SURVIVED IN THESE ",,,,1239018643628802049,https://twitter.com/209brandonn/status/1239018643628802049
2020-03-15 02:16:17,o_pedrini,,0,0,0,"girl where the rest of that promethazine at",,,,1239012514849005568,https://twitter.com/o_pedrini/status/1239012514849005568
2020-03-15 02:05:07,KurtisTheGREAT,,0,0,0,"Want to give out high ass inhalers... no mam I need codeine!!! .... you know promethazine.",,,,1239009702849150976,https://twitter.com/KurtisTheGREAT/status/1239009702849150976
2020-03-15 02:03:20,alwaysthemain,MedicTrommasher,0,0,2,"Over the counter? My doc offered me an inhaler a month ago and I turned it down, asked for cough syrup instead. I've downed bottles of Delsym, Nyquil and Promethazine. Negative flu swabs as well.",,,,1239009254683693058,https://twitter.com/alwaysthemain/status/1239009254683693058
2020-03-15 01:54:04,OhSayLesss,,0,0,0,"Got Promethazine in my blood and Percocet, woo",,,,1239006922252181506,https://twitter.com/OhSayLesss/status/1239006922252181506
2020-03-15 01:50:19,ohenzyko,,0,0,1,"promethazine to the morning",,,,1239005978671984640,https://twitter.com/ohenzyko/status/1239005978671984640
2020-03-15 01:42:22,Nezzle265,,0,0,0,"promethazine in my body I’m cryin purple tears ",,,,1239003976194043905,https://twitter.com/Nezzle265/status/1239003976194043905
2020-03-15 01:18:40,JACKBOY_Devron,wizkidayo,0,0,3,"Always ",,,,1238998013537853442,https://twitter.com/JACKBOY_Devron/status/1238998013537853442
2020-03-15 01:12:16,broken_queene,,0,0,1,"I hate promethazine DM. Hate it, hate it, hate it. I'm all fuzzy and drowsy and dizzy and STILL FUCKING COUGHING SO WHAT IS THE POINT",,,,1238996404074188800,https://twitter.com/broken_queene/status/1238996404074188800
2020-03-15 00:25:48,eli_24s,jor_danmk,0,0,1,"PROMETHAZINE GRAB A CUP",,,,1238984708349997056,https://twitter.com/eli_24s/status/1238984708349997056
2020-03-15 00:09:52,lqfenty,,0,0,0,"This promethazine about to his different tonight",,,,1238980700205965312,https://twitter.com/lqfenty/status/1238980700205965312
2020-03-15 00:04:42,ProdMVX,,0,0,0,"Yo let me catch corona early Ima be immune sippin my promethazine and codeine watchin the world crumble",,,,1238979399975874560,https://twitter.com/ProdMVX/status/1238979399975874560
2020-03-14 23:50:13,via_angeline,,0,0,1,"Men that are about their money and love the gym ",,,,1238975753552789509,https://twitter.com/via_angeline/status/1238975753552789509
2020-03-14 23:47:07,via_angeline,,0,0,0,"Being in love ain’t real, the movies made it all up",,,,1238974975803043840,https://twitter.com/via_angeline/status/1238974975803043840
2020-03-14 23:24:05,cokebluntz,,0,0,0,"promethazine pastor",,,,1238969177886674945,https://twitter.com/cokebluntz/status/1238969177886674945
2020-03-14 23:23:11,IsaacPetey,,0,0,0,"You niggas really just drinking promethazine w/ no codeine ",,,,1238968948999294978,https://twitter.com/IsaacPetey/status/1238968948999294978
2020-03-14 23:06:06,killurselfhoee,,1,0,7,"I traded my white high top nike air forces for a bottle of promethazine/codeine. If y’all were wondering where I’m at in life....I’m fine tho fr.",,,,1238964653436407810,https://twitter.com/killurselfhoee/status/1238964653436407810
