date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 03:36:50,dyinglordestan,Atypical_angel,0,0,1,"Ahead of her time",,,,1239032785953673216,https://twitter.com/dyinglordestan/status/1239032785953673216
2020-03-15 03:36:28,dyinglordestan,brekkogrenada,0,0,0,"WELL",,,,1239032692747808771,https://twitter.com/dyinglordestan/status/1239032692747808771
2020-03-15 03:33:36,aliyaki,Tarale,0,0,0,"I have enough stuff, except pseudoephedrine and bottle water...I just get cabin fever so easily.",,,,1239031972355174400,https://twitter.com/aliyaki/status/1239031972355174400
2020-03-15 03:30:40,dyinglordestan,vassalucas,0,0,0,"Wait whys there so many groups wtf",,,,1239031231007817728,https://twitter.com/dyinglordestan/status/1239031231007817728
2020-03-15 03:28:51,dyinglordestan,vassalucas,0,0,0,"wait maybe i should stan, its getting tired being an ellaphants",,,,1239030774814461954,https://twitter.com/dyinglordestan/status/1239030774814461954
2020-03-15 03:23:40,dyinglordestan,vassalucas,1,0,0,"hol awn lucas is so hot wtf",,,,1239029471996530688,https://twitter.com/dyinglordestan/status/1239029471996530688
2020-03-15 02:57:58,dyinglordestan,vassalucas,1,0,0,"omg stop hating on conan ",,,,1239023004706672642,https://twitter.com/dyinglordestan/status/1239023004706672642
2020-03-15 02:17:32,lifeofpeo,anylaurie16,0,0,2,"First you need some Acetone, Anhydrous Ammonia, Ephedrine/Pseudoephedrine, Hydrochloic Acid, Lithium, Red phosphorus, Toluene, Sodium Hydroxide and Sulfuric Acid. then watch episodes 1-4 from season one of Breaking Bad.",,,,1239012825789538304,https://twitter.com/lifeofpeo/status/1239012825789538304
2020-03-15 02:03:06,di_daisyistand,,0,0,0,"Actually, #TCM Chinese traditional herbs like licorice and cinnamon are great for colds, so is ginger. And, I thought everyone knew that ephedra is pseudoephedrine which is a great decongestant. I like the naturalist treatments far better for myself than white-coat hubris! #wuflu",,,#TCM #wuflu,1239009193668907008,https://twitter.com/di_daisyistand/status/1239009193668907008
2020-03-15 01:52:41,ZMan1685,,0,0,0,"Anyone check to see if Trump is price gouging his supply of pseudoephedrine? #COVIDー19",,,#COVID,1239006575655882753,https://twitter.com/ZMan1685/status/1239006575655882753
2020-03-15 01:39:52,ProfMonkeyHead,,0,0,0,"When do the clinical trials start on spray tan and high dose pseudoephedrine?",,,,1239003348134776832,https://twitter.com/ProfMonkeyHead/status/1239003348134776832
2020-03-15 00:51:56,xra22,EWErickson,0,0,0,"I actually stopped taking ibuprofen for my sinus congestion so I would notice if I had a fever. The real pseudoephedrine (not the stuff with PE in the name) is amazing during allergy season...I can't take it any longer, but I wish I could.",,,,1238991284397801472,https://twitter.com/xra22/status/1238991284397801472
