date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-04 01:06:32,maryisfabulous_,,1,0,0,"They also suggested Quillichew XR, Aptensio XR, and even Vyvanse. Like, what do you have against Ritalin LA, to deny a PA and suggest short acting Ritalin??? ",,,,1235008693214810112,https://twitter.com/maryisfabulous_/status/1235008693214810112
2020-02-20 22:16:24,gabbyriley7,iwasmmueller88,0,0,0,"My son takes Quillichew and it just won’t get below $55 a month. ",,,,1230617222332084224,https://twitter.com/gabbyriley7/status/1230617222332084224
2020-02-20 19:50:49,moonliIIies,LoveIitchi,1,0,0,"quillichew er",,,,1230580586021965824,https://twitter.com/moonliIIies/status/1230580586021965824
2020-02-20 16:28:53,moonliIIies,grrrlbrarian,2,0,0,"quillichew er",,,,1230529769537556480,https://twitter.com/moonliIIies/status/1230529769537556480
2020-02-04 21:31:11,moonliIIies,lesbianselkie,1,0,1,"i looked it up!! it's quillichew er. i'm going to try to get it switched though bc it's super expensive and hard to find (i had to drive 40 minutes to find a pharmacy that had it in stock)",,,,1224807640540139520,https://twitter.com/moonliIIies/status/1224807640540139520
2020-01-03 15:12:08,XianJaneway,lovelokest,1,0,3,"Amphetamine/Adderall family: -Vyvanse -Evekeo -Dexedrine -Adderall XL Methylphenidate/Ritalin family: -Concerta -Daytrana -Quillivant /Quillichew -Ritalin LA -Jornay (a VERY new one you can take at night!)",,,,1213115834991874049,https://twitter.com/XianJaneway/status/1213115834991874049
2019-11-28 14:39:29,noelaanisse,issa_mae67,1,0,0,"Quillichew ER. It was $168 for TWO weeks I already had a hard time getting the prior auth for the kapvay which he isn’t taking anymore. We are switching to that one &amp; I called OptumRx but they denied it so I just picked it up for the two weeks until I can take him back to dr",,,,1200061655721431041,https://twitter.com/noelaanisse/status/1200061655721431041
2019-11-05 19:16:15,PharmCoug,,1,0,1,"Quillichew I pick you! ",,,,1191796386557284352,https://twitter.com/PharmCoug/status/1191796386557284352
2019-10-20 18:48:19,C_M_Hoffman,C_M_Hoffman,0,0,0,"Most get either Amphetamine-based (Adzenys, Dexedrine, Dyanavel, Evekeo, ProCentra, VYVANSE, Zenzedi) OR Methylphenidate-based (Aptensio, CONCERTA, Cotempla, Daytrana, Metadate, Methylin, QuilliChew, Quillivant, Ritalin) The ones in all caps I know friends have used effectively.",,,,1185991151746203658,https://twitter.com/C_M_Hoffman/status/1185991151746203658
2019-08-03 20:04:49,JerseyGirlsOne,pickerbubba,0,0,2,"You don’t know how right you are...one of the biggest threats 2 this country is the prevalence of Ritalin type drugs Daytrana, Quillivant XR, Aptensio XR, Metadate ER, QuilliChew ER, Cotempla XR-ODT, Concerta, Methylin and SSRI’s like Prozac, etc.",,,,1157744150055284736,https://twitter.com/JerseyGirlsOne/status/1157744150055284736
