date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 04:16:16,quillivant,,0,0,1,"i can’t believe sarah palin rapped baby got back america wasn’t ready",,,,1238680318963482624,https://twitter.com/quillivant/status/1238680318963482624
2020-03-13 07:24:36,dokidokiporo,,0,0,0,"Don't forget your quillivant. You're grinding without it. But nausea never goes away; orgasm is ever out of reach.",,,,1238365328893247489,https://twitter.com/dokidokiporo/status/1238365328893247489
2020-03-11 03:22:24,quillivant,,0,0,2,"organized religion is a sin",,,,1237579599514488832,https://twitter.com/quillivant/status/1237579599514488832
2020-03-06 05:18:39,dokidokiporo,,0,0,0,"Don't forget your quillivant. You're sick without it. But confusion never goes away; comfort is ever out of reach.",,,,1235796916253884417,https://twitter.com/dokidokiporo/status/1235796916253884417
2020-03-05 01:05:46,quillivant,,0,0,3,"peter you dumb bitch",,,,1235370889446928390,https://twitter.com/quillivant/status/1235370889446928390
2020-02-26 09:17:45,quillivant,,0,0,0,"charles manson has some bops",,,,1232595596097282053,https://twitter.com/quillivant/status/1232595596097282053
2020-02-26 06:45:18,quillivant,DevonGagnon,0,0,0,"Man I just love Devon so much",,,,1232557233239711746,https://twitter.com/quillivant/status/1232557233239711746
2020-02-26 06:32:55,quillivant,,0,0,0,"king kunta is a ballad",,,,1232554116095905792,https://twitter.com/quillivant/status/1232554116095905792
2020-02-26 06:30:08,quillivant,,0,2,5,"stop “canceling” people for shit they did ten years ago",,,,1232553416167186432,https://twitter.com/quillivant/status/1232553416167186432
2020-02-26 05:42:16,quillivant,,1,1,3,"drake lowkey a pedophile",,,,1232541367391354880,https://twitter.com/quillivant/status/1232541367391354880
2020-02-24 01:24:04,PhunQuiz,,0,0,4,"B, Quillivant XR (methylphenidate extended release suspension) is the drug. The others are characters from the good doctor. Good for you for knowing that. ",,,,1231751616648417280,https://twitter.com/PhunQuiz/status/1231751616648417280
2020-02-24 01:24:02,PhunQuiz,,1,1,3,"And now another edition of the PhunQuiz name game—Doctor Seuss edition. There are three of the famous author’s characters and one drug in this list. Which one is the DRUG? A. Quimney B. Quillivant C. Nureau D. Zlock The answer follows in the next tweet . . . . . . . . . .",,,,1231751605197950981,https://twitter.com/PhunQuiz/status/1231751605197950981
2020-02-23 02:50:27,spirilis,,0,0,0,"5pm too, when half of them probably have worn off their ritalin or quillivant.",,,,1231410967344558082,https://twitter.com/spirilis/status/1231410967344558082
2020-02-22 12:18:36,quillivant,DevonGagnon,0,0,0,"shoot it",,,,1231191559883952129,https://twitter.com/quillivant/status/1231191559883952129
2020-02-17 06:28:37,emileighsrose,gracecamille_,0,0,1,"quillivant for add ",,,,1229291542130692097,https://twitter.com/emileighsrose/status/1229291542130692097
2020-02-16 01:56:05,quillivant,M4chop,0,0,1,"i love this for you",,,,1228860570700525569,https://twitter.com/quillivant/status/1228860570700525569
2020-02-15 07:14:42,quillivant,,0,0,2,"why my cat look like godzilla",,,,1228578365403205633,https://twitter.com/quillivant/status/1228578365403205633
2020-02-14 19:26:00,StephanieSarkis,dawso007,0,0,2,"Adderall needs another L at the end. Vyvanse is also spelled incorrectly. Also include Adderall XR, Ritalin LA, Metadate CD, Quillivant XR, and Daytrana. In addition, under non-stimulants FDA-indicated for ADHD, put Strattera, Intuniv, and Kapvay. #ADHD specialist here.",,,#ADHD,1228400014721998862,https://twitter.com/StephanieSarkis/status/1228400014721998862
2020-02-14 18:16:30,ClinicMango,,0,0,0,"Mango Clinic Miami is open to both South Florida locals and remote patients across the country. We are here to help people looking for relief via a variety of means, including Quillivant, a methylphenidate which can help all sorts of people. #adhd #ADHDT https://mangoclinic.com/quillivant-methylphenidate/",,,#adhd #ADHDT,1228382523014733824,https://twitter.com/ClinicMango/status/1228382523014733824
2020-02-14 13:47:02,quillivant,klsmas,0,0,1,"i love you so much ",,,,1228314710585548810,https://twitter.com/quillivant/status/1228314710585548810
2020-02-12 21:14:08,quillivant,M4chop,1,0,1,"dude sweet tart ropes for life",,,,1227702450951462913,https://twitter.com/quillivant/status/1227702450951462913
2020-02-10 07:52:27,quillivant,ChayceSteff,0,0,1,"buy me one",,,,1226775925448159232,https://twitter.com/quillivant/status/1226775925448159232
2020-02-09 23:13:26,quillivant,khaleighjayne,0,0,2,"nah you gotta clench til you get home",,,,1226645309905940481,https://twitter.com/quillivant/status/1226645309905940481
2020-02-07 08:18:35,quillivant,,0,0,2,"castiel has a gf now and it is the roku remote",,,,1225695339358720000,https://twitter.com/quillivant/status/1225695339358720000
2020-02-07 04:20:13,quillivant,,0,0,2,"i gotta ride the bull tonight and i ain’t feelin it oh geez",,,,1225635349667307526,https://twitter.com/quillivant/status/1225635349667307526
2020-02-06 08:05:30,quillivant,DevonGagnon,0,0,0,"I want this too pls",,,,1225329657177919488,https://twitter.com/quillivant/status/1225329657177919488
2020-02-04 20:18:30,dokidokiporo,,0,0,0,"Don't forget your quillivant. You're abusive without it. But greed never goes away; luck is ever out of reach.",,,,1224789347033141255,https://twitter.com/dokidokiporo/status/1224789347033141255
2020-02-03 16:17:13,zerena_hoofs,itslizziego,1,0,1,"My kid uses the quillivant extended relief chewables, worth a google. I’m here to talk if you ever need",,,,1224366237452386304,https://twitter.com/zerena_hoofs/status/1224366237452386304
2020-02-01 00:01:37,DevonGagnon,quillivant,0,0,1,"I’ll slide into the dm",,,,1223395942768021505,https://twitter.com/DevonGagnon/status/1223395942768021505
2020-02-01 00:01:09,quillivant,DevonGagnon,1,0,0,"when and where bb",,,,1223395825541402624,https://twitter.com/quillivant/status/1223395825541402624
2020-02-01 00:00:47,DevonGagnon,quillivant,1,0,1,"You don’t needa pay for that sweetie my fee is waived for you",,,,1223395736739549184,https://twitter.com/DevonGagnon/status/1223395736739549184
2020-02-01 00:00:17,quillivant,DevonGagnon,1,0,1,"I’d pay just to spend time with you",,,,1223395609375363073,https://twitter.com/quillivant/status/1223395609375363073
2020-01-25 14:14:24,bostonherald,,0,0,1,"The stimulants — such as Vyvanse, Quillivant and Mydayis — are often given to children with ADHD. http://bhne.ws/czWbiGV",,,,1221073838072573952,https://twitter.com/bostonherald/status/1221073838072573952
2020-01-23 02:55:42,quillivant,,0,0,2,"Bowling For Soup is better than All Time Low",,,,1220178261709377538,https://twitter.com/quillivant/status/1220178261709377538
2020-01-22 03:47:19,quillivant,klsmas,0,0,0,"shhhh they just don’t like the cold",,,,1219828866166018048,https://twitter.com/quillivant/status/1219828866166018048
2020-01-20 03:46:20,quillivant,,0,0,7,"white claws and wine, what have i become",,,,1219103840240373760,https://twitter.com/quillivant/status/1219103840240373760
2020-01-20 03:43:45,quillivant,klsmas,0,0,0,"i love your stupider, dumber face",,,,1219103193319297030,https://twitter.com/quillivant/status/1219103193319297030
2020-01-19 01:53:45,TynonAnthony,,1,0,0,"@realDonaldTrump Mr. Trump the gaming establishment of the Native American casinos or the major families in the Mohegan sun the Joffrey‘s made a bit of a Quillivant value of the casinos saying I could not prove that Microsoft was mine the actors I’m going through is because I",,@realDonaldTrump,,1218713122149715969,https://twitter.com/TynonAnthony/status/1218713122149715969
2020-01-16 18:17:32,dokidokiporo,,0,0,0,"Don't forget your quillivant. You're bulimic without it. But ire never goes away; serenity is ever out of reach.",,,,1217873537438027776,https://twitter.com/dokidokiporo/status/1217873537438027776
2020-01-15 17:14:11,angryelfsmom,DaddyFiles,0,0,0,"Is that new? I haven’t heard of that one. Not sure if you’ve tried Quillivant, but that has worked great for us. My son refuses to swallow pills, and that comes in liquid form.",,,,1217495206704140289,https://twitter.com/angryelfsmom/status/1217495206704140289
2020-01-13 20:11:01,anthonymellor8,USAmbUK,0,0,0,"Don’t sell out for a Quillivant to Europe and protect our fishing rights ",,,,1216814932899115010,https://twitter.com/anthonymellor8/status/1216814932899115010
2020-01-13 03:14:58,laserlime,raripops,0,0,1,"Quillivant",,,,1216559234927730688,https://twitter.com/laserlime/status/1216559234927730688
2020-01-12 22:27:48,quillivant,gr8northernbean,1,0,0,"you mean coke",,,,1216486966788788224,https://twitter.com/quillivant/status/1216486966788788224
2020-01-09 05:54:25,quillivant,,0,0,0,"burlesque slaps",,,,1215149807708319745,https://twitter.com/quillivant/status/1215149807708319745
2020-01-08 15:19:33,quillivant,M4chop,0,0,1,"you too ok",,,,1214929640856465419,https://twitter.com/quillivant/status/1214929640856465419
2020-01-08 14:10:13,quillivant,DevonGagnon,1,0,2,"and devonte and possums",,,,1214912195026411520,https://twitter.com/quillivant/status/1214912195026411520
2020-01-08 13:56:46,quillivant,,3,0,1,"everyone is trash only kayla and the cat matter",,,,1214908807085744129,https://twitter.com/quillivant/status/1214908807085744129
2020-01-07 13:02:58,XianJaneway,duty2warn,0,0,4,"And snorting Adderall is an entirely different thing than using it as prescribed, just FYI. It's why drugs like Vyvanse & Quillivant &amp; Concerta &amp; Daytrana were invented---they can't be snorted. This doesn't surprise me at all. ",,,,1214532879918731266,https://twitter.com/XianJaneway/status/1214532879918731266
2020-01-03 15:12:08,XianJaneway,lovelokest,1,0,3,"Amphetamine/Adderall family: -Vyvanse -Evekeo -Dexedrine -Adderall XL Methylphenidate/Ritalin family: -Concerta -Daytrana -Quillivant /Quillichew -Ritalin LA -Jornay (a VERY new one you can take at night!)",,,,1213115834991874049,https://twitter.com/XianJaneway/status/1213115834991874049
2020-01-03 08:16:32,dokidokiporo,,0,0,0,"Don't forget your quillivant. You're severe without it. But grief never goes away; freedom is ever out of reach.",,,,1213011246238359552,https://twitter.com/dokidokiporo/status/1213011246238359552
2020-01-03 03:35:01,quillivant,,0,0,2,"Snowden only follows the NSA and I think that’s the greatest feat in the history of feats",,,,1212940400270434306,https://twitter.com/quillivant/status/1212940400270434306
2019-12-27 15:15:21,XianJaneway,XianJaneway,0,0,0,"Something really *mild*, like Quillivant or Concerta, would b a huge help. Then add Prozac (and/or possibly Strattera) if you still have depression and/or motivation issues. Good luck!",,,,1210579931907973124,https://twitter.com/XianJaneway/status/1210579931907973124
2019-12-26 13:48:20,gr8northernbean,quillivant,0,0,0,"i also hope it’s him and that he belly flops onto gingerbread neighborhoods annually",,,,1210195645941911552,https://twitter.com/gr8northernbean/status/1210195645941911552
2019-12-26 03:34:08,quillivant,gr8northernbean,1,0,1,"this looks like a very hard ass of a man I work with and I really just hope it’s him and he gets down like that",,,,1210041076758843392,https://twitter.com/quillivant/status/1210041076758843392
2019-12-22 17:52:03,nintendm0,gr8northernbean,0,0,1,"this is. also andy.",,,,1208807427681984513,https://twitter.com/nintendm0/status/1208807427681984513
2019-12-21 18:20:20,gr8northernbean,Kehlani,1,0,2,"this is @quillivant ",,@quillivant,,1208452157344755713,https://twitter.com/gr8northernbean/status/1208452157344755713
