date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 09:21:54,Existentxal,,0,0,0,"I feel like a living rexulti commercial if you know what I mean :(",,,,1239119621132697600,https://twitter.com/Existentxal/status/1239119621132697600
2020-03-15 03:26:18,Zionist_1,RobbySingh94,1,0,0,"Mr. Singh, here are some medications to take until you get a handle on your psychosis and schizophrenia Aripiprazole (Abilify) Aripiprazole lauroxil (Aristada) Asenapine (Saphris) Brexpiprazole (Rexulti) Cariprazine (Vraylar) Clozapine (Clozaril)",,,,1239030134092386304,https://twitter.com/Zionist_1/status/1239030134092386304
2020-03-14 21:51:08,michele18721064,,0,0,0,"https://commons.wikimedia.org/wiki/File:Brexpiprazole.svg#/media/File:Brexpiprazole.svg - Brexpiprazole Atypical Antipsychotic Brexpiprazole, sold under the brand name Rexulti, is an atypical antipsychotic. It is a dopamine D₂ receptor partial... ",,,,1238945784298647564,https://twitter.com/michele18721064/status/1238945784298647564
2020-03-13 23:26:13,Oakleycorgi626,,0,0,0,"@tyleroakley Last night, I had a dream that I was being treated for a manic episode, you were there, and so was the medication [container] with REXULTI on it. I had just taken the pill, and suddenly I went down in a seizure. Pretty scary, huh? This reminds me of my manic past! ",,@tyleroakley,,1238607325008728073,https://twitter.com/Oakleycorgi626/status/1238607325008728073
2020-03-13 22:53:21,calippygian,,0,0,0,"Changing meds again. Going off the expensive medication rexulti, raising my lamictal, staying on seroquel",,,,1238599053580972032,https://twitter.com/calippygian/status/1238599053580972032
2020-03-13 07:47:51,amexx666,,0,0,0,"Truvada 200mg-300mg. Prozac 30mg. Rexulti 1mg. Klonopin 0.5mg. Ambien 10mg. . . . . . . . . . . . ..... And illicit amphetamines. This is the literal Coronavirus cure. Bahaha. Cash app me $7.70 for a pack of ciggys plz. $endmebitc0in or $bitcoinplzz thank you fags &amp; hags.",,,,1238371180291092480,https://twitter.com/amexx666/status/1238371180291092480
2020-03-12 20:44:06,bighomietoine,,0,0,0,"Rexulti for the pain ",,,,1238204142234943489,https://twitter.com/bighomietoine/status/1238204142234943489
2020-03-12 12:44:59,DrMCross,denniallen,0,1,5,"Hi. Risperidone can cause agitation & muscle stiffness immediately. After weeks it can cause restlessness (akathisia). A newish drug, Rexulti is worth looking at? Lewy body dementia is not good with antipsychotics? The meds aren’t great. Small dose of benzodiazepines can help? Mx",,,,1238083567457980417,https://twitter.com/DrMCross/status/1238083567457980417
2020-03-11 07:31:08,VictorMichini,,0,0,0,"Rexulti; How long does the exhaustion last? via /r/bipolar ",,,,1237642196070944768,https://twitter.com/VictorMichini/status/1237642196070944768
2020-03-11 00:14:52,Handcd,,0,0,1,"Remember this episode is brought to you by Rexulti Hanna you are the only one for me! #TheBachelor #TheBachelorFinale",,,#TheBachelor #TheBachelor #TheBachelorFinale #TheBachelorFinale,1237532406397063168,https://twitter.com/Handcd/status/1237532406397063168
2020-03-10 19:45:17,car_on1ine,,3,0,17,"started writing down the ridiculous names of medications i see in commercials here’s the list so far ..... like who comes up with these?? Rinvoq Latuda Zyzal Ruticity Dovato Qbrexza Aimoviq Taltz Emgality Rexulti",,,,1237464564058345473,https://twitter.com/car_on1ine/status/1237464564058345473
2020-03-10 16:55:42,JKSNEnt,,0,0,2,"Yo bitch must be on Rexulti cause she got trouble swallowing",,,,1237421885828280322,https://twitter.com/JKSNEnt/status/1237421885828280322
2020-03-10 01:49:37,Handcd,,1,1,15,"Sure Hanna you are my first choice! This episode brought to you by Rexulti #TheBachelor #teammadison",,,#TheBachelor #TheBachelor #teammadison,1237193862659129346,https://twitter.com/Handcd/status/1237193862659129346
2020-03-09 02:33:30,canadiangerman,GayJohnCarterMD,0,0,0,"I’ve switched to Rexulti since then which seems to level out my mania a bit (I’m bipolar), but yeah I’m like a 2nd year psych student and even I can tell you that those things don’t just happen without some sort of trigger when you’ve been stable that long",,,,1236842519301849089,https://twitter.com/canadiangerman/status/1236842519301849089
2020-03-08 17:35:39,Wondermoon__,MediocreChemist,1,0,2,"Rexulti has done wonders for me. I’ve been on it for a couple years now.",,,,1236707162841325568,https://twitter.com/Wondermoon__/status/1236707162841325568
2020-03-08 14:31:30,MediocreChemist,,1,0,24,"Hello, I have been on Rexulti three weeks almost and I feel happy. I haven’t lapsed into a depressive episode and that’s impressive!",,,,1236660819779358720,https://twitter.com/MediocreChemist/status/1236660819779358720
2020-03-07 19:37:51,maceftm,maceftm,0,0,1,"The medicine I’ve been on for 3 or 4 years now is Rexulti. I think it’s technically an antipsychotic but I mean? It helps my depression aha,, it’s a fairly new medicine that is basically Abilify without the weight gain",,,,1236375527952449536,https://twitter.com/maceftm/status/1236375527952449536
2020-03-07 03:50:21,KotaroMiyasaka,,0,0,0,"I will not live a ""normal"" life without this medicine. I joined in the Abilympics with Otsuka. REXULTI® Tablets, a New Antipsychotic Drug, Launched in Japan｜News Releases | Otsuka Pharmaceutical Co., Ltd. ",,,,1236137084613619714,https://twitter.com/KotaroMiyasaka/status/1236137084613619714
2020-03-07 03:49:06,KotaroMiyasaka,,0,0,0,"In the past year, my heart has been quite radiant. And my mind has calmed down considerably. Thanks to the REXULTI tablets. Thanks to Otsuka Pharmaceutical.",,,,1236136766223962113,https://twitter.com/KotaroMiyasaka/status/1236136766223962113
2020-03-06 23:59:25,JLUX100,FrodoInc,0,0,1,"Escitalopram that I'm on isn't too bad and lesser side effects but rexulti fuuck that .",,,,1236078967200808963,https://twitter.com/JLUX100/status/1236078967200808963
2020-03-06 22:50:04,qui_gon_jenn,hamandturkey,0,0,0,"I switched from Zoloft to Prozac I liked Zoloft a lot, but it interacted poorly with my other meds (Rexulti)",,,,1236061515419209733,https://twitter.com/qui_gon_jenn/status/1236061515419209733
2020-03-06 01:36:20,Rawr_Ebooks,,0,0,0,"Although Maybe it is bc I'm a FUCKIN nerd loser queer trainer? Imma don't You yknow Rexulti is $33 per tablet without insurance. a month of",,,,1235740968487448577,https://twitter.com/Rawr_Ebooks/status/1235740968487448577
2020-03-05 00:57:27,manicpixiediet,,1,0,0,"intake: 770 calories WAY over today but i’ll be okay, especially now that i’m stopping the meds that made me gain last month. fuck rexulti",,,,1235368795037986816,https://twitter.com/manicpixiediet/status/1235368795037986816
2020-03-04 19:12:22,JackRip75241496,RealJamesWoods,0,0,0,"Oooh Oooh can I guess at her cats' names??!! Rexulti, Lithium, Haldol, Seroquel, Valium . . .",,,,1235281950425915396,https://twitter.com/JackRip75241496/status/1235281950425915396
2020-03-03 22:21:54,cjdcat,afoxmother,1,0,2,"An atypical antipsychotic. Rexulti. For its antidepressant effects. ",,,,1234967263503147008,https://twitter.com/cjdcat/status/1234967263503147008
2020-03-01 02:21:34,hogmaildotclom,,1,0,1,"apparently drinking on rexulti just makes me want to hurt myself and weed isn't legal here so what the fuck am i supposed to do to drown out the screams of the world????? take more klonopin????",,,,1233940414463385601,https://twitter.com/hogmaildotclom/status/1233940414463385601
2020-02-29 17:50:04,JustNums,,0,0,0,"six HUNDRED fifty dollars. So I'm halfway contemplating weaning off rexulti bc it also causes weight gain. Mentally I'm in a different place now than when I started but is that maybe because I'm on the meds ",,,,1233811687352000513,https://twitter.com/JustNums/status/1233811687352000513
2020-02-29 17:18:50,Ric1776,,0,0,0,"Rexulti add it to your SSRI!! it is an antipsychotic on every other tv commercial. Read side effects, drug companies are ruining the United States.",,,,1233803830590132224,https://twitter.com/Ric1776/status/1233803830590132224
2020-02-29 01:54:23,teoami,birdmankeough,2,0,0,"Insurance doesn't, but Medicare does. How fucking dare you. If you bothered to read my GoFundMe you would see 1) I started it before this tweet went big & 2) the details of my problem. Rexulti is the med &amp; this is the link to the online coupons. Look at the small print &amp; fuck off",,,,1233571182798086146,https://twitter.com/teoami/status/1233571182798086146
2020-02-28 22:12:26,Diogenes923,,1,0,0,"I'm stuck and the Rexulti has given me enough motivation to run. By run I mean hide within myself and dissociate for awhile.",,,,1233515329843843076,https://twitter.com/Diogenes923/status/1233515329843843076
2020-02-28 13:33:09,midnightdreary,teoami,0,0,0,"Your Shang tweet was hilarious! But so sorry to hear about this. Trialing multiple meds is exhausting. I’m guessing your psychiatrist has previously tried you on Abilify (same class of med as Rexulti)? Asking since it comes in a generic form and is much cheaper.",,,,1233384646076981254,https://twitter.com/midnightdreary/status/1233384646076981254
2020-02-28 04:58:49,ThreeDPat,emilyxoanna,0,0,1,"That Rexulti does sound scary! I’m on 20mg of Celexa and it’s been doing wonders for me. Might be worth talking to your doc again about what you are taking if you are on 2 antidepressants and still feel like crap, Cuzz that just some BS at that point",,,,1233255209402417154,https://twitter.com/ThreeDPat/status/1233255209402417154
2020-02-28 03:55:53,teoami,kellyblaus,1,0,0,"Actually, it is Rexulti that I need. I have major depressive episodes and it actually makes me feel normal again but I'm using samples right now that will run out in 2 weeks ",,,,1233239373631627264,https://twitter.com/teoami/status/1233239373631627264
2020-02-28 03:54:22,kellyblaus,kellyblaus,1,0,1,"But it usually happens with newer meds and ones that don’t have generic versions or are being used for semi off label stuff, like Rexulti, Trintillex and a few other weird names I don’t recall. But you can usually find manufacturer coupon cards for all of em",,,,1233238991832522754,https://twitter.com/kellyblaus/status/1233238991832522754
2020-02-28 03:53:14,emilyxoanna,ThreeDPat,1,0,0,"It was only adjusted a couple weeks ago, and he’s added Rexulti which sounds scary I take so much medicine ugh",,,,1233238706317905921,https://twitter.com/emilyxoanna/status/1233238706317905921
2020-02-27 09:35:49,IamTay,JLParris,0,0,0,"Lexapro, Wellbutrin, Rexulti...take advantage of these meds... you will be glad that you did. Find a doc/nurse practitioner who can prescribe these. Counseling helps, too; combined. Much good luck ",,,,1232962529590218752,https://twitter.com/IamTay/status/1232962529590218752
2020-02-27 06:17:36,laurennus,,0,0,2,"I'm going to march into the psychiatrist's office and lay it out that I refuse to take Abilify or Rexulti ever again. I'm tired of buying new pants. New pants are over.",,,,1232912647546384384,https://twitter.com/laurennus/status/1232912647546384384
2020-02-24 03:59:35,ilikethisdog,AngryRaccoon2,0,0,0,"Don’t know about that, I’ve been using rexulti, Trintelix some new shit, not working, I’m in such emotional pain seeing therapist tomorrow don’t know how she can help, I’m tired of this fukin depression/anxiety/ptsd",,,,1231790752272916480,https://twitter.com/ilikethisdog/status/1231790752272916480
2020-02-24 00:21:02,SnowflakeSystem,,0,0,1,"Took half a pill of the Rexulti (.25mg) last night and already feeling a bit of a difference. Decided to completely come off of it tonight.",,,,1231735752624656385,https://twitter.com/SnowflakeSystem/status/1231735752624656385
