date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 14:46:32,jlead24,oohshxrln_,4,1,5,"Geh na all out na @RhanaTheRabbit",,@RhanaTheRabbit,,1239201319639867397,https://twitter.com/jlead24/status/1239201319639867397
2020-03-15 11:34:53,Fatihnc14855526,,0,0,0,"I am already in a mental treatment and i using drugs like risperidone, xeplion to stay at home and relax. But most if you have a social life and jobs. You can be bored at home. I can advise you ve small thing, passiflora. It can relax you. ",,,,1239153091255119872,https://twitter.com/Fatihnc14855526/status/1239153091255119872
2020-03-15 04:55:49,AhsanKhanSwati6,,0,2,0,"For Movement disorders like Tics, Choreoathetosis, Hemiballismus etc,Besides Using Risperidone, Tab Tetrabenazine(Revocon) 25mg nd Tab/Inj Serenace (Haloperidol)Are effective While Mnemonic used for the Treatment of Dystonia ABC ie. Amitriptyline, Beclofen, Clonazepam..",,,,1239052661095378945,https://twitter.com/AhsanKhanSwati6/status/1239052661095378945
2020-03-15 03:15:36,AClDKlNG,,0,0,0,"G r o a n i n g. Between the Risperidone and the sleeping pills he SHOULD be asleep?! Why can’t he sleep???",,,,1239027439273115648,https://twitter.com/AClDKlNG/status/1239027439273115648
2020-03-15 02:41:21,AClDKlNG,,1,0,0,"Risperidone - taken. Diazepam can wait until morning, he’s out. Fuck.",,,,1239018821668802560,https://twitter.com/AClDKlNG/status/1239018821668802560
2020-03-15 02:14:50,CGWalker30,HilditaVan,1,0,2,"Low levels of risperidone would be more effective, and the dosing less individualized. ",,,,1239012149327826945,https://twitter.com/CGWalker30/status/1239012149327826945
2020-03-14 11:07:24,scottdesno,scottdesno,1,3,8,"When I say they hold all the cards I mean this. @FidelisCare my sons corporate ins through the ACA part of managed medicaid denied his RX Risperidone with a known suicidal risk upon withdrawals after missing a $20 bill. "" ; "" = Danny's story is not over ",,@FidelisCare,,1238783787095461888,https://twitter.com/scottdesno/status/1238783787095461888
2020-03-14 10:06:31,Autism_Journal,,0,0,0,"Prednisolone as Adjunctive Treatment to Risperidone in Children With Regressive Type of Autism Spectrum Disorder: A Randomized, Placebo-Controlled Trial. https://ift.tt/2Qbhnig #PubMed #Autism",,,#PubMed #Autism,1238768465118400512,https://twitter.com/Autism_Journal/status/1238768465118400512
2020-03-14 08:17:54,brigadam,MsPraxis,0,0,1,"Oh no. It happens sadly. Sometimes it’s a breakdown of personality, often paranoia precedes the aggression. Risperidone usually helps those cases, but not always. Sometimes it’s reliving of war trauma, or childhood trauma. One can’t ask them sadly. Might be time for a care home.",,,,1238741126967734272,https://twitter.com/brigadam/status/1238741126967734272
2020-03-14 06:48:52,bunspitter,bunspitter,1,0,1,"example: I didn't much research beforehand taking meds but me taking citalopram: one of the withdrawal symptoms was irregular heartbeat - this a common symptom and I didn't know the heart could be affected so do research!, Potential mania taking risperdal/risperidone: weight gain",,,,1238718721105039360,https://twitter.com/bunspitter/status/1238718721105039360
