date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-11 03:14:53,CynicalVision50,randy_hensley,1,0,0,"The vast majority was OD from Polypharmacy. But not with Prescribed PainMedications. More, even, that that is Illicit sufentanil, Carfentanil &amp; their analogues pressed into tablets(RIP Prince) or used to cut all StreetDrugs, (ie) SuperMeth is Fentanil/Meth combo. Not Patients. ",,,,1237577706662854657,https://twitter.com/CynicalVision50/status/1237577706662854657
2020-03-09 07:43:06,Press24x7,,0,0,0,"Sufentanil API Market During The Forecast Period, 2016-2024 https://pressrelease24x7.com/2020/03/09/sufentanil-api-market/",,,,1236920433515118592,https://twitter.com/Press24x7/status/1236920433515118592
2020-02-29 10:04:34,AnesPsmchs,,1,3,8," Sufentanil (Dsuvia/Sufenta): synthetic opioid analgesic drug. approximately 5 to 10 times as potent as its parent drug, fentanyl, and 500 times as potent as morphine. It is administered by the intravenous, epidural and sublingual routes.",,,,1233694543632986114,https://twitter.com/AnesPsmchs/status/1233694543632986114
2020-02-28 21:20:04,LynnRWebsterMD,,0,2,2,"In 25 years sufentanil hasn’t been associated w/significant diversion or abuse but there is significant harm from not treating acute pain. Opioids are more effective than tylenol/ibuprofen for severe pain. See http://bit.ly/2QsbUEq. via http://bit.ly/2rW64S6 @Gizmodo",,@Gizmodo,,1233502148098433024,https://twitter.com/LynnRWebsterMD/status/1233502148098433024
2020-02-24 22:45:40,CynicalVision50,LelenaPeacock,0,0,1,"It’s irresponsible, harmful & Malpractice to ban Opioid PainMedications because Illicit sufentanil is causing Overdose Epidemic Get it straight~There is no ‘opioid crisis’ Illicit Fentanil OD is a Crisis Patients are NOT the problem. Overprescribing is a myth. DEA Overreach ",,,,1232074141273968640,https://twitter.com/CynicalVision50/status/1232074141273968640
2020-02-22 20:01:37,Charles_Zim,politicalmath,0,0,0,"Okay so like we get the CIA to blanket the inner cities with sufentanil and then it will be equal opportunity epidemic and we can deal with it ",,,,1231308078760415232,https://twitter.com/Charles_Zim/status/1231308078760415232
2020-02-20 03:48:42,CynicalVision50,UnitedHealthGrp,0,0,0,"Another advertisement for Buprenorphine? The “Opioid crisis” is a MarketingPlan for Buprenorphine. If there was a “crisis”why did FDA Fast-Track approve *Dsuvia* Nov. 2018?(*sufentanil citrate-30mcg sublingual Tabs CII-RX) Buprenorphine has been REPATENTED 19 times since 86’ ",,,,1230338461208580096,https://twitter.com/CynicalVision50/status/1230338461208580096
2020-02-19 17:40:52,JopanJournal,,0,5,4,"Can Sufentanil Sublingual tablets be effective for pain management, check out this article: Pooled Dosing and Efficacy Analysis of the Sufentanil Sublingual Tablet 30 mcg Across Demographic Subgroups for the Management of Moderate-to-Severe Acute Pain https://doi.org/10.1016/j.jopan.2019.08.009",,,,1230185493595402240,https://twitter.com/JopanJournal/status/1230185493595402240
2020-02-11 19:50:49,DrGregMaguire,,0,0,1,"Physician of the Week: Bradley Hay, M.D. at UCSD School of Medicine- who overdosed on sufentanil stolen from his patients. Many of Hay's patients may have experienced surgical awareness; given just enough sedation to keep quiet. Sadly a cover-up ensued. ",,,,1227319095303004161,https://twitter.com/DrGregMaguire/status/1227319095303004161
2020-02-11 11:52:05,painmanwise,,0,0,0,"Intranasal sufentanil given in the emergency department triage zone for severe acute traumatic pain: a randomized double-blind controlled trial. https://ift.tt/2tLO2D2",,,,1227198619834552326,https://twitter.com/painmanwise/status/1227198619834552326
2020-02-03 00:35:31,EurekaMag,,0,2,1,"Sufentanil Preconditioning Protects Against Hepatic Ischemia-Reperfusion Injury by Suppressing Inflammation ",,,,1224129253744111617,https://twitter.com/EurekaMag/status/1224129253744111617
2020-02-01 01:30:45,Andrew_Stuff,,1,0,1,"i have no clue why sufentanil is necessary. why can't you just take 10 fentanyl's.... like wtf? why are people spending money on developing this shit?",,,,1223418376363692034,https://twitter.com/Andrew_Stuff/status/1223418376363692034
2020-01-30 04:36:28,anya_steezia,SouthernHomo,1,0,0,"Wow we’re big team su>remi/al over here. Find me a reason you love remi and I’ll tell you why sufentanil is better :)",,,,1222740337057099777,https://twitter.com/anya_steezia/status/1222740337057099777
2020-01-25 18:03:07,ErnestG47321734,FrostAdeline,0,0,0,"Maybe you have a chemical imbalance. I have similar problems brought on by severe nerve pain and I have a pump that sends sufentanil directly into my spine. Please seek out a doctor and get checked out. We don’t want to lose you ",,,,1221131397768740864,https://twitter.com/ErnestG47321734/status/1221131397768740864
2020-01-24 05:26:06,ZimickMD,emilysharpe,2,0,3,"My dose is 0mcg Q0mins, 0mcg max/hour. That’s said, have used bupi+\-sufentanil in epidural, duramorph, and evening straight nitrous oxide, all for excellent labor analgesia.",,,,1220578501205602304,https://twitter.com/ZimickMD/status/1220578501205602304
2020-01-17 15:28:00,debg_deb,docroland,0,0,0,"‘ It appears that remifentanil is responsible for measurable hyperalgesia, whereas fentanyl and sufentanil have no such effect.’ ",,,,1218193258112864256,https://twitter.com/debg_deb/status/1218193258112864256
2020-01-16 21:41:02,clinthe,,0,1,0,"Investigation of the Minimum Local Analgesic Concentration of Epidural Sufentanil Combined With Ropivacaine for Labor Analgesia http://dlvr.it/RNBCCJ",,,,1217924746177732608,https://twitter.com/clinthe/status/1217924746177732608
