date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-09 21:41:59,AntonyMamvura,richardajkeys,0,0,0,"Take your Antipsychotics and your Symbyax quickly you really going south fast ",,,,1237131544675917824,https://twitter.com/AntonyMamvura/status/1237131544675917824
2020-03-01 11:54:19,CrazyDevoYT,OzzyOzrock,0,0,0,"I may have a few suggestions. There r seven commonly prescribed atypical antipsychotic medications for schizophrenia: Abilify Risperdal Zyprexa Seroquel Cloazril Symbyax Geodon Good luck &amp; may the odds be ever in your favor ",,,,1234084548146802688,https://twitter.com/CrazyDevoYT/status/1234084548146802688
2020-02-29 14:10:44,the_bad_raccoon,,0,0,0,"@US_FDA Drug Shortages http://accessdata.fda.gov/scripts/drugsh… Olanzapine and Fluoxetine (Symbyax) Capsules Is this information updated? #psychiatry #mentalhealth #medicationshortage #shortage",,@US_FDA,#psychiatry #mentalhealth #medicationshortage #shortage,1233756491221475328,https://twitter.com/the_bad_raccoon/status/1233756491221475328
2020-01-11 21:47:24,BriceSikes,,1,0,6,"OK, time for more of the little nerd game. Three names in this list are drug names. One is from Star Wars. Can you pick out the one from Sar Wars? A. Sebulba. B. Symbyax. C. Taltz. D. Vraylar. . Scroll down for the answer. . . . . . . . . . . . . . A",,,,1216114410202238977,https://twitter.com/BriceSikes/status/1216114410202238977
2019-12-21 21:58:23,DataAsRisk,,1,0,1,"Also! Being fat is very new to me, I have always been thin even when my dysmorphia had me thinking I was fat. It wasn’t until I started symbyax that I went over a size 8 lol",,,,1208507028190236672,https://twitter.com/DataAsRisk/status/1208507028190236672
2019-12-16 04:50:27,Hammy832,,0,0,1,"Symbyax, fluoxetine, xanax, and Lunesta for bed ",,,,1206436402356981760,https://twitter.com/Hammy832/status/1206436402356981760
2019-12-12 23:58:33,StickmanBleedin,melissabishop,0,0,1,"I was not functioning at a very high level then...was on Symbyax then. Slept 12 hours a night + a couple 2 hour naps during the day.#NotLiving",,,#NotLiving,1205275778142871553,https://twitter.com/StickmanBleedin/status/1205275778142871553
2019-12-08 02:42:52,markwwilsonmd,,1,0,3,"can sometimes respond to antidepressants (though with a risk of hypomania/mania, mood dysregulation/rapid cycling, or antidepressant poop-out), responds more readily to mood stabilizers, especially (but not only), Latuda, Lamictal, Seroquel, Symbyax, and, less so, to",,,,1203505193054359554,https://twitter.com/markwwilsonmd/status/1203505193054359554
2019-11-24 20:26:11,mariahjustice,caseeeyfitz,0,0,0,"Symbyax for the longest time now Lexapro ",,,,1198699356133699586,https://twitter.com/mariahjustice/status/1198699356133699586
2019-10-25 15:40:22,smilehoy4,,0,0,0,"anybody got experience w symbyax or a similar type of medication ",,,,1187755791660523520,https://twitter.com/smilehoy4/status/1187755791660523520
