date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 18:40:54,andrew_yacht,,0,0,0,"I fill my brain with triazolam.",,,,1238897910462496768,https://twitter.com/andrew_yacht/status/1238897910462496768
2020-03-13 16:57:38,SickAnimalBot,,0,0,0,"This jaguar needs Triazolam!",,,,1238509535058329600,https://twitter.com/SickAnimalBot/status/1238509535058329600
2020-03-12 10:37:10,0TTERHAUS,,0,0,1,"I wish I could get back on ambien or triazolam... I can never sleep wednesday nights ugh.",,,,1238051399356657665,https://twitter.com/0TTERHAUS/status/1238051399356657665
2020-03-12 05:28:34,Jasmine_Jewels,bennyjohnson,0,1,9,"Xanax has a half-life of 11 hours. Don Lemon, worst journalist of the decade, should consider switching to a short acting Benzo like Triazolam or Midazolam",,,,1237973739087826945,https://twitter.com/Jasmine_Jewels/status/1237973739087826945
2020-03-10 22:49:03,JStacyAdams,ShawnInArizona,0,0,0,"My dentist prescribes Halcion (triazolam) before procedures like extractions. It’s a benzodiazepine hypnotic agent which reduces anxiety before and has amnesia-like effects after. That is afterwards I hardly remember the extractions at all. Might want to ask if that’s an option.",,,,1237510808407433217,https://twitter.com/JStacyAdams/status/1237510808407433217
2020-03-10 18:42:04,andrew_yacht,,0,0,0,"I fill my days with triazolam.",,,,1237448654534971392,https://twitter.com/andrew_yacht/status/1237448654534971392
2020-03-10 13:24:43,NXVILL,,0,0,0,"𝐅𝐚𝐜𝐭: The names of demesnes came from the different types of commonly used sleeping pills. Ambien: zolpidem tartrate, Halcion: triazolam, and Lunesta: eszopiclone.",,,,1237368792394739712,https://twitter.com/NXVILL/status/1237368792394739712
2020-03-09 13:20:39,JizzWizz1,ketsugaku,0,0,0,"I would kiss it ",,,,1237005381139824641,https://twitter.com/JizzWizz1/status/1237005381139824641
2020-03-09 13:16:15,JizzWizz1,DNXN888,0,0,0,"Asian women are the best",,,,1237004271406723073,https://twitter.com/JizzWizz1/status/1237004271406723073
2020-03-08 12:42:43,Dra_TeraizaMesa,,0,1,3,"Triazolam can cause rebound insomnia and there is an increased risk of seizures when suspended. It should be administered with great caution in the elderly.",,,,1236633443880128519,https://twitter.com/Dra_TeraizaMesa/status/1236633443880128519
2020-03-07 22:58:19,SickAnimalBot,,0,0,0,"This chinchilla needs Triazolam!",,,,1236425979876294657,https://twitter.com/SickAnimalBot/status/1236425979876294657
2020-03-06 18:39:08,andrew_yacht,,0,0,0,"I fill my soul with triazolam.",,,,1235998365055414274,https://twitter.com/andrew_yacht/status/1235998365055414274
2020-03-06 15:43:22,andrew_yacht,,0,0,0,"I fill my days with triazolam.",,,,1235954131371778048,https://twitter.com/andrew_yacht/status/1235954131371778048
2020-03-05 13:31:25,helldustdoa,ThatCrazyChic85,0,0,2,"I am very aware about all the different classes and types of tranquilizers but again, the type of drug is irrelevant. Fine. It could be Midazolam, triazolam,diazepam,chlordiazepoxide, lorazepam,alprazolam, clonazepam-take your fuckin pick genious. She’s a junkie. Period.",,,,1235558537499115521,https://twitter.com/helldustdoa/status/1235558537499115521
2020-03-05 05:00:49,Galaxyoogale,,0,0,0,"its a good drawing, im just, *gestures dismissively* on trintellix. Almost said triazolam but thats not it. That was for my surgery. Woah black betty! Triazolam.",,,,1235430039820238848,https://twitter.com/Galaxyoogale/status/1235430039820238848
2020-03-05 02:25:45,JoannIvaldi,NMDJ1013,0,0,0,"It's called Triazolam 0.25 mg. One tablet at night. That is the generic name. The actual name is Halcion. I tried others but they didn't help. Some doctors don't like prescribing this med. It's good because it's short acting, you wake feeling fresh, not groggy and no side effects",,,,1235391016649146368,https://twitter.com/JoannIvaldi/status/1235391016649146368
2020-03-03 16:03:19,ABCaliber,,1,0,0,"#Zantac Warnings / Precautions: #RenalImpairment, #HapticDysfunction, advised to monitor SGPT / PT if on high doses for more than 5 days. Interactions: may increase #triazolam, #midazolam, #glipizide, procainamide levels.",,,#Zantac #RenalImpairment #HapticDysfunction #triazolam #midazolam #glipizide,1234871986461007872,https://twitter.com/ABCaliber/status/1234871986461007872
