date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 03:26:18,Zionist_1,RobbySingh94,1,0,0,"Mr. Singh, here are some medications to take until you get a handle on your psychosis and schizophrenia Aripiprazole (Abilify) Aripiprazole lauroxil (Aristada) Asenapine (Saphris) Brexpiprazole (Rexulti) Cariprazine (Vraylar) Clozapine (Clozaril)",,,,1239030134092386304,https://twitter.com/Zionist_1/status/1239030134092386304
2020-03-15 00:19:28,drbotmd,,0,0,0,"Lifluphine (antipanic agent) Used to treat Henry's disease Developed in 1947 to replace aripiprazole",,,,1238983116087320576,https://twitter.com/drbotmd/status/1238983116087320576
2020-03-14 21:37:51,EdwardEnterpri3,,0,0,0,"How Aripiprazole’s Promise for Treating Autism Fell Short ",,,,1238942441971036167,https://twitter.com/EdwardEnterpri3/status/1238942441971036167
2020-03-12 21:22:52,_zoecook,Auras_Journey,1,0,2,"I used it initially with aripiprazole to combat restlessness and it really worked and eventually I decided to come off it and the restlessness had really calmed down!",,,,1238213895405416448,https://twitter.com/_zoecook/status/1238213895405416448
2020-03-12 20:06:18,Ikidami,,0,0,0,"i love how this nearly killed me yesterday. mental health meds are absolutely whack man this is a 5 mg pill called aripiprazole, according to the label. my mom said my psychiatrist said it's ambilify, kinda ready to yeet this shit into the sun for how sick it made me yesterday. ",,,,1238194628043476992,https://twitter.com/Ikidami/status/1238194628043476992
2020-03-12 19:42:07,Auras_Journey,,1,0,3,"Has anyone used procyclidine to combat restlessness with aripiprazole or other antipsychotics? Does it actually work?",,,,1238188542670635008,https://twitter.com/Auras_Journey/status/1238188542670635008
2020-03-12 16:12:35,michaelking35,,0,0,0,"My answer to I take paliperidone, aripiprazole and benztropine to treat schizophrenia. Now I started to have mild tardive dyskinesia as a side affect of antipsychotics. Would you recommend taking vmat-2 inhibitors to treat tardive dyskenisia? https://www.quora.com/I-take-paliperidone-aripiprazole-and-benztropine-to-treat-schizophrenia-Now-I-started-to-have-mild-tardive-dyskinesia-as-a-side-affect-of-antipsychotics-Would-you-recommend-taking-vmat-2-inhibitors-to-treat-tardive/answer/Mike-King-51?ch=2&amp;srid=C3JD",,,,1238135812480323585,https://twitter.com/michaelking35/status/1238135812480323585
2020-03-12 13:30:05,PharmaReview,,0,0,1,"The @MHRAgovuk has issued guidance based on a complaint that stated a precipitate formed in #Aripiprazole 1mg/ml Oral Solution. #impurities #drugsafety #pharmaceuticals Read the news here: http://bit.ly/2IIQVbQ",,@MHRAgovuk,#Aripiprazole #impurities #drugsafety #pharmaceuticals,1238094916833738752,https://twitter.com/PharmaReview/status/1238094916833738752
2020-03-12 12:50:18,PharmacyBiz,,0,0,1,"Mylan UK has received a product complaint relating to crystalline precipitate being observed during bottle use of Aripiprazole 1mg/ml Oral Solution. ",,,,1238084904572706816,https://twitter.com/PharmacyBiz/status/1238084904572706816
2020-03-12 11:47:17,Auras_Journey,,2,0,7,"Stopping aripiprazole has meant the dreaded restlessness has now finally eased but bloody hell, the depression is real ",,,,1238069046018551809,https://twitter.com/Auras_Journey/status/1238069046018551809
2020-03-11 19:31:03,Mental_Elf,,1,0,2,"""In this study, CYP2D6 genotype was only able to account for half the variance in risperidone and aripiprazole, so this is only one piece of the puzzle."" https://elfi.sh/338GCH6",,,,1237823368914710528,https://twitter.com/Mental_Elf/status/1237823368914710528
2020-03-11 17:11:02,Mental_Elf,,1,5,8,"""CYP2D6 genotyping before starting treatment might be valuable in clinical practice for individualising risperidone and aripiprazole treatment."" Mental Health Pharmacist @dolly_sud blogs a recent retrospective cohort study in @TheLancetPsych https://elfi.sh/338GCH6",,@dolly_sud @TheLancetPsych,,1237788130910109696,https://twitter.com/Mental_Elf/status/1237788130910109696
2020-03-11 15:38:48,PSNCNews,,0,4,0,"Class 4 Drug Alert: Aripiprazole 1mg/Ml Oral Solution (Mylan Uk Healthcare Limited) http://ow.ly/xxpi50yJ5Pn",,,,1237764922190241795,https://twitter.com/PSNCNews/status/1237764922190241795
2020-03-11 15:18:37,hannworkman_,Auras_Journey,1,0,1,"it takes 95 hours to leave your system which sucks so much, cannot wait for day 4 of coming off aripiprazole! xx",,,,1237759844188372993,https://twitter.com/hannworkman_/status/1237759844188372993
2020-03-11 15:14:27,PharminPractice,,0,0,0,"Class 4 medicines defect information: Aripiprazole 1mg/ml oral solution https://pharmacyinpractice.scot/2020/03/11/class-4-medicines-defect-information-aripiprazole-1mg-ml-oral-solution/",,,,1237758793007718400,https://twitter.com/PharminPractice/status/1237758793007718400
2020-03-11 14:54:18,NoT_LPC,,0,0,0,"Class 4 Drug Alert: Aripiprazole 1mg/Ml Oral Solution (Mylan Uk Healthcare Limited) ",,,,1237753722576556032,https://twitter.com/NoT_LPC/status/1237753722576556032
