date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 03:26:18,Zionist_1,RobbySingh94,1,0,0,"Mr. Singh, here are some medications to take until you get a handle on your psychosis and schizophrenia Aripiprazole (Abilify) Aripiprazole lauroxil (Aristada) Asenapine (Saphris) Brexpiprazole (Rexulti) Cariprazine (Vraylar) Clozapine (Clozaril)",,,,1239030134092386304,https://twitter.com/Zionist_1/status/1239030134092386304
2020-03-14 21:51:08,michele18721064,,0,0,0,"https://commons.wikimedia.org/wiki/File:Brexpiprazole.svg#/media/File:Brexpiprazole.svg - Brexpiprazole Atypical Antipsychotic Brexpiprazole, sold under the brand name Rexulti, is an atypical antipsychotic. It is a dopamine D₂ receptor partial... ",,,,1238945784298647564,https://twitter.com/michele18721064/status/1238945784298647564
2020-03-05 20:52:57,dillonflynn,,1,0,0,"@TomJChicago what should the defensive path forward be for Biden if he wins the nomination in regards to his cognitive struggles? It wouldn’t be good for his long-term health, but I think as-needed single dose brexpiprazole injection alongside oral adderall could be helpful",,@TomJChicago,,1235669654720221185,https://twitter.com/dillonflynn/status/1235669654720221185
2020-03-03 11:26:18,StephMiaco,,1,0,9,"#Brexpiprazole, the partial agonist and other #antipsychotics. – at Seda Ayala Center Cebu",,,#Brexpiprazole #antipsychotics,1234802273286381571,https://twitter.com/StephMiaco/status/1234802273286381571
2020-02-15 21:46:24,bigJ3bi,,0,0,0,"Have you heard ‘Brexpiprazole’ by Kujō on #SoundCloud? #np",,,#SoundCloud #np,1228797733609365517,https://twitter.com/bigJ3bi/status/1228797733609365517
2020-02-13 12:33:07,intclinpsychoph,,0,0,0,"Current Issue: Association between previous high-dose antipsychotic therapy and brexpiprazole discontinuation after the initiation of brexpiprazole in patients with schizophrenia or schizoaffective disorder http://dlvr.it/RPyJWS",,,,1227933719651999745,https://twitter.com/intclinpsychoph/status/1227933719651999745
2020-02-11 02:11:47,PCN_Psychiatry,,0,0,5,"Effectiveness of brexpiprazole in the treatment in a patient with Huntington's disease https://onlinelibrary.wiley.com/doi/10.1111/pcn.12982 #brexpiprazole #huntingtonsdisease #treatment #effectiveness",,,#brexpiprazole #huntingtonsdisease #treatment #effectiveness,1227052583019110403,https://twitter.com/PCN_Psychiatry/status/1227052583019110403
2020-02-10 22:02:03,RButkevich,,1,0,0,"REXULTI® (brexpiprazole) | About Depression https://www.rexulti.com/us/mdd/about-depression",,,,1226989734880251904,https://twitter.com/RButkevich/status/1226989734880251904
2020-02-10 12:32:33,JCPjrnl_online,,0,1,1,"Current Issue: A Long-Term, Open-Label Study to Evaluate the Safety and Tolerability of Brexpiprazole as Adjunctive Therapy in Adults With Major Depressive Disorder ",,,,1226846413465640960,https://twitter.com/JCPjrnl_online/status/1226846413465640960
2020-01-31 16:48:29,realBioMassSpec,,0,0,0,"1-(Benzo[b]thiophen-4-yl)piperazine Ring Induced Bioactivation of Brexpiprazole in Liver Microsomes: Identification and Characterization of Reactive Conjugates Using Ultra-High-Performance Liquid Chromatography/Quadrupole TOF Mass Spectrometry #EJDMP",,,#EJDMP,1223286944270028806,https://twitter.com/realBioMassSpec/status/1223286944270028806
2020-01-23 02:10:10,sanilrege,RealJesseLuke,3,0,0,"Low dose AP’S are very effective in TRD. Lurasidone for example has good evidence as antidepressant. Metabolically friendly. Brexpiprazole same. Very small does required. Many can come off after 6 months or a year.",,,,1220166803919212544,https://twitter.com/sanilrege/status/1220166803919212544
2020-01-21 01:16:54,NvincibleSummer,,1,0,0,"Not to be dramatic but I'm extremely distressed almost to the point of tears at the idea that my most recent brexpiprazole/sertraline combo was the best option available. I self harm relapsed on that combo for the first time in 8.5 years. That cannot be my best option.",,,,1219428624744570880,https://twitter.com/NvincibleSummer/status/1219428624744570880
2020-01-15 04:09:33,ingentium_hd,,0,1,1,"Effectiveness of Brexpiprazole in the Treatment in a Patient with #HuntingtonsDisease #HD. http://dlvr.it/RN3h1W",,,#HuntingtonsDisease #HD,1217297744760467457,https://twitter.com/ingentium_hd/status/1217297744760467457
2020-01-14 19:51:03,Pediatrics_Bio,,0,1,1,"Effectiveness of Brexpiprazole in the Treatment in a Patient with Huntington's Disease. ",,,,1217172292267991040,https://twitter.com/Pediatrics_Bio/status/1217172292267991040
2020-01-13 19:36:33,clinthe,,0,1,1,"Health Care Cost in Patients With Schizophrenia Treated With Brexpiprazole Versus Other Oral Atypical Antipsychotic Therapy http://dlvr.it/RMz2ld",,,,1216806257295687680,https://twitter.com/clinthe/status/1216806257295687680
2019-12-31 13:26:20,psychopharmacol,,1,0,0,"Brexpiprazole was also better than PLA in the MADRS score reduction (SMD= −0.20; −0.29 to −0.11) and SDS score (SMD= −0.12; −0.21 to −0.04), but was associated with a higher discontinuation rate, akathisia, insomnia, restlessness, somnolence, and weight increase.",,,,1212002047404339202,https://twitter.com/psychopharmacol/status/1212002047404339202
2019-12-31 13:22:37,psychopharmacol,,1,0,1,"Meta-Analysis: Brexpiprazole, as adjunctive treatment for MDD following treatment failure with at least one AD in the current episode, was superior than PLA for response (RR=0.93; 0.89−0.97; NNT=17), and remission (RR=0.95; 0.93−0.98; NNT=25) ",,,,1212001111558647809,https://twitter.com/psychopharmacol/status/1212001111558647809
2019-12-29 10:06:02,achgkuleuven,,0,0,0,"SR & MA finds marked differences between antipsychotics in terms of metabolic side-effects, with olanzapine and clozapine exhibiting the worst profiles and aripiprazole, brexpiprazole, cariprazine, lurasidone, and ziprasidone the most benign profiles. https://buff.ly/2tJitcE",,,,1211226864703946752,https://twitter.com/achgkuleuven/status/1211226864703946752
2019-12-25 19:35:25,dawso007,lura12ab,3,0,1,"20-25 years ago and then in neurological patients with depression. Today bupropion, aripiprazole, and brexpiprazole are the evidence based approach. It is so far down the list I am discussing neuromodulation much earlier.",,,,1209920603823706112,https://twitter.com/dawso007/status/1209920603823706112
2019-12-19 18:13:18,psychopharmacol,,1,0,0,"for HDL cholesterol from 0·05 mmol/L (0·00-0·10) for brexpiprazole to −0·10 (−0·33 to 0·14) for amisulpride; for triglycerides from −0·01 mmol/L (−0·10 to 0·08) for brexpiprazole to 0·98 (0·48-1·49) for clozapine",,,,1207725611420139521,https://twitter.com/psychopharmacol/status/1207725611420139521
