date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 19:35:50,Butalbital11,MidClassComfy,0,0,1,"Then why am I coughing pink and blue?",,,,1238186960122007553,https://twitter.com/Butalbital11/status/1238186960122007553
2020-03-11 02:42:20,shalenamd,P0A_Triot23,1,0,0,"Maybe pseudoephedrine and butalbital/caffeine caused anxiety and more headache..then more butalbital/caffeine for the headache..causing more anxiety causing self increased dose of ativan...but ativan doesnt cause suicide...it causes respiratory depression...high anxiety would",,,,1237569518886465542,https://twitter.com/shalenamd/status/1237569518886465542
2020-03-03 06:53:27,darbsnave,TijanaTuhy,0,0,0,"Butalbital + Tylenol is not a controlled medicine. Butalbital + Aspirin is Schedule 3.",,,,1234733610214862848,https://twitter.com/darbsnave/status/1234733610214862848
2020-03-03 03:55:35,kennedysara__,LoveMiiMii_,1,0,0,"butalbital/acetaminophen/caffeine is what the label says",,,,1234688848854167552,https://twitter.com/kennedysara__/status/1234688848854167552
2020-02-29 17:29:11,rawbeefeater,rawbeefeater,1,0,2,"also if not opposed to medicine: I take butalbital if I feel one coming on. It’s basically excedrin or Tylenol with a little extra medicine helps relax head. Isn’t like an opioid or anything so can continue on w day",,,,1233806435089362947,https://twitter.com/rawbeefeater/status/1233806435089362947
2020-02-29 07:36:37,riotheatherrr,nwayne66,1,0,0,"2B frank--my migraines are relatively well managed w/ Botox injections 3x/year + maxalt when 1 nonetheless starts to rear its head. However, if I get a completely stubborn, diabolical one, I go to a cocktail of zofran and butalbital, and if nothing else will work, hydrocodone. ",,,,1233657309395480579,https://twitter.com/riotheatherrr/status/1233657309395480579
2020-02-28 23:16:55,PhunQuiz,,3,1,5,"Here’s the Pharmacy Phun name game. Barbiturates have been around a while & were big time drugs of abuse in the ‘60s-‘70s. They’re still here, but not popular. Which one below is FAKE? A. Phenobarbital B. Butalbital C. Secobarbital D. Amphorbital Answer’s in the thread . . . .",,,,1233531556335144963,https://twitter.com/PhunQuiz/status/1233531556335144963
2020-02-28 11:49:50,_KatieRae_,,0,0,0,"i have the gnarliest sinus headache, i feel like i’m on butalbital again",,,,1233358646928715777,https://twitter.com/_KatieRae_/status/1233358646928715777
2020-02-28 03:00:39,whoisthedrizzle,atomicthumbs,0,0,0,"kind of like an excedrin but with 50 mg butalbital. it's the only thing i've found that helps with migraines. also weed lol. triptans would usually be the way to go, but those are more risky for me ",,,,1233225471988510721,https://twitter.com/whoisthedrizzle/status/1233225471988510721
2020-02-26 01:23:55,MaineHolly,coleyworld,0,0,0,"Try Fioricet, acetaminophen, butalbital, and caffeine, always helps me w/in 15 minutes. Or Nyqil and a heating pad on my neck.....",,,,1232476351799496704,https://twitter.com/MaineHolly/status/1232476351799496704
