date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-15 03:26:18,Zionist_1,RobbySingh94,1,0,0,"Mr. Singh, here are some medications to take until you get a handle on your psychosis and schizophrenia Aripiprazole (Abilify) Aripiprazole lauroxil (Aristada) Asenapine (Saphris) Brexpiprazole (Rexulti) Cariprazine (Vraylar) Clozapine (Clozaril)",,,,1239030134092386304,https://twitter.com/Zionist_1/status/1239030134092386304
2020-03-09 14:48:31,FrontPsychiatry,,0,0,0,"New Research: Cariprazine Safety in Adolescents and the Elderly: Analyses of Clinical Study Data: Schizophrenia is a life-long mental disorder, affecting young adolescents to elderly patients. Antipsychotic treatment is indicated for all… https://www.frontiersin.org/articles/10.3389/fpsyt.2020.00061?utm_source=S-TWT&amp;utm_medium=SNET&amp;utm_campaign=ECO_FPSYT_XXXXXXXX_auto-dlvrit #Psychiatry",,,#Psychiatry,1237027493388771328,https://twitter.com/FrontPsychiatry/status/1237027493388771328
2020-03-05 23:40:02,AnxietyNews,,0,0,0,"Efficacy of cariprazine on negative symptoms in patients with acute schizophrenia: A post hoc analysis of pooled data. http://dlvr.it/RRKv0k",,,,1235711700071927808,https://twitter.com/AnxietyNews/status/1235711700071927808
2020-03-04 14:56:11,PharmaFactz,,1,155,419,"Must-Know 2nd Generation Antipsychotics! PINEs - Quetiapine - Olanzapine - Clozapine AZOLEs - Aripiprazole - Bexpiprazole DONEs - Risperidone - Ziprasidone - Iloperidone - Lurasidone - Paliperidone PRIDEs - Amisulpride AZINEs - Cariprazine",,,,1235217481494601728,https://twitter.com/PharmaFactz/status/1235217481494601728
2020-03-04 01:44:34,hitman0307,,0,0,0,"Caplyta 42 mg capsules (lumateperone) will be just over $40 per capsule, making it the most expensive oral antipsychotic on the market, about $2-3/unit more costly than Vraylar (cariprazine) and Latuda (lurasidone). $ITCI",,,,1235018262817185793,https://twitter.com/hitman0307/status/1235018262817185793
2020-02-27 12:30:32,JCPjrnl_online,,0,1,1,"Current Issue: Metabolic Syndrome Reversal With Cariprazine ",,,,1233006499837857793,https://twitter.com/JCPjrnl_online/status/1233006499837857793
2020-02-25 23:32:36,SlEGWARD,,1,0,4,"Has anybody that struggles with mania tried Vraylar (Cariprazine)? I wanna see if it can help with my mania and hypermanic episodes because I can’t keep living like this",,,,1232448340324827136,https://twitter.com/SlEGWARD/status/1232448340324827136
2020-02-25 03:32:34,liminal67,TPickens64,1,0,2,"If you don't mind my asking, which new meds are these? The only relatively new bipolar med I can find via Google is cariprazine. I did find this article about an old treatment I didn't know about however. ",,,,1232146340890673152,https://twitter.com/liminal67/status/1232146340890673152
2020-02-23 18:04:22,PharmaFactz,,3,181,503,"Types of Atypical Antipsychotics! ""DONEs"" - Risperidone - Paliperidone - Lurasidone - Ziprasidone ""PIPs"" - Aripiprazole - Brexipiprazole ""PINEs"" - Clozapine - Olanzapine - Quetiapine - Asenapine ""RIPs"" - Cariprazine",,,,1231640960859328512,https://twitter.com/PharmaFactz/status/1231640960859328512
2020-02-20 12:33:05,intclinpsychoph,,0,0,0,"Current Issue: Rapid improvement of obsessive-compulsive disorder associated with schizophrenia with cariprazine add-on in a subject under paliperidone long-acting injection: a case report ",,,,1230470426519715848,https://twitter.com/intclinpsychoph/status/1230470426519715848
