date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 13:12:50,harrietKay5,enjoyourchild,0,0,0,"I wish they wld do a programme on wd from poison Benzos. Said to be more harrowing to wd from than Heroin. I am not an addict never had any drugs apart from clobazam rx for epilepsy. s/",,,,1238090575699677189,https://twitter.com/harrietKay5/status/1238090575699677189
2020-03-12 12:54:11,harrietKay5,johnston_kurtis,0,0,0,"Hi I relate but my poison was clobazam a bz rx for epilepsy. Benzos are worse than ad. IMO they should be banned asap.",,,,1238085881568862214,https://twitter.com/harrietKay5/status/1238085881568862214
2020-03-11 18:52:13,harrietKay5,harrietKay5,0,0,0,"Sorry to end abruptly but in a very bad wave, Its awful. Hope I goes soon.. I have some clobazam but scared of takin g any as will re kindle. I still say these bloody bzs shld be banned. Sorry.",,,,1237813594965905409,https://twitter.com/harrietKay5/status/1237813594965905409
2020-03-11 18:29:57,harrietKay5,DrKateLovett,1,0,0,"1. Hi Kate No apology necessary but thanks for yr reply. I mistakenly thought it was a bz & was worried. LOL! I shld have looked it up first! I have only been on AEDs for intractable epilepsy but as u may recall was rx clobazam in tandem with various aeds over a number of yrs.",,,,1237807993992949767,https://twitter.com/harrietKay5/status/1237807993992949767
2020-03-11 03:41:19,andrew_yacht,,0,0,0,"I fill my life with clobazam.",,,,1237584362704523265,https://twitter.com/andrew_yacht/status/1237584362704523265
2020-03-09 13:22:34,harrietKay5,NickWebb30,0,0,0,"Thankfully u did not take it. I was rx clobazam. Not all the side effects were listed on the PIL. However in 2017 a further 12 already known side effects had been added on. I research every drug now online etc.",,,,1237005861412917249,https://twitter.com/harrietKay5/status/1237005861412917249
2020-03-09 07:01:24,KnowldgeNJourn1,,0,0,0,"Global Clobazam Market 2015-2019 Analysis by Application, Revenue, Players and Vendors to 2020-2025 ",,,,1236909937739075584,https://twitter.com/KnowldgeNJourn1/status/1236909937739075584
2020-03-08 09:37:56,EpilepsyErin,,0,0,0,"I think I possibly drunkly took my meds wrong last night, I think I took 1 less clobazam and 1 more lamotrigine, but nothing drastically negative seems to have come of it ^^",,,,1236586941455441920,https://twitter.com/EpilepsyErin/status/1236586941455441920
2020-03-07 14:14:05,Clobazam_2019,san_mahsa,0,0,0,"Breaking Bad",,,,1236294052213121024,https://twitter.com/Clobazam_2019/status/1236294052213121024
2020-03-07 11:08:03,harrietKay5,GregBla81247728,1,0,1,"If ur referring to having szs if clobazam not taken may I reassure you that they cause seizures, IMO the benzos should be banned.",,,,1236247235597385728,https://twitter.com/harrietKay5/status/1236247235597385728
2020-03-07 10:39:14,harrietKay5,harrietKay5,0,0,0,"I had no need of an anti depressant as my low mood was entirely due to clobazam rx for epilepsy. I had suddenly started with morbid thoughts re dead pple . I did not connect it with the clobazam as I had been taking them every 3 to 4 day a rx for focal szs for 23 yrs. Since",,,,1236239982764974081,https://twitter.com/harrietKay5/status/1236239982764974081
2020-03-06 16:41:37,AndreaW66951379,JaneBea5,2,0,0,"Most definitely! I can't see straight after clobazam + perampernel ",,,,1235968792070688769,https://twitter.com/AndreaW66951379/status/1235968792070688769
2020-03-06 16:33:57,harrietKay5,annmarcos1,0,0,1,"Pity they did not warn me re poison clobazam.",,,,1235966860786573312,https://twitter.com/harrietKay5/status/1235966860786573312
2020-03-05 18:40:31,andrew_yacht,,0,0,0,"I fill my brain with clobazam.",,,,1235636326852067329,https://twitter.com/andrew_yacht/status/1235636326852067329
2020-03-05 18:05:34,harrietKay5,SunflowersueFr,1,0,2,"Thanks for yr reply. It is much appreciated. I am in a bad wave atm. I started with spasms at 6 months off clobazam aka frisium/onfi rx for epilepsy 23 yrs ago. Not warned etc. Taken every 3 to 4 days never addicted .abused.",,,,1235627530901688321,https://twitter.com/harrietKay5/status/1235627530901688321
2020-03-05 17:18:27,Clobazam_2019,shirin988,1,0,1,"Viruses, in general, tend to survive longer on hard surfaces like credit cards and coins than they do on porous surfaces like fabric and dollar bills Source:",,,,1235615672111173638,https://twitter.com/Clobazam_2019/status/1235615672111173638
2020-03-05 04:31:51,lessg113,,0,0,0,"Todas mis noches: Clobazam + yellow.",,,,1235422749872377856,https://twitter.com/lessg113/status/1235422749872377856
2020-03-04 21:02:21,harrietKay5,EmmaJudge7,0,0,0,"Rob I would like to know that too .I am a sufferer of iatrogenic damage/harm/ injury due to clobazam rx for epilepsy as I keep stating. Off 17 months now but petrified in case I never recover from the down reg of gaba receptors by benzos , Drs have no right to damage pple.",,,,1235309630273839105,https://twitter.com/harrietKay5/status/1235309630273839105
2020-03-04 19:58:47,emilyeva1525,organicnut68,0,0,0,"Idk what to tell ya but I was given clobazam purely for the fact that it’s major side aftect is drowsiness so you can always talk to your neurologist ",,,,1235293631587766272,https://twitter.com/emilyeva1525/status/1235293631587766272
2020-03-04 19:43:36,emilyeva1525,organicnut68,1,0,1,"Yeah I was on Keppra, lamotragine and clobazam but took myself off the Keppra so I wouldnt be on three different but the clobazam really knocks me out and I only take it at night",,,,1235289814032842753,https://twitter.com/emilyeva1525/status/1235289814032842753
2020-03-04 19:38:33,emilyeva1525,organicnut68,1,0,1,"Clobazam, that knocks me tf out at night ",,,,1235288542433161222,https://twitter.com/emilyeva1525/status/1235288542433161222
2020-03-04 19:24:10,harrietKay5,harrietKay5,0,1,0,"I got clb stopped by e mailing euro that I was now off the clobazam That triggered a letter from him to GP to tell him to stop rx them. see how it all works Chemist refused to have the clb back . I dissolved them in water &amp; poured down the loo,satisfaction of detroying them",,,,1235284921016516608,https://twitter.com/harrietKay5/status/1235284921016516608
2020-03-04 19:15:10,harrietKay5,benzosarebad,2,0,1,"Hello Fiona me too I TOLD neuro & GP I was weaning off they were bloody clueless anyway . I had 5 boxes of clobazam as GP scared of stopping them as rx for intr ep. Only help I got was from Dr Google 5 months into taper., forums. Now called pill shamer &amp; scientologist lol",,,,1235282655375130624,https://twitter.com/harrietKay5/status/1235282655375130624
2020-03-04 01:30:18,LS_Medical,,0,0,0,"Missed It? US Food and Drug Administration #drug approvals, changes and updates as of Tuesday, February 25: Albuterol Sulfate [ANDA #203760], Clobazam [ANDA #209796], Firmagon [NDA #022201] and others: #FDA: http://ht.ly/l6Uy308xZj4",,,#drug #FDA,1235014674263011329,https://twitter.com/LS_Medical/status/1235014674263011329
2020-03-03 22:50:08,harrietKay5,harrietKay5,0,0,0,"has always treated me with respect ,empathy & been supportive. Perhaps u may follow his example. My cns has been attacked by epilepsy as much as by clobazam. Please try to understand that.",,,,1234974366003126273,https://twitter.com/harrietKay5/status/1234974366003126273
2020-03-03 19:29:18,harrietKay5,traphouseruss,1,0,0,"I was on clobazam not clonazepam.",,,,1234923826196230146,https://twitter.com/harrietKay5/status/1234923826196230146
2020-03-03 19:25:29,harrietKay5,traphouseruss,3,0,2,"I was prescribed clobazam a benzo for epilepsy. I was never addicted or an abuser. I insisted on coming off it due to its intolerable side effects. I resent what has happened to me,",,,,1234922863536332801,https://twitter.com/harrietKay5/status/1234922863536332801
2020-03-03 00:39:00,andrew_yacht,,0,0,0,"I fill my brain with clobazam.",,,,1234639376191250437,https://twitter.com/andrew_yacht/status/1234639376191250437
2020-03-02 18:54:08,cinammongiirl,,0,0,0,"And you know u fucked up when risperidone and clobazam cant put you to sleep",,,,1234552585861750788,https://twitter.com/cinammongiirl/status/1234552585861750788
2020-03-02 00:42:33,harrietKay5,NamasteTs,1,0,0,"I am really sorry to hear this. I am an Neuro pt but my poison was clobazam rx for epilepsy by neurologists . Over the yrs it caused lots of s&amp;s . Chest pain, palpitations, panic attacks, I was investigated &amp; found to have things like chest inf, urine inf, sleep apnoea, reflux",,,,1234277881364307968,https://twitter.com/harrietKay5/status/1234277881364307968
