date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-11 18:12:20,Ch22Hicks,easylife,0,0,0,"Much love coming from America ",,,,1237803559732699136,https://twitter.com/Ch22Hicks/status/1237803559732699136
2020-03-11 03:42:08,FioraAeterna,FioraAeterna,1,0,1,"methylphenidate and dexmethylphenidate themselves are legal but there's a limit on how much you can take it (but you don't even have to declare it under that limit) the RC analogues.... you're.... probably alright? but probably best not to be overt about them lol",,,,1237584566614818816,https://twitter.com/FioraAeterna/status/1237584566614818816
2020-03-10 15:53:17,Neopetsthrasher,,1,0,2,"*Lily loudly humming Mario tunes while eyeballing how much dexmethylphenidate to put into a capsule*",,,,1237406176838549504,https://twitter.com/Neopetsthrasher/status/1237406176838549504
2020-03-08 19:01:07,nah_stradamus,,0,0,0,"march 8th, 2020 25 mg dexmethylphenidate, taken at approx 12:30 think i finally found what i need after years of taking so many pills my throat wouldnt let me swallow them and its only been a little over an hour.",,,,1236728674436726785,https://twitter.com/nah_stradamus/status/1236728674436726785
2020-03-06 12:56:10,Kyrana365,,1,0,0,"If you were/are on Dexmethylphenidate for ADHD did it make you feel like you had to throw up?",,,,1235912052620832769,https://twitter.com/Kyrana365/status/1235912052620832769
2020-03-04 20:52:11,beardly01,TDOC147,1,0,0,"I'm looking through their site and I am not seeing any mention of fentanyl as one of their products. Most abusable drugs I've found that they make so far are methylphenidate(ritalin) and dexmethylphenidate(focalin). Will update if I find moar.",,,,1235307072461377541,https://twitter.com/beardly01/status/1235307072461377541
2020-03-01 01:49:13,FioraAeterna,ArKaWu,4,0,18,"typical stims include: methylphenidate (ritalin) dexmethylphenidate (focalin) mixed amphetamine (adderall) dexamphetamine (dexedrine) side effects vary by individual but are more often than not mild and comparable to caffeine.",,,,1233932269481418752,https://twitter.com/FioraAeterna/status/1233932269481418752
2020-02-28 20:37:15,SickAnimalBot,,0,0,0,"This raccoon needs Dexmethylphenidate Hydrochloride!",,,,1233491372872732672,https://twitter.com/SickAnimalBot/status/1233491372872732672
2020-02-27 22:52:05,negadiz,kit_spin,1,0,2,"Luckily with stimulants there are quite a few out there! There's Concerta and Ritalin (methylphenidate), Adderal (amphetamine/dextroamphetamine), Dexedrine (dextroamphetamine), Focalin (dexmethylphenidate)",,,,1233162920046911489,https://twitter.com/negadiz/status/1233162920046911489
2020-02-27 21:42:19,TaterSaladJD,flourishflynnie,1,0,1,"The chemical name is Dexmethylphenidate. It's a stimulant, kind of similar to Adderall. It shares all of the same basic risks of any stimulant medication. (anxiety, palpitations, irritability...etc.) I don't have the numbers, but they're relatively low incident rates.",,,,1233145362225016857,https://twitter.com/TaterSaladJD/status/1233145362225016857
2020-02-24 08:14:31,Daramulun,kitty169310,0,0,0,"Ever tried some Amphethamine, Dexamphetamine, Lisdexamfetamine, Dexmethylphenidate or Methylphenidate? Because for some with these dysfunctions, it is a real life changer.",,,,1231854908485316610,https://twitter.com/Daramulun/status/1231854908485316610
2020-02-16 02:26:49,BlackfootedOwl,concertadeffort,1,0,2,"tried that before, big YMMV. dexmethylphenidate HCl worked better, but it wasnt worth it and I switched to dextroamphetamine. considered it a habit and then quit, but it worked well",,,,1228868305118748672,https://twitter.com/BlackfootedOwl/status/1228868305118748672
2020-02-12 17:41:39,ezcareclinic,,0,0,0,"How does Focalin treat ADHD? Attention deficit hyperactivity disorder (ADHD) can be a complicated condition to treat. Though in children, the symptoms are sometimes apparent in adults, diagnosis can be trickier. #ADD #adhd #anxiety #Dexmethylphenidate #https://ezcareclinic.com/how-focalin-treat-adhd/",,,#ADD #adhd #anxiety #Dexmethylphenidate,1227648976645763072,https://twitter.com/ezcareclinic/status/1227648976645763072
2020-02-08 05:53:34,purrpxblack,,0,0,1,"This is so much abuse Hopefully don't need to cry again today at the thought of what has to be done and what's at risk I really need that medication I called Medi-Cal and @FBI to function 90 count of dexmethylphenidate 10mg (generic of Focalin) I can't do legal without that",,@FBI,,1226021230681083904,https://twitter.com/purrpxblack/status/1226021230681083904
2020-02-07 06:27:53,GeorgeTErnst1,,0,0,1,"So I accidentally took my morning pills at night time... That's 30mg of dexmethylphenidate, straight to the fucking dome! Nice! My parents just told me to take my nighttime medication and see how it worked out, but I doubt that 50mg of Trazodone will even dent Focalin...",,,,1225667478711226370,https://twitter.com/GeorgeTErnst1/status/1225667478711226370
2020-02-04 07:22:12,SoberResource,,0,0,0,"#Focalin or #Dexmethylphenidate is a central nervous system #stimulant medically used to treat #ADHD. Due to its properties that interact with brain #neurotransmitters like #dopamine, it can be a highly #addictive #drug.",,,#Focalin #Dexmethylphenidate #stimulant #ADHD #neurotransmitters #dopamine #addictive #drug,1224593985014063105,https://twitter.com/SoberResource/status/1224593985014063105
2020-01-25 22:35:24,nickbiddle,,0,1,2,"joe biden “take enough dexmethylphenidate to say trans rights without slurring but not so much that you start hemorrhaging” challenge",,,,1221199918469197826,https://twitter.com/nickbiddle/status/1221199918469197826
2020-01-10 19:31:57,badmammerjamme1,LoLaDeRoJa,0,0,3,"Pill with imprint A3 is White, Round and is identified as Dexmethylphenidate Hydrochloride 10 mg or generic Adderall. ",,,,1215717937891463168,https://twitter.com/badmammerjamme1/status/1215717937891463168
2020-01-09 20:27:18,LynBelzer,FriendlyBoat,0,0,1,"*DING*DING*DING* I'm on Focalin (dexmethylphenidate, which is a different, but just as tightly controlled, substance), but yeah. This. ",,,,1215369477287751680,https://twitter.com/LynBelzer/status/1215369477287751680
2019-12-27 01:15:35,_timos_,,0,2,0,"Dexmethylphenidate Market 2019 Global Outlook, Research, Trends and Forecast to 2025 - Filmi Baba http://dlvr.it/RLzdFP &gt;&gt;&gt; http://lqventures.com #strategy #competitiveintelligence #marketing #healthcare #pharma #pharmaceutical #productmarketing #biotech",,,#strategy #competitiveintelligence #marketing #healthcare #pharma #pharmaceutical #productmarketing #biotech,1210368594061561856,https://twitter.com/_timos_/status/1210368594061561856
2019-12-19 15:51:29,marsupialpuddng,,3,0,19,"Personally I am on a low dose of Focalin (Dexmethylphenidate). It is not an amphetamine based medication so I prefer it, and it’s effects on my mental health and sensitive body are much softer. A lot of people have never heard of it, but it changed my life completely.",,,,1207689918937305089,https://twitter.com/marsupialpuddng/status/1207689918937305089
2019-12-12 06:24:14,Muchariga,BotPutins,0,0,0,"Why not? To use dexmethylphenidate, chemically similar to Amphetamin Since #WADA is allowing it, why not. Clean athletes, do they exist?",,,#WADA,1205010452444565504,https://twitter.com/Muchariga/status/1205010452444565504
2019-12-07 19:25:18,AmbidextrousSv1,Spsquarepants,0,1,1,"He will fucking do it. Don't tempt him. Spongebob is bouta smash those squirrel cheeks like a gorilla on dexmethylphenidate and dimethyltryptamine. He'll be like a raging bull downing 5 shots of sulfuric acid and charging through the pain.",,,,1203395074366877697,https://twitter.com/AmbidextrousSv1/status/1203395074366877697
2019-12-01 16:35:42,RossSchulman,patio11,0,0,0,"I once impressed my psychiatrist just by knowing that the ""dex"" in ""dexmethylphenidate"" was a reference to its chirality.",,,,1201178068339089408,https://twitter.com/RossSchulman/status/1201178068339089408
2019-11-22 14:05:59,SickAnimalBot,,0,0,0,"This baboon needs Dexmethylphenidate Hydrochloride!",,,,1197878898576494594,https://twitter.com/SickAnimalBot/status/1197878898576494594
2019-11-18 03:47:02,ErynnBrook,,8,46,129,"As @mattbc says: “If you are concerned about the accessibility of CNS stimulants, including methylphenidate (ritalin, concerta), dextroamphetamine (adderall), dexmethylphenidate (focalin), methamphetamine (desoxyn), and lisdexamfetamine (vyvanse), then this affects you.”",,@mattbc,,1196273582235475970,https://twitter.com/ErynnBrook/status/1196273582235475970
2019-11-17 16:05:51,elizaskinner,,2,0,51,"Don’t talk to me until I’ve had my dexmethylphenidate, lol!",,,,1196097124183633921,https://twitter.com/elizaskinner/status/1196097124183633921
2019-11-15 16:05:15,realdoctormo,AnnaAreYouOk,0,0,0,"She's currently on the time release Dexmethylphenidate. (Chiralic Ritalin) it's taken us a while to get the dose and form right, because it stops you eating and she wasn't putting on weight and then trouble with school taking meds during the school day etc.",,,,1195372196153061376,https://twitter.com/realdoctormo/status/1195372196153061376
2019-11-11 12:08:58,maddysbattle,coffeencalories,0,0,0,"i’ve been on focalin (dexmethylphenidate) and i’d recommend !! i found it helpful :)",,,,1193863182500159488,https://twitter.com/maddysbattle/status/1193863182500159488
