date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 22:27:02,ZetsubouStir,vesserix1,1,0,0,"For starters, adderall is an amphetamine+dextroamphetamine salt combo, whereas meth is double methylated (and thus fat-soluble) phenylethylamine. Meth is significantly more toxic and capable of crossing the blood-brain barrier. Adderall isn't.",,,,1238954818913304577,https://twitter.com/ZetsubouStir/status/1238954818913304577
2020-03-14 18:57:47,dtxtc13,CraigRozniecki,0,0,0,"Adderall (amphetamine and dextroamphetamine salts) is an amphetamine used for treating: attention deficit hyperactivity disorder (ADHD) and ",,,,1238902159904825345,https://twitter.com/dtxtc13/status/1238902159904825345
2020-03-14 15:11:06,ragin_nips,Bernadettea777,0,0,0,"Meth or ""tina"" is pretty popular in the party scene and also the gay community so, it's not unbelievable that it is being used recreationally...its not all bathtub crank and shake'n bake. Also, you can be prescribed Desoxyn which is dextroamphetamine or methamphetanine salts. ",,,,1238845115868864512,https://twitter.com/ragin_nips/status/1238845115868864512
2020-03-13 19:36:28,atomicthumbs,its_midoski,1,0,2,"the specific difference between adderall and dexedrine is that adderall is 25% levoamphetamine and 75% dextroamphetamine. the latter is mostly responsible for the cognitive effects and the former for mostly heart rate increase, appetite reduction, etc. dexedrine is 100% dextro",,,,1238549505940672512,https://twitter.com/atomicthumbs/status/1238549505940672512
2020-03-13 18:15:39,RealJesseLuke,SameiHuda,1,0,1,"Just wait Samei... you may wake up one day in 5 pt restraints surrounded by TVs playing nothing but Star Trek. Like clockwork orange but with dextroamphetamine so you don’t miss a thing buddy!",,,,1238529170898128896,https://twitter.com/RealJesseLuke/status/1238529170898128896
2020-03-13 15:56:42,robinskyleigh,lauraevf1968,1,0,1,"The patent isn't up until 2023. :/ The closest equivalent would be dextroamphetamine ER, which is what Vyvanse metabolizes into.",,,,1238494200812818434,https://twitter.com/robinskyleigh/status/1238494200812818434
2020-03-13 03:39:56,nicholatian,selentelechia,1,0,1,"not sure if i ever recall having opioids. probably have. but ive had methylphenidate. regular put me to sleep, time release zombified. ive had dextroamphetamine. was a nice wire, normal doses would have me programming for days. kicked the habit cuz i saw where it was going.",,,,1238308790174392321,https://twitter.com/nicholatian/status/1238308790174392321
2020-03-12 14:57:34,DrNikkiMartinez,FiredUpMA,1,0,1,"The number of confounding factors this could be are numerous. He has a long suspected & *reported* history of dextroamphetamine/methamphetamine abuse, which would cause this. He’s likely on other meds for neurocognitive issues. Many potential neurocognitive issues happening here.",,,,1238116930705395712,https://twitter.com/DrNikkiMartinez/status/1238116930705395712
2020-03-12 08:21:02,Mike55584269,DavidOClayton,0,0,0,"He snorts crushed dextroamphetamine. He snorts a whole lot of dextroamphetamine.",,,,1238017140961284097,https://twitter.com/Mike55584269/status/1238017140961284097
2020-03-11 16:32:55,FormerlyZeus,FormerlyZeus,0,0,1,"or more likely a cocktail something similar to methylphenethylamine, dextroamphetamine, Modafinil, Risperidone",,,,1237778538943729664,https://twitter.com/FormerlyZeus/status/1237778538943729664
2020-03-10 20:33:34,CraftsNhe,JUNIUS_64,0,0,0,"I know the two major med types, Dextroamphetamine salts (Adderall) and Methylphenidate (Ritalin), can have different side effects for each person. I had the same anxiety on Ritalin, and now Adderall makes me a productive human. Check that out I guess?",,,,1237476714747486209,https://twitter.com/CraftsNhe/status/1237476714747486209
2020-03-10 12:38:39,vPearsGAMER,,0,0,3,"I have awoken for new season time . Getting 90 mg of Dextroamphetamine Salt Combo gg if you go against me",,,,1237357195378880512,https://twitter.com/vPearsGAMER/status/1237357195378880512
2020-03-10 09:53:39,oscalope,MysterySolvent,0,0,1,"Needs a hit of Adderall. Rolling the tongue, biting and smacking the lips, lack of focus, drooping eyes are common actions of addicts. All side effects of dextroamphetamine.",,,,1237315674311188483,https://twitter.com/oscalope/status/1237315674311188483
2020-03-10 01:59:13,wfcarlson,KyleKulinski,0,0,6,"400k die every year from medical malpractice. How many die from unsafe & harmful treatments like chemotherapy? How many become addicted to synthetic opioids, synthetic cocaine (Dextroamphetamine), SSRIs, etc? #MedicalTyranny Embrace freedom and decentralization of power!!!",,,#MedicalTyranny,1237196279618420736,https://twitter.com/wfcarlson/status/1237196279618420736
2020-03-09 11:40:02,ccsofl,,3,1,17,"A CCSO deputy pulled over a driver and found trafficking amounts of narcotics in the vehicle. Deputy Riley conducted a traffic stop for speeding. A K9 alerted on the vehicle and our members found several narcotics inside including - 1187 Dextroamphetamine (Adderall) pills ",,,,1236980059992457218,https://twitter.com/ccsofl/status/1236980059992457218
2020-03-08 19:33:37,AprilTardif,titocurtis,1,0,2,"This would appear to be a double-dose of DextroAmphetamine.",,,,1236736852461326336,https://twitter.com/AprilTardif/status/1236736852461326336
2020-03-07 20:37:54,VeryCoolVeryLe1,TankieSanders,0,0,0,"“And that’s when he shit himself while on 50 mg of dextroamphetamine”",,,,1236390640046366720,https://twitter.com/VeryCoolVeryLe1/status/1236390640046366720
2020-03-06 22:31:42,jimsterdotcom,FLOTUS,0,1,13,"What about Dextroamphetamine-Amphetamine? Is that one of your topics, too?",,,,1236056892712964096,https://twitter.com/jimsterdotcom/status/1236056892712964096
2020-03-06 18:19:06,kyeetle,kyeetle,0,0,0,"Definition of dextroamphetamine. : a drug consisting of the dextrorotatory form of amphetamine that is usually administered in the form of its sulfate (C9H13N)2·H2SO4 chiefly in the treatment of narcolepsy and attention deficit disorder.",,,,1235993323011215360,https://twitter.com/kyeetle/status/1235993323011215360
2020-03-06 17:20:41,Daramulun,CloIrish,0,0,1,"If so, maybe that's also the reason why it doesn't affect children, I mean cocaine is chemically related to ampthetamine, dextroamphetamine and methylphenidate, and that's what children are stuffed with today. #coronavirus #ncov19 #SARSCoV19 #COVID19 #ADHD #children",,,#coronavirus #ncov19 #SARSCoV19 #COVID19 #ADHD #children,1235978620004446208,https://twitter.com/Daramulun/status/1235978620004446208
2020-03-06 16:49:25,SEANerDotNET,,0,0,0,"Drug Interaction Report: Adderall XR (amphetamine / dextroamphetamine) &amp; Vitamin C (ascorbic acid): Ascorbic acid may reduce the blood levels of amphetamine, which may make the medication less effective #ADHD #ADD Interaction Checker:",,,#ADHD #ADD,1235970753771667457,https://twitter.com/SEANerDotNET/status/1235970753771667457
2020-03-05 23:44:07,mcelwainYo,PGATOURLIVE,7,0,18,"-1 Bottle of Don Julio -3 scoops C4 Original “Icy Blue Razz” -30mg Dextroamphetamine Salts -1 can of Red Bull -500mg THC extract -2 packs of Animal Pack multivitamins -1 pack of Mentos -2 liters of Diet Coke -1 jar of Peanut Butter -2 scoops of Gold Standard Whey Protein -Ice ",,,,1235712728964026368,https://twitter.com/mcelwainYo/status/1235712728964026368
2020-03-05 23:08:52,beardly01,Millie__Weaver,2,0,2,"Drugs basically are demons but to answer your question, Notice how she keeps licking her lips? It's not very subtle. My guess is most likely prescription amphetamines, most likely with some xanax to take some of the edge off. Most likely Dextroamphetamine AKA Dexedrine.",,,,1235703855641284609,https://twitter.com/beardly01/status/1235703855641284609
2020-03-05 16:01:39,pharmacychecker,,0,0,0,"""The warning also notes that the company failed to present the established name for ProCentra (i.e. dextroamphetamine sulfate) in the ad, thereby misbranding the product."" ",,,,1235596346054369280,https://twitter.com/pharmacychecker/status/1235596346054369280
2020-03-05 04:05:05,LoverdePaul,SaRaAshcraft,1,0,1,"This looks like one of those ads for Dexamyl* back the '50s. *Dextroamphetamine + Amobarbital. Marketed as an anti-depressant to ""housewives"". (This sh*t would mess you up!) ",,,,1235416014935838722,https://twitter.com/LoverdePaul/status/1235416014935838722
2020-03-04 02:24:19,jelliclesav,,0,0,6,"10 year old me had it all........ friends....... a minecraft server...... cable television......... now all i have are debilitating migraines, bald ewan mcgregor and 20mg of dextroamphetamine twice a day",,,,1235028269948268544,https://twitter.com/jelliclesav/status/1235028269948268544
2020-03-03 23:39:37,Seshakey,TrjnRabbit,1,0,0,"May I ask what pills you're trying? My dad takes a heap of dextroamphetamine each day for his (then levels it off over the day with so much whiskey it's not funny)",,,,1234986821286649856,https://twitter.com/Seshakey/status/1234986821286649856
2020-03-02 19:04:25,workingjubilee,matt_sieker,1,0,0,"I was playing the hard trade of anxiety on mixed amphetamine salts vs insufficient effects on methylphenidate but switching to a pure dextroamphetamine dosage (lisdexamfetamine actually) resolved most of those issues.",,,,1234555173889925127,https://twitter.com/workingjubilee/status/1234555173889925127
2020-03-02 18:05:56,Raspy10001,summer7570,1,1,1,"by most reports, he doesn't. Take an Adderall addiction add panic and you have a perfect storm. This combination medication is used to treat attention deficit hyperactivity disorder - ADHD. ... Amphetamine/dextroamphetamine belongs to a class of drugs known as stimulants. Speed. ",,,,1234540456412880897,https://twitter.com/Raspy10001/status/1234540456412880897
2020-03-01 18:18:07,DocCathart,maddow,0,0,0,"Mob-boss Trump looks heavily drugged with SSRI antidepressants, stimulants like amphetamine/ dextroamphetamine &amp; neuroleptics like Risperidone etc. His face is looking hallow, sallow, worn &amp; neurologically-physiologically impaired. How long can his venal sycophants prop him up?",,,,1234181134679969792,https://twitter.com/DocCathart/status/1234181134679969792
2020-03-01 11:14:16,vickyfuck_,,0,3,14,"she/her is to woman as vyvanse is to dextroamphetamine",,,,1234074472191348736,https://twitter.com/vickyfuck_/status/1234074472191348736
2020-02-29 19:01:08,rufflaw,Darrin47491882,0,1,0,"Adderall contains a combination of amphetamine and dextroamphetamine that addresses hyperactivity and impulse control, used to treat attention deficit hyperactivity disorder narcolepsy. DELUSIONS OF GRANDEUR, Misogyny, inability to take responsibility and cheating at golf. ",,,,1233829573630058497,https://twitter.com/rufflaw/status/1233829573630058497
2020-02-29 17:55:13,GollyJollyWally,JOlefugger,0,0,3,"Yeah, agreed, I was a bit mistaken on what parts of the media had touched it. It’s really not backed up nearly as much as I thought. Plus, it was more like a cousin to dextroamphetamine, it was a stimulant diet pill.",,,,1233812986210455553,https://twitter.com/GollyJollyWally/status/1233812986210455553
2020-02-29 16:50:31,JonGunny,the_rumster1965,1,0,8,"The band's name was derived from Dexedrine, a brand of dextroamphetamine used as a recreational drug among Northern soul fans to give them energy to dance all night.",,,,1233796703897235457,https://twitter.com/JonGunny/status/1233796703897235457
2020-02-29 13:15:45,jeanne_manton,MarkHertling,0,0,0,"Dextroamphetamine is a helluva drug to abuse.",,,,1233742655026278400,https://twitter.com/jeanne_manton/status/1233742655026278400
2020-02-29 06:20:04,KenMacmillan3,ruthbenghiat,0,0,0,"Amphetamine is a central nervous system stimulant that is used in the treatment of attention deficit hyperactivity disorder, narcolepsy, and obesity. Amphetamine was discovered in 1887 and exists as two enantiomers: levoamphetamine and dextroamphetamine.",,,,1233638044634427392,https://twitter.com/KenMacmillan3/status/1233638044634427392
2020-02-29 06:19:28,KenMacmillan3,ruthbenghiat,0,0,0,"Amphetamines... Amphetamine is a central nervous system stimulant that is used in the treatment of attention deficit hyperactivity disorder, narcolepsy, and obesity. Amphetamine was discovered in 1887 and exists as two enantiomers: levoamphetamine and dextroamphetamine.",,,,1233637896034422784,https://twitter.com/KenMacmillan3/status/1233637896034422784
2020-02-29 04:36:21,JuanCLarach1,ruthbenghiat,0,0,0,"Cocaine & dextroamphetamine can do that...",,,,1233611942591287297,https://twitter.com/JuanCLarach1/status/1233611942591287297
2020-02-29 04:28:56,JoJoFromJerz,julianahatfield,0,0,1,"Trump’s, “elements of medical” 1-phenylpropan-2-amine And/ or: amphetamine and dextroamphetamine",,,,1233610076512014336,https://twitter.com/JoJoFromJerz/status/1233610076512014336
2020-02-28 20:20:40,freedomfromfox,AshaRangappa_,0,0,0,"""Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control."" #KingOfAdderall",,,#KingOfAdderall,1233487202467926016,https://twitter.com/freedomfromfox/status/1233487202467926016
2020-02-27 23:52:21,Itszutak,atomicthumbs,1,0,1,"I'd start at the low dose-- also see if you can get dextroamphetamine, it works a lot nicer for me",,,,1233178086834765824,https://twitter.com/Itszutak/status/1233178086834765824
2020-02-27 22:55:52,Styx666Official,,6,3,36,">When you don't even have a Vietnam War era PSK II packet with lots of dextroamphetamine in it for when you end up impressed into service driving corpse carts 14 hours a day by bandit slavers who train crows to eat their enemies alive. ",,,,1233163870249848834,https://twitter.com/Styx666Official/status/1233163870249848834
