date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 02:40:23,jammiejam93,,0,0,0,"Doctors appointment on Monday for some better pain relief medicine.... but already on dihydrocodeine so next one up is morphine :(",,,,1238656189698912256,https://twitter.com/jammiejam93/status/1238656189698912256
2020-03-13 22:07:26,GoodFairyClean,Cuppy_xx,1,0,0,"That’s proper scary. Check any new meds. I discovered I can’t take is dihydrocodeine (or something like that) as it gave me terribly vivid nightmares ",,,,1238587498810544136,https://twitter.com/GoodFairyClean/status/1238587498810544136
2020-03-13 17:37:21,iProllyBonedHer,,0,0,0,"@Kgn7Amz I’m having an allergic reaction to dihydrocodeine what do I do? Dm me.",,@Kgn7Amz,,1238519532123230208,https://twitter.com/iProllyBonedHer/status/1238519532123230208
2020-03-13 15:55:24,iProllyBonedHer,,0,0,0,"So I’m allergic to dihydrocodeine. God please don’t take my sunshine away @TinoMartin_16",,@TinoMartin_16,,1238493875204960256,https://twitter.com/iProllyBonedHer/status/1238493875204960256
2020-03-13 07:10:40,AltCyberCommand,Santascoalbag,0,0,1,"No kidding. When Göring was apprehended, he was in possession of ""a significant portion of the world supply at the time"" of dihydrocodeine, an opiate.",,,,1238361822945632256,https://twitter.com/AltCyberCommand/status/1238361822945632256
2020-03-13 05:17:58,iProllyBonedHer,,0,0,0,"This dihydrocodeine is whuppin my ass in an unfair fight right now.",,,,1238333458885292033,https://twitter.com/iProllyBonedHer/status/1238333458885292033
2020-03-12 13:36:01,SuperSueWoman,,1,0,0,"Yesterday #CoronaVirusTwitter made me larrrf so much I started coughing then all of a sudden my lungs felt like they were gna explode Somehow I managed to chug the coughing down to a stop Anyway after that I had to take dihydrocodeine and paracetamol for the pain ",,,#CoronaVirusTwitter,1238096409288679430,https://twitter.com/SuperSueWoman/status/1238096409288679430
2020-03-12 09:18:50,2k_Phil,Louis_Hendrixx,1,3,6,"""i was pushing dihydrocodeine on the streets with my heart on my sleeve , step to me and you'll get smoked like a spliff"" ",,,,1238031686195126272,https://twitter.com/2k_Phil/status/1238031686195126272
2020-03-11 14:10:55,VersusArthritis,DanielDav2017,0,0,0,"Opioid painkillers can sometimes be used for moderate to severe pain when other painkillers haven’t worked. Opioid painkillers include codeine, dihydrocodeine and tramadol. You can find out more here https://bit.ly/2wM81CU best wishes Sairah, Helpline advisor. ",,,,1237742806073999361,https://twitter.com/VersusArthritis/status/1237742806073999361
2020-03-11 08:18:53,EldenRay,InfoPro_Tasha,1,0,0,"Thanks! I told my GP I thought that dihydrocodeine and codeine were different active ingredients but she says it's the same drug just a different strength.",,,,1237654214530211841,https://twitter.com/EldenRay/status/1237654214530211841
2020-03-09 22:45:03,emmarobertsonn,,0,0,0,"I think I've got a slipped disk in my back so I'm fulla dihydrocodeine and also probs going to have to go into work tomorrow cause I canny afford not to ",,,,1237147415905361921,https://twitter.com/emmarobertsonn/status/1237147415905361921
2020-03-09 10:22:54,Lisiann,,0,0,1,"Had a rotten painful night. Surviving on painkillers which will take time. I might be halfway decent by 12 o'clock. #arthritis #dihydrocodeine",,,#arthritis #dihydrocodeine,1236960646706663429,https://twitter.com/Lisiann/status/1236960646706663429
2020-03-09 01:57:07,TeriCottone,C_P_N_S,1,1,2,"It is dihydrocodeine, I edited that TWICE and saved it. Dang, it. Well it appears it is correct now, I hadn't closed the editing tool? IDK but it is correct now, are the other 2 spelling errors still there too? ",,,,1236833363677179904,https://twitter.com/TeriCottone/status/1236833363677179904
