date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 12:47:17,Abnjm,ElboNeverDies,1,0,2,"My Doc hooked me up with a bottle of Hydrocodone-Homatropine. Snooze juice...",,,,1238808919994236928,https://twitter.com/Abnjm/status/1238808919994236928
2020-03-06 12:19:38,ShempLarue,TraderJill77,1,0,1,"Homatropine? I’ll look it up. The other ingredient I am, sadly, all too familiar with. I hope it helps you. Your body can’t heal if you can’t sleep. You’re responsible; I know u will use cautiously &amp; only as needed. (no offense intended ) Feel better. ",,,,1235902859805372422,https://twitter.com/ShempLarue/status/1235902859805372422
2020-02-11 20:52:15,HeWantsTheMD,,0,0,0,"Atropine, homatropine, or tropicamide (First Aid for the #USMLE Step 1 2019, p. 241) #LoveHowYouLearn #FlashFacts #USMLE #MedEd #FOAMed #HCSM",,,#USMLE #LoveHowYouLearn #FlashFacts #USMLE #MedEd #FOAMed #HCSM,1227334553959849984,https://twitter.com/HeWantsTheMD/status/1227334553959849984
2020-02-11 20:30:20,firstaidteam,,0,3,17,"Atropine, homatropine, or tropicamide (First Aid for the #USMLE Step 1 2019, p. 241) #LoveHowYouLearn #FlashFacts",,,#USMLE #LoveHowYouLearn #FlashFacts,1227329039527968769,https://twitter.com/firstaidteam/status/1227329039527968769
2020-02-04 17:28:45,ryanneashleigh,,1,0,1,"the answers: Cleviprex (Clevidipine)-blood pressure Hycodan (Hydrocodone/ Homatropine)- narcotic cough syrup Amidate (Etomidate)- sedating agent Naropin (Ropivacaine)- anesthetic used in epidurals Vasostrict (Vasopressin)- pressor agent Diamox (Acetazolamide)- diuretic",,,,1224746626872479744,https://twitter.com/ryanneashleigh/status/1224746626872479744
2020-02-04 17:28:00,AmBER_F_BayBEE,ryanneashleigh,0,0,0,"The only one I know is hydrocodone homatropine for hycodan.",,,,1224746440926334977,https://twitter.com/AmBER_F_BayBEE/status/1224746440926334977
2020-02-04 17:16:56,__lisalavish,ryanneashleigh,1,0,0,"Clevidipine, hydrocodone/homatropine (aka Hydromet as well), IDK, IDK, vasopressin, acetazolamide. That’s all I got ",,,,1224743656059482112,https://twitter.com/__lisalavish/status/1224743656059482112
2020-01-29 23:12:20,JulieConvery,,0,0,0,"And of course the medicine is Hydrocodone/Homatropine so we all know why they don’t want to be polite or are not worried about getting it for me but it’s for my 14yr pug with a collapsed trachea and I’m so scared he’s gonna die before they actually “feel” like giving it to me.",,,,1222658765826203648,https://twitter.com/JulieConvery/status/1222658765826203648
2020-01-24 01:38:24,homatropine,,0,2,4,"The third annual Advocacy Day held by @VA_Clinicians was a success. We met with our representatives to discuss climate and health and were honored to be recognized by @KathyKLTran in the House of Delegates. Climate = Health. #climateforhealthVA",,@VA_Clinicians @KathyKLTran,#climateforhealthVA,1220521196724346885,https://twitter.com/homatropine/status/1220521196724346885
2020-01-24 01:20:51,homatropine,,0,1,2,"Thank you very much @ChapPetersen for your time in discussing steps we can take this year toward protecting the health of Virginians with climate solutions. @VA_Clinicians #climateforhealthVA",,@ChapPetersen @VA_Clinicians,#climateforhealthVA,1220516782907252736,https://twitter.com/homatropine/status/1220516782907252736
2020-01-24 01:18:40,homatropine,,0,2,4,"Thank you so much Delegate Vivian Watts and @AaronJYohai for a wonderful discussion on climate change and health. We look forward to a bold step forward this hear in protecting the health of Virginians. @VA_Clinicians #climateforhealthVA",,@AaronJYohai @VA_Clinicians,#climateforhealthVA,1220516230647439360,https://twitter.com/homatropine/status/1220516230647439360
2020-01-21 08:51:30,MedsLib,,0,0,0,"HOMATROPINE HYDROBROMIDE OPHTHALMIC (Altaire Pharmaceuticals Inc.): A moderately long-acting mydriatic and cycloplegic for cycloplegic refraction and in the treatment of inflammatory conditions of the uveal tract. For pre and postoperative states when… http://bit.ly/2Gbgu3W",,,,1219543028047761409,https://twitter.com/MedsLib/status/1219543028047761409
2020-01-21 08:41:39,RxDrugLabels,,0,0,0,"Rx Package Insert: HOMATROPINE HYDROBROMIDE OPHTHALMIC, by Altaire Pharmaceuticals Inc. http://bit.ly/37fH8nY",,,,1219540547087499269,https://twitter.com/RxDrugLabels/status/1219540547087499269
2020-01-10 01:20:00,homatropine,NeeluTummala,0,0,0,"I heard you knocked it out of the park!",,,,1215443136740241408,https://twitter.com/homatropine/status/1215443136740241408
2020-01-05 03:42:45,AdvocateTrish,welch__em,0,0,1,"Hydrocodone/homatropine. They’re the tiniest little pills so, thankfully I can fit all four that she takes into one treat rather than having to over feed her treats and then having to spoil Bella because, we have to be fair ",,,,1213667122447929345,https://twitter.com/AdvocateTrish/status/1213667122447929345
2019-12-17 05:51:27,FrustratedPharm,XtremeRPh,0,0,2,"Child's play...we need the hydrocodone-homatropine instead. ",,,,1206814142734249984,https://twitter.com/FrustratedPharm/status/1206814142734249984
2019-12-12 17:37:00,LubricityRelief,,1,0,0,"Mydriatics with anticholinergic properties include the following: Cyclopentolate Homatropine Tropicamide",,,,1205179760961347584,https://twitter.com/LubricityRelief/status/1205179760961347584
2019-11-08 09:04:08,medschat,,0,0,0,"Hydrocodone / Homatropine Dosage For Child ",,,,1192729502943764480,https://twitter.com/medschat/status/1192729502943764480
