date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-04 14:56:11,PharmaFactz,,1,155,419,"Must-Know 2nd Generation Antipsychotics! PINEs - Quetiapine - Olanzapine - Clozapine AZOLEs - Aripiprazole - Bexpiprazole DONEs - Risperidone - Ziprasidone - Iloperidone - Lurasidone - Paliperidone PRIDEs - Amisulpride AZINEs - Cariprazine",,,,1235217481494601728,https://twitter.com/PharmaFactz/status/1235217481494601728
2020-03-04 06:57:36,PharmaFactz,,5,282,638,"Antipsychotic Drugs Typical (1st generation) - Haloperidol - Droperidol - Fluphenazine - Pimozide - Chlorpromazine - Prochlorperazine Atypical (2nd generation) - Quetiapine - Olanzapine - Risperidone - Ziprasidone - Clozapine - Aripiprazole - Iloperidone",,,,1235097041585356800,https://twitter.com/PharmaFactz/status/1235097041585356800
2020-02-25 13:08:39,PharmaFactz,,5,242,642,"Antipsychotic Drugs Typical (1st generation) - Haloperidol - Droperidol - Fluphenazine - Pimozide - Chlorpromazine - Prochlorperazine Atypical (2nd generation) - Quetiapine - Olanzapine - Risperidone - Ziprasidone - Clozapine - Aripiprazole - Iloperidone",,,,1232291317637689344,https://twitter.com/PharmaFactz/status/1232291317637689344
2020-02-20 10:38:21,SickAnimalBot,,0,0,0,"This rhinoceros needs Iloperidone!",,,,1230441551735803904,https://twitter.com/SickAnimalBot/status/1230441551735803904
2020-02-19 22:27:11,SickAnimalBot,,0,0,0,"This puma needs Iloperidone!",,,,1230257549246705669,https://twitter.com/SickAnimalBot/status/1230257549246705669
2020-02-13 00:25:35,RuchiKom,,1,0,0,"The 2drugs based on lipid can definitely be absorbed better in blood stream with its iloperidone substance dissolve in lipid soluble organic solvents to release serotonin&amp;dopamine neurotransmitters for atypical antipsychotic action against schizophrenic disorder.2 @drharshvardhan",,@drharshvardhan,,1227750632486031361,https://twitter.com/RuchiKom/status/1227750632486031361
2020-02-11 15:22:37,PharmaFactz,,3,284,731,"Antipsychotic Drugs Typical (1st generation) - Haloperidol - Droperidol - Fluphenazine - Pimozide - Chlorpromazine - Prochlorperazine Atypical (2nd generation) - Quetiapine - Olanzapine - Risperidone - Ziprasidone - Clozapine - Aripiprazole - Iloperidone",,,,1227251601682903040,https://twitter.com/PharmaFactz/status/1227251601682903040
2020-02-10 21:48:35,SickAnimalBot,,0,1,0,"This orangutan needs Iloperidone!",,,,1226986342577582083,https://twitter.com/SickAnimalBot/status/1226986342577582083
2020-01-26 08:06:31,SickAnimalBot,,0,0,0,"This sheep needs Iloperidone!",,,,1221343646525489152,https://twitter.com/SickAnimalBot/status/1221343646525489152
2020-01-08 04:17:12,SickAnimalBot,,0,0,0,"This mountain goat needs Iloperidone!",,,,1214762954865958912,https://twitter.com/SickAnimalBot/status/1214762954865958912
