date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 13:11:01,CADTH_ACMTS,,0,0,0,"Featured Report: What is the clinical evidence regarding the safety of #lurasidone hydrochloride for the treatment of adults with #BipolarDisorder? Read the full report: https://cadth.info/2TnWVgl #EvidenceOnDrugs",,,#lurasidone #BipolarDisorder #EvidenceOnDrugs,1238814893970722817,https://twitter.com/CADTH_ACMTS/status/1238814893970722817
2020-03-14 06:50:19,lurasidone40,dustymouths,0,0,0,"no PLEASE",,,,1238719088458792960,https://twitter.com/lurasidone40/status/1238719088458792960
2020-03-14 06:39:38,lurasidone40,dustymouths,0,0,0,"hi!!!!!! hey there!!!!! hi dingo!!!!!",,,,1238716400467709952,https://twitter.com/lurasidone40/status/1238716400467709952
2020-03-14 05:05:49,lurasidone40,,2,0,0,"only on eti would someone try to convince you to do meth with them",,,,1238692789019226112,https://twitter.com/lurasidone40/status/1238692789019226112
2020-03-13 21:58:42,lurasidone40,,0,0,4,"picture of my children",,,,1238585300940541952,https://twitter.com/lurasidone40/status/1238585300940541952
2020-03-13 21:29:16,lurasidone40,,1,0,3,"idk why i filmed this but the way larry looks at the nanny when she hums along with the doorbell is chefs kiss",,,,1238577894382661632,https://twitter.com/lurasidone40/status/1238577894382661632
2020-03-13 20:52:25,lurasidone40,,0,0,1,"just thought “absalom absalom” and i have never read that book dude",,,,1238568620910772225,https://twitter.com/lurasidone40/status/1238568620910772225
2020-03-13 20:19:26,lurasidone40,,0,0,2,"truly living the neet life now",,,,1238560319091273728,https://twitter.com/lurasidone40/status/1238560319091273728
2020-03-13 20:14:40,lurasidone40,dash_eats,0,0,0,"80mg + coffee",,,,1238559122267627520,https://twitter.com/lurasidone40/status/1238559122267627520
2020-03-13 00:48:51,lurasidone40,,1,0,1,"got trolled into buying a bunch of bulk foods at grocery store. this is bullshit. i almost bought a 20 pound bag of rice",,,,1238265734809018368,https://twitter.com/lurasidone40/status/1238265734809018368
2020-03-12 20:27:09,lurasidone40,,0,0,2,"my work is closing tomorrow through 4/24 LMAO i love COVID-19",,,,1238199875151355904,https://twitter.com/lurasidone40/status/1238199875151355904
2020-03-12 19:18:54,drbotmd,,0,0,0,"Lurathigra (antidepressant) Used recreationally for stepping Obsoleted by lurasidone",,,,1238182701099823107,https://twitter.com/drbotmd/status/1238182701099823107
2020-03-12 15:07:39,lurasidone40,littlestwayne,0,0,0,"what’s her @",,,,1238119468896673792,https://twitter.com/lurasidone40/status/1238119468896673792
2020-03-12 14:42:50,RobertHlava,,0,0,0,"@UNDAuthority I have emailed previously but no response. I was born in Uganda but live in London. I have a relative who has a psychotic condition and has been prescribed 'Lurasidone Hydrochloride'..how can we get a regular supply in Uganda and from where?",,@UNDAuthority,,1238113226677780481,https://twitter.com/RobertHlava/status/1238113226677780481
2020-03-12 05:20:50,lurasidone40,,0,0,6,"damn my friend threw her drink in the trash can from a fairly long distance and we both shouted kobe",,,,1237971794478260224,https://twitter.com/lurasidone40/status/1237971794478260224
2020-03-12 05:18:43,drbotmd,,0,0,0,"Buperiepine (antidepressant) Approved to treat hoof failure and reachable personality disorder Contraindicated by lurasidone",,,,1237971259708682240,https://twitter.com/drbotmd/status/1237971259708682240
2020-03-12 02:07:01,lurasidone40,chrisk821,1,0,0,"lol bro i don’t know . no one knows what they’re doing",,,,1237923015679066113,https://twitter.com/lurasidone40/status/1237923015679066113
2020-03-12 02:00:45,lurasidone40,chrisk821,1,0,0,"got both those teams quarantined and everything lmao",,,,1237921439996473344,https://twitter.com/lurasidone40/status/1237921439996473344
2020-03-12 01:55:09,lurasidone40,chrisk821,1,0,0,"i should have listened to you.......",,,,1237920032513904642,https://twitter.com/lurasidone40/status/1237920032513904642
2020-03-12 01:41:38,lurasidone40,,1,0,0,"holy fuck no nba my life is over again",,,,1237916631487016960,https://twitter.com/lurasidone40/status/1237916631487016960
2020-03-12 01:39:30,lurasidone40,,0,0,1,"why’s he rubbing his face with his shirt so much though lmao",,,,1237916090967056385,https://twitter.com/lurasidone40/status/1237916090967056385
2020-03-12 01:29:15,lurasidone40,,1,0,0,"kuz was so cool when lebron pulled him into the postgame interview yesterday... might feel bad burning his jersey for tik tok",,,,1237913512308948994,https://twitter.com/lurasidone40/status/1237913512308948994
2020-03-12 01:09:38,lurasidone40,,0,0,1,"has tarentino produced anything since march madness? @rystew march madness tweet",,@rystew,,1237908577152425984,https://twitter.com/lurasidone40/status/1237908577152425984
2020-03-12 01:00:54,lurasidone40,,0,0,0,"my savages",,,,1237906377382625280,https://twitter.com/lurasidone40/status/1237906377382625280
2020-03-12 00:11:39,lurasidone40,big_peanut_butt,1,0,2,"better",,,,1237893984011182085,https://twitter.com/lurasidone40/status/1237893984011182085
2020-03-11 23:54:19,lurasidone40,big_peanut_butt,1,0,0,"don’t really have any interest in beaches",,,,1237889620336979970,https://twitter.com/lurasidone40/status/1237889620336979970
2020-03-11 23:51:02,lurasidone40,everydayissunny,0,0,2,"i don’t give a fuck",,,,1237888794600194049,https://twitter.com/lurasidone40/status/1237888794600194049
2020-03-11 23:39:46,lurasidone40,meliorism,0,0,1,"fuck amazon",,,,1237885959913345026,https://twitter.com/lurasidone40/status/1237885959913345026
2020-03-11 23:38:58,lurasidone40,everydayissunny,1,0,1,"i heard the switch lite is nicer. tried to get @realeigenvalues to take my switch but he declined",,@realeigenvalues,,1237885759677325313,https://twitter.com/lurasidone40/status/1237885759677325313
2020-03-11 23:21:17,lurasidone40,,2,0,1,"need to order a switch lite for animal crossing before i get quarantined",,,,1237881310988783622,https://twitter.com/lurasidone40/status/1237881310988783622
2020-03-11 23:10:57,lurasidone40,,1,0,2,"no one will visit me in seattle due to coronavirus. which is the same as any other time tbh",,,,1237878708200849409,https://twitter.com/lurasidone40/status/1237878708200849409
2020-03-11 18:32:37,lurasidone40,,0,0,1,"reading the pale king",,,,1237808664250966016,https://twitter.com/lurasidone40/status/1237808664250966016
2020-03-11 15:11:32,lurasidone40,alisonwillmore,0,0,0,"this book is good",,,,1237758057808941056,https://twitter.com/lurasidone40/status/1237758057808941056
2020-03-11 03:10:28,lurasidone40,,1,0,0,"i’m dead",,,,1237576596820656128,https://twitter.com/lurasidone40/status/1237576596820656128
2020-03-11 03:02:52,lurasidone40,,1,0,0,"lebron had some really scary faces during the clippers game on sunday and i just wanted to say i’m still thinking about this",,,,1237574684754862080,https://twitter.com/lurasidone40/status/1237574684754862080
2020-03-11 02:56:21,lurasidone40,everydayissunny,0,0,0,"don’t ruin this for me",,,,1237573044899479553,https://twitter.com/lurasidone40/status/1237573044899479553
2020-03-11 02:54:12,lurasidone40,,0,0,1,"i keep watching the laptop instead of the projector",,,,1237572505629380614,https://twitter.com/lurasidone40/status/1237572505629380614
2020-03-11 02:45:47,lurasidone40,,1,0,1,"wow i think i found a roommate on craigslist... how long until i get murdered",,,,1237570383621976065,https://twitter.com/lurasidone40/status/1237570383621976065
2020-03-10 19:54:35,Malachaizmommy,drdelahaye,1,0,0,"Looks like you need to prescribe yourself some risperdal, aripiprazole and some lurasidone",,,,1237466903347630080,https://twitter.com/Malachaizmommy/status/1237466903347630080
