date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 16:12:35,michaelking35,,0,0,0,"My answer to I take paliperidone, aripiprazole and benztropine to treat schizophrenia. Now I started to have mild tardive dyskinesia as a side affect of antipsychotics. Would you recommend taking vmat-2 inhibitors to treat tardive dyskenisia? https://www.quora.com/I-take-paliperidone-aripiprazole-and-benztropine-to-treat-schizophrenia-Now-I-started-to-have-mild-tardive-dyskinesia-as-a-side-affect-of-antipsychotics-Would-you-recommend-taking-vmat-2-inhibitors-to-treat-tardive/answer/Mike-King-51?ch=2&amp;srid=C3JD",,,,1238135812480323585,https://twitter.com/michaelking35/status/1238135812480323585
2020-03-12 11:33:06,JCPjrnl_online,,0,0,0,"Current Issue: Altered Mental Status Following Paliperidone Injection ",,,,1238065476380397571,https://twitter.com/JCPjrnl_online/status/1238065476380397571
2020-03-11 10:12:08,Memory_Journal,,0,0,0,"Cognitive functioning in adolescents with schizophrenia treated with paliperidone extended-release: 6-Month exploratory analysis from an open-label, single-arm safety study. https://ift.tt/2TYNFhp #PubMed #Memory",,,#PubMed #Memory,1237682714985324544,https://twitter.com/Memory_Journal/status/1237682714985324544
2020-03-08 03:26:29,Greenbuilding8,egosyntonically,1,0,0,"Please Is it better to take paliperidone, or cognitive behavioral therapy ?",,,,1236493463232876546,https://twitter.com/Greenbuilding8/status/1236493463232876546
2020-03-06 00:51:23,SickAnimalBot,,0,0,0,"This jackal needs Paliperidone!",,,,1235729657812705281,https://twitter.com/SickAnimalBot/status/1235729657812705281
2020-03-05 04:26:35,Jetlax,,1,22,70,"Mental health service users in the Philippines: If your doctor gives you a NEW prescription for Vortioxetine or Paliperidone and you're short on money, you have the right to ask to discuss cheaper options Only the innovator brands ($$$) are available for these",,,,1235421423587307521,https://twitter.com/Jetlax/status/1235421423587307521
2020-03-04 22:14:29,Alex_LChang,,0,1,4,"@CAMHnews they LOVE injecting you with meds you don’t need. But they hate the ones who actually speak up. It’s worse than prison in there. At least in prison you were convicted of a crime. At CAMH? They convict you for being yourself. #Paliperidone #Metabolism #Akathisia",,@CAMHnews,#Paliperidone #Metabolism #Akathisia,1235327782206550019,https://twitter.com/Alex_LChang/status/1235327782206550019
2020-03-04 14:56:11,PharmaFactz,,1,155,419,"Must-Know 2nd Generation Antipsychotics! PINEs - Quetiapine - Olanzapine - Clozapine AZOLEs - Aripiprazole - Bexpiprazole DONEs - Risperidone - Ziprasidone - Iloperidone - Lurasidone - Paliperidone PRIDEs - Amisulpride AZINEs - Cariprazine",,,,1235217481494601728,https://twitter.com/PharmaFactz/status/1235217481494601728
2020-03-04 07:29:52,ogxxv,,0,0,0,"Although there is no official data on how many people suffer from schizophrenia, it is relief for many that the Pharmacy and Poisons Board has approved the use of Paliperidone Palmitate, a drug manufactured by Janssen, pharmaceutical companies of Johnson &amp; Johnson.",,,,1235105162168946689,https://twitter.com/ogxxv/status/1235105162168946689
2020-03-03 14:29:45,LeonRolyat777,,0,0,0,"@10DowningStreet Dear Mr Prime Minister Johnson, The Covid-19 virus can be prevented by administering 263 milligrams of the tranquilizer Paliperidone palmitate once every 3 months. If you have any questions whatsoever please do not hesitate to contact me. Yours truly. Noel.",,@10DowningStreet,,1234848439566991360,https://twitter.com/LeonRolyat777/status/1234848439566991360
2020-03-02 18:08:27,SickAnimalBot,,0,0,0,"This wolverine needs Paliperidone!",,,,1234541092734951427,https://twitter.com/SickAnimalBot/status/1234541092734951427
2020-03-02 15:17:42,LeonRolyat777,,0,0,1,"Corona virus can be prevented by having Paliperidone administered or love constantly.",,,,1234498119049588739,https://twitter.com/LeonRolyat777/status/1234498119049588739
2020-03-01 17:50:47,minicnair,ThisPosable,0,0,3,"Genius, you don’t know a bit!! Next time you take your Paliperidone, thank me!!! ",,,,1234174258151997440,https://twitter.com/minicnair/status/1234174258151997440
2020-03-01 09:27:27,SickAnimalBot,,0,0,0,"This rhinoceros needs Paliperidone!",,,,1234047589592584192,https://twitter.com/SickAnimalBot/status/1234047589592584192
2020-02-29 05:48:10,SickAnimalBot,,0,0,0,"This buffalo needs Paliperidone!",,,,1233630015184658439,https://twitter.com/SickAnimalBot/status/1233630015184658439
2020-02-28 23:17:38,MikeRishot,,0,0,0,"I hate to sound dark, but maybe now, as medication shortages occur, they'll let me ween off of paliperidone, because as we know, they chase the dollar; why would they prioritize one who pays nothing over one who pays something to continued prescriptions? I pay nothing for meds.",,,,1233531735968813058,https://twitter.com/MikeRishot/status/1233531735968813058
2020-02-28 16:15:14,EveryKaczynski,,0,0,0,"Paliperidone and its consequences have been a disaster for the human race.",,,,1233425435100315655,https://twitter.com/EveryKaczynski/status/1233425435100315655
2020-02-28 15:25:03,JClinPsychiatry,,0,1,1,"""Three Clinically Important but Underutilized and Misunderstood Tools: Formulas to Estimate Creatinine Clearance, the Package Insert, and Therapeutic Drug Monitoring"" Commentary by Sheldon H. Preskorn, MD: http://bit.ly/380nnQV #paliperidone #risperidone #medication #monitoring",,,#paliperidone #risperidone #medication #monitoring,1233412807271550978,https://twitter.com/JClinPsychiatry/status/1233412807271550978
2020-02-27 14:09:23,firemonkey1957,Sagittarius3020,0,0,0,"I've been on Consta and then Paliperidone since 2009 . It's really lessened the intense reactions to negative stimuli/stress . Far fewer meltdowns .",,,,1233031378318614528,https://twitter.com/firemonkey1957/status/1233031378318614528
