date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-13 15:00:26,NeurologyToday,,0,2,0,"For patients with #narcolepsy, solriamfetol may provide short-term improvement in work productivity, health-related quality of life, and functional status via @ElsevierConnect https://bit.ly/2TKLoYu",,@ElsevierConnect,#narcolepsy,1238480042042306561,https://twitter.com/NeurologyToday/status/1238480042042306561
2020-03-10 18:11:44,genphys,,0,0,0,"Solriamfetol Improves Several Quality of Life Markers in People With Narcolepsy - Neurology Advisor - +GENERAL PHYSICS LABORATORY (GPL) Solriamfetol Improves Several Quality of Life Markers in People With Narcolepsy Neurology Advisor https://www.genphys.com/science-news/solriamfetol-improves-several-quality-of-life-markers-in-people-with-narcolepsy-neurology-advisor",,,,1237441021815865344,https://twitter.com/genphys/status/1237441021815865344
2020-03-10 15:37:54,BrainSightsApp,,0,0,0,"Solriamfetol Improves Several Quality of Life Markers in People With Narcolepsy - Neurology Advisor via BrainSights for iOS ",,,,1237402308406845442,https://twitter.com/BrainSightsApp/status/1237402308406845442
2020-03-07 14:02:45,BSeay05,,0,0,0,"Two studies on the use of Solriamfetol in Narcolepsy and OSA patients Narcolepsy - https://www.ncbi.nlm.nih.gov/pubmed/30694576 OSA - https://www.atsjournals.org/doi/full/10.1164/rccm.201806-1100OC #SleepMed #GASP20",,,#SleepMed #GASP20,1236291199511801856,https://twitter.com/BSeay05/status/1236291199511801856
2020-03-07 13:48:18,BSeay05,,0,0,0,"The newest treatment for Narcolepsy, Solriamfetol (Sunosi) #GASP20 #SleepMed",,,#GASP20 #SleepMed,1236287561095688193,https://twitter.com/BSeay05/status/1236287561095688193
2020-02-27 04:01:33,SuperBobSaget,,3,0,0,"anyone tried #SUNOSI (solriamfetol)? how does it compare to Nuvigil / Provigil?",,,#SUNOSI,1232878411808485376,https://twitter.com/SuperBobSaget/status/1232878411808485376
2020-02-26 22:02:47,dtwResearchInc,,0,0,0,"Stay awake, amazing things happen during the day! #JazzPharmaceuticals #sunosi #solriamfetol #narcolepsy #excessivedaytimesleepiness #EDS #obstructivesleepapnea #OSA #sleepapnea #stayawake #sleepdisorder #centralnervoussystem #interestingmarketing #dtwmarketspotlight",,,#JazzPharmaceuticals #sunosi #solriamfetol #narcolepsy #excessivedaytimesleepiness #EDS #obstructivesleepapnea #OSA #sleepapnea #stayawake #sleepdisorder #centralnervoussystem #interestingmarketing #dtwmarketspotlight,1232788122905333767,https://twitter.com/dtwResearchInc/status/1232788122905333767
2020-02-13 02:23:25,Nat_Sleep,,0,0,2,"Solriamfetol (sunosi) has received marketing approval in Europe. ",,,,1227780283400781824,https://twitter.com/Nat_Sleep/status/1227780283400781824
2020-02-12 13:40:22,SleepResearch_,,0,0,0,"A Phase I, Randomized, Crossover, Open-label Study of the Pharmacokinetics of Solriamfetol (JZP-110) in Healthy Adult Subjects With and Without Food. https://ift.tt/2SjpESQ",,,,1227588254716825608,https://twitter.com/SleepResearch_/status/1227588254716825608
2020-02-09 23:00:33,wileyneurology,,0,0,4,"Enjoy this Top Accessed article in Annals of Neurology - A randomized study of solriamfetol for excessive sleepiness in narcolepsy #BestofNeuro2019 #openaccess @TheNewANA1 http://ow.ly/8gVz30q9ay0",,@TheNewANA1,#BestofNeuro2019 #openaccess,1226642065850802176,https://twitter.com/wileyneurology/status/1226642065850802176
2020-02-08 23:17:38,psychopharmacol,,1,0,1,"Pitolisant, an H3r antagonist, and solriamfetol, a DA and NE reuptake inhibitor, are the most recently approved treatments for excessive daytime sleepiness associated with narcolepsy, New agents are being tested:",,,,1226283979608854533,https://twitter.com/psychopharmacol/status/1226283979608854533
2020-01-28 13:01:10,MontefioreWake,,0,0,2,"Sunosi (solriamfetol) approved in Europe to treat excessive daytime sleepiness in patients with #Narcolepsy and #ObstructiveSleepApnea",,,#Narcolepsy #ObstructiveSleepApnea,1222142574598729729,https://twitter.com/MontefioreWake/status/1222142574598729729
2020-01-27 22:45:50,PharmaNews,,0,0,0,"MSL DAILY PHARMA NEWS - EMA APPROVAL JAZZ NARCOLEPSY DRUG “Jazz Pharmaceuticals announced that the European Commission approved Sunosi (solriamfetol) to improve wakefulness and reduce excessive daytime sleepiness… https://www.instagram.com/p/B71yEWcp4os/?igshid=189zdy520cwcc",,,,1221927320539320323,https://twitter.com/PharmaNews/status/1221927320539320323
2020-01-23 20:45:02,GMPnewsNet,,0,0,0,"EC Has Approved Solriamfetol - https://is.gd/bk5Pzv",,,,1220447371668135936,https://twitter.com/GMPnewsNet/status/1220447371668135936
2020-01-23 17:00:07,PharmaReview,,0,0,0,"EU marketing authorisation has been given to Sunosi (solriamfetol) for excessive daytime sleepiness in adults with #narcolepsy or obstructive #sleepapnea http://bit.ly/38A42XG",,,#narcolepsy #sleepapnea,1220390769204322305,https://twitter.com/PharmaReview/status/1220390769204322305
2020-01-23 13:22:51,ClientPharmaLtd,,0,0,0,"Jazz Pharmaceuticals has received a European Marketing Authorisation for Sunosi (solriamfetol) as a treatment for excessive daytime sleepiness in adults with narcolepsy and obstructive sleep apnoea. http://www.pharmatimes.com/news/sunosi_approved_in_europe_for_narcolepsy,_sleep_apnoea_1323129",,,,1220336092005748738,https://twitter.com/ClientPharmaLtd/status/1220336092005748738
2020-01-22 12:38:21,ScottMcKenzieCo,,0,0,0,"Jazz Pharmaceuticals has received a European Marketing Authorisation for Sunosi (solriamfetol) in #narcolepsy and #obstructivesleepapnoea. #sleep",,,#narcolepsy #obstructivesleepapnoea #sleep,1219962506413772800,https://twitter.com/ScottMcKenzieCo/status/1219962506413772800
2020-01-21 16:07:29,HypersomniaNews,,0,0,7,"The European Commission approved Jazz Pharmaceuticals’ Sunosi (solriamfetol) to improve wakefulness and reduce excessive daytime sleepiness in adults with #narcolepsy (with or without cataplexy) or obstructive sleep apnea. #BeyondSleepy #IH #KLS #OSA https://tinyurl.com/JazzEU",,,#narcolepsy #BeyondSleepy #IH #KLS #OSA,1219652745013030912,https://twitter.com/HypersomniaNews/status/1219652745013030912
2020-01-21 13:56:12,kells_jensen,,1,0,2,"Jazz Pharmaceuticals Receives EU Marketing Authorisation for Sunosi® (solriamfetol) for Excessive Daytime Sleepiness in Adults with Narcolepsy or Obstructive Sleep Apnea | Jazz Pharmaceuticals plc ",,,,1219619708699389952,https://twitter.com/kells_jensen/status/1219619708699389952
2020-01-20 17:17:41,pharma_jonpi,,0,0,2,"Jazz Pharmaceuticals Receives EU Marketing Authorisation for Sunosi® (solriamfetol) for Excessive Daytime Sleepiness in Adults with Narcolepsy or Obstructive Sleep Apnea .@JazzPharma https://www.prnewswire.com/news-releases/jazz-pharmaceuticals-receives-eu-marketing-authorisation-for-sunosi-solriamfetol-for-excessive-daytime-sleepiness-in-adults-with-narcolepsy-or-obstructive-sleep-apnea-300989638.html",,@JazzPharma,,1219308024323592192,https://twitter.com/pharma_jonpi/status/1219308024323592192
2020-01-20 16:24:52,NoahBlaineNews,,0,0,0,"Jazz Pharmaceuticals Receives EU Marketing Authorisation for Sunosi® (solriamfetol) for Excessive Daytime Sleepiness in Adults with Narcolepsy or Obstructive Sleep Apnea ",,,,1219294735308926976,https://twitter.com/NoahBlaineNews/status/1219294735308926976
