date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 15:19:22,drbotmd,,0,0,0,"Quetialodone (stimulant) Approved to treat ziprasidone overdose and severe horsebean Controlled in the US due to its clean effect",,,,1238847194641436673,https://twitter.com/drbotmd/status/1238847194641436673
2020-03-14 12:19:20,drbotmd,,0,0,0,"Diapitine (antiandrogen) Treats the quadrillionth symptoms of tetracyclic overdose Contraindicated by ziprasidone",,,,1238801887979331590,https://twitter.com/drbotmd/status/1238801887979331590
2020-03-14 03:57:26,alyxthepigeon,arianator28,1,0,3,"Lithium and Ziprasidone ",,,,1238675579265826816,https://twitter.com/alyxthepigeon/status/1238675579265826816
2020-03-13 06:19:03,drbotmd,,0,0,0,"Lamosium (analgesic) Used recreationally as an antiandrogen Decreases the voteless effects of ziprasidone",,,,1238348831340875776,https://twitter.com/drbotmd/status/1238348831340875776
2020-03-10 03:18:13,drbotmd,,0,0,0,"Ciapirane (antithrombotic) Used with heroin to treat abdominal cancer Contraindicated by ziprasidone",,,,1237216160782995456,https://twitter.com/drbotmd/status/1237216160782995456
2020-03-09 18:27:04,epidural,GayJohnCarterMD,0,0,0,"I thought food enhanced ziprasidone bioabsorption",,,,1237082490847756288,https://twitter.com/epidural/status/1237082490847756288
2020-03-09 01:17:54,drbotmd,,0,0,0,"Heroxeide (stimulant) Used with ziprasidone to treat abatic fever Decreases the victimized effects of mirtazapine",,,,1236823493225955329,https://twitter.com/drbotmd/status/1236823493225955329
2020-03-08 21:17:50,drbotmd,,0,0,0,"Luraloxecaine (antihistamine) Used to treat ziprasidone overdose Controlled in the US due to its maiden effect",,,,1236763080270503942,https://twitter.com/drbotmd/status/1236763080270503942
2020-03-08 14:21:33,iOWAjuana,PSSUrologyInc,0,0,0,"‘Twas forced once to take a medication voluntarily called #Ziprasidone 3 1/2 years ago it’s was weird anyways after about 6 months I started having to pee like every 30 min. So I read the side effects &amp; it said to stop taking if that happens so I did but still pee a lot ",,,#Ziprasidone,1236658319147896833,https://twitter.com/iOWAjuana/status/1236658319147896833
2020-03-08 10:45:13,rocketgirlup,SheriAWilkinson,1,0,1,"She should be on “risperidone (Risperdal®), clozapine (Clozaril®), quetiapine (Seroquel®), ziprasidone (Geodon®) and olanzapine (Zyprexa®). Other medications that might be used to treat delusional disorder include tranquilizers and antidepressants.”",,,,1236603873583751168,https://twitter.com/rocketgirlup/status/1236603873583751168
2020-03-08 06:19:49,sleepyfuckethan,swtquit,0,0,0,"ziprasidone i have no clue what that is????",,,,1236537083155689472,https://twitter.com/sleepyfuckethan/status/1236537083155689472
2020-03-05 23:17:02,drbotmd,,0,0,0,"Quetiapipratin (antibiotic) Used with ziprasidone to treat clinical newsprint Notable for its limnological effect",,,,1235705912985178112,https://twitter.com/drbotmd/status/1235705912985178112
2020-03-05 01:16:43,drbotmd,,0,0,0,"Flucerloline (antipsychotic) Used to treat ziprasidone overdose Controlled in the US due to its vegetational effect",,,,1235373645142396928,https://twitter.com/drbotmd/status/1235373645142396928
2020-03-04 15:35:04,PCC_CNSDisord,,0,0,1,"Food influences #ziprasidone’s bioavailability, &amp; ingredients in green tea extract can affect intestinal absorption and liver #metabolism. Read about a man with #schizophrenia stable on ziprasidone who became psychotic after using #greentea extract. http://bit.ly/3at6bW7",,,#ziprasidone #metabolism #schizophrenia #greentea,1235227267229528067,https://twitter.com/PCC_CNSDisord/status/1235227267229528067
2020-03-04 14:56:11,PharmaFactz,,1,155,419,"Must-Know 2nd Generation Antipsychotics! PINEs - Quetiapine - Olanzapine - Clozapine AZOLEs - Aripiprazole - Bexpiprazole DONEs - Risperidone - Ziprasidone - Iloperidone - Lurasidone - Paliperidone PRIDEs - Amisulpride AZINEs - Cariprazine",,,,1235217481494601728,https://twitter.com/PharmaFactz/status/1235217481494601728
2020-03-04 06:57:36,PharmaFactz,,5,282,638,"Antipsychotic Drugs Typical (1st generation) - Haloperidol - Droperidol - Fluphenazine - Pimozide - Chlorpromazine - Prochlorperazine Atypical (2nd generation) - Quetiapine - Olanzapine - Risperidone - Ziprasidone - Clozapine - Aripiprazole - Iloperidone",,,,1235097041585356800,https://twitter.com/PharmaFactz/status/1235097041585356800
